Symbol,Date,Open,High,Low,Close,Volume
APARINDS,2004-07-12 00:00:00+05:30,38.47,38.47,35.33,35.33,4
APARINDS,2004-07-13 00:00:00+05:30,33.04,35.18,33.04,34.8,2016
APARINDS,2004-07-14 00:00:00+05:30,35.18,36.52,35.18,35.92,12864
APARINDS,2004-07-15 00:00:00+05:30,34.61,37.23,34.61,36.75,7320
APARINDS,2004-07-16 00:00:00+05:30,34.61,37.23,34.61,36.75,0
APARINDS,2004-07-19 00:00:00+05:30,38.47,38.92,37.98,37.98,1466
APARINDS,2004-07-20 00:00:00+05:30,38.24,40.94,38.24,40.38,21753
APARINDS,2004-07-21 00:00:00+05:30,41.16,42.14,39.55,40.26,18148
APARINDS,2004-07-22 00:00:00+05:30,41.16,43.33,39.82,41.72,27974
APARINDS,2004-07-23 00:00:00+05:30,41.84,43.41,40.6,41.46,45374
APARINDS,2004-07-26 00:00:00+05:30,40.79,41.54,40.53,40.64,8069
APARINDS,2004-07-27 00:00:00+05:30,39.4,40.41,38.96,39.1,7382
APARINDS,2004-07-28 00:00:00+05:30,38.99,39.89,38.99,39.22,1050
APARINDS,2004-07-29 00:00:00+05:30,39.18,40.45,38.73,39.97,3680
APARINDS,2004-07-30 00:00:00+05:30,40.94,42.44,40.94,42.1,17592
APARINDS,2004-08-02 00:00:00+05:30,43.03,43.03,40.6,41.16,6565
APARINDS,2004-08-03 00:00:00+05:30,41.91,42.96,41.16,41.99,10234
APARINDS,2004-08-04 00:00:00+05:30,42.1,42.66,41.28,41.31,2245
APARINDS,2004-08-05 00:00:00+05:30,41.31,42.66,41.31,42.62,16824
APARINDS,2004-08-06 00:00:00+05:30,41.91,42.36,41.54,42.21,4400
APARINDS,2004-08-09 00:00:00+05:30,41.91,43.03,41.91,42.66,15609
APARINDS,2004-08-10 00:00:00+05:30,42.66,44.38,42.29,43.56,27108
APARINDS,2004-08-11 00:00:00+05:30,43.56,46.21,43.41,44.12,40722
APARINDS,2004-08-12 00:00:00+05:30,43.56,46.21,43.41,43.71,28372
APARINDS,2004-08-13 00:00:00+05:30,43.56,43.86,42.77,42.85,5352
APARINDS,2004-08-16 00:00:00+05:30,43.56,43.86,42.77,42.85,5352
APARINDS,2004-08-17 00:00:00+05:30,43.48,44.53,43.03,43.52,2712
APARINDS,2004-08-18 00:00:00+05:30,43.03,43.3,41.91,42.21,3778
APARINDS,2004-08-19 00:00:00+05:30,41.95,44.12,41.95,42.1,4160
APARINDS,2004-08-20 00:00:00+05:30,42.51,42.51,40.64,40.64,4686
APARINDS,2004-08-23 00:00:00+05:30,40.64,41.76,40.6,40.68,1561
APARINDS,2004-08-24 00:00:00+05:30,41.16,41.28,40.45,40.45,4660
APARINDS,2004-08-25 00:00:00+05:30,40.79,41.91,40.41,40.86,2268
APARINDS,2004-08-26 00:00:00+05:30,40.98,41.69,40.98,41.42,4984
APARINDS,2004-08-27 00:00:00+05:30,41.16,41.61,40.53,41.09,3192
APARINDS,2004-08-30 00:00:00+05:30,43.41,43.41,41.24,43.0,7226
APARINDS,2004-08-31 00:00:00+05:30,43.6,46.4,43.41,45.13,38645
APARINDS,2004-09-01 00:00:00+05:30,46.33,47.49,45.99,46.51,37057
APARINDS,2004-09-02 00:00:00+05:30,44.34,46.74,42.81,43.45,27097
APARINDS,2004-09-03 00:00:00+05:30,42.58,45.28,41.91,42.32,4733
APARINDS,2004-09-06 00:00:00+05:30,43.63,45.5,43.41,44.12,14472
APARINDS,2004-09-07 00:00:00+05:30,45.32,45.32,42.66,42.81,12345
APARINDS,2004-09-08 00:00:00+05:30,42.85,44.08,42.73,42.96,6109
APARINDS,2004-09-09 00:00:00+05:30,43.03,43.11,41.91,42.77,4616
APARINDS,2004-09-10 00:00:00+05:30,42.29,45.58,41.24,44.16,19354
APARINDS,2004-09-13 00:00:00+05:30,44.87,45.2,43.48,43.56,33270
APARINDS,2004-09-14 00:00:00+05:30,44.57,46.25,43.78,44.01,124992
APARINDS,2004-09-15 00:00:00+05:30,44.79,44.79,42.66,42.7,22346
APARINDS,2004-09-16 00:00:00+05:30,43.03,43.78,41.16,42.1,32644
APARINDS,2004-09-17 00:00:00+05:30,43.03,43.03,41.91,42.51,39310
APARINDS,2004-09-20 00:00:00+05:30,42.66,43.03,41.72,42.36,5270
APARINDS,2004-09-21 00:00:00+05:30,41.99,42.96,41.95,42.29,14502
APARINDS,2004-09-22 00:00:00+05:30,42.62,42.81,41.65,41.91,5896
APARINDS,2004-09-23 00:00:00+05:30,44.9,44.9,40.9,41.5,2933
APARINDS,2004-09-24 00:00:00+05:30,44.87,44.87,40.9,41.09,8820
APARINDS,2004-09-27 00:00:00+05:30,44.49,44.49,41.16,42.06,16701
APARINDS,2004-09-28 00:00:00+05:30,42.58,42.66,41.65,41.99,16400
APARINDS,2004-09-29 00:00:00+05:30,41.99,42.44,41.35,41.72,6917
APARINDS,2004-09-30 00:00:00+05:30,42.92,44.16,42.1,43.33,22317
APARINDS,2004-10-01 00:00:00+05:30,44.9,44.9,42.47,43.56,9474
APARINDS,2004-10-04 00:00:00+05:30,44.08,46.4,43.41,45.54,518841
APARINDS,2004-10-05 00:00:00+05:30,47.67,47.71,44.9,45.69,90249
