Symbol,Date,Open,High,Low,Close,Volume
BAJAJFINSV,2008-05-26 00:00:00+05:30,58.95,60.8,49.2,50.0,32015880
BAJAJFINSV,2008-05-27 00:00:00+05:30,49.6,60.0,48.25,54.5,44267710
BAJAJFINSV,2008-05-28 00:00:00+05:30,55.4,65.4,55.4,62.95,46706630
BAJAJFINSV,2008-05-29 00:00:00+05:30,64.5,69.05,59.75,62.15,46030200
BAJAJFINSV,2008-05-30 00:00:00+05:30,63.1,65.65,57.8,63.25,31122440
BAJAJFINSV,2008-06-02 00:00:00+05:30,63.85,68.65,61.1,67.5,22875120
BAJAJFINSV,2008-06-03 00:00:00+05:30,66.0,67.75,62.15,66.05,23404230
BAJAJFINSV,2008-06-04 00:00:00+05:30,66.2,66.2,55.65,58.85,28832860
BAJAJFINSV,2008-06-05 00:00:00+05:30,59.25,62.85,56.25,62.1,13687130
BAJAJFINSV,2008-06-06 00:00:00+05:30,62.8,63.15,59.75,62.0,8089060
BAJAJFINSV,2008-06-09 00:00:00+05:30,60.9,63.65,57.0,61.9,7719290
BAJAJFINSV,2008-06-10 00:00:00+05:30,60.7,66.3,60.7,65.75,9559430
BAJAJFINSV,2008-06-11 00:00:00+05:30,66.0,67.0,63.0,64.2,7641130
BAJAJFINSV,2008-06-12 00:00:00+05:30,61.8,62.7,59.05,59.55,4217140
BAJAJFINSV,2008-06-13 00:00:00+05:30,59.65,61.35,56.25,57.05,4666970
BAJAJFINSV,2008-06-16 00:00:00+05:30,58.45,60.7,57.7,60.35,5052990
BAJAJFINSV,2008-06-17 00:00:00+05:30,59.95,61.5,59.45,60.05,2532900
BAJAJFINSV,2008-06-18 00:00:00+05:30,60.4,60.65,57.5,58.15,1449260
BAJAJFINSV,2008-06-19 00:00:00+05:30,57.0,61.4,56.8,60.1,4763910
BAJAJFINSV,2008-06-20 00:00:00+05:30,59.25,60.75,52.25,54.5,2945150
BAJAJFINSV,2008-06-23 00:00:00+05:30,54.15,56.6,54.05,55.55,5241830
BAJAJFINSV,2008-06-24 00:00:00+05:30,55.55,56.2,52.75,53.95,2997220
BAJAJFINSV,2008-06-25 00:00:00+05:30,53.25,62.15,53.05,56.7,1264810
BAJAJFINSV,2008-06-26 00:00:00+05:30,56.8,58.95,56.8,58.0,1368570
BAJAJFINSV,2008-06-27 00:00:00+05:30,57.45,57.45,54.05,55.2,1740170
BAJAJFINSV,2008-06-30 00:00:00+05:30,55.5,56.0,51.1,52.85,1072590
BAJAJFINSV,2008-07-01 00:00:00+05:30,52.55,52.75,49.4,50.85,875640
BAJAJFINSV,2008-07-02 00:00:00+05:30,50.2,52.05,48.65,51.35,2293360
BAJAJFINSV,2008-07-03 00:00:00+05:30,48.65,50.5,43.8,47.0,2966850
BAJAJFINSV,2008-07-04 00:00:00+05:30,46.3,49.1,43.9,49.1,1004670
BAJAJFINSV,2008-07-07 00:00:00+05:30,48.6,53.45,48.6,51.25,4297280
BAJAJFINSV,2008-07-08 00:00:00+05:30,46.75,50.9,46.75,50.2,2404970
BAJAJFINSV,2008-07-09 00:00:00+05:30,54.05,54.05,50.3,50.9,926650
BAJAJFINSV,2008-07-10 00:00:00+05:30,50.6,51.05,49.1,49.8,852160
BAJAJFINSV,2008-07-11 00:00:00+05:30,51.1,51.1,45.85,47.05,465790
