Symbol,Date,Open,High,Low,Close,Volume
CANBK,2003-01-01 00:00:00+05:30,9.75,9.8,9.55,9.65,9902500
CANBK,2003-01-02 00:00:00+05:30,9.7,9.75,9.5,9.55,8362075
CANBK,2003-01-03 00:00:00+05:30,9.65,9.75,9.55,9.65,12472500
CANBK,2003-01-06 00:00:00+05:30,9.65,9.65,9.0,9.05,10478595
CANBK,2003-01-07 00:00:00+05:30,9.05,9.25,8.75,9.15,15550440
CANBK,2003-01-08 00:00:00+05:30,9.2,9.35,9.15,9.25,7512210
CANBK,2003-01-09 00:00:00+05:30,9.25,10.1,9.2,10.0,37626310
CANBK,2003-01-10 00:00:00+05:30,10.1,10.6,9.8,10.2,44627090
CANBK,2003-01-13 00:00:00+05:30,10.3,10.6,10.15,10.45,17900135
CANBK,2003-01-14 00:00:00+05:30,10.55,10.7,10.3,10.55,18615135
CANBK,2003-01-15 00:00:00+05:30,10.65,10.85,10.5,10.75,20697370
CANBK,2003-01-16 00:00:00+05:30,10.7,10.95,10.7,10.85,18711725
CANBK,2003-01-17 00:00:00+05:30,10.9,10.95,10.65,10.8,12691315
CANBK,2003-01-20 00:00:00+05:30,10.85,11.55,10.85,11.45,41257155
CANBK,2003-01-21 00:00:00+05:30,11.75,13.35,11.5,13.2,91934845
CANBK,2003-01-22 00:00:00+05:30,13.4,14.15,12.85,13.15,91442320
CANBK,2003-01-23 00:00:00+05:30,13.15,14.0,12.85,13.55,80647660
CANBK,2003-01-24 00:00:00+05:30,13.55,13.75,12.55,12.7,40825765
CANBK,2003-01-27 00:00:00+05:30,12.95,12.95,11.7,11.95,31445385
CANBK,2003-01-28 00:00:00+05:30,12.05,12.7,11.9,12.55,34208050
CANBK,2003-01-29 00:00:00+05:30,12.75,13.2,12.55,12.7,37021570
CANBK,2003-01-30 00:00:00+05:30,12.85,12.95,12.4,12.45,18006475
CANBK,2003-01-31 00:00:00+05:30,12.45,12.5,11.95,12.1,24095735
CANBK,2003-02-03 00:00:00+05:30,12.25,12.7,12.2,12.65,20490175
CANBK,2003-02-04 00:00:00+05:30,12.8,13.75,12.8,13.2,81165250
CANBK,2003-02-05 00:00:00+05:30,13.25,13.45,12.9,13.05,34453905
CANBK,2003-02-06 00:00:00+05:30,13.05,13.45,12.7,13.35,49319365
CANBK,2003-02-07 00:00:00+05:30,13.5,13.5,12.95,13.0,27902560
CANBK,2003-02-10 00:00:00+05:30,13.05,13.05,12.3,12.4,21335460
CANBK,2003-02-11 00:00:00+05:30,12.45,12.6,12.05,12.1,26627700
CANBK,2003-02-12 00:00:00+05:30,12.05,12.4,11.75,12.1,28056895
CANBK,2003-02-14 00:00:00+05:30,12.2,12.2,11.4,11.45,31379355
CANBK,2003-02-17 00:00:00+05:30,11.8,12.6,11.65,12.45,35498410
CANBK,2003-02-18 00:00:00+05:30,12.85,12.95,12.6,12.7,38619800
CANBK,2003-02-19 00:00:00+05:30,12.8,13.2,12.75,13.05,41428275
CANBK,2003-02-20 00:00:00+05:30,13.1,13.6,12.85,13.15,68782840
CANBK,2003-02-21 00:00:00+05:30,13.4,13.4,12.95,13.1,31432865
CANBK,2003-02-24 00:00:00+05:30,13.25,13.75,13.15,13.55,61026720
CANBK,2003-02-25 00:00:00+05:30,13.6,13.6,12.75,12.85,29137165
