Symbol,Date,Open,High,Low,Close,Volume
CHOICEIN,2022-04-08 00:00:00+05:30,75.25,78.2,74.25,75.3,1398068
CHOICEIN,2022-04-11 00:00:00+05:30,76.95,79.75,75.25,76.45,680924
CHOICEIN,2022-04-12 00:00:00+05:30,76.7,77.2,75.25,76.15,349208
CHOICEIN,2022-04-13 00:00:00+05:30,77.5,79.45,76.3,76.9,396676
CHOICEIN,2022-04-18 00:00:00+05:30,76.7,77.45,76.1,76.9,305540
CHOICEIN,2022-04-19 00:00:00+05:30,77.5,77.5,75.5,75.7,486408
CHOICEIN,2022-04-20 00:00:00+05:30,76.0,76.3,75.4,75.8,312884
CHOICEIN,2022-04-21 00:00:00+05:30,77.25,77.25,75.4,75.8,270544
CHOICEIN,2022-04-22 00:00:00+05:30,75.75,76.75,75.1,75.3,288368
CHOICEIN,2022-04-25 00:00:00+05:30,75.35,76.25,74.3,75.1,350280
CHOICEIN,2022-04-26 00:00:00+05:30,75.4,76.3,75.0,75.65,380628
CHOICEIN,2022-04-27 00:00:00+05:30,75.7,77.45,75.2,76.25,348232
CHOICEIN,2022-04-28 00:00:00+05:30,76.9,79.9,76.25,77.95,333512
CHOICEIN,2022-04-29 00:00:00+05:30,77.95,79.7,77.5,78.5,224268
CHOICEIN,2022-05-02 00:00:00+05:30,80.25,80.3,78.25,78.7,203324
CHOICEIN,2022-05-04 00:00:00+05:30,80.45,80.45,78.65,79.0,184564
CHOICEIN,2022-05-05 00:00:00+05:30,79.7,82.9,79.2,81.1,309256
CHOICEIN,2022-05-06 00:00:00+05:30,80.0,81.25,75.5,80.25,228744
CHOICEIN,2022-05-09 00:00:00+05:30,80.9,80.9,79.0,79.8,130940
CHOICEIN,2022-05-10 00:00:00+05:30,79.75,81.75,78.8,80.5,192216
CHOICEIN,2022-05-11 00:00:00+05:30,80.5,80.9,76.7,77.5,249288
CHOICEIN,2022-05-12 00:00:00+05:30,77.25,78.5,76.2,76.5,213544
CHOICEIN,2022-05-13 00:00:00+05:30,77.5,78.75,77.25,78.1,154536
CHOICEIN,2022-05-16 00:00:00+05:30,78.1,79.5,78.0,78.55,179796
CHOICEIN,2022-05-17 00:00:00+05:30,78.7,79.5,78.0,79.1,141164
CHOICEIN,2022-05-18 00:00:00+05:30,80.0,80.6,78.75,79.95,199644
CHOICEIN,2022-05-19 00:00:00+05:30,79.4,79.6,78.0,79.0,156164
CHOICEIN,2022-05-20 00:00:00+05:30,79.5,81.85,79.0,81.3,192408
CHOICEIN,2022-05-23 00:00:00+05:30,82.2,96.25,81.65,85.1,297884
CHOICEIN,2022-05-24 00:00:00+05:30,85.0,85.15,81.3,83.8,213164
CHOICEIN,2022-05-25 00:00:00+05:30,87.65,89.0,85.0,85.4,278804
CHOICEIN,2022-05-26 00:00:00+05:30,87.4,87.45,83.7,86.3,185232
CHOICEIN,2022-05-27 00:00:00+05:30,87.5,87.75,86.5,86.55,175152
CHOICEIN,2022-05-30 00:00:00+05:30,86.75,88.3,84.7,85.2,253576
CHOICEIN,2022-05-31 00:00:00+05:30,85.5,86.2,83.2,85.5,312692
CHOICEIN,2022-06-01 00:00:00+05:30,85.1,87.5,85.0,86.8,173264
CHOICEIN,2022-06-02 00:00:00+05:30,87.0,88.35,86.25,86.9,132444
CHOICEIN,2022-06-03 00:00:00+05:30,86.25,87.85,86.25,86.8,117532
CHOICEIN,2022-06-06 00:00:00+05:30,88.5,88.5,86.25,86.5,422856
CHOICEIN,2022-06-07 00:00:00+05:30,86.3,87.65,86.3,86.8,106732
CHOICEIN,2022-06-08 00:00:00+05:30,86.9,87.5,85.65,86.8,173596
CHOICEIN,2022-06-09 00:00:00+05:30,88.25,88.25,86.3,87.45,115760
CHOICEIN,2022-06-10 00:00:00+05:30,87.3,87.4,86.25,86.5,128804
CHOICEIN,2022-06-13 00:00:00+05:30,85.25,86.5,84.55,85.4,164156
CHOICEIN,2022-06-14 00:00:00+05:30,85.0,85.85,84.8,85.05,110112
CHOICEIN,2022-06-15 00:00:00+05:30,85.7,91.0,85.5,90.3,308792
CHOICEIN,2022-06-16 00:00:00+05:30,90.1,93.7,88.75,91.6,336628
CHOICEIN,2022-06-17 00:00:00+05:30,92.5,92.5,90.0,90.8,184752
CHOICEIN,2022-06-20 00:00:00+05:30,89.9,92.1,87.6,88.5,161896
CHOICEIN,2022-06-21 00:00:00+05:30,88.7,91.1,88.7,90.1,144016
CHOICEIN,2022-06-22 00:00:00+05:30,90.25,92.8,88.9,92.4,202732
CHOICEIN,2022-06-23 00:00:00+05:30,91.7,95.0,91.0,94.1,175884
CHOICEIN,2022-06-24 00:00:00+05:30,95.0,98.75,94.15,95.0,342548
CHOICEIN,2022-06-27 00:00:00+05:30,96.25,98.1,95.3,97.05,173168
CHOICEIN,2022-06-28 00:00:00+05:30,96.5,97.4,95.5,96.95,158072
CHOICEIN,2022-06-29 00:00:00+05:30,96.4,97.5,95.75,96.4,124504
CHOICEIN,2022-06-30 00:00:00+05:30,96.1,97.5,96.0,96.4,84616
CHOICEIN,2022-07-01 00:00:00+05:30,97.2,97.2,95.25,96.0,73564
CHOICEIN,2022-07-04 00:00:00+05:30,97.2,98.25,96.4,97.7,1066312
CHOICEIN,2022-07-05 00:00:00+05:30,98.5,100.95,94.0,97.4,1243272
CHOICEIN,2022-07-06 00:00:00+05:30,97.0,99.25,97.0,98.8,961036
CHOICEIN,2022-07-07 00:00:00+05:30,99.45,100.2,98.5,99.25,1813132
CHOICEIN,2022-07-08 00:00:00+05:30,99.7,101.75,98.1,100.1,1942692
CHOICEIN,2022-07-11 00:00:00+05:30,102.0,103.6,99.5,100.15,2049192
CHOICEIN,2022-07-12 00:00:00+05:30,100.5,101.2,99.0,99.5,220708
CHOICEIN,2022-07-13 00:00:00+05:30,100.75,101.25,99.25,99.4,132516
CHOICEIN,2022-07-14 00:00:00+05:30,100.0,100.4,99.2,99.7,103012
CHOICEIN,2022-07-15 00:00:00+05:30,100.0,100.45,99.1,99.6,111496
CHOICEIN,2022-07-18 00:00:00+05:30,99.3,101.8,99.3,99.8,94768
CHOICEIN,2022-07-19 00:00:00+05:30,99.75,100.65,98.75,99.0,124600
CHOICEIN,2022-07-20 00:00:00+05:30,99.25,100.45,98.75,99.4,103432
CHOICEIN,2022-07-21 00:00:00+05:30,98.9,99.9,98.75,99.5,140484
CHOICEIN,2022-07-22 00:00:00+05:30,100.4,100.75,99.25,99.3,90808
CHOICEIN,2022-07-25 00:00:00+05:30,99.25,99.8,97.8,99.0,104752
CHOICEIN,2022-07-26 00:00:00+05:30,99.7,99.8,98.75,98.9,214572
CHOICEIN,2022-07-27 00:00:00+05:30,99.35,99.75,98.75,99.5,133776
CHOICEIN,2022-07-28 00:00:00+05:30,100.75,103.5,99.3,102.3,215120
CHOICEIN,2022-07-29 00:00:00+05:30,101.4,102.5,100.5,102.0,70072
CHOICEIN,2022-08-01 00:00:00+05:30,105.25,108.75,105.25,108.15,370928
CHOICEIN,2022-08-02 00:00:00+05:30,109.7,110.5,107.5,108.3,407356
CHOICEIN,2022-08-03 00:00:00+05:30,108.75,109.5,107.9,108.8,171488
CHOICEIN,2022-08-04 00:00:00+05:30,109.6,110.5,107.1,108.3,208364
CHOICEIN,2022-08-05 00:00:00+05:30,108.45,110.0,107.5,107.6,195204
CHOICEIN,2022-08-08 00:00:00+05:30,108.4,109.1,107.5,108.2,103492
CHOICEIN,2022-08-10 00:00:00+05:30,108.5,108.5,107.0,107.2,98768
CHOICEIN,2022-08-11 00:00:00+05:30,108.0,109.5,107.25,108.9,96180
CHOICEIN,2022-08-12 00:00:00+05:30,110.0,110.5,106.75,107.9,192640
CHOICEIN,2022-08-16 00:00:00+05:30,108.5,108.7,107.5,108.25,88700
CHOICEIN,2022-08-17 00:00:00+05:30,110.5,110.5,108.0,108.4,90576
CHOICEIN,2022-08-18 00:00:00+05:30,109.0,109.35,107.75,108.05,90780
CHOICEIN,2022-08-19 00:00:00+05:30,107.5,109.75,107.5,108.1,60360
CHOICEIN,2022-08-22 00:00:00+05:30,109.0,109.0,107.75,107.8,97360
CHOICEIN,2022-08-23 00:00:00+05:30,108.7,108.7,107.5,107.95,74832
CHOICEIN,2022-08-24 00:00:00+05:30,109.5,109.5,107.75,108.0,69496
CHOICEIN,2022-08-25 00:00:00+05:30,109.0,109.0,107.5,107.9,76816
CHOICEIN,2022-08-26 00:00:00+05:30,108.75,109.0,107.9,108.65,78752
CHOICEIN,2022-08-29 00:00:00+05:30,107.9,108.5,106.25,106.9,135012
CHOICEIN,2022-08-30 00:00:00+05:30,108.0,109.65,107.6,107.9,83992
CHOICEIN,2022-09-01 00:00:00+05:30,109.5,109.5,105.75,106.1,110476
CHOICEIN,2022-09-02 00:00:00+05:30,106.3,108.75,106.3,108.4,84184
CHOICEIN,2022-09-05 00:00:00+05:30,108.75,109.25,107.75,108.2,72044
CHOICEIN,2022-09-06 00:00:00+05:30,109.4,109.4,108.1,109.0,82032
CHOICEIN,2022-09-07 00:00:00+05:30,109.0,109.0,107.25,107.6,83788
CHOICEIN,2022-09-08 00:00:00+05:30,107.5,110.0,107.5,109.3,188232
CHOICEIN,2022-09-09 00:00:00+05:30,110.0,110.25,109.0,109.9,95920
CHOICEIN,2022-09-12 00:00:00+05:30,110.25,115.9,109.75,114.65,281280
CHOICEIN,2022-09-13 00:00:00+05:30,116.4,119.3,113.5,115.75,203856
CHOICEIN,2022-09-14 00:00:00+05:30,117.0,119.25,116.25,117.45,269168
CHOICEIN,2022-09-15 00:00:00+05:30,119.0,120.25,115.4,118.35,174180
CHOICEIN,2022-09-16 00:00:00+05:30,119.0,119.65,114.0,115.3,137588
CHOICEIN,2022-09-19 00:00:00+05:30,117.0,117.4,113.6,113.75,212980
CHOICEIN,2022-09-20 00:00:00+05:30,115.35,116.5,112.5,114.2,175676
CHOICEIN,2022-09-21 00:00:00+05:30,116.2,117.0,112.75,116.0,154072
CHOICEIN,2022-09-22 00:00:00+05:30,123.0,128.95,118.0,122.6,117984
CHOICEIN,2022-09-23 00:00:00+05:30,123.8,124.0,118.8,119.7,37194
CHOICEIN,2022-09-26 00:00:00+05:30,117.25,118.4,112.5,114.0,58256
CHOICEIN,2022-09-27 00:00:00+05:30,114.0,115.5,110.7,111.15,59948
CHOICEIN,2022-09-28 00:00:00+05:30,110.0,116.3,109.5,116.0,54796
CHOICEIN,2022-09-29 00:00:00+05:30,115.5,117.2,114.5,114.75,40984
CHOICEIN,2022-09-30 00:00:00+05:30,115.2,116.9,114.0,114.6,33396
CHOICEIN,2022-10-03 00:00:00+05:30,116.5,116.5,109.5,111.35,84782
CHOICEIN,2022-10-04 00:00:00+05:30,111.8,115.0,109.5,114.55,110498
CHOICEIN,2022-10-06 00:00:00+05:30,115.0,119.5,112.55,118.0,84102
CHOICEIN,2022-10-07 00:00:00+05:30,118.45,124.9,117.4,122.8,161444
CHOICEIN,2022-10-10 00:00:00+05:30,122.9,122.9,120.6,122.2,53102
CHOICEIN,2022-10-11 00:00:00+05:30,120.35,124.2,119.45,121.05,52214
CHOICEIN,2022-10-12 00:00:00+05:30,121.9,122.55,118.5,119.5,46176
CHOICEIN,2022-10-13 00:00:00+05:30,120.0,122.4,118.0,120.55,74782
CHOICEIN,2022-10-14 00:00:00+05:30,122.5,130.5,121.5,124.65,214094
CHOICEIN,2022-10-17 00:00:00+05:30,128.45,129.3,123.5,126.5,57584
CHOICEIN,2022-10-18 00:00:00+05:30,123.5,127.75,122.0,125.2,70146
CHOICEIN,2022-10-19 00:00:00+05:30,126.0,126.8,124.5,124.8,54840
CHOICEIN,2022-10-20 00:00:00+05:30,126.1,126.2,124.5,125.6,33080
CHOICEIN,2022-10-21 00:00:00+05:30,125.95,126.4,124.6,125.05,40820
CHOICEIN,2022-10-24 00:00:00+05:30,126.0,130.0,125.5,128.75,54204
CHOICEIN,2022-10-25 00:00:00+05:30,126.05,129.0,126.05,127.4,48622
CHOICEIN,2022-10-27 00:00:00+05:30,127.5,130.0,127.3,128.5,40744
CHOICEIN,2022-10-28 00:00:00+05:30,130.0,132.5,129.05,132.1,119718
CHOICEIN,2022-10-31 00:00:00+05:30,133.75,137.9,132.3,137.25,151460
CHOICEIN,2022-11-01 00:00:00+05:30,138.0,140.4,138.0,139.9,92064
CHOICEIN,2022-11-02 00:00:00+05:30,142.5,144.0,140.5,142.8,128518
CHOICEIN,2022-11-03 00:00:00+05:30,144.5,149.7,141.3,144.9,168420
CHOICEIN,2022-11-04 00:00:00+05:30,145.8,148.0,144.05,145.0,183108
CHOICEIN,2022-11-07 00:00:00+05:30,147.0,147.5,139.65,140.9,154294
CHOICEIN,2022-11-09 00:00:00+05:30,142.5,142.5,137.5,139.0,70880
CHOICEIN,2022-11-10 00:00:00+05:30,136.9,139.4,135.0,136.05,66120
CHOICEIN,2022-11-11 00:00:00+05:30,138.35,139.0,134.5,136.3,57812
CHOICEIN,2022-11-14 00:00:00+05:30,139.9,139.9,135.6,136.9,62404
CHOICEIN,2022-11-15 00:00:00+05:30,138.95,139.75,136.1,136.8,53744
CHOICEIN,2022-11-16 00:00:00+05:30,137.3,139.95,135.8,137.5,83836
CHOICEIN,2022-11-17 00:00:00+05:30,137.0,138.6,135.0,137.05,65094
CHOICEIN,2022-11-18 00:00:00+05:30,135.7,139.45,132.0,134.0,78862
CHOICEIN,2022-11-21 00:00:00+05:30,134.0,138.9,126.0,130.5,172224
CHOICEIN,2022-11-22 00:00:00+05:30,131.15,133.05,129.0,129.8,58858
CHOICEIN,2022-11-23 00:00:00+05:30,130.2,131.9,130.0,130.9,49228
CHOICEIN,2022-11-24 00:00:00+05:30,131.5,135.0,130.9,133.9,59576
CHOICEIN,2022-11-25 00:00:00+05:30,137.5,137.5,132.5,134.0,57954
CHOICEIN,2022-11-28 00:00:00+05:30,134.0,135.0,133.0,133.8,43362
CHOICEIN,2022-11-29 00:00:00+05:30,135.7,135.7,133.0,134.15,46336
CHOICEIN,2022-11-30 00:00:00+05:30,136.1,136.1,133.0,133.8,46738
CHOICEIN,2022-12-01 00:00:00+05:30,137.0,137.0,133.0,134.2,54628
CHOICEIN,2022-12-02 00:00:00+05:30,134.65,136.75,132.5,135.05,59626
CHOICEIN,2022-12-05 00:00:00+05:30,137.1,137.75,134.5,135.2,63692
CHOICEIN,2022-12-06 00:00:00+05:30,136.6,138.0,133.5,134.1,42980
CHOICEIN,2022-12-07 00:00:00+05:30,129.4,137.5,127.5,132.45,35898
CHOICEIN,2022-12-08 00:00:00+05:30,133.45,134.5,131.0,131.9,45856
CHOICEIN,2022-12-09 00:00:00+05:30,132.9,133.3,127.5,127.8,65772
CHOICEIN,2022-12-12 00:00:00+05:30,128.0,128.4,126.5,127.7,49534
CHOICEIN,2022-12-13 00:00:00+05:30,128.25,130.55,127.5,128.0,43534
CHOICEIN,2022-12-14 00:00:00+05:30,128.95,129.7,126.0,128.3,72976
CHOICEIN,2022-12-15 00:00:00+05:30,128.0,129.0,125.5,125.9,51362
CHOICEIN,2022-12-16 00:00:00+05:30,126.0,128.2,124.65,126.7,64630
CHOICEIN,2022-12-19 00:00:00+05:30,126.5,128.5,125.55,125.95,39920
CHOICEIN,2022-12-20 00:00:00+05:30,126.55,127.6,124.45,126.8,92220
CHOICEIN,2022-12-21 00:00:00+05:30,130.0,130.0,123.8,124.8,75192
CHOICEIN,2022-12-22 00:00:00+05:30,124.75,125.3,119.6,121.4,63348
CHOICEIN,2022-12-23 00:00:00+05:30,121.4,121.4,116.75,117.8,100136
CHOICEIN,2022-12-26 00:00:00+05:30,117.0,120.0,116.0,118.65,80322
CHOICEIN,2022-12-27 00:00:00+05:30,119.9,121.4,119.0,119.7,55862
CHOICEIN,2022-12-28 00:00:00+05:30,120.85,122.45,119.7,122.0,46238
CHOICEIN,2022-12-29 00:00:00+05:30,122.1,125.0,121.0,124.7,74602
CHOICEIN,2022-12-30 00:00:00+05:30,126.05,127.5,124.05,124.9,48586
CHOICEIN,2023-01-02 00:00:00+05:30,127.4,128.5,124.8,127.3,63840
CHOICEIN,2023-01-03 00:00:00+05:30,127.8,129.35,127.15,128.85,66332
CHOICEIN,2023-01-04 00:00:00+05:30,129.4,129.7,126.5,126.85,37096
CHOICEIN,2023-01-05 00:00:00+05:30,128.7,128.7,124.0,124.25,29646
CHOICEIN,2023-01-06 00:00:00+05:30,124.3,128.3,122.95,125.7,86966
CHOICEIN,2023-01-09 00:00:00+05:30,129.5,129.5,123.8,125.85,49574
CHOICEIN,2023-01-10 00:00:00+05:30,125.2,127.6,124.0,127.1,80128
CHOICEIN,2023-01-11 00:00:00+05:30,126.7,133.95,126.5,131.45,165272
CHOICEIN,2023-01-12 00:00:00+05:30,134.5,136.95,132.5,134.9,106586
CHOICEIN,2023-01-13 00:00:00+05:30,137.0,137.25,134.5,135.55,62302
CHOICEIN,2023-01-16 00:00:00+05:30,140.0,140.5,132.5,135.8,128222
CHOICEIN,2023-01-17 00:00:00+05:30,136.0,138.9,133.45,135.0,65004
CHOICEIN,2023-01-18 00:00:00+05:30,135.0,135.15,132.5,132.75,60936
CHOICEIN,2023-01-19 00:00:00+05:30,132.5,134.5,132.0,133.15,42572
CHOICEIN,2023-01-20 00:00:00+05:30,135.0,136.7,133.0,134.05,60362
CHOICEIN,2023-01-23 00:00:00+05:30,136.05,137.95,133.5,136.6,71188
CHOICEIN,2023-01-24 00:00:00+05:30,136.5,140.35,136.1,138.6,106570
CHOICEIN,2023-01-25 00:00:00+05:30,139.5,140.0,137.0,138.7,82420
CHOICEIN,2023-01-27 00:00:00+05:30,137.5,140.0,129.2,131.35,69420
CHOICEIN,2023-01-30 00:00:00+05:30,133.8,135.7,125.55,129.65,136184
CHOICEIN,2023-01-31 00:00:00+05:30,131.45,131.5,128.85,130.05,86510
CHOICEIN,2023-02-01 00:00:00+05:30,130.85,132.6,126.55,128.1,66184
CHOICEIN,2023-02-02 00:00:00+05:30,129.4,129.4,127.1,127.7,46044
CHOICEIN,2023-02-03 00:00:00+05:30,129.7,129.7,125.55,127.6,59228
CHOICEIN,2023-02-06 00:00:00+05:30,129.5,129.5,126.45,128.0,64380
CHOICEIN,2023-02-07 00:00:00+05:30,128.35,129.8,125.4,128.1,95172
CHOICEIN,2023-02-08 00:00:00+05:30,128.5,133.3,127.0,132.85,123640
CHOICEIN,2023-02-09 00:00:00+05:30,133.1,135.5,131.0,135.2,60492
CHOICEIN,2023-02-10 00:00:00+05:30,136.0,136.95,134.0,135.9,47040
CHOICEIN,2023-02-13 00:00:00+05:30,137.25,137.25,131.0,133.85,101360
CHOICEIN,2023-02-14 00:00:00+05:30,134.0,134.25,127.5,130.05,62284
CHOICEIN,2023-02-15 00:00:00+05:30,131.5,132.45,129.75,130.6,53606
CHOICEIN,2023-02-16 00:00:00+05:30,131.05,131.05,128.5,129.1,80004
CHOICEIN,2023-02-17 00:00:00+05:30,130.5,134.9,130.4,134.8,97368
CHOICEIN,2023-02-20 00:00:00+05:30,134.0,135.6,129.15,130.1,341842
CHOICEIN,2023-02-21 00:00:00+05:30,134.0,134.0,128.0,128.75,393828
CHOICEIN,2023-02-22 00:00:00+05:30,128.75,132.0,127.9,129.3,955226
CHOICEIN,2023-02-23 00:00:00+05:30,129.3,130.6,128.0,129.1,273356
CHOICEIN,2023-02-24 00:00:00+05:30,129.1,133.15,127.5,128.1,280544
CHOICEIN,2023-02-27 00:00:00+05:30,128.1,129.75,127.0,127.5,52648
CHOICEIN,2023-02-28 00:00:00+05:30,128.8,129.5,127.5,127.6,47566
CHOICEIN,2023-03-01 00:00:00+05:30,129.8,130.15,127.0,127.6,243260
CHOICEIN,2023-03-02 00:00:00+05:30,128.85,129.8,127.0,129.2,428046
CHOICEIN,2023-03-03 00:00:00+05:30,130.0,135.35,130.0,133.2,485536
CHOICEIN,2023-03-06 00:00:00+05:30,134.7,135.3,131.5,132.3,239456
CHOICEIN,2023-03-08 00:00:00+05:30,133.1,134.9,129.2,129.8,65116
CHOICEIN,2023-03-09 00:00:00+05:30,131.1,132.5,130.0,131.8,59756
CHOICEIN,2023-03-10 00:00:00+05:30,132.6,132.6,129.5,131.2,158802
CHOICEIN,2023-03-13 00:00:00+05:30,131.0,132.85,128.9,129.8,68168
CHOICEIN,2023-03-14 00:00:00+05:30,129.8,132.5,128.5,131.0,547086
CHOICEIN,2023-03-15 00:00:00+05:30,133.0,133.0,126.3,127.5,78930
CHOICEIN,2023-03-16 00:00:00+05:30,127.5,129.3,127.0,127.85,68282
CHOICEIN,2023-03-17 00:00:00+05:30,129.0,129.95,125.5,126.85,2128330
CHOICEIN,2023-03-20 00:00:00+05:30,132.2,132.2,125.55,126.6,2241760
CHOICEIN,2023-03-21 00:00:00+05:30,128.95,129.9,125.6,127.5,1000742
CHOICEIN,2023-03-22 00:00:00+05:30,129.2,146.7,128.85,137.3,1895348
CHOICEIN,2023-03-23 00:00:00+05:30,138.2,147.0,136.1,137.65,802842
CHOICEIN,2023-03-24 00:00:00+05:30,138.0,141.1,136.5,137.5,335192
CHOICEIN,2023-03-27 00:00:00+05:30,138.85,139.5,136.5,137.7,305604
CHOICEIN,2023-03-28 00:00:00+05:30,139.0,140.0,136.3,137.1,329974
CHOICEIN,2023-03-29 00:00:00+05:30,138.1,140.4,136.5,139.1,406612
CHOICEIN,2023-03-31 00:00:00+05:30,140.45,144.2,139.3,141.15,579642
CHOICEIN,2023-04-03 00:00:00+05:30,141.45,145.9,141.0,143.0,467136
CHOICEIN,2023-04-05 00:00:00+05:30,142.5,147.2,137.3,139.0,642656
CHOICEIN,2023-04-06 00:00:00+05:30,139.5,141.8,138.5,140.1,273940
CHOICEIN,2023-04-10 00:00:00+05:30,141.0,145.5,140.5,142.75,441740
CHOICEIN,2023-04-11 00:00:00+05:30,143.5,150.0,143.5,147.6,908200
CHOICEIN,2023-04-12 00:00:00+05:30,149.0,155.0,149.0,152.45,697344
CHOICEIN,2023-04-13 00:00:00+05:30,153.2,156.8,151.5,153.5,735238
CHOICEIN,2023-04-17 00:00:00+05:30,154.0,158.35,154.0,156.6,691128
CHOICEIN,2023-04-18 00:00:00+05:30,157.05,160.6,157.05,158.3,817834
CHOICEIN,2023-04-19 00:00:00+05:30,160.0,161.4,157.95,159.5,717898
CHOICEIN,2023-04-20 00:00:00+05:30,160.45,162.1,159.5,160.4,641768
CHOICEIN,2023-04-21 00:00:00+05:30,161.4,162.5,159.45,161.1,772010
CHOICEIN,2023-04-24 00:00:00+05:30,162.0,163.4,160.3,161.05,955826
CHOICEIN,2023-04-25 00:00:00+05:30,163.5,163.5,157.7,158.4,614828
CHOICEIN,2023-04-26 00:00:00+05:30,158.3,160.4,156.15,159.0,616150
CHOICEIN,2023-04-27 00:00:00+05:30,159.2,162.5,158.1,162.05,607064
CHOICEIN,2023-04-28 00:00:00+05:30,162.9,167.5,162.7,165.7,823684
CHOICEIN,2023-05-02 00:00:00+05:30,167.0,169.2,166.0,168.55,610872
CHOICEIN,2023-05-03 00:00:00+05:30,168.55,169.0,164.2,165.0,425880
CHOICEIN,2023-05-04 00:00:00+05:30,166.0,167.0,164.6,165.45,404068
CHOICEIN,2023-05-05 00:00:00+05:30,166.45,169.6,165.0,165.85,382642
CHOICEIN,2023-05-08 00:00:00+05:30,166.5,167.55,164.25,165.8,352736
CHOICEIN,2023-05-09 00:00:00+05:30,166.3,167.45,161.6,165.6,496420
CHOICEIN,2023-05-10 00:00:00+05:30,165.0,166.8,163.05,166.3,552800
CHOICEIN,2023-05-11 00:00:00+05:30,166.0,168.0,165.0,166.8,444616
CHOICEIN,2023-05-12 00:00:00+05:30,166.95,168.75,165.1,167.45,752582
CHOICEIN,2023-05-15 00:00:00+05:30,167.5,181.15,167.5,176.3,1622812
CHOICEIN,2023-05-16 00:00:00+05:30,177.8,178.9,175.7,176.6,1131558
CHOICEIN,2023-05-17 00:00:00+05:30,176.85,177.9,175.0,175.3,756826
CHOICEIN,2023-05-18 00:00:00+05:30,176.25,183.1,176.2,179.05,1402716
CHOICEIN,2023-05-19 00:00:00+05:30,179.2,182.25,177.8,178.8,1587348
CHOICEIN,2023-05-22 00:00:00+05:30,178.35,180.65,175.05,179.05,1160988
CHOICEIN,2023-05-23 00:00:00+05:30,179.25,184.4,179.15,180.3,1319846
CHOICEIN,2023-05-24 00:00:00+05:30,180.15,183.0,177.1,178.25,1382864
CHOICEIN,2023-05-25 00:00:00+05:30,178.5,179.7,174.0,176.9,816028
CHOICEIN,2023-05-26 00:00:00+05:30,177.7,185.5,176.55,180.35,1727504
CHOICEIN,2023-05-29 00:00:00+05:30,181.25,184.0,180.6,182.2,1060968
CHOICEIN,2023-05-30 00:00:00+05:30,182.8,188.8,180.6,182.5,2234190
CHOICEIN,2023-05-31 00:00:00+05:30,182.3,189.7,182.1,185.2,2798852
CHOICEIN,2023-06-01 00:00:00+05:30,186.85,192.9,185.0,185.65,2960728
CHOICEIN,2023-06-02 00:00:00+05:30,186.5,194.3,186.5,187.4,1860274
CHOICEIN,2023-06-05 00:00:00+05:30,189.2,195.5,186.8,187.9,1825792
CHOICEIN,2023-06-06 00:00:00+05:30,189.1,191.7,185.25,187.85,1180770
CHOICEIN,2023-06-07 00:00:00+05:30,189.3,192.75,187.5,188.4,1109352
CHOICEIN,2023-06-08 00:00:00+05:30,188.95,189.7,186.15,188.4,958876
CHOICEIN,2023-06-09 00:00:00+05:30,190.0,196.5,190.0,191.3,1260244
CHOICEIN,2023-06-12 00:00:00+05:30,192.4,195.2,190.9,191.9,1476104
CHOICEIN,2023-06-13 00:00:00+05:30,193.4,197.45,189.6,190.1,2095580
