Symbol,Date,Open,High,Low,Close,Volume
DRREDDY,2010-01-04 00:00:00+05:30,228.0,229.9,225.25,228.45,1649940
DRREDDY,2010-01-05 00:00:00+05:30,230.0,236.2,230.0,235.5,2058290
DRREDDY,2010-01-06 00:00:00+05:30,237.25,246.5,236.65,241.55,6448930
DRREDDY,2010-01-07 00:00:00+05:30,238.0,242.95,235.6,237.8,1491700
DRREDDY,2010-01-08 00:00:00+05:30,240.0,242.2,236.0,238.8,1202345
DRREDDY,2010-01-11 00:00:00+05:30,245.0,245.0,233.15,240.05,2054015
DRREDDY,2010-01-12 00:00:00+05:30,241.0,246.0,240.05,241.9,2404695
DRREDDY,2010-01-13 00:00:00+05:30,240.0,247.0,240.0,245.65,1906110
DRREDDY,2010-01-14 00:00:00+05:30,247.8,251.4,246.45,247.4,1168740
DRREDDY,2010-01-15 00:00:00+05:30,247.6,249.55,244.65,246.0,1188925
DRREDDY,2010-01-18 00:00:00+05:30,244.2,249.9,244.0,244.6,715100
DRREDDY,2010-01-19 00:00:00+05:30,246.0,246.6,235.5,236.1,2152145
DRREDDY,2010-01-20 00:00:00+05:30,236.4,244.2,228.45,240.3,5987830
DRREDDY,2010-01-21 00:00:00+05:30,241.05,241.05,223.0,224.7,5745655
DRREDDY,2010-01-22 00:00:00+05:30,223.0,226.85,216.65,225.5,3090540
DRREDDY,2010-01-25 00:00:00+05:30,223.15,226.95,213.15,224.4,2645110
DRREDDY,2010-01-27 00:00:00+05:30,221.4,225.6,218.2,221.3,3917285
DRREDDY,2010-01-28 00:00:00+05:30,225.4,234.4,223.0,230.6,5645635
DRREDDY,2010-01-29 00:00:00+05:30,225.4,226.8,217.85,223.9,3440745
DRREDDY,2010-02-01 00:00:00+05:30,227.8,227.8,221.45,224.7,874155
DRREDDY,2010-02-02 00:00:00+05:30,225.4,238.4,225.4,233.1,4632340
DRREDDY,2010-02-03 00:00:00+05:30,234.0,235.85,229.25,230.45,1498970
DRREDDY,2010-02-04 00:00:00+05:30,231.0,234.35,226.4,232.4,2099095
DRREDDY,2010-02-05 00:00:00+05:30,226.0,231.6,223.0,230.1,2959725
DRREDDY,2010-02-08 00:00:00+05:30,227.95,228.0,221.2,223.1,1184535
DRREDDY,2010-02-09 00:00:00+05:30,223.9,223.9,219.8,220.5,2358320
DRREDDY,2010-02-10 00:00:00+05:30,221.0,223.0,216.0,216.7,2447495
DRREDDY,2010-02-11 00:00:00+05:30,218.0,219.8,216.8,218.1,875010
DRREDDY,2010-02-15 00:00:00+05:30,218.0,222.9,218.0,221.1,822520
DRREDDY,2010-02-16 00:00:00+05:30,222.75,224.0,219.8,222.65,1383870
DRREDDY,2010-02-17 00:00:00+05:30,225.0,225.0,220.85,221.2,2449345
DRREDDY,2010-02-18 00:00:00+05:30,224.6,225.6,221.45,223.25,1273945
DRREDDY,2010-02-19 00:00:00+05:30,226.0,226.0,221.85,224.2,2362455
DRREDDY,2010-02-22 00:00:00+05:30,226.2,229.0,221.0,223.2,717550
DRREDDY,2010-02-23 00:00:00+05:30,222.0,230.0,221.55,228.7,3685395
DRREDDY,2010-02-24 00:00:00+05:30,228.4,229.55,225.0,228.15,699540
DRREDDY,2010-02-25 00:00:00+05:30,232.45,232.45,226.45,228.75,1360495
DRREDDY,2010-02-26 00:00:00+05:30,228.2,233.0,225.2,228.45,809350
DRREDDY,2010-03-02 00:00:00+05:30,230.2,233.8,226.05,227.1,2253605
DRREDDY,2010-03-03 00:00:00+05:30,224.35,235.35,224.35,233.75,2006995
DRREDDY,2010-03-04 00:00:00+05:30,233.75,236.4,230.6,231.35,993265
DRREDDY,2010-03-05 00:00:00+05:30,232.4,233.7,230.0,230.4,728990
DRREDDY,2010-03-08 00:00:00+05:30,231.2,237.0,231.0,233.85,1026480
DRREDDY,2010-03-09 00:00:00+05:30,232.0,236.0,228.4,233.6,326855
DRREDDY,2010-03-10 00:00:00+05:30,233.7,236.9,232.6,233.05,861140
DRREDDY,2010-03-11 00:00:00+05:30,233.0,235.35,232.45,233.6,514250
DRREDDY,2010-03-12 00:00:00+05:30,234.8,236.2,234.2,234.75,923685
DRREDDY,2010-03-15 00:00:00+05:30,235.45,244.6,235.0,240.15,2735310
DRREDDY,2010-03-16 00:00:00+05:30,242.0,245.2,241.4,244.45,711300
DRREDDY,2010-03-17 00:00:00+05:30,245.6,246.8,243.0,245.85,1289670
DRREDDY,2010-03-18 00:00:00+05:30,246.6,249.6,244.05,246.8,1317100
DRREDDY,2010-03-19 00:00:00+05:30,250.0,253.3,248.6,250.8,3081165
DRREDDY,2010-03-22 00:00:00+05:30,246.0,254.95,241.6,253.7,2395800
DRREDDY,2010-03-23 00:00:00+05:30,254.8,261.4,254.8,260.7,2215965
DRREDDY,2010-03-25 00:00:00+05:30,260.8,263.65,259.0,263.1,1803310
DRREDDY,2010-03-26 00:00:00+05:30,261.8,263.1,256.4,256.9,1204755
DRREDDY,2010-03-29 00:00:00+05:30,257.3,259.35,253.3,253.7,967775
DRREDDY,2010-03-30 00:00:00+05:30,252.0,255.8,251.5,252.6,1391125
DRREDDY,2010-03-31 00:00:00+05:30,252.95,256.4,249.0,255.0,1957435
DRREDDY,2010-04-01 00:00:00+05:30,256.6,258.5,252.0,252.8,1306315
DRREDDY,2010-04-05 00:00:00+05:30,255.75,256.0,251.0,254.6,740755
DRREDDY,2010-04-06 00:00:00+05:30,257.2,257.6,252.4,254.95,1464170
DRREDDY,2010-04-07 00:00:00+05:30,255.6,259.7,255.6,256.25,1308015
DRREDDY,2010-04-08 00:00:00+05:30,255.6,257.75,254.0,255.2,492625
DRREDDY,2010-04-09 00:00:00+05:30,258.0,258.0,247.6,248.5,2210455
DRREDDY,2010-04-12 00:00:00+05:30,250.0,250.95,239.0,240.6,3800930
DRREDDY,2010-04-13 00:00:00+05:30,241.0,245.8,237.0,238.2,2662915
DRREDDY,2010-04-15 00:00:00+05:30,242.9,248.4,240.4,246.05,2138860
DRREDDY,2010-04-16 00:00:00+05:30,246.4,247.95,239.4,240.0,1442530
DRREDDY,2010-04-19 00:00:00+05:30,237.8,241.75,233.15,238.15,1747155
DRREDDY,2010-04-20 00:00:00+05:30,240.8,241.0,231.65,232.7,1383625
DRREDDY,2010-04-21 00:00:00+05:30,235.0,237.15,232.0,233.35,2264425
DRREDDY,2010-04-22 00:00:00+05:30,235.95,242.0,232.6,240.05,2345190
DRREDDY,2010-04-23 00:00:00+05:30,240.4,244.0,236.8,242.6,1617930
DRREDDY,2010-04-26 00:00:00+05:30,244.0,250.4,242.6,248.85,2219660
DRREDDY,2010-04-27 00:00:00+05:30,250.2,254.4,247.6,251.8,1562960
DRREDDY,2010-04-28 00:00:00+05:30,248.4,251.0,242.1,249.2,2542245
DRREDDY,2010-04-29 00:00:00+05:30,250.2,253.6,245.85,247.9,4421555
DRREDDY,2010-04-30 00:00:00+05:30,252.0,263.6,249.45,252.0,1774755
DRREDDY,2010-05-03 00:00:00+05:30,251.4,253.05,246.45,247.85,1325725
DRREDDY,2010-05-04 00:00:00+05:30,249.8,250.6,245.45,246.55,3491595
DRREDDY,2010-05-05 00:00:00+05:30,242.6,250.3,242.6,248.15,2816785
DRREDDY,2010-05-06 00:00:00+05:30,250.0,254.0,245.4,248.5,4944580
DRREDDY,2010-05-07 00:00:00+05:30,245.0,245.7,237.4,241.1,3128410
DRREDDY,2010-05-10 00:00:00+05:30,243.1,247.55,229.05,244.1,3669490
DRREDDY,2010-05-11 00:00:00+05:30,245.0,245.0,236.8,238.9,2015335
DRREDDY,2010-05-12 00:00:00+05:30,240.8,253.75,240.4,252.05,2948440
DRREDDY,2010-05-13 00:00:00+05:30,253.0,257.0,252.0,254.4,2136830
DRREDDY,2010-05-14 00:00:00+05:30,250.25,262.6,249.6,258.4,4248845
DRREDDY,2010-05-17 00:00:00+05:30,257.0,263.0,254.7,261.55,2688735
DRREDDY,2010-05-18 00:00:00+05:30,259.05,265.0,257.4,262.35,2185640
DRREDDY,2010-05-19 00:00:00+05:30,257.75,264.4,257.6,258.9,1578450
DRREDDY,2010-05-20 00:00:00+05:30,259.4,266.0,256.45,263.5,1290175
DRREDDY,2010-05-21 00:00:00+05:30,262.0,266.95,256.0,262.0,2516910
DRREDDY,2010-05-24 00:00:00+05:30,270.0,270.0,256.0,257.9,1727800
DRREDDY,2010-05-25 00:00:00+05:30,256.4,258.75,251.25,252.5,1040975
DRREDDY,2010-05-26 00:00:00+05:30,253.05,258.55,253.05,257.75,1031625
DRREDDY,2010-05-27 00:00:00+05:30,257.6,272.0,257.6,266.3,2253940
DRREDDY,2010-05-28 00:00:00+05:30,269.2,278.0,265.0,274.0,1545985
DRREDDY,2010-05-31 00:00:00+05:30,273.0,283.5,269.15,280.75,2187725
DRREDDY,2010-06-01 00:00:00+05:30,280.2,286.8,276.0,281.0,3078935
DRREDDY,2010-06-02 00:00:00+05:30,280.6,285.0,279.05,281.0,1535290
DRREDDY,2010-06-03 00:00:00+05:30,282.0,284.8,277.4,279.05,2020165
DRREDDY,2010-06-04 00:00:00+05:30,279.0,283.5,279.0,281.1,2724860
DRREDDY,2010-06-07 00:00:00+05:30,277.0,283.3,275.8,280.7,2015565
DRREDDY,2010-06-08 00:00:00+05:30,279.6,282.8,277.3,279.85,1247610
DRREDDY,2010-06-09 00:00:00+05:30,283.2,295.2,282.8,293.35,4637630
DRREDDY,2010-06-10 00:00:00+05:30,296.0,303.4,295.5,299.45,6676450
DRREDDY,2010-06-11 00:00:00+05:30,300.45,300.45,290.75,293.2,3782700
DRREDDY,2010-06-14 00:00:00+05:30,287.8,287.8,275.9,282.3,5811230
DRREDDY,2010-06-15 00:00:00+05:30,284.0,286.85,281.5,284.45,1844575
DRREDDY,2010-06-16 00:00:00+05:30,286.4,286.4,281.0,282.85,2505825
DRREDDY,2010-06-17 00:00:00+05:30,285.55,285.55,281.7,284.7,1687230
DRREDDY,2010-06-18 00:00:00+05:30,284.7,287.0,283.4,284.35,1639745
DRREDDY,2010-06-21 00:00:00+05:30,288.8,293.75,282.6,283.85,1434780
DRREDDY,2010-06-22 00:00:00+05:30,284.4,287.8,278.0,281.9,2364685
DRREDDY,2010-06-23 00:00:00+05:30,282.0,291.4,282.0,290.25,2604895
DRREDDY,2010-06-24 00:00:00+05:30,287.6,295.75,286.6,293.4,2835040
DRREDDY,2010-06-25 00:00:00+05:30,293.4,299.2,291.15,296.75,1480160
DRREDDY,2010-06-28 00:00:00+05:30,297.6,301.2,294.0,296.0,1051115
DRREDDY,2010-06-29 00:00:00+05:30,295.95,298.0,288.5,291.0,1230920
DRREDDY,2010-06-30 00:00:00+05:30,292.25,297.0,287.45,290.25,3320555
DRREDDY,2010-07-01 00:00:00+05:30,290.0,294.4,287.0,288.1,1558740
DRREDDY,2010-07-02 00:00:00+05:30,287.2,290.85,286.3,287.15,1102055
DRREDDY,2010-07-05 00:00:00+05:30,287.0,294.95,287.0,292.25,1497935
DRREDDY,2010-07-06 00:00:00+05:30,293.0,295.8,293.0,294.1,1046825
DRREDDY,2010-07-07 00:00:00+05:30,295.2,296.0,289.4,290.85,863725
DRREDDY,2010-07-08 00:00:00+05:30,292.4,295.0,290.7,292.3,532670
DRREDDY,2010-07-09 00:00:00+05:30,293.2,295.9,291.2,292.6,1017095
