Symbol,Date,Open,High,Low,Close,Volume
EICHERMOT,2003-01-27 00:00:00+05:30,8.4,8.4,8.1,8.15,5247
EICHERMOT,2003-01-28 00:00:00+05:30,8.3,8.4,8.1,8.2,7708
EICHERMOT,2003-01-29 00:00:00+05:30,8.3,8.55,8.3,8.35,24802
EICHERMOT,2003-01-30 00:00:00+05:30,8.4,8.7,8.4,8.6,12910
EICHERMOT,2003-01-31 00:00:00+05:30,8.6,8.6,8.25,8.25,9130
EICHERMOT,2003-02-03 00:00:00+05:30,8.45,8.45,8.2,8.25,9089
EICHERMOT,2003-02-04 00:00:00+05:30,8.7,8.7,8.25,8.3,6086
EICHERMOT,2003-02-05 00:00:00+05:30,8.65,8.65,8.1,8.15,10505
EICHERMOT,2003-02-06 00:00:00+05:30,8.1,8.3,8.05,8.1,13742
EICHERMOT,2003-02-07 00:00:00+05:30,8.25,8.3,8.1,8.15,7244
EICHERMOT,2003-02-10 00:00:00+05:30,8.0,8.1,8.0,8.0,7643
EICHERMOT,2003-02-11 00:00:00+05:30,8.1,8.15,7.9,8.1,21016
EICHERMOT,2003-02-12 00:00:00+05:30,8.2,8.2,8.0,8.05,4933
EICHERMOT,2003-02-14 00:00:00+05:30,8.0,8.25,8.0,8.0,10752
EICHERMOT,2003-02-17 00:00:00+05:30,8.2,8.7,8.0,8.4,20757
EICHERMOT,2003-02-18 00:00:00+05:30,10.0,10.0,8.3,8.3,4970
EICHERMOT,2003-02-19 00:00:00+05:30,8.6,8.6,8.3,8.35,9270
EICHERMOT,2003-02-20 00:00:00+05:30,8.6,8.6,8.25,8.25,6082
EICHERMOT,2003-02-21 00:00:00+05:30,8.3,8.3,8.15,8.2,9362
EICHERMOT,2003-02-24 00:00:00+05:30,8.25,8.35,8.25,8.25,6431
EICHERMOT,2003-02-25 00:00:00+05:30,8.1,8.15,8.1,8.1,4756
EICHERMOT,2003-02-26 00:00:00+05:30,8.15,8.2,8.1,8.1,1899
EICHERMOT,2003-02-27 00:00:00+05:30,8.1,8.25,8.05,8.2,4904
EICHERMOT,2003-02-28 00:00:00+05:30,8.45,8.5,8.1,8.15,11212
EICHERMOT,2003-03-03 00:00:00+05:30,8.5,8.5,8.1,8.2,5194
EICHERMOT,2003-03-04 00:00:00+05:30,8.1,8.2,8.0,8.05,16462
EICHERMOT,2003-03-05 00:00:00+05:30,8.0,8.05,7.85,7.9,5735
EICHERMOT,2003-03-06 00:00:00+05:30,8.05,8.05,7.7,7.75,8808
EICHERMOT,2003-03-07 00:00:00+05:30,7.6,7.85,7.4,7.6,14583
EICHERMOT,2003-03-10 00:00:00+05:30,7.8,7.8,7.4,7.4,3290
EICHERMOT,2003-03-11 00:00:00+05:30,7.4,7.6,7.25,7.5,3608
EICHERMOT,2003-03-12 00:00:00+05:30,7.6,7.8,7.4,7.4,1757
EICHERMOT,2003-03-13 00:00:00+05:30,7.55,7.55,7.3,7.35,2968
EICHERMOT,2003-03-17 00:00:00+05:30,7.3,7.8,7.1,7.35,7936
EICHERMOT,2003-03-19 00:00:00+05:30,7.4,7.4,7.25,7.3,3452
EICHERMOT,2003-03-20 00:00:00+05:30,7.25,7.25,6.9,7.05,19253
EICHERMOT,2003-03-21 00:00:00+05:30,7.15,7.35,7.1,7.3,5668
EICHERMOT,2003-03-24 00:00:00+05:30,7.2,7.35,7.05,7.05,10357
EICHERMOT,2003-03-25 00:00:00+05:30,7.15,7.15,7.05,7.05,21166
EICHERMOT,2003-03-26 00:00:00+05:30,7.1,7.15,7.0,7.1,27452
EICHERMOT,2003-03-27 00:00:00+05:30,7.05,7.25,7.05,7.2,6976
EICHERMOT,2003-03-28 00:00:00+05:30,7.1,7.2,7.05,7.15,4899
EICHERMOT,2003-03-31 00:00:00+05:30,7.05,7.05,6.65,6.7,33363
EICHERMOT,2003-04-01 00:00:00+05:30,6.75,7.1,6.7,6.8,110408
EICHERMOT,2003-04-02 00:00:00+05:30,7.3,7.3,7.0,7.15,19245
EICHERMOT,2003-04-03 00:00:00+05:30,7.5,7.8,7.5,7.65,12120
EICHERMOT,2003-04-04 00:00:00+05:30,7.7,7.95,7.65,7.9,13584
EICHERMOT,2003-04-07 00:00:00+05:30,7.9,8.2,7.9,8.1,15937
EICHERMOT,2003-04-08 00:00:00+05:30,8.1,8.2,8.0,8.1,16537
EICHERMOT,2003-04-09 00:00:00+05:30,8.3,8.3,7.95,8.0,13099
EICHERMOT,2003-04-10 00:00:00+05:30,8.05,8.1,7.8,8.0,12672
