Symbol,Date,Open,High,Low,Close,Volume
EIHOTEL,2003-01-27 00:00:00+05:30,21.36,21.61,21.35,21.6,309873
EIHOTEL,2003-01-28 00:00:00+05:30,21.43,21.48,20.79,21.02,21484
EIHOTEL,2003-01-29 00:00:00+05:30,21.49,21.85,20.9,21.46,15446
EIHOTEL,2003-01-30 00:00:00+05:30,21.49,21.6,21.26,21.29,11102
EIHOTEL,2003-01-31 00:00:00+05:30,21.26,21.26,20.9,21.13,6910
EIHOTEL,2003-02-03 00:00:00+05:30,21.05,21.14,20.9,20.98,6038
EIHOTEL,2003-02-04 00:00:00+05:30,21.02,21.06,20.9,20.95,3666
EIHOTEL,2003-02-05 00:00:00+05:30,21.02,21.02,20.68,20.78,111819
EIHOTEL,2003-02-06 00:00:00+05:30,20.96,20.96,20.68,20.72,7570
EIHOTEL,2003-02-07 00:00:00+05:30,20.71,21.23,20.68,20.71,8925
EIHOTEL,2003-02-10 00:00:00+05:30,20.66,20.95,20.66,20.82,8824
EIHOTEL,2003-02-11 00:00:00+05:30,20.56,20.87,20.55,20.77,10797
EIHOTEL,2003-02-12 00:00:00+05:30,20.9,20.9,20.65,20.68,17724
EIHOTEL,2003-02-14 00:00:00+05:30,20.66,20.66,20.16,20.42,37177
EIHOTEL,2003-02-17 00:00:00+05:30,20.55,20.78,20.07,20.25,21213
EIHOTEL,2003-02-18 00:00:00+05:30,20.31,21.47,19.86,20.74,31435
EIHOTEL,2003-02-19 00:00:00+05:30,21.14,21.14,20.38,20.66,10094
EIHOTEL,2003-02-20 00:00:00+05:30,20.77,20.78,20.51,20.67,9171
EIHOTEL,2003-02-21 00:00:00+05:30,20.65,20.65,20.44,20.55,2438
EIHOTEL,2003-02-24 00:00:00+05:30,20.66,20.78,20.37,20.52,6995
EIHOTEL,2003-02-25 00:00:00+05:30,20.33,20.42,20.19,20.25,9730
EIHOTEL,2003-02-26 00:00:00+05:30,20.19,20.4,20.13,20.19,8688
EIHOTEL,2003-02-27 00:00:00+05:30,20.2,20.42,20.19,20.26,13253
EIHOTEL,2003-02-28 00:00:00+05:30,20.25,21.69,19.67,20.93,147878
EIHOTEL,2003-03-03 00:00:00+05:30,21.72,23.03,21.72,22.12,438578
EIHOTEL,2003-03-04 00:00:00+05:30,22.44,22.44,20.56,20.81,160868
EIHOTEL,2003-03-05 00:00:00+05:30,21.49,21.49,20.37,20.59,110421
EIHOTEL,2003-03-06 00:00:00+05:30,21.02,21.02,20.55,20.67,12990
EIHOTEL,2003-03-07 00:00:00+05:30,20.96,20.96,20.05,20.55,110116
EIHOTEL,2003-03-10 00:00:00+05:30,20.96,20.96,19.61,19.86,37304
EIHOTEL,2003-03-11 00:00:00+05:30,19.61,20.28,19.6,20.15,63302
EIHOTEL,2003-03-12 00:00:00+05:30,20.66,20.66,19.63,19.71,31494
EIHOTEL,2003-03-13 00:00:00+05:30,19.84,19.85,19.26,19.46,38345
EIHOTEL,2003-03-17 00:00:00+05:30,19.56,20.07,19.01,19.76,58323
EIHOTEL,2003-03-19 00:00:00+05:30,19.74,19.74,19.15,19.41,23508
EIHOTEL,2003-03-20 00:00:00+05:30,19.32,20.07,19.15,19.87,50438
EIHOTEL,2003-03-21 00:00:00+05:30,20.31,20.35,19.44,19.52,13693
EIHOTEL,2003-03-24 00:00:00+05:30,21.02,21.02,19.13,19.16,29758
EIHOTEL,2003-03-25 00:00:00+05:30,19.14,19.31,18.89,18.96,104654
EIHOTEL,2003-03-26 00:00:00+05:30,19.1,19.39,18.89,18.91,22009
EIHOTEL,2003-03-27 00:00:00+05:30,19.54,19.54,18.78,18.89,6800
EIHOTEL,2003-03-28 00:00:00+05:30,18.78,19.48,18.78,19.11,23855
EIHOTEL,2003-03-31 00:00:00+05:30,18.85,18.89,18.66,18.69,12338
EIHOTEL,2003-04-01 00:00:00+05:30,20.07,20.07,18.3,18.38,8155
EIHOTEL,2003-04-02 00:00:00+05:30,19.32,19.32,18.61,18.69,3192
EIHOTEL,2003-04-03 00:00:00+05:30,18.2,19.25,18.2,18.76,4539
EIHOTEL,2003-04-04 00:00:00+05:30,19.03,19.03,18.72,18.79,12076
EIHOTEL,2003-04-07 00:00:00+05:30,18.89,19.31,18.36,19.18,9027
EIHOTEL,2003-04-08 00:00:00+05:30,19.34,22.32,18.89,19.67,39107
EIHOTEL,2003-04-09 00:00:00+05:30,20.06,21.2,19.61,19.74,21120
EIHOTEL,2003-04-10 00:00:00+05:30,19.48,21.02,19.13,20.22,25422
EIHOTEL,2003-04-11 00:00:00+05:30,19.25,19.84,19.25,19.38,6309
EIHOTEL,2003-04-15 00:00:00+05:30,19.42,19.6,19.25,19.43,4090
EIHOTEL,2003-04-16 00:00:00+05:30,19.48,19.48,19.15,19.42,6114
EIHOTEL,2003-04-17 00:00:00+05:30,19.03,19.29,18.78,18.89,8612
EIHOTEL,2003-04-21 00:00:00+05:30,18.66,19.59,18.66,18.99,10644
EIHOTEL,2003-04-22 00:00:00+05:30,18.96,19.4,18.69,19.18,29309
EIHOTEL,2003-04-23 00:00:00+05:30,19.01,19.24,18.83,18.97,11703
EIHOTEL,2003-04-24 00:00:00+05:30,18.75,18.89,18.75,18.79,10018
EIHOTEL,2003-04-25 00:00:00+05:30,18.78,19.12,18.56,18.67,10975
EIHOTEL,2003-04-28 00:00:00+05:30,18.88,18.88,17.71,17.94,33518
EIHOTEL,2003-04-29 00:00:00+05:30,18.19,18.89,18.18,18.66,40894
