Symbol,Date,Open,High,Low,Close,Volume
ELECON,2006-09-29 00:00:00+05:30,34.65,36.65,33.75,35.3,46620
ELECON,2006-10-03 00:00:00+05:30,36.85,37.5,35.25,36.95,32760
ELECON,2006-10-04 00:00:00+05:30,38.15,38.15,35.85,36.0,19590
ELECON,2006-10-05 00:00:00+05:30,39.35,39.35,35.4,36.4,28170
ELECON,2006-10-06 00:00:00+05:30,38.0,38.6,37.55,38.3,178170
ELECON,2006-10-09 00:00:00+05:30,39.65,41.65,39.65,40.2,72720
ELECON,2006-10-10 00:00:00+05:30,41.25,44.15,40.65,42.1,273780
ELECON,2006-10-11 00:00:00+05:30,43.3,43.45,40.2,40.75,116730
ELECON,2006-10-12 00:00:00+05:30,40.85,41.3,40.1,40.85,103710
ELECON,2006-10-13 00:00:00+05:30,41.0,41.3,40.85,40.95,37440
ELECON,2006-10-16 00:00:00+05:30,41.0,42.65,41.0,41.35,77490
ELECON,2006-10-17 00:00:00+05:30,37.65,41.0,37.55,40.35,507816
ELECON,2006-10-18 00:00:00+05:30,39.65,41.0,39.65,40.0,140256
ELECON,2006-10-19 00:00:00+05:30,41.35,41.35,39.8,40.75,92436
ELECON,2006-10-20 00:00:00+05:30,40.65,41.15,40.65,40.9,80148
ELECON,2006-10-23 00:00:00+05:30,41.6,45.65,40.65,43.6,316554
ELECON,2006-10-26 00:00:00+05:30,43.7,47.15,42.85,45.15,237018
ELECON,2006-10-27 00:00:00+05:30,45.85,47.65,43.9,44.2,101214
ELECON,2006-10-30 00:00:00+05:30,44.85,45.35,42.35,43.8,471498
ELECON,2006-10-31 00:00:00+05:30,43.0,46.0,42.7,43.25,277872
ELECON,2006-11-01 00:00:00+05:30,44.5,45.75,44.0,45.0,750090
ELECON,2006-11-02 00:00:00+05:30,45.0,52.8,45.0,50.95,1757160
ELECON,2006-11-03 00:00:00+05:30,51.35,53.6,49.25,50.0,1230156
ELECON,2006-11-06 00:00:00+05:30,50.05,54.5,49.35,52.55,2061338
ELECON,2006-11-07 00:00:00+05:30,53.5,54.65,51.0,51.55,677460
ELECON,2006-11-08 00:00:00+05:30,52.0,52.5,49.05,50.95,423672
ELECON,2006-11-09 00:00:00+05:30,51.45,53.0,50.35,51.35,503478
ELECON,2006-11-10 00:00:00+05:30,51.7,52.8,50.8,51.85,281844
ELECON,2006-11-13 00:00:00+05:30,51.65,55.35,51.65,53.75,820188
ELECON,2006-11-14 00:00:00+05:30,54.15,55.35,53.85,54.35,563412
ELECON,2006-11-15 00:00:00+05:30,54.85,55.0,53.85,54.3,215094
ELECON,2006-11-16 00:00:00+05:30,54.5,54.5,52.5,52.75,127326
ELECON,2006-11-17 00:00:00+05:30,53.15,53.3,51.4,52.65,247200
ELECON,2006-11-20 00:00:00+05:30,52.95,52.95,49.15,51.65,226026
ELECON,2006-11-21 00:00:00+05:30,52.3,54.1,52.3,52.6,150564
ELECON,2006-11-22 00:00:00+05:30,53.65,55.6,52.85,53.7,279468
ELECON,2006-11-23 00:00:00+05:30,54.8,54.85,52.85,53.25,134940
ELECON,2006-11-24 00:00:00+05:30,54.65,54.65,51.65,52.3,178722
ELECON,2006-11-27 00:00:00+05:30,55.0,55.0,52.5,52.6,139260
