Symbol,Date,Open,High,Low,Close,Volume
ELGIEQUIP,2003-01-27 00:00:00+05:30,4.85,4.85,4.7,4.7,60072
ELGIEQUIP,2003-01-28 00:00:00+05:30,4.75,4.9,4.65,4.75,23892
ELGIEQUIP,2003-01-29 00:00:00+05:30,4.85,5.05,4.75,4.75,40976
ELGIEQUIP,2003-01-30 00:00:00+05:30,5.0,5.0,4.8,4.85,56896
ELGIEQUIP,2003-01-31 00:00:00+05:30,4.75,4.95,4.75,4.8,93564
ELGIEQUIP,2003-02-03 00:00:00+05:30,4.75,4.9,4.75,4.85,34980
ELGIEQUIP,2003-02-04 00:00:00+05:30,4.85,4.9,4.8,4.8,17596
ELGIEQUIP,2003-02-05 00:00:00+05:30,4.65,4.85,4.65,4.75,14860
ELGIEQUIP,2003-02-06 00:00:00+05:30,4.75,4.75,4.75,4.75,26140
ELGIEQUIP,2003-02-07 00:00:00+05:30,4.8,4.8,4.7,4.75,4204
ELGIEQUIP,2003-02-10 00:00:00+05:30,4.85,5.15,4.75,4.95,86204
ELGIEQUIP,2003-02-11 00:00:00+05:30,4.85,4.95,4.85,4.9,27248
ELGIEQUIP,2003-02-12 00:00:00+05:30,4.95,5.1,4.9,5.0,107120
ELGIEQUIP,2003-02-14 00:00:00+05:30,4.85,5.0,4.85,4.95,62056
ELGIEQUIP,2003-02-17 00:00:00+05:30,5.0,5.05,4.85,4.95,17912
ELGIEQUIP,2003-02-18 00:00:00+05:30,5.1,5.1,4.9,5.0,46636
ELGIEQUIP,2003-02-19 00:00:00+05:30,5.0,5.0,4.8,4.85,52204
ELGIEQUIP,2003-02-20 00:00:00+05:30,5.0,5.0,4.7,4.75,36308
ELGIEQUIP,2003-02-21 00:00:00+05:30,4.7,4.85,4.7,4.75,7100
ELGIEQUIP,2003-02-24 00:00:00+05:30,4.9,4.9,4.7,4.8,30484
ELGIEQUIP,2003-02-25 00:00:00+05:30,4.65,4.75,4.65,4.65,20400
ELGIEQUIP,2003-02-26 00:00:00+05:30,4.7,4.75,4.7,4.75,3200
ELGIEQUIP,2003-02-27 00:00:00+05:30,4.8,4.8,4.7,4.75,7200
ELGIEQUIP,2003-02-28 00:00:00+05:30,4.85,4.85,4.65,4.75,7844
ELGIEQUIP,2003-03-03 00:00:00+05:30,4.75,4.75,4.7,4.7,9020
ELGIEQUIP,2003-03-04 00:00:00+05:30,4.6,4.7,4.6,4.6,23224
ELGIEQUIP,2003-03-05 00:00:00+05:30,4.55,4.55,4.45,4.5,26380
ELGIEQUIP,2003-03-06 00:00:00+05:30,4.5,4.5,4.45,4.5,7360
ELGIEQUIP,2003-03-07 00:00:00+05:30,4.4,4.4,4.3,4.35,7600
ELGIEQUIP,2003-03-10 00:00:00+05:30,4.3,4.4,4.3,4.35,11340
ELGIEQUIP,2003-03-11 00:00:00+05:30,4.35,4.45,4.2,4.25,19300
ELGIEQUIP,2003-03-12 00:00:00+05:30,4.2,4.25,4.1,4.15,52656
ELGIEQUIP,2003-03-13 00:00:00+05:30,4.15,4.25,4.0,4.1,70400
ELGIEQUIP,2003-03-17 00:00:00+05:30,4.1,4.2,4.0,4.1,63016
ELGIEQUIP,2003-03-19 00:00:00+05:30,4.2,4.35,4.0,4.0,25500
ELGIEQUIP,2003-03-20 00:00:00+05:30,4.05,4.25,4.05,4.1,57900
ELGIEQUIP,2003-03-21 00:00:00+05:30,4.1,4.1,4.05,4.05,19400
ELGIEQUIP,2003-03-24 00:00:00+05:30,4.2,4.2,3.95,4.0,76560
ELGIEQUIP,2003-03-25 00:00:00+05:30,4.0,4.0,3.9,3.95,158360
ELGIEQUIP,2003-03-26 00:00:00+05:30,4.2,4.2,3.85,3.95,50796
ELGIEQUIP,2003-03-27 00:00:00+05:30,3.85,4.15,3.85,4.1,12808
ELGIEQUIP,2003-03-28 00:00:00+05:30,4.05,4.25,3.95,4.15,22140
ELGIEQUIP,2003-03-31 00:00:00+05:30,4.25,4.45,4.05,4.05,17204
ELGIEQUIP,2003-04-01 00:00:00+05:30,4.15,4.15,4.1,4.15,17720
ELGIEQUIP,2003-04-02 00:00:00+05:30,4.3,4.45,4.15,4.2,24476
ELGIEQUIP,2003-04-03 00:00:00+05:30,4.45,4.45,4.25,4.25,11164
ELGIEQUIP,2003-04-04 00:00:00+05:30,4.25,4.4,4.25,4.4,24316
ELGIEQUIP,2003-04-07 00:00:00+05:30,4.45,4.6,4.4,4.5,48772
ELGIEQUIP,2003-04-08 00:00:00+05:30,4.65,4.75,4.55,4.75,98320
ELGIEQUIP,2003-04-09 00:00:00+05:30,4.5,4.75,4.5,4.6,46440
ELGIEQUIP,2003-04-10 00:00:00+05:30,4.55,4.65,4.5,4.6,47692
ELGIEQUIP,2003-04-11 00:00:00+05:30,4.7,4.75,4.5,4.55,55720
ELGIEQUIP,2003-04-15 00:00:00+05:30,4.55,4.75,4.5,4.65,15200
ELGIEQUIP,2003-04-16 00:00:00+05:30,4.75,4.75,4.4,4.5,21900
ELGIEQUIP,2003-04-17 00:00:00+05:30,4.45,4.45,4.45,4.45,12
ELGIEQUIP,2003-04-21 00:00:00+05:30,4.35,4.75,4.3,4.45,25400
ELGIEQUIP,2003-04-22 00:00:00+05:30,4.4,4.55,4.4,4.55,13804
ELGIEQUIP,2003-04-23 00:00:00+05:30,4.55,4.55,4.45,4.45,5456
ELGIEQUIP,2003-04-24 00:00:00+05:30,4.45,4.5,4.4,4.5,11860
ELGIEQUIP,2003-04-25 00:00:00+05:30,4.45,4.55,4.45,4.5,15016
ELGIEQUIP,2003-04-28 00:00:00+05:30,4.6,4.75,4.5,4.75,52860
ELGIEQUIP,2003-04-29 00:00:00+05:30,4.7,5.0,4.7,4.9,93200
ELGIEQUIP,2003-04-30 00:00:00+05:30,5.0,5.05,4.8,5.0,156664
ELGIEQUIP,2003-05-02 00:00:00+05:30,5.2,5.55,5.15,5.3,375440
ELGIEQUIP,2003-05-05 00:00:00+05:30,5.45,5.6,5.25,5.4,459528
ELGIEQUIP,2003-05-06 00:00:00+05:30,5.5,5.85,5.4,5.75,1702120
ELGIEQUIP,2003-05-07 00:00:00+05:30,5.75,5.85,5.7,5.7,874932
ELGIEQUIP,2003-05-08 00:00:00+05:30,5.7,6.15,5.65,6.0,931348
ELGIEQUIP,2003-05-09 00:00:00+05:30,6.05,6.05,5.9,5.95,376636
ELGIEQUIP,2003-05-12 00:00:00+05:30,6.2,6.3,6.0,6.05,365700
ELGIEQUIP,2003-05-13 00:00:00+05:30,6.05,6.1,5.95,6.0,385624
ELGIEQUIP,2003-05-14 00:00:00+05:30,6.0,6.15,5.85,5.95,245604
ELGIEQUIP,2003-05-15 00:00:00+05:30,5.9,6.1,5.9,6.05,304740
ELGIEQUIP,2003-05-16 00:00:00+05:30,6.1,6.5,5.9,5.95,261500
ELGIEQUIP,2003-05-19 00:00:00+05:30,6.25,6.4,6.1,6.15,1656256
ELGIEQUIP,2003-05-20 00:00:00+05:30,6.25,6.45,6.15,6.2,968284
ELGIEQUIP,2003-05-21 00:00:00+05:30,6.3,6.45,6.2,6.2,614324
ELGIEQUIP,2003-05-22 00:00:00+05:30,6.3,6.45,6.25,6.35,502760
ELGIEQUIP,2003-05-23 00:00:00+05:30,6.35,6.85,6.35,6.7,1111312
ELGIEQUIP,2003-05-26 00:00:00+05:30,6.75,6.8,6.55,6.6,776312
ELGIEQUIP,2003-05-27 00:00:00+05:30,6.85,6.85,6.5,6.55,329272
ELGIEQUIP,2003-05-28 00:00:00+05:30,6.65,6.65,6.4,6.45,182756
ELGIEQUIP,2003-05-29 00:00:00+05:30,6.4,6.55,6.3,6.4,416548
ELGIEQUIP,2003-05-30 00:00:00+05:30,6.5,6.55,6.25,6.3,358616
ELGIEQUIP,2003-06-02 00:00:00+05:30,6.6,6.6,6.3,6.35,200476
ELGIEQUIP,2003-06-03 00:00:00+05:30,6.55,6.55,6.05,6.15,189528
ELGIEQUIP,2003-06-04 00:00:00+05:30,6.2,6.65,6.2,6.4,311436
ELGIEQUIP,2003-06-05 00:00:00+05:30,6.5,6.6,6.45,6.45,276292
ELGIEQUIP,2003-06-06 00:00:00+05:30,6.25,6.55,6.25,6.5,188400
