Symbol,Date,Open,High,Low,Close,Volume
GPIL,2006-04-25 00:00:00+05:30,4.75,6.8,4.75,5.15,309081140
GPIL,2006-04-26 00:00:00+05:30,5.25,5.9,5.15,5.6,96865740
GPIL,2006-04-27 00:00:00+05:30,5.7,6.35,5.65,6.2,102315280
GPIL,2006-04-28 00:00:00+05:30,5.8,6.1,5.25,5.9,29798140
GPIL,2006-05-02 00:00:00+05:30,6.45,6.7,6.25,6.3,23042620
GPIL,2006-05-03 00:00:00+05:30,6.3,6.35,5.95,6.0,13702120
GPIL,2006-05-04 00:00:00+05:30,5.95,6.1,5.65,5.85,16171200
GPIL,2006-05-05 00:00:00+05:30,5.85,6.4,5.8,6.1,30047200
GPIL,2006-05-08 00:00:00+05:30,6.2,6.3,6.1,6.15,9075300
GPIL,2006-05-09 00:00:00+05:30,6.1,6.2,5.8,5.95,4536820
GPIL,2006-05-10 00:00:00+05:30,6.05,6.05,5.8,5.85,3399260
GPIL,2006-05-11 00:00:00+05:30,5.9,6.05,5.65,5.9,6410140
GPIL,2006-05-12 00:00:00+05:30,5.8,5.9,5.75,5.75,3222480
GPIL,2006-05-15 00:00:00+05:30,5.8,5.85,5.3,5.4,2967900
GPIL,2006-05-16 00:00:00+05:30,5.5,5.5,4.95,5.2,2712520
GPIL,2006-05-17 00:00:00+05:30,5.25,5.65,5.25,5.55,4264420
GPIL,2006-05-18 00:00:00+05:30,5.45,5.45,4.8,4.9,3567820
GPIL,2006-05-19 00:00:00+05:30,4.75,5.1,4.4,4.5,2717700
GPIL,2006-05-22 00:00:00+05:30,4.5,4.7,3.6,3.85,2121260
GPIL,2006-05-23 00:00:00+05:30,3.9,4.4,3.5,4.3,1899840
GPIL,2006-05-24 00:00:00+05:30,4.45,4.55,4.0,4.2,1852280
GPIL,2006-05-25 00:00:00+05:30,4.05,4.3,3.55,4.2,1409300
GPIL,2006-05-26 00:00:00+05:30,4.2,4.45,4.2,4.4,1254020
GPIL,2006-05-29 00:00:00+05:30,4.4,4.55,4.3,4.35,529940
GPIL,2006-05-30 00:00:00+05:30,4.5,4.85,4.35,4.65,3056100
GPIL,2006-05-31 00:00:00+05:30,4.55,4.55,4.1,4.3,1667600
GPIL,2006-06-01 00:00:00+05:30,4.4,4.8,4.05,4.15,1060600
GPIL,2006-06-02 00:00:00+05:30,4.25,4.25,3.8,4.0,1195120
GPIL,2006-06-05 00:00:00+05:30,4.0,4.15,3.8,3.85,1006120
GPIL,2006-06-06 00:00:00+05:30,3.6,3.75,3.5,3.6,837300
GPIL,2006-06-07 00:00:00+05:30,3.4,3.65,2.9,3.0,2158220
GPIL,2006-06-08 00:00:00+05:30,2.6,3.05,2.5,2.65,2019940
GPIL,2006-06-09 00:00:00+05:30,2.6,2.95,2.6,2.75,2226900
GPIL,2006-06-12 00:00:00+05:30,3.0,3.2,2.5,2.6,1227620
GPIL,2006-06-13 00:00:00+05:30,2.5,2.6,2.4,2.45,1118060
GPIL,2006-06-14 00:00:00+05:30,2.5,2.6,2.3,2.35,1647220
GPIL,2006-06-15 00:00:00+05:30,2.5,2.75,2.4,2.7,2023080
GPIL,2006-06-16 00:00:00+05:30,2.8,3.2,2.7,3.2,2822480
GPIL,2006-06-19 00:00:00+05:30,3.35,3.8,2.9,3.75,5687140
GPIL,2006-06-20 00:00:00+05:30,3.65,3.85,3.5,3.6,3466360
GPIL,2006-06-21 00:00:00+05:30,3.65,4.05,3.65,3.9,5440640
GPIL,2006-06-22 00:00:00+05:30,4.0,4.25,4.0,4.15,4070800
GPIL,2006-06-23 00:00:00+05:30,4.05,4.15,4.0,4.05,2048800
GPIL,2006-06-26 00:00:00+05:30,4.05,4.15,3.7,3.7,1269020
GPIL,2006-06-27 00:00:00+05:30,3.7,3.85,3.4,3.6,1287140
GPIL,2006-06-28 00:00:00+05:30,3.6,3.7,3.4,3.55,869740
GPIL,2006-06-29 00:00:00+05:30,3.6,3.65,3.55,3.55,561800
GPIL,2006-06-30 00:00:00+05:30,3.65,3.9,3.6,3.65,738240
GPIL,2006-07-03 00:00:00+05:30,3.65,3.75,3.55,3.6,309340
GPIL,2006-07-04 00:00:00+05:30,3.6,3.65,3.45,3.55,403580
GPIL,2006-07-05 00:00:00+05:30,3.45,3.6,3.45,3.5,266740
GPIL,2006-07-06 00:00:00+05:30,3.5,3.55,3.45,3.45,354040
GPIL,2006-07-07 00:00:00+05:30,3.6,3.6,3.3,3.35,365720
GPIL,2006-07-10 00:00:00+05:30,3.3,3.5,3.2,3.25,324640
GPIL,2006-07-11 00:00:00+05:30,3.25,3.35,3.2,3.2,275300
GPIL,2006-07-12 00:00:00+05:30,3.1,3.2,3.05,3.15,198580
GPIL,2006-07-13 00:00:00+05:30,3.05,3.35,3.05,3.25,570260
GPIL,2006-07-14 00:00:00+05:30,3.15,3.25,3.15,3.2,330340
GPIL,2006-07-17 00:00:00+05:30,3.25,3.5,3.15,3.4,1693780
GPIL,2006-07-18 00:00:00+05:30,3.5,3.7,3.3,3.65,3936320
GPIL,2006-07-19 00:00:00+05:30,3.75,3.85,3.3,3.4,2011880
GPIL,2006-07-20 00:00:00+05:30,3.5,3.55,3.4,3.45,641400
GPIL,2006-07-21 00:00:00+05:30,3.4,3.4,3.25,3.25,373420
GPIL,2006-07-24 00:00:00+05:30,3.1,3.35,3.1,3.3,371660
GPIL,2006-07-25 00:00:00+05:30,3.35,3.5,3.3,3.45,664580
GPIL,2006-07-26 00:00:00+05:30,3.5,3.7,3.45,3.6,1106260
GPIL,2006-07-27 00:00:00+05:30,3.65,3.9,3.65,3.75,4279060
GPIL,2006-07-28 00:00:00+05:30,3.8,3.8,3.5,3.55,1570880
GPIL,2006-07-31 00:00:00+05:30,3.7,3.7,3.4,3.55,539800
GPIL,2006-08-01 00:00:00+05:30,3.4,3.7,3.35,3.55,973020
GPIL,2006-08-02 00:00:00+05:30,3.7,3.75,3.4,3.5,1401860
GPIL,2006-08-03 00:00:00+05:30,3.5,3.6,3.4,3.45,857880
GPIL,2006-08-04 00:00:00+05:30,3.45,3.55,3.45,3.45,447740
GPIL,2006-08-07 00:00:00+05:30,3.45,3.75,3.35,3.65,3241240
GPIL,2006-08-08 00:00:00+05:30,3.75,3.75,3.55,3.6,872880
GPIL,2006-08-09 00:00:00+05:30,3.6,3.7,3.55,3.6,1014780
GPIL,2006-08-10 00:00:00+05:30,3.6,3.85,3.6,3.75,4200460
GPIL,2006-08-11 00:00:00+05:30,3.8,4.05,3.8,3.95,4655900
GPIL,2006-08-14 00:00:00+05:30,3.95,4.05,3.8,3.85,1448040
GPIL,2006-08-16 00:00:00+05:30,3.95,3.95,3.75,3.75,1937460
GPIL,2006-08-17 00:00:00+05:30,3.85,3.85,3.65,3.7,763740
GPIL,2006-08-18 00:00:00+05:30,3.7,3.8,3.65,3.7,949240
GPIL,2006-08-21 00:00:00+05:30,3.7,3.8,3.7,3.7,547180
GPIL,2006-08-22 00:00:00+05:30,3.85,3.85,3.65,3.65,524920
GPIL,2006-08-23 00:00:00+05:30,3.65,3.75,3.55,3.65,632820
GPIL,2006-08-24 00:00:00+05:30,3.6,3.65,3.55,3.6,585560
GPIL,2006-08-25 00:00:00+05:30,3.65,3.85,3.6,3.65,2185760
GPIL,2006-08-28 00:00:00+05:30,3.7,3.95,3.7,3.9,4302600
GPIL,2006-08-29 00:00:00+05:30,3.95,4.1,3.9,3.95,4882580
GPIL,2006-08-30 00:00:00+05:30,4.0,4.45,3.85,4.3,18708340
GPIL,2006-08-31 00:00:00+05:30,4.35,4.65,4.3,4.4,42554480
GPIL,2006-09-01 00:00:00+05:30,4.45,4.45,4.25,4.3,12445920
GPIL,2006-09-04 00:00:00+05:30,4.4,4.55,4.35,4.4,8128680
GPIL,2006-09-05 00:00:00+05:30,4.4,4.4,4.2,4.25,2959240
GPIL,2006-09-06 00:00:00+05:30,4.25,4.35,4.2,4.25,2541600
GPIL,2006-09-07 00:00:00+05:30,4.2,4.5,4.15,4.35,8044760
GPIL,2006-09-08 00:00:00+05:30,4.35,4.75,4.35,4.65,22322340
GPIL,2006-09-11 00:00:00+05:30,4.7,4.8,4.2,4.3,11230200
GPIL,2006-09-12 00:00:00+05:30,4.3,4.35,4.1,4.3,3839800
GPIL,2006-09-13 00:00:00+05:30,4.4,4.7,4.3,4.55,8552640
GPIL,2006-09-14 00:00:00+05:30,4.6,4.95,4.6,4.75,30329320
GPIL,2006-09-15 00:00:00+05:30,4.75,4.75,4.55,4.6,5049660
GPIL,2006-09-18 00:00:00+05:30,4.6,4.7,4.5,4.5,2215460
GPIL,2006-09-19 00:00:00+05:30,4.55,4.65,4.3,4.4,4024540
GPIL,2006-09-20 00:00:00+05:30,4.35,4.5,4.3,4.4,2995480
GPIL,2006-09-21 00:00:00+05:30,4.5,4.55,4.35,4.35,2467540
GPIL,2006-09-22 00:00:00+05:30,4.3,4.4,4.3,4.35,1553100
GPIL,2006-09-25 00:00:00+05:30,4.25,4.35,4.15,4.2,923780
GPIL,2006-09-26 00:00:00+05:30,4.25,4.45,3.55,4.4,3333000
GPIL,2006-09-27 00:00:00+05:30,4.4,4.45,4.25,4.3,2005440
GPIL,2006-09-28 00:00:00+05:30,4.25,4.3,4.2,4.25,798840
GPIL,2006-09-29 00:00:00+05:30,4.25,4.4,4.2,4.25,1274480
GPIL,2006-10-03 00:00:00+05:30,4.25,4.45,4.25,4.3,1416200
GPIL,2006-10-04 00:00:00+05:30,4.35,4.35,4.2,4.25,807440
GPIL,2006-10-05 00:00:00+05:30,4.3,4.4,4.3,4.3,978220
GPIL,2006-10-06 00:00:00+05:30,4.35,4.5,4.3,4.4,2703160
GPIL,2006-10-09 00:00:00+05:30,4.35,4.8,4.35,4.6,16546960
GPIL,2006-10-10 00:00:00+05:30,4.65,4.7,4.5,4.5,4544100
GPIL,2006-10-11 00:00:00+05:30,4.7,4.7,4.4,4.45,2492320
GPIL,2006-10-12 00:00:00+05:30,4.55,4.6,4.45,4.5,2119720
GPIL,2006-10-13 00:00:00+05:30,4.55,4.55,4.4,4.45,1252720
GPIL,2006-10-16 00:00:00+05:30,4.5,4.5,4.35,4.35,993040
GPIL,2006-10-17 00:00:00+05:30,4.35,4.4,4.3,4.3,997680
GPIL,2006-10-18 00:00:00+05:30,4.3,4.3,4.15,4.25,1099020
GPIL,2006-10-19 00:00:00+05:30,4.3,4.3,4.2,4.25,461460
GPIL,2006-10-20 00:00:00+05:30,4.25,4.4,4.25,4.3,656240
GPIL,2006-10-23 00:00:00+05:30,4.25,4.3,4.25,4.25,243580
GPIL,2006-10-26 00:00:00+05:30,4.3,4.35,4.25,4.25,485780
GPIL,2006-10-27 00:00:00+05:30,4.3,4.4,4.25,4.3,1072360
GPIL,2006-10-30 00:00:00+05:30,4.2,4.3,4.2,4.25,516760
GPIL,2006-10-31 00:00:00+05:30,4.25,4.3,4.2,4.25,718460
GPIL,2006-11-01 00:00:00+05:30,4.3,4.55,4.25,4.45,4780360
GPIL,2006-11-02 00:00:00+05:30,4.45,4.6,4.4,4.45,4629920
GPIL,2006-11-03 00:00:00+05:30,4.45,4.5,4.35,4.4,1486820
GPIL,2006-11-06 00:00:00+05:30,4.45,5.25,4.35,5.25,26638940
GPIL,2006-11-07 00:00:00+05:30,5.5,5.6,5.05,5.1,21212860
GPIL,2006-11-08 00:00:00+05:30,5.2,5.2,4.95,5.0,6673280
GPIL,2006-11-09 00:00:00+05:30,5.1,5.45,5.0,5.35,16532180
GPIL,2006-11-10 00:00:00+05:30,5.3,5.55,5.2,5.3,20184440
GPIL,2006-11-13 00:00:00+05:30,5.3,5.35,5.1,5.15,2983440
GPIL,2006-11-14 00:00:00+05:30,5.0,5.3,5.0,5.05,4228980
GPIL,2006-11-15 00:00:00+05:30,5.05,5.15,4.85,4.9,2666820
GPIL,2006-11-16 00:00:00+05:30,4.9,5.3,4.9,4.95,12761440
GPIL,2006-11-17 00:00:00+05:30,4.85,4.95,4.7,4.8,3508180
GPIL,2006-11-20 00:00:00+05:30,4.75,4.8,4.5,4.7,2061660
GPIL,2006-11-21 00:00:00+05:30,4.75,4.85,4.7,4.8,1517600
GPIL,2006-11-22 00:00:00+05:30,4.9,5.05,4.75,4.8,1826740
GPIL,2006-11-23 00:00:00+05:30,4.9,5.05,4.8,4.85,2820240
GPIL,2006-11-24 00:00:00+05:30,4.85,5.05,4.8,4.8,3662940
GPIL,2006-11-27 00:00:00+05:30,4.85,4.9,4.75,4.75,1490220
GPIL,2006-11-28 00:00:00+05:30,4.7,4.8,4.65,4.7,1365780
GPIL,2006-11-29 00:00:00+05:30,4.85,4.85,4.6,4.65,1314660
GPIL,2006-11-30 00:00:00+05:30,4.7,4.75,4.6,4.65,975560
GPIL,2006-12-01 00:00:00+05:30,4.7,5.1,4.65,5.05,23217680
GPIL,2006-12-04 00:00:00+05:30,4.55,5.1,4.55,4.9,6359340
GPIL,2006-12-05 00:00:00+05:30,5.0,5.0,4.75,4.85,2881520
GPIL,2006-12-06 00:00:00+05:30,4.9,5.0,4.75,4.8,2529260
GPIL,2006-12-07 00:00:00+05:30,4.85,4.9,4.75,4.8,1591660
GPIL,2006-12-08 00:00:00+05:30,4.8,4.85,4.7,4.75,1450120
GPIL,2006-12-11 00:00:00+05:30,4.6,4.75,4.4,4.45,1831920
GPIL,2006-12-12 00:00:00+05:30,4.4,4.6,4.15,4.25,1531160
GPIL,2006-12-13 00:00:00+05:30,4.35,4.35,3.9,4.25,1387440
GPIL,2006-12-14 00:00:00+05:30,4.4,4.45,4.35,4.4,1058880
GPIL,2006-12-15 00:00:00+05:30,4.5,4.55,4.4,4.45,954760
GPIL,2006-12-18 00:00:00+05:30,4.45,4.5,4.35,4.45,757320
GPIL,2006-12-19 00:00:00+05:30,4.45,4.65,4.3,4.3,597600
GPIL,2006-12-20 00:00:00+05:30,4.35,4.45,4.25,4.25,428800
GPIL,2006-12-21 00:00:00+05:30,4.25,4.35,4.2,4.25,363420
GPIL,2006-12-22 00:00:00+05:30,4.3,4.4,4.25,4.25,558880
GPIL,2006-12-26 00:00:00+05:30,4.3,4.4,4.3,4.35,462800
GPIL,2006-12-27 00:00:00+05:30,4.4,4.45,4.35,4.4,653540
GPIL,2006-12-28 00:00:00+05:30,4.4,4.6,4.35,4.5,1944780
GPIL,2006-12-29 00:00:00+05:30,4.55,4.55,4.4,4.45,513880
GPIL,2007-01-02 00:00:00+05:30,4.5,4.6,4.4,4.5,433900
GPIL,2007-01-03 00:00:00+05:30,4.5,4.6,4.45,4.5,696360
