Symbol,Date,Open,High,Low,Close,Volume
HEG,2003-01-27 00:00:00+05:30,5.8,5.95,5.6,5.7,148480
HEG,2003-01-28 00:00:00+05:30,5.6,5.8,5.4,5.7,81975
HEG,2003-01-29 00:00:00+05:30,5.8,5.85,5.7,5.75,88950
HEG,2003-01-30 00:00:00+05:30,5.7,5.95,5.65,5.8,87560
HEG,2003-01-31 00:00:00+05:30,5.7,5.85,5.6,5.7,59965
HEG,2003-02-03 00:00:00+05:30,5.4,5.85,5.3,5.7,78630
HEG,2003-02-04 00:00:00+05:30,5.65,5.8,5.65,5.65,62425
HEG,2003-02-05 00:00:00+05:30,5.2,5.85,5.2,5.6,55205
HEG,2003-02-06 00:00:00+05:30,5.6,5.65,5.55,5.6,51710
HEG,2003-02-07 00:00:00+05:30,5.8,5.8,5.6,5.6,58005
HEG,2003-02-10 00:00:00+05:30,5.2,5.65,5.2,5.6,56740
HEG,2003-02-11 00:00:00+05:30,5.6,5.9,5.6,5.85,189770
HEG,2003-02-12 00:00:00+05:30,5.7,5.95,5.7,5.9,127340
HEG,2003-02-14 00:00:00+05:30,5.9,6.3,5.8,6.1,255870
HEG,2003-02-17 00:00:00+05:30,6.3,6.3,6.0,6.05,118345
HEG,2003-02-18 00:00:00+05:30,6.15,6.15,5.9,6.0,59460
HEG,2003-02-19 00:00:00+05:30,6.0,6.1,5.95,6.05,49395
HEG,2003-02-20 00:00:00+05:30,6.0,6.15,6.0,6.05,60680
HEG,2003-02-21 00:00:00+05:30,5.9,6.1,5.9,6.0,52875
HEG,2003-02-24 00:00:00+05:30,6.15,6.15,5.95,5.95,27300
HEG,2003-02-25 00:00:00+05:30,5.9,6.0,5.8,5.85,49625
HEG,2003-02-26 00:00:00+05:30,6.0,6.0,5.75,5.75,30960
HEG,2003-02-27 00:00:00+05:30,5.6,5.95,5.6,5.8,22900
HEG,2003-02-28 00:00:00+05:30,5.85,5.95,5.75,5.75,40430
HEG,2003-03-03 00:00:00+05:30,5.8,5.95,5.8,5.85,15590
HEG,2003-03-04 00:00:00+05:30,6.25,6.25,5.7,5.8,24640
HEG,2003-03-05 00:00:00+05:30,5.7,5.75,5.55,5.6,67290
HEG,2003-03-06 00:00:00+05:30,5.8,5.8,5.55,5.6,36370
HEG,2003-03-07 00:00:00+05:30,5.5,5.65,5.5,5.5,43680
HEG,2003-03-10 00:00:00+05:30,5.6,5.6,5.35,5.4,62120
HEG,2003-03-11 00:00:00+05:30,5.25,5.3,5.1,5.25,51350
HEG,2003-03-12 00:00:00+05:30,5.25,5.4,5.2,5.25,24840
HEG,2003-03-13 00:00:00+05:30,5.25,5.35,5.2,5.2,44910
HEG,2003-03-17 00:00:00+05:30,5.25,5.25,5.05,5.2,160070
HEG,2003-03-19 00:00:00+05:30,5.2,5.4,5.2,5.3,23205
HEG,2003-03-20 00:00:00+05:30,5.25,5.5,5.25,5.3,55310
HEG,2003-03-21 00:00:00+05:30,5.4,5.45,5.3,5.4,120325
HEG,2003-03-24 00:00:00+05:30,5.4,5.4,5.3,5.35,15930
HEG,2003-03-25 00:00:00+05:30,5.25,5.5,5.25,5.3,18755
HEG,2003-03-26 00:00:00+05:30,5.3,5.5,5.3,5.4,50565
HEG,2003-03-27 00:00:00+05:30,5.3,5.45,5.3,5.4,19130
HEG,2003-03-28 00:00:00+05:30,5.4,5.4,5.3,5.35,17570
HEG,2003-03-31 00:00:00+05:30,5.4,5.5,5.2,5.25,61175
HEG,2003-04-01 00:00:00+05:30,5.25,5.35,5.2,5.25,27315
HEG,2003-04-02 00:00:00+05:30,5.3,5.35,5.3,5.3,18190
HEG,2003-04-03 00:00:00+05:30,5.4,5.45,5.4,5.4,12145
HEG,2003-04-04 00:00:00+05:30,5.5,5.6,5.5,5.55,63385
HEG,2003-04-07 00:00:00+05:30,5.6,5.6,5.5,5.55,127040
HEG,2003-04-08 00:00:00+05:30,5.85,5.85,5.6,5.7,60470
HEG,2003-04-09 00:00:00+05:30,5.7,5.7,5.6,5.6,18000
HEG,2003-04-10 00:00:00+05:30,5.2,5.65,5.2,5.4,52350
HEG,2003-04-11 00:00:00+05:30,5.5,5.6,5.35,5.35,48250
HEG,2003-04-15 00:00:00+05:30,5.4,5.45,5.35,5.35,9690
HEG,2003-04-16 00:00:00+05:30,5.35,5.55,5.35,5.5,15000
HEG,2003-04-17 00:00:00+05:30,5.4,5.5,5.35,5.35,83805
