Symbol,Date,Open,High,Low,Close,Volume
HINDPETRO,2003-01-27 00:00:00+05:30,37.25,38.15,34.25,34.6,47239354
HINDPETRO,2003-01-28 00:00:00+05:30,34.2,34.55,32.95,34.35,21728109
HINDPETRO,2003-01-29 00:00:00+05:30,34.2,34.4,33.35,33.65,11666540
HINDPETRO,2003-01-30 00:00:00+05:30,34.0,34.0,32.65,32.85,20698482
HINDPETRO,2003-01-31 00:00:00+05:30,33.25,33.55,32.85,33.15,14701083
HINDPETRO,2003-02-03 00:00:00+05:30,33.7,34.45,33.35,34.25,12391177
HINDPETRO,2003-02-04 00:00:00+05:30,34.45,34.95,34.15,34.7,15950751
HINDPETRO,2003-02-05 00:00:00+05:30,35.15,35.55,33.85,33.95,25098551
HINDPETRO,2003-02-06 00:00:00+05:30,33.85,34.5,33.35,34.25,10556603
HINDPETRO,2003-02-07 00:00:00+05:30,34.65,35.05,34.05,34.25,9751996
HINDPETRO,2003-02-10 00:00:00+05:30,35.2,35.75,34.75,35.15,15694201
HINDPETRO,2003-02-11 00:00:00+05:30,35.45,36.85,35.25,36.7,42416844
HINDPETRO,2003-02-12 00:00:00+05:30,36.8,36.95,36.05,36.2,20931851
HINDPETRO,2003-02-14 00:00:00+05:30,36.2,36.2,35.6,35.85,9945731
HINDPETRO,2003-02-17 00:00:00+05:30,36.45,37.25,36.25,37.15,18902091
HINDPETRO,2003-02-18 00:00:00+05:30,37.4,38.85,37.35,38.3,39579372
HINDPETRO,2003-02-19 00:00:00+05:30,38.55,38.85,37.45,37.55,26887684
HINDPETRO,2003-02-20 00:00:00+05:30,37.4,38.05,37.0,37.85,23725134
HINDPETRO,2003-02-21 00:00:00+05:30,37.75,37.8,37.05,37.3,12475770
HINDPETRO,2003-02-24 00:00:00+05:30,37.25,37.75,37.25,37.35,9627768
HINDPETRO,2003-02-25 00:00:00+05:30,37.1,37.35,36.6,36.75,10157873
HINDPETRO,2003-02-26 00:00:00+05:30,36.95,36.95,36.25,36.3,7287011
HINDPETRO,2003-02-27 00:00:00+05:30,36.15,36.95,36.05,36.35,15746754
HINDPETRO,2003-02-28 00:00:00+05:30,37.05,37.1,36.3,36.55,10208301
HINDPETRO,2003-03-03 00:00:00+05:30,36.8,36.95,35.85,36.25,8902893
HINDPETRO,2003-03-04 00:00:00+05:30,36.15,36.55,35.75,35.8,8754258
HINDPETRO,2003-03-05 00:00:00+05:30,35.4,35.45,34.45,35.3,13170304
HINDPETRO,2003-03-06 00:00:00+05:30,35.35,35.45,34.3,34.55,6485728
HINDPETRO,2003-03-07 00:00:00+05:30,34.0,34.0,33.0,33.35,11187677
HINDPETRO,2003-03-10 00:00:00+05:30,33.7,33.95,32.55,32.7,8476585
HINDPETRO,2003-03-11 00:00:00+05:30,32.25,33.65,32.25,33.55,8618719
HINDPETRO,2003-03-12 00:00:00+05:30,33.45,33.85,32.7,32.95,6149946
HINDPETRO,2003-03-13 00:00:00+05:30,32.95,33.15,31.85,32.0,11510211
HINDPETRO,2003-03-17 00:00:00+05:30,32.35,34.45,30.45,33.75,30560982
HINDPETRO,2003-03-19 00:00:00+05:30,34.15,35.15,33.75,33.85,25363786
HINDPETRO,2003-03-20 00:00:00+05:30,34.45,34.8,33.4,34.45,17001612
HINDPETRO,2003-03-21 00:00:00+05:30,34.6,35.25,34.35,34.6,20437284
HINDPETRO,2003-03-24 00:00:00+05:30,34.5,34.55,33.5,33.65,12378373
HINDPETRO,2003-03-25 00:00:00+05:30,33.7,34.55,33.15,34.15,14083354
HINDPETRO,2003-03-26 00:00:00+05:30,34.3,34.55,34.1,34.35,10688572
HINDPETRO,2003-03-27 00:00:00+05:30,34.45,34.7,33.5,33.65,16905484
HINDPETRO,2003-03-28 00:00:00+05:30,34.0,34.45,33.75,34.3,9528521
HINDPETRO,2003-03-31 00:00:00+05:30,34.0,34.35,33.45,33.65,8657084
HINDPETRO,2003-04-01 00:00:00+05:30,33.55,33.95,33.05,33.4,8310576
HINDPETRO,2003-04-02 00:00:00+05:30,33.4,34.25,33.25,33.65,4963099
HINDPETRO,2003-04-03 00:00:00+05:30,33.7,34.65,33.65,34.3,9125439
HINDPETRO,2003-04-04 00:00:00+05:30,34.35,35.05,34.2,34.65,11851947
HINDPETRO,2003-04-07 00:00:00+05:30,35.1,35.85,34.95,35.55,14027885
HINDPETRO,2003-04-08 00:00:00+05:30,35.45,36.65,35.25,36.25,23187476
HINDPETRO,2003-04-09 00:00:00+05:30,36.15,36.6,35.5,35.75,13213211
HINDPETRO,2003-04-10 00:00:00+05:30,35.65,35.85,34.65,35.05,8982593
HINDPETRO,2003-04-11 00:00:00+05:30,35.35,35.9,34.45,35.05,7315527
HINDPETRO,2003-04-15 00:00:00+05:30,33.1,34.65,30.85,34.45,11274122
HINDPETRO,2003-04-16 00:00:00+05:30,34.6,34.95,33.8,33.95,6585394
HINDPETRO,2003-04-17 00:00:00+05:30,33.85,34.1,33.45,33.7,5470228
HINDPETRO,2003-04-21 00:00:00+05:30,33.65,34.2,33.65,33.85,4457426
HINDPETRO,2003-04-22 00:00:00+05:30,40.8,40.8,33.4,33.45,4109852
HINDPETRO,2003-04-23 00:00:00+05:30,33.55,33.75,33.15,33.25,4255712
HINDPETRO,2003-04-24 00:00:00+05:30,33.55,33.65,31.95,32.25,19136324
HINDPETRO,2003-04-25 00:00:00+05:30,31.95,31.95,29.9,30.15,38758937
HINDPETRO,2003-04-28 00:00:00+05:30,30.6,31.35,30.3,30.85,14615773
HINDPETRO,2003-04-29 00:00:00+05:30,31.05,31.15,30.2,30.35,8629978
HINDPETRO,2003-04-30 00:00:00+05:30,29.65,31.45,29.65,31.25,14135799
HINDPETRO,2003-05-02 00:00:00+05:30,31.25,31.75,30.9,31.35,7547419
HINDPETRO,2003-05-05 00:00:00+05:30,32.95,34.25,32.4,32.8,12479820
HINDPETRO,2003-05-06 00:00:00+05:30,31.65,34.5,31.65,34.3,20497572
HINDPETRO,2003-05-07 00:00:00+05:30,34.6,35.15,33.6,33.75,14275496
HINDPETRO,2003-05-08 00:00:00+05:30,33.7,35.4,33.0,34.75,24125659
HINDPETRO,2003-05-09 00:00:00+05:30,31.45,34.95,31.45,34.25,21773844
HINDPETRO,2003-05-12 00:00:00+05:30,34.75,34.75,33.75,33.85,6847959
HINDPETRO,2003-05-13 00:00:00+05:30,33.7,34.7,33.7,34.2,7225535
HINDPETRO,2003-05-14 00:00:00+05:30,34.3,34.4,33.5,33.8,6493490
HINDPETRO,2003-05-15 00:00:00+05:30,33.95,35.2,33.8,34.85,19155095
HINDPETRO,2003-05-16 00:00:00+05:30,35.1,35.9,34.85,35.7,18037114
HINDPETRO,2003-05-19 00:00:00+05:30,32.4,34.65,32.4,33.35,17157888
HINDPETRO,2003-05-20 00:00:00+05:30,32.95,33.7,32.6,33.45,13844570
HINDPETRO,2003-05-21 00:00:00+05:30,33.45,34.1,32.85,33.05,9566327
HINDPETRO,2003-05-22 00:00:00+05:30,33.15,33.75,32.25,32.65,16890007
HINDPETRO,2003-05-23 00:00:00+05:30,32.65,33.35,32.55,32.85,14574905
HINDPETRO,2003-05-26 00:00:00+05:30,33.1,34.1,33.05,33.55,14519631
HINDPETRO,2003-05-27 00:00:00+05:30,34.0,34.05,33.15,33.25,13299102
HINDPETRO,2003-05-28 00:00:00+05:30,33.45,33.85,32.4,33.1,12397077
HINDPETRO,2003-05-29 00:00:00+05:30,33.25,33.45,32.6,33.1,16847761
HINDPETRO,2003-05-30 00:00:00+05:30,33.7,35.35,33.55,34.95,29902161
HINDPETRO,2003-06-02 00:00:00+05:30,36.25,36.65,35.45,35.75,15815805
HINDPETRO,2003-06-03 00:00:00+05:30,35.95,36.75,35.25,36.25,10440624
HINDPETRO,2003-06-04 00:00:00+05:30,36.95,37.95,36.8,37.0,33841587
