Symbol,Date,Open,High,Low,Close,Volume
KARURVYSYA,2003-01-01 00:00:00+05:30,4.2,4.2,4.15,4.2,200101
KARURVYSYA,2003-01-02 00:00:00+05:30,4.15,4.2,4.1,4.1,250641
KARURVYSYA,2003-01-03 00:00:00+05:30,4.1,4.15,4.1,4.1,279888
KARURVYSYA,2003-01-06 00:00:00+05:30,4.1,4.25,4.05,4.1,1302340
KARURVYSYA,2003-01-07 00:00:00+05:30,4.1,4.15,4.05,4.1,560360
KARURVYSYA,2003-01-08 00:00:00+05:30,4.1,4.25,4.1,4.25,1344513
KARURVYSYA,2003-01-09 00:00:00+05:30,4.25,4.6,4.15,4.55,3164083
KARURVYSYA,2003-01-10 00:00:00+05:30,4.6,4.65,4.4,4.6,1889960
KARURVYSYA,2003-01-13 00:00:00+05:30,4.6,4.9,4.6,4.85,2548177
KARURVYSYA,2003-01-14 00:00:00+05:30,4.9,5.1,4.85,5.1,3025871
KARURVYSYA,2003-01-15 00:00:00+05:30,5.1,5.2,5.1,5.15,1196393
KARURVYSYA,2003-01-16 00:00:00+05:30,5.25,5.35,5.15,5.2,1127818
KARURVYSYA,2003-01-17 00:00:00+05:30,5.25,5.25,4.9,4.95,1298226
KARURVYSYA,2003-01-20 00:00:00+05:30,4.95,5.05,4.85,4.9,987614
KARURVYSYA,2003-01-21 00:00:00+05:30,5.0,5.45,5.0,5.25,6222354
KARURVYSYA,2003-01-22 00:00:00+05:30,5.35,5.6,5.25,5.55,9097670
KARURVYSYA,2003-01-23 00:00:00+05:30,5.6,5.65,5.35,5.35,5493678
KARURVYSYA,2003-01-24 00:00:00+05:30,5.5,5.55,5.3,5.35,3097942
KARURVYSYA,2003-01-27 00:00:00+05:30,5.35,5.35,5.0,5.3,1432394
KARURVYSYA,2003-01-28 00:00:00+05:30,5.25,5.45,5.25,5.4,1759770
KARURVYSYA,2003-01-29 00:00:00+05:30,5.5,5.6,5.4,5.45,3117039
KARURVYSYA,2003-01-30 00:00:00+05:30,5.55,5.6,5.45,5.5,1704533
KARURVYSYA,2003-01-31 00:00:00+05:30,5.5,5.5,5.3,5.4,1324285
KARURVYSYA,2003-02-03 00:00:00+05:30,5.45,5.5,5.35,5.4,877588
KARURVYSYA,2003-02-04 00:00:00+05:30,5.45,5.5,5.3,5.35,570611
KARURVYSYA,2003-02-05 00:00:00+05:30,5.35,5.35,5.1,5.1,1251732
KARURVYSYA,2003-02-06 00:00:00+05:30,5.1,5.1,5.0,5.1,1240829
KARURVYSYA,2003-02-07 00:00:00+05:30,5.1,5.25,5.0,5.0,1580206
KARURVYSYA,2003-02-10 00:00:00+05:30,4.95,4.95,4.7,4.75,1478990
KARURVYSYA,2003-02-11 00:00:00+05:30,4.85,4.85,4.65,4.75,1497847
KARURVYSYA,2003-02-12 00:00:00+05:30,4.7,4.8,4.65,4.7,1228212
KARURVYSYA,2003-02-14 00:00:00+05:30,4.65,4.75,4.6,4.7,1170472
KARURVYSYA,2003-02-17 00:00:00+05:30,4.75,4.9,4.75,4.9,1647445
KARURVYSYA,2003-02-18 00:00:00+05:30,4.9,5.1,4.9,5.05,4192844
KARURVYSYA,2003-02-19 00:00:00+05:30,5.25,5.35,5.1,5.3,4058472
KARURVYSYA,2003-02-20 00:00:00+05:30,5.35,5.4,4.65,5.1,3307234
KARURVYSYA,2003-02-21 00:00:00+05:30,5.15,5.35,4.95,5.3,2792818
KARURVYSYA,2003-02-24 00:00:00+05:30,5.35,5.35,5.15,5.2,2700036
KARURVYSYA,2003-02-25 00:00:00+05:30,5.0,5.2,4.95,5.0,1701345
KARURVYSYA,2003-02-26 00:00:00+05:30,4.9,5.05,4.9,4.95,1112663
KARURVYSYA,2003-02-27 00:00:00+05:30,4.9,5.05,4.9,4.95,2787434
KARURVYSYA,2003-02-28 00:00:00+05:30,5.0,5.35,4.9,5.25,6440184
KARURVYSYA,2003-03-03 00:00:00+05:30,5.35,5.75,5.35,5.65,13581444
