Symbol,Date,Open,High,Low,Close,Volume
KEI,2006-03-23 00:00:00+05:30,75.68,88.2,73.12,75.2,1407539
KEI,2006-03-24 00:00:00+05:30,75.78,80.4,74.6,76.55,663174
KEI,2006-03-27 00:00:00+05:30,77.0,78.96,76.3,76.52,75189
KEI,2006-03-28 00:00:00+05:30,78.0,78.9,75.0,75.71,54834
KEI,2006-03-29 00:00:00+05:30,74.43,76.85,74.4,75.05,89664
KEI,2006-03-30 00:00:00+05:30,77.53,78.4,73.0,73.82,132654
KEI,2006-03-31 00:00:00+05:30,74.0,76.4,72.2,73.8,116514
KEI,2006-04-03 00:00:00+05:30,74.01,77.0,72.0,76.02,67604
KEI,2006-04-04 00:00:00+05:30,74.6,77.8,74.6,76.94,23589
KEI,2006-04-05 00:00:00+05:30,78.0,82.88,76.6,80.06,343019
KEI,2006-04-07 00:00:00+05:30,81.0,81.5,75.6,76.57,95379
KEI,2006-04-10 00:00:00+05:30,78.21,91.89,78.21,90.67,848324
KEI,2006-04-12 00:00:00+05:30,92.03,105.4,87.0,97.81,1888934
KEI,2006-04-13 00:00:00+05:30,99.0,100.6,88.0,94.42,508104
KEI,2006-04-17 00:00:00+05:30,92.2,104.8,92.2,102.84,1466094
KEI,2006-04-18 00:00:00+05:30,104.58,104.58,94.8,95.77,1088709
KEI,2006-04-19 00:00:00+05:30,97.54,97.54,90.4,90.99,293404
KEI,2006-04-20 00:00:00+05:30,93.16,95.58,91.8,92.98,188239
KEI,2006-04-21 00:00:00+05:30,94.8,98.2,94.0,94.76,232604
KEI,2006-04-24 00:00:00+05:30,96.75,99.6,95.0,98.06,259509
KEI,2006-04-25 00:00:00+05:30,99.2,99.2,95.0,95.69,238789
KEI,2006-04-26 00:00:00+05:30,97.8,97.8,93.99,94.88,162079
KEI,2006-04-27 00:00:00+05:30,96.78,96.78,93.0,94.28,40624
KEI,2006-04-28 00:00:00+05:30,91.4,93.4,82.6,86.78,85099
KEI,2006-05-02 00:00:00+05:30,92.8,94.0,89.2,90.18,26929
KEI,2006-05-03 00:00:00+05:30,91.4,92.0,86.0,87.4,74974
KEI,2006-05-04 00:00:00+05:30,88.4,90.38,86.0,86.66,83194
KEI,2006-05-05 00:00:00+05:30,87.03,88.96,86.02,87.25,85724
KEI,2006-05-08 00:00:00+05:30,89.0,89.36,86.62,88.19,95564
KEI,2006-05-09 00:00:00+05:30,89.0,89.4,80.11,81.76,108694
KEI,2006-05-10 00:00:00+05:30,82.0,86.98,80.52,81.72,173334
KEI,2006-05-11 00:00:00+05:30,83.48,83.48,80.0,81.03,89999
KEI,2006-05-12 00:00:00+05:30,81.96,93.33,81.2,88.07,602349
KEI,2006-05-15 00:00:00+05:30,88.0,91.8,79.51,81.37,549689
KEI,2006-05-16 00:00:00+05:30,83.6,89.8,82.0,85.34,1183054
KEI,2006-05-17 00:00:00+05:30,88.0,90.0,86.4,87.73,314674
KEI,2006-05-18 00:00:00+05:30,86.8,86.8,79.22,82.85,633829
KEI,2006-05-19 00:00:00+05:30,87.8,88.0,76.0,76.44,182879
KEI,2006-05-22 00:00:00+05:30,83.4,83.6,61.24,71.09,92899
KEI,2006-05-23 00:00:00+05:30,65.4,85.31,65.2,85.02,95279
KEI,2006-05-24 00:00:00+05:30,82.4,87.8,78.0,79.17,98294
KEI,2006-05-25 00:00:00+05:30,77.57,79.0,72.2,78.15,53354
KEI,2006-05-26 00:00:00+05:30,81.6,82.8,78.0,79.29,74229
KEI,2006-05-29 00:00:00+05:30,79.8,81.39,75.03,75.4,69979
