Symbol,Date,Open,High,Low,Close,Volume
KPIL,2003-01-01 00:00:00+05:30,3.5,3.55,3.5,3.55,1999
KPIL,2003-01-02 00:00:00+05:30,3.55,3.65,3.5,3.63,18829
KPIL,2003-01-03 00:00:00+05:30,3.6,3.61,3.6,3.6,6999
KPIL,2003-01-06 00:00:00+05:30,3.6,3.65,3.6,3.65,6389
KPIL,2003-01-07 00:00:00+05:30,3.6,3.6,3.52,3.58,9249
KPIL,2003-01-08 00:00:00+05:30,3.6,3.6,3.52,3.52,16999
KPIL,2003-01-09 00:00:00+05:30,3.56,3.6,3.56,3.56,9499
KPIL,2003-01-10 00:00:00+05:30,3.55,3.66,3.55,3.66,3999
KPIL,2003-01-13 00:00:00+05:30,3.5,3.5,3.5,3.5,12999
KPIL,2003-01-14 00:00:00+05:30,3.51,3.51,3.35,3.35,50749
KPIL,2003-01-15 00:00:00+05:30,3.4,3.4,3.31,3.31,6999
KPIL,2003-01-16 00:00:00+05:30,3.3,3.3,3.3,3.3,13999
KPIL,2003-01-17 00:00:00+05:30,3.25,3.25,3.25,3.25,999
KPIL,2003-01-20 00:00:00+05:30,3.25,3.25,3.25,3.25,11349
KPIL,2003-01-21 00:00:00+05:30,3.16,3.16,3.16,3.16,99999
KPIL,2003-01-22 00:00:00+05:30,3.16,3.16,3.16,3.16,0
KPIL,2003-01-23 00:00:00+05:30,3.17,3.17,3.0,3.02,15999
KPIL,2003-01-24 00:00:00+05:30,3.02,3.03,3.02,3.02,149999
KPIL,2003-01-27 00:00:00+05:30,3.01,3.01,2.86,2.88,154999
KPIL,2003-01-28 00:00:00+05:30,3.01,3.01,2.86,2.88,0
KPIL,2003-01-29 00:00:00+05:30,2.9,2.92,2.89,2.89,102099
KPIL,2003-01-30 00:00:00+05:30,2.88,3.1,2.88,2.93,137999
KPIL,2003-01-31 00:00:00+05:30,2.88,2.92,2.88,2.9,111949
KPIL,2003-02-03 00:00:00+05:30,2.9,2.9,2.85,2.85,14999
KPIL,2003-02-04 00:00:00+05:30,3.02,3.02,3.0,3.0,19
KPIL,2003-02-05 00:00:00+05:30,3.09,3.1,2.92,2.92,5249
KPIL,2003-02-06 00:00:00+05:30,3.09,3.1,2.92,2.92,0
KPIL,2003-02-07 00:00:00+05:30,3.09,3.1,2.92,2.92,0
KPIL,2003-02-10 00:00:00+05:30,3.09,3.1,2.92,2.92,0
KPIL,2003-02-11 00:00:00+05:30,3.06,3.06,3.06,3.06,999
KPIL,2003-02-12 00:00:00+05:30,2.8,3.0,2.8,3.0,6099
KPIL,2003-02-14 00:00:00+05:30,2.92,2.92,2.92,2.92,39999
KPIL,2003-02-17 00:00:00+05:30,3.1,3.2,3.08,3.19,116749
KPIL,2003-02-18 00:00:00+05:30,3.39,3.39,3.12,3.18,47999
KPIL,2003-02-19 00:00:00+05:30,3.33,3.38,3.29,3.33,23499
KPIL,2003-02-20 00:00:00+05:30,3.31,3.66,3.3,3.66,89279
KPIL,2003-02-21 00:00:00+05:30,3.61,3.83,3.5,3.64,70759
KPIL,2003-02-24 00:00:00+05:30,3.73,3.79,3.63,3.74,27809
KPIL,2003-02-25 00:00:00+05:30,3.6,3.65,3.59,3.6,7759
KPIL,2003-02-26 00:00:00+05:30,3.52,3.63,3.52,3.58,8019
KPIL,2003-02-27 00:00:00+05:30,3.58,3.67,3.43,3.46,66049
KPIL,2003-02-28 00:00:00+05:30,3.55,3.63,3.4,3.44,33609
KPIL,2003-03-03 00:00:00+05:30,3.35,3.4,3.29,3.29,7299
KPIL,2003-03-04 00:00:00+05:30,3.3,3.31,3.21,3.31,3499
KPIL,2003-03-05 00:00:00+05:30,3.15,3.47,3.15,3.31,14549
KPIL,2003-03-06 00:00:00+05:30,3.2,3.4,3.2,3.25,6299
KPIL,2003-03-07 00:00:00+05:30,3.4,3.4,3.11,3.29,3259
KPIL,2003-03-10 00:00:00+05:30,3.05,3.29,3.05,3.29,12599
KPIL,2003-03-11 00:00:00+05:30,3.1,3.14,3.1,3.14,4999
KPIL,2003-03-12 00:00:00+05:30,3.21,3.21,3.21,3.21,699
KPIL,2003-03-13 00:00:00+05:30,3.2,3.3,3.2,3.3,1999
KPIL,2003-03-17 00:00:00+05:30,3.1,3.3,3.1,3.29,13499
KPIL,2003-03-19 00:00:00+05:30,3.21,3.21,3.12,3.18,2999
KPIL,2003-03-20 00:00:00+05:30,3.11,3.25,3.0,3.21,18199
KPIL,2003-03-21 00:00:00+05:30,3.17,3.17,3.17,3.17,152999
KPIL,2003-03-24 00:00:00+05:30,3.1,3.25,3.1,3.15,13999
KPIL,2003-03-25 00:00:00+05:30,3.17,3.3,3.1,3.13,14089
KPIL,2003-03-26 00:00:00+05:30,3.4,3.4,2.92,3.17,30999
KPIL,2003-03-27 00:00:00+05:30,3.2,3.2,3.1,3.1,1999
KPIL,2003-03-28 00:00:00+05:30,3.2,3.2,3.19,3.2,1289
KPIL,2003-03-31 00:00:00+05:30,3.0,3.4,3.0,3.38,22999
KPIL,2003-04-01 00:00:00+05:30,3.23,3.39,3.23,3.23,31029
KPIL,2003-04-02 00:00:00+05:30,3.26,3.26,3.26,3.26,1999
KPIL,2003-04-03 00:00:00+05:30,3.27,3.5,3.27,3.4,9059
KPIL,2003-04-04 00:00:00+05:30,3.45,3.5,3.45,3.5,11349
KPIL,2003-04-07 00:00:00+05:30,3.35,3.45,3.35,3.45,11999
KPIL,2003-04-08 00:00:00+05:30,3.4,3.4,3.4,3.4,5149
KPIL,2003-04-09 00:00:00+05:30,3.49,3.5,3.4,3.4,16999
KPIL,2003-04-10 00:00:00+05:30,3.42,3.5,3.42,3.5,12509
KPIL,2003-04-11 00:00:00+05:30,3.41,3.41,3.41,3.41,499
KPIL,2003-04-15 00:00:00+05:30,3.4,3.4,3.4,3.4,1999
KPIL,2003-04-16 00:00:00+05:30,3.49,3.5,3.49,3.5,4739
KPIL,2003-04-17 00:00:00+05:30,3.5,3.71,3.5,3.67,57499
KPIL,2003-04-21 00:00:00+05:30,3.4,3.5,3.4,3.5,12499
KPIL,2003-04-22 00:00:00+05:30,3.55,3.69,3.55,3.69,19529
KPIL,2003-04-23 00:00:00+05:30,3.6,3.7,3.55,3.69,38689
KPIL,2003-04-24 00:00:00+05:30,3.7,3.7,3.7,3.7,1999
KPIL,2003-04-25 00:00:00+05:30,3.76,3.8,3.75,3.75,4599
KPIL,2003-04-28 00:00:00+05:30,3.7,3.7,3.7,3.7,1999
KPIL,2003-04-29 00:00:00+05:30,3.7,3.8,3.7,3.76,13499
KPIL,2003-04-30 00:00:00+05:30,3.5,3.7,3.5,3.63,21999
KPIL,2003-05-02 00:00:00+05:30,3.7,3.7,3.6,3.67,7049
KPIL,2003-05-05 00:00:00+05:30,3.5,3.8,3.5,3.75,8599
KPIL,2003-05-06 00:00:00+05:30,3.8,3.9,3.72,3.85,19849
KPIL,2003-05-07 00:00:00+05:30,3.8,3.83,3.75,3.8,32499
KPIL,2003-05-08 00:00:00+05:30,3.8,3.9,3.8,3.9,6999
KPIL,2003-05-09 00:00:00+05:30,3.81,3.9,3.81,3.9,26999
KPIL,2003-05-12 00:00:00+05:30,3.88,4.09,3.81,3.98,16049
KPIL,2003-05-13 00:00:00+05:30,3.89,4.0,3.89,3.98,7499
KPIL,2003-05-14 00:00:00+05:30,3.98,4.05,3.98,4.05,8999
KPIL,2003-05-15 00:00:00+05:30,4.04,4.04,4.0,4.0,1099
KPIL,2003-05-16 00:00:00+05:30,4.0,4.0,3.9,3.9,6399
KPIL,2003-05-19 00:00:00+05:30,3.85,3.88,3.81,3.81,1999
KPIL,2003-05-20 00:00:00+05:30,3.81,4.1,3.81,4.0,43759
KPIL,2003-05-21 00:00:00+05:30,3.95,4.1,3.9,4.04,34509
KPIL,2003-05-22 00:00:00+05:30,4.1,4.25,4.1,4.14,37989
KPIL,2003-05-23 00:00:00+05:30,4.11,4.2,4.11,4.16,26499
KPIL,2003-05-26 00:00:00+05:30,4.17,4.3,4.17,4.24,33249
KPIL,2003-05-27 00:00:00+05:30,4.25,4.25,3.81,3.81,116499
KPIL,2003-05-28 00:00:00+05:30,3.76,3.76,3.56,3.72,15749
KPIL,2003-05-29 00:00:00+05:30,3.6,3.98,3.6,3.63,11049
KPIL,2003-05-30 00:00:00+05:30,3.75,3.89,3.72,3.75,7109
KPIL,2003-06-02 00:00:00+05:30,3.8,3.8,3.8,3.8,299
KPIL,2003-06-03 00:00:00+05:30,3.56,3.75,3.56,3.75,3699
KPIL,2003-06-04 00:00:00+05:30,3.56,4.12,3.56,4.12,35619
KPIL,2003-06-05 00:00:00+05:30,4.2,4.5,4.2,4.38,65059
KPIL,2003-06-06 00:00:00+05:30,4.47,4.5,4.2,4.34,42019
KPIL,2003-06-09 00:00:00+05:30,4.48,4.48,4.25,4.29,35609
KPIL,2003-06-10 00:00:00+05:30,4.32,4.38,4.24,4.25,15069
KPIL,2003-06-11 00:00:00+05:30,4.25,4.67,4.2,4.53,87419
KPIL,2003-06-12 00:00:00+05:30,4.97,4.98,4.7,4.98,125159
KPIL,2003-06-13 00:00:00+05:30,5.46,5.46,5.05,5.13,180479
KPIL,2003-06-16 00:00:00+05:30,5.2,5.33,4.71,4.75,81589
KPIL,2003-06-17 00:00:00+05:30,4.51,4.93,4.51,4.61,71549
KPIL,2003-06-18 00:00:00+05:30,4.66,4.79,4.63,4.75,69229
KPIL,2003-06-19 00:00:00+05:30,4.6,4.74,4.53,4.54,79429
KPIL,2003-06-20 00:00:00+05:30,4.94,4.94,4.44,4.48,38169
KPIL,2003-06-23 00:00:00+05:30,4.84,4.84,4.37,4.37,18469
KPIL,2003-06-24 00:00:00+05:30,4.77,4.77,4.33,4.55,55149
KPIL,2003-06-25 00:00:00+05:30,4.74,4.74,4.36,4.48,40459
KPIL,2003-06-26 00:00:00+05:30,4.68,4.68,4.37,4.49,55529
KPIL,2003-06-27 00:00:00+05:30,4.46,4.57,4.38,4.4,38559
KPIL,2003-06-30 00:00:00+05:30,4.45,4.49,4.4,4.43,7799
KPIL,2003-07-01 00:00:00+05:30,4.5,4.88,4.41,4.86,222509
KPIL,2003-07-02 00:00:00+05:30,4.85,5.0,4.7,4.74,129709
KPIL,2003-07-03 00:00:00+05:30,4.85,4.85,4.5,4.58,49459
KPIL,2003-07-04 00:00:00+05:30,4.55,4.6,4.5,4.5,17789
KPIL,2003-07-07 00:00:00+05:30,4.58,4.65,4.5,4.51,57949
KPIL,2003-07-08 00:00:00+05:30,4.55,4.57,4.42,4.43,26099
KPIL,2003-07-09 00:00:00+05:30,4.42,4.48,4.4,4.4,5499
KPIL,2003-07-10 00:00:00+05:30,4.4,4.4,4.29,4.29,3099
KPIL,2003-07-11 00:00:00+05:30,4.39,4.46,4.35,4.37,16999
KPIL,2003-07-14 00:00:00+05:30,4.55,4.6,4.41,4.46,30439
KPIL,2003-07-15 00:00:00+05:30,4.59,4.65,4.4,4.46,41479
KPIL,2003-07-16 00:00:00+05:30,4.5,4.5,4.4,4.4,3809
KPIL,2003-07-17 00:00:00+05:30,4.4,4.4,4.3,4.32,13739
KPIL,2003-07-18 00:00:00+05:30,4.23,4.38,4.23,4.29,9009
KPIL,2003-07-21 00:00:00+05:30,4.1,4.34,4.1,4.13,7029
KPIL,2003-07-22 00:00:00+05:30,3.8,4.2,3.8,4.11,10019
KPIL,2003-07-23 00:00:00+05:30,4.34,4.34,4.12,4.12,3489
KPIL,2003-07-24 00:00:00+05:30,4.15,4.16,4.1,4.11,12739
KPIL,2003-07-25 00:00:00+05:30,4.15,4.24,4.15,4.16,11489
KPIL,2003-07-28 00:00:00+05:30,4.19,4.39,4.15,4.15,15089
KPIL,2003-07-29 00:00:00+05:30,4.2,4.4,4.16,4.38,25749
KPIL,2003-07-30 00:00:00+05:30,4.48,4.5,4.25,4.4,36499
KPIL,2003-07-31 00:00:00+05:30,4.41,4.54,4.29,4.39,19359
KPIL,2003-08-01 00:00:00+05:30,4.84,4.84,4.33,4.43,23919
KPIL,2003-08-04 00:00:00+05:30,4.42,4.42,4.26,4.3,19519
KPIL,2003-08-05 00:00:00+05:30,4.45,4.5,4.3,4.3,33599
KPIL,2003-08-06 00:00:00+05:30,4.24,4.29,4.24,4.25,4709
KPIL,2003-08-07 00:00:00+05:30,4.4,4.4,4.21,4.29,5299
KPIL,2003-08-08 00:00:00+05:30,4.21,4.3,4.21,4.25,58649
KPIL,2003-08-11 00:00:00+05:30,4.34,4.34,4.21,4.26,31999
KPIL,2003-08-12 00:00:00+05:30,4.29,4.49,4.24,4.39,21979
KPIL,2003-08-13 00:00:00+05:30,4.39,4.39,4.28,4.28,19849
KPIL,2003-08-14 00:00:00+05:30,3.9,4.3,3.9,4.25,33749
KPIL,2003-08-18 00:00:00+05:30,4.0,4.55,4.0,4.49,55489
KPIL,2003-08-19 00:00:00+05:30,4.84,4.84,4.35,4.46,57229
KPIL,2003-08-20 00:00:00+05:30,4.5,4.5,4.25,4.32,13399
KPIL,2003-08-21 00:00:00+05:30,4.34,4.48,4.26,4.39,31799
KPIL,2003-08-22 00:00:00+05:30,4.49,4.49,4.37,4.45,22289
KPIL,2003-08-25 00:00:00+05:30,4.7,4.7,4.2,4.21,45709
KPIL,2003-08-26 00:00:00+05:30,4.3,4.36,4.24,4.31,15999
KPIL,2003-08-27 00:00:00+05:30,4.27,4.47,4.27,4.39,44189
KPIL,2003-08-28 00:00:00+05:30,4.25,4.43,4.25,4.28,22069
KPIL,2003-08-29 00:00:00+05:30,4.25,4.5,4.25,4.46,40129
