Symbol,Date,Open,High,Low,Close,Volume
NAM-INDIA,2017-11-06 09:44:00+05:30,295.9,299.0,278.0,284.4,43029311
NAM-INDIA,2017-11-07 09:15:00+05:30,287.7,291.0,282.0,287.8,5980837
NAM-INDIA,2017-11-08 09:15:00+05:30,287.0,289.0,284.95,285.3,1885677
NAM-INDIA,2017-11-09 09:15:00+05:30,285.9,288.0,285.0,287.2,1476764
NAM-INDIA,2017-11-10 09:15:00+05:30,285.15,287.2,281.3,285.2,905132
NAM-INDIA,2017-11-13 09:15:00+05:30,283.2,288.0,283.2,287.2,2141637
NAM-INDIA,2017-11-14 09:15:00+05:30,288.95,288.95,267.9,273.35,1306130
NAM-INDIA,2017-11-15 09:15:00+05:30,271.05,276.5,248.1,253.5,2250713
NAM-INDIA,2017-11-16 09:15:00+05:30,255.0,278.6,237.5,272.15,4154606
NAM-INDIA,2017-11-17 09:15:00+05:30,274.0,284.0,265.5,279.0,1247735
NAM-INDIA,2017-11-20 09:15:00+05:30,278.75,280.9,271.0,278.95,554463
NAM-INDIA,2017-11-21 09:15:00+05:30,276.8,280.0,272.0,272.15,366109
NAM-INDIA,2017-11-22 09:15:00+05:30,274.9,276.35,267.0,269.8,925427
NAM-INDIA,2017-11-23 09:15:00+05:30,274.0,274.0,267.95,271.2,355274
NAM-INDIA,2017-11-24 09:15:00+05:30,273.9,273.9,270.1,271.75,301275
NAM-INDIA,2017-11-27 09:15:00+05:30,270.0,273.0,267.8,272.15,559725
NAM-INDIA,2017-11-28 09:15:00+05:30,270.5,271.9,267.0,268.0,210880
NAM-INDIA,2017-11-29 09:15:00+05:30,268.0,269.55,260.0,261.85,398140
NAM-INDIA,2017-11-30 09:15:00+05:30,261.9,266.2,252.7,263.5,432489
NAM-INDIA,2017-12-01 09:15:00+05:30,261.15,266.85,258.1,259.7,337914
NAM-INDIA,2017-12-04 09:15:00+05:30,260.9,262.45,254.2,255.05,1774394
NAM-INDIA,2017-12-05 09:15:00+05:30,253.3,262.9,253.3,261.1,1104003
NAM-INDIA,2017-12-06 09:15:00+05:30,258.6,260.55,254.6,255.05,669659
NAM-INDIA,2017-12-07 09:15:00+05:30,255.9,259.9,252.0,252.3,212652
NAM-INDIA,2017-12-08 09:15:00+05:30,252.55,256.35,252.0,252.45,391545
NAM-INDIA,2017-12-11 09:15:00+05:30,253.05,254.35,252.0,252.55,1422111
NAM-INDIA,2017-12-12 09:15:00+05:30,252.8,255.0,251.95,252.8,771170
NAM-INDIA,2017-12-13 09:15:00+05:30,253.0,253.0,250.55,251.6,191972
NAM-INDIA,2017-12-14 09:15:00+05:30,252.8,252.9,248.4,250.75,274737
NAM-INDIA,2017-12-15 09:15:00+05:30,251.15,253.9,248.0,253.0,497089
NAM-INDIA,2017-12-18 09:15:00+05:30,253.9,264.0,251.05,260.1,1628941
NAM-INDIA,2017-12-19 09:15:00+05:30,260.85,275.55,257.3,270.2,529940
NAM-INDIA,2017-12-20 09:15:00+05:30,270.4,281.75,266.25,274.8,620156
NAM-INDIA,2017-12-21 09:15:00+05:30,280.0,287.9,276.3,281.25,1214297
NAM-INDIA,2017-12-22 09:15:00+05:30,286.85,289.0,280.65,284.1,1892348
NAM-INDIA,2017-12-26 09:15:00+05:30,285.5,290.0,281.25,286.3,792108
NAM-INDIA,2017-12-27 09:15:00+05:30,286.9,291.95,284.25,285.2,777311
NAM-INDIA,2017-12-28 09:15:00+05:30,284.0,295.0,284.0,288.45,734826
NAM-INDIA,2017-12-29 09:15:00+05:30,290.6,304.9,288.1,300.2,1529684
NAM-INDIA,2018-01-01 09:15:00+05:30,301.5,311.0,295.25,300.85,1654808
NAM-INDIA,2018-01-02 09:15:00+05:30,303.1,305.65,283.6,287.8,440999
NAM-INDIA,2018-01-03 09:15:00+05:30,287.6,298.0,284.05,296.8,463883
NAM-INDIA,2018-01-04 09:15:00+05:30,295.05,300.25,295.0,297.5,234257
NAM-INDIA,2018-01-05 09:15:00+05:30,296.25,300.45,293.0,295.2,310196
NAM-INDIA,2018-01-08 09:15:00+05:30,295.45,300.0,295.45,298.1,259903
NAM-INDIA,2018-01-09 09:15:00+05:30,298.2,300.0,291.05,292.65,94441
NAM-INDIA,2018-01-10 09:15:00+05:30,293.5,298.0,292.4,295.55,131597
NAM-INDIA,2018-01-11 09:15:00+05:30,298.0,303.95,295.05,297.2,420911
NAM-INDIA,2018-01-12 09:15:00+05:30,300.95,327.9,299.0,318.3,1595260
NAM-INDIA,2018-01-15 09:15:00+05:30,327.0,330.05,318.0,326.1,977336
NAM-INDIA,2018-01-16 09:15:00+05:30,328.3,335.0,310.55,313.9,1870590
NAM-INDIA,2018-01-17 09:15:00+05:30,315.55,318.0,304.55,309.65,475657
NAM-INDIA,2018-01-18 09:15:00+05:30,313.3,314.25,295.0,297.35,219036
NAM-INDIA,2018-01-19 09:15:00+05:30,300.0,303.4,291.0,293.5,371719
NAM-INDIA,2018-01-22 09:15:00+05:30,295.0,302.0,292.0,295.4,308784
NAM-INDIA,2018-01-23 09:15:00+05:30,295.5,305.25,295.0,296.05,316102
NAM-INDIA,2018-01-24 09:15:00+05:30,295.3,308.2,292.15,304.65,560932
NAM-INDIA,2018-01-25 09:15:00+05:30,303.0,307.0,297.0,301.1,282209
NAM-INDIA,2018-01-29 09:15:00+05:30,301.1,302.3,295.1,296.15,237587
NAM-INDIA,2018-01-30 09:15:00+05:30,296.1,299.0,287.05,289.85,267164
NAM-INDIA,2018-01-31 09:15:00+05:30,288.9,290.0,281.35,284.55,126763
NAM-INDIA,2018-02-01 09:15:00+05:30,284.95,289.85,272.0,274.35,289992
NAM-INDIA,2018-02-02 09:15:00+05:30,270.0,273.0,256.0,266.9,295003
NAM-INDIA,2018-02-05 09:15:00+05:30,258.9,277.0,251.5,272.45,243347
NAM-INDIA,2018-02-06 09:15:00+05:30,256.0,269.85,256.0,262.85,294274
NAM-INDIA,2018-02-07 09:15:00+05:30,267.0,274.2,263.8,273.05,332922
NAM-INDIA,2018-02-08 09:15:00+05:30,273.0,281.7,272.0,277.45,416506
NAM-INDIA,2018-02-09 09:15:00+05:30,272.55,280.25,270.2,276.9,136312
NAM-INDIA,2018-02-12 09:15:00+05:30,275.2,283.55,275.2,279.05,840375
NAM-INDIA,2018-02-14 09:15:00+05:30,279.0,285.0,279.0,282.25,76825
NAM-INDIA,2018-02-15 09:15:00+05:30,285.0,286.45,278.65,282.75,115706
NAM-INDIA,2018-02-16 09:15:00+05:30,284.85,285.5,272.3,282.15,173710
NAM-INDIA,2018-02-19 09:15:00+05:30,280.35,281.5,273.55,277.0,81973
NAM-INDIA,2018-02-20 09:15:00+05:30,275.0,275.05,270.1,272.15,61484
NAM-INDIA,2018-02-21 09:15:00+05:30,272.8,274.75,270.55,272.85,33779
NAM-INDIA,2018-02-22 09:15:00+05:30,272.0,274.55,270.0,272.45,241606
NAM-INDIA,2018-02-23 09:15:00+05:30,272.9,286.85,267.15,273.5,162618
NAM-INDIA,2018-02-26 09:15:00+05:30,279.2,279.2,275.05,277.1,61675
NAM-INDIA,2018-02-27 09:15:00+05:30,277.4,280.65,274.9,277.0,92339
NAM-INDIA,2018-02-28 09:15:00+05:30,276.65,277.45,273.0,273.85,425761
NAM-INDIA,2018-03-01 09:15:00+05:30,271.1,276.5,271.05,272.15,185309
NAM-INDIA,2018-03-05 09:15:00+05:30,272.15,273.2,265.0,266.1,67986
NAM-INDIA,2018-03-06 09:15:00+05:30,269.0,269.9,260.15,262.9,272564
NAM-INDIA,2018-03-07 09:15:00+05:30,265.0,265.0,256.0,256.75,57483
NAM-INDIA,2018-03-08 09:15:00+05:30,256.0,265.7,253.7,260.25,83463
NAM-INDIA,2018-03-09 09:15:00+05:30,261.05,263.4,256.95,258.35,144100
NAM-INDIA,2018-03-12 09:15:00+05:30,261.5,262.2,255.0,256.35,46274
NAM-INDIA,2018-03-13 09:15:00+05:30,259.0,259.8,255.0,256.85,82899
