Symbol,Date,Open,High,Low,Close,Volume
POWERGRID,2007-10-05 00:00:00+05:30,46.95,58.05,43.2,53.05,855215442
POWERGRID,2007-10-08 00:00:00+05:30,54.95,54.95,49.8,50.15,126671684
POWERGRID,2007-10-09 00:00:00+05:30,50.2,54.3,47.25,53.8,116725680
POWERGRID,2007-10-10 00:00:00+05:30,55.3,55.5,53.8,54.35,67931362
POWERGRID,2007-10-11 00:00:00+05:30,63.95,63.95,53.8,60.8,106320928
POWERGRID,2007-10-12 00:00:00+05:30,59.45,62.8,58.9,60.4,99410766
POWERGRID,2007-10-15 00:00:00+05:30,61.7,62.1,60.65,61.2,41814962
POWERGRID,2007-10-16 00:00:00+05:30,61.3,68.95,60.85,67.85,138614463
POWERGRID,2007-10-17 00:00:00+05:30,60.55,75.2,56.15,73.4,204876209
POWERGRID,2007-10-18 00:00:00+05:30,74.65,80.5,67.5,70.7,146617763
POWERGRID,2007-10-19 00:00:00+05:30,69.0,73.45,66.75,70.45,110266464
POWERGRID,2007-10-22 00:00:00+05:30,68.95,71.75,67.05,69.45,72253387
POWERGRID,2007-10-23 00:00:00+05:30,71.25,75.4,71.25,74.65,74594903
POWERGRID,2007-10-24 00:00:00+05:30,76.3,77.2,72.55,73.45,63055155
POWERGRID,2007-10-25 00:00:00+05:30,70.85,75.1,64.3,73.3,34522481
POWERGRID,2007-10-26 00:00:00+05:30,74.65,76.85,72.55,75.6,62370010
POWERGRID,2007-10-29 00:00:00+05:30,76.9,79.15,76.5,77.2,43657686
POWERGRID,2007-10-30 00:00:00+05:30,78.3,81.25,75.85,79.0,79921692
POWERGRID,2007-10-31 00:00:00+05:30,79.45,82.6,79.15,80.7,44655357
POWERGRID,2007-11-01 00:00:00+05:30,82.8,83.45,78.15,78.85,50632479
POWERGRID,2007-11-02 00:00:00+05:30,75.85,80.8,75.2,80.35,32001685
POWERGRID,2007-11-05 00:00:00+05:30,80.25,83.95,79.75,82.0,38833125
POWERGRID,2007-11-06 00:00:00+05:30,83.5,88.65,82.0,83.15,81880261
POWERGRID,2007-11-07 00:00:00+05:30,84.75,86.0,80.0,81.9,33593133
POWERGRID,2007-11-08 00:00:00+05:30,79.7,82.7,78.55,80.45,27990514
POWERGRID,2007-11-09 00:00:00+05:30,83.65,83.65,79.0,80.1,8646602
POWERGRID,2007-11-12 00:00:00+05:30,77.9,83.95,75.7,82.45,35153726
POWERGRID,2007-11-13 00:00:00+05:30,83.95,86.3,81.1,84.5,43830520
POWERGRID,2007-11-14 00:00:00+05:30,86.05,87.3,82.9,83.35,36738569
