Symbol,Date,Open,High,Low,Close,Volume
SBICARD,2015-01-01 00:00:00+05:30,311.0,319.95,310.3,312.85,393
SBICARD,2015-01-02 00:00:00+05:30,315.0,320.0,311.0,319.39,1992
SBICARD,2015-01-05 00:00:00+05:30,317.0,322.0,312.0,320.0,2061
SBICARD,2015-01-06 00:00:00+05:30,318.0,318.0,300.0,300.0,343
SBICARD,2015-01-07 00:00:00+05:30,301.05,302.0,301.05,302.0,20
SBICARD,2015-01-08 00:00:00+05:30,305.0,317.0,305.0,315.64,421
SBICARD,2015-01-09 00:00:00+05:30,309.05,318.35,300.3,310.55,759
SBICARD,2015-01-12 00:00:00+05:30,315.0,318.0,311.1,315.89,1635
SBICARD,2015-01-13 00:00:00+05:30,318.0,320.0,316.0,317.5,508
SBICARD,2015-01-14 00:00:00+05:30,316.0,316.0,309.0,312.3,1034
SBICARD,2015-01-15 00:00:00+05:30,322.0,322.0,308.1,315.05,1323
SBICARD,2015-01-16 00:00:00+05:30,313.0,320.0,313.0,320.0,26
SBICARD,2015-01-19 00:00:00+05:30,313.0,321.0,310.0,318.5,108
SBICARD,2015-01-20 00:00:00+05:30,310.0,322.0,310.0,320.25,840
SBICARD,2015-01-21 00:00:00+05:30,325.1,325.1,317.0,317.1,472
SBICARD,2015-01-22 00:00:00+05:30,322.0,324.89,316.5,320.1,1846
SBICARD,2015-01-23 00:00:00+05:30,317.05,322.7,310.0,316.0,789
SBICARD,2015-01-27 00:00:00+05:30,317.85,320.0,316.1,319.0,211
SBICARD,2015-01-28 00:00:00+05:30,329.7,329.7,312.05,314.45,673
SBICARD,2015-01-29 00:00:00+05:30,317.0,317.0,311.05,313.0,160
SBICARD,2020-03-16 00:00:00+05:30,661.0,755.0,656.0,681.4,60893377
SBICARD,2020-03-17 00:00:00+05:30,691.0,747.95,689.0,730.9,15147702
SBICARD,2020-03-18 00:00:00+05:30,752.1,769.0,680.0,689.2,8950986
SBICARD,2020-03-19 00:00:00+05:30,660.0,717.0,650.0,692.05,6432291
SBICARD,2020-03-20 00:00:00+05:30,706.25,730.0,690.25,724.5,6492749
SBICARD,2020-03-23 00:00:00+05:30,659.0,698.0,580.0,582.4,6260568
SBICARD,2020-03-24 00:00:00+05:30,620.0,623.95,575.05,613.7,4019346
SBICARD,2020-03-25 00:00:00+05:30,601.0,648.9,591.4,624.95,3488027
SBICARD,2020-03-26 00:00:00+05:30,634.0,693.8,621.45,650.95,4360649
SBICARD,2020-03-27 00:00:00+05:30,675.0,690.0,650.0,655.9,3114721
SBICARD,2020-03-30 00:00:00+05:30,640.0,642.7,607.0,615.35,1791951
SBICARD,2020-03-31 00:00:00+05:30,635.0,638.0,608.55,618.65,2334681
SBICARD,2020-04-01 00:00:00+05:30,624.0,624.0,601.25,608.05,1501066
SBICARD,2020-04-03 00:00:00+05:30,613.8,614.7,588.0,590.25,1693653
SBICARD,2020-04-07 00:00:00+05:30,605.0,611.0,582.0,586.05,3137486
SBICARD,2020-04-08 00:00:00+05:30,584.8,598.4,576.0,579.5,3091087
SBICARD,2020-04-09 00:00:00+05:30,585.05,614.25,575.0,595.2,6139709
SBICARD,2020-04-13 00:00:00+05:30,580.0,581.5,501.1,505.5,22874756
SBICARD,2020-04-15 00:00:00+05:30,510.0,524.45,502.0,504.65,8436966
SBICARD,2020-04-16 00:00:00+05:30,505.0,537.2,501.0,532.1,8012609
SBICARD,2020-04-17 00:00:00+05:30,546.0,548.8,523.0,530.5,6750064
SBICARD,2020-04-20 00:00:00+05:30,534.75,548.9,528.5,540.1,5766967
SBICARD,2020-04-21 00:00:00+05:30,528.9,534.9,518.0,525.9,3249487
SBICARD,2020-04-22 00:00:00+05:30,527.0,535.7,520.1,532.4,2719280
SBICARD,2020-04-23 00:00:00+05:30,539.0,574.0,535.0,560.95,4983406
SBICARD,2020-04-24 00:00:00+05:30,557.7,596.45,552.1,557.85,7824080
SBICARD,2020-04-27 00:00:00+05:30,563.7,575.0,542.85,552.7,3306453
SBICARD,2020-04-28 00:00:00+05:30,556.0,562.45,547.45,550.9,1975826
SBICARD,2020-04-29 00:00:00+05:30,555.4,584.0,548.4,577.5,6121364
SBICARD,2020-04-30 00:00:00+05:30,591.0,604.9,585.0,599.15,6038342
SBICARD,2020-05-04 00:00:00+05:30,566.2,578.0,566.2,568.45,2066389
SBICARD,2020-05-05 00:00:00+05:30,577.75,584.3,550.6,553.0,2247828
SBICARD,2020-05-06 00:00:00+05:30,557.0,569.0,542.0,565.65,2356415
SBICARD,2020-05-07 00:00:00+05:30,563.0,579.0,558.9,574.45,2201886
SBICARD,2020-05-08 00:00:00+05:30,585.0,586.0,548.6,561.95,5125026
SBICARD,2020-05-11 00:00:00+05:30,552.0,561.0,543.0,548.5,2746769
SBICARD,2020-05-12 00:00:00+05:30,542.0,548.35,530.2,543.1,2115701
SBICARD,2020-05-13 00:00:00+05:30,570.0,570.55,545.25,548.3,2376132
SBICARD,2020-05-14 00:00:00+05:30,543.0,545.75,537.1,538.65,1456710
SBICARD,2020-05-15 00:00:00+05:30,542.0,544.0,535.25,539.45,1044907
SBICARD,2020-05-18 00:00:00+05:30,540.0,540.0,526.0,528.9,1212873
SBICARD,2020-05-19 00:00:00+05:30,535.0,540.0,529.15,537.65,1329780
SBICARD,2020-05-20 00:00:00+05:30,537.0,548.0,534.6,536.75,1142416
SBICARD,2020-05-21 00:00:00+05:30,539.4,546.8,536.15,542.35,1181475
SBICARD,2020-05-22 00:00:00+05:30,541.4,546.3,495.0,509.55,5257015
SBICARD,2020-05-26 00:00:00+05:30,515.0,518.0,496.5,498.75,4518856
SBICARD,2020-05-27 00:00:00+05:30,501.6,521.1,496.0,517.45,3008686
SBICARD,2020-05-28 00:00:00+05:30,520.0,537.75,518.15,532.3,2381145
SBICARD,2020-05-29 00:00:00+05:30,528.0,541.65,524.2,538.85,1540581
SBICARD,2020-06-01 00:00:00+05:30,544.0,557.4,544.0,547.8,1939049
SBICARD,2020-06-02 00:00:00+05:30,554.5,573.0,552.75,570.05,2741138
SBICARD,2020-06-03 00:00:00+05:30,578.0,626.0,577.0,611.3,9393658
SBICARD,2020-06-04 00:00:00+05:30,615.0,634.7,607.0,612.4,4581403
