Symbol,Date,Open,High,Low,Close,Volume
TORNTPOWER,2006-11-28 00:00:00+05:30,45.0,76.9,45.0,71.0,11220431
TORNTPOWER,2006-11-29 00:00:00+05:30,72.0,85.2,71.25,85.2,6238950
TORNTPOWER,2006-11-30 00:00:00+05:30,90.0,99.3,83.5,84.5,9584790
TORNTPOWER,2006-12-01 00:00:00+05:30,85.5,90.65,82.15,84.0,5465074
TORNTPOWER,2006-12-04 00:00:00+05:30,84.5,88.2,84.5,85.25,2532584
TORNTPOWER,2006-12-05 00:00:00+05:30,86.9,87.85,83.75,84.1,2225893
TORNTPOWER,2006-12-06 00:00:00+05:30,84.3,85.5,80.2,80.95,1378925
TORNTPOWER,2006-12-07 00:00:00+05:30,81.2,81.9,77.6,78.3,846908
TORNTPOWER,2006-12-08 00:00:00+05:30,78.0,83.6,77.55,80.75,2514833
TORNTPOWER,2006-12-11 00:00:00+05:30,80.4,80.95,75.0,75.5,972041
TORNTPOWER,2006-12-12 00:00:00+05:30,76.0,76.0,69.1,70.45,820712
TORNTPOWER,2006-12-13 00:00:00+05:30,70.65,73.5,66.8,72.05,931808
TORNTPOWER,2006-12-14 00:00:00+05:30,73.6,77.0,72.25,75.25,1022030
TORNTPOWER,2006-12-15 00:00:00+05:30,75.4,78.6,75.3,75.55,666952
TORNTPOWER,2006-12-18 00:00:00+05:30,76.0,76.4,73.1,75.45,636459
TORNTPOWER,2006-12-19 00:00:00+05:30,75.0,75.6,71.0,72.25,406617
TORNTPOWER,2006-12-20 00:00:00+05:30,73.05,73.7,71.15,72.6,506132
TORNTPOWER,2006-12-21 00:00:00+05:30,73.7,74.75,71.6,72.7,580749
TORNTPOWER,2006-12-22 00:00:00+05:30,72.1,73.6,71.5,72.05,307347
TORNTPOWER,2006-12-26 00:00:00+05:30,73.0,73.0,71.5,72.5,231077
TORNTPOWER,2006-12-27 00:00:00+05:30,73.0,73.0,70.4,70.9,298399
TORNTPOWER,2006-12-28 00:00:00+05:30,71.75,72.0,69.0,69.4,262969
TORNTPOWER,2006-12-29 00:00:00+05:30,69.7,75.5,68.25,72.85,616235
TORNTPOWER,2007-01-02 00:00:00+05:30,75.0,75.75,73.6,74.0,301305
TORNTPOWER,2007-01-03 00:00:00+05:30,75.0,75.0,73.0,73.6,172117
TORNTPOWER,2007-01-04 00:00:00+05:30,74.0,82.3,73.0,79.65,2186571
TORNTPOWER,2007-01-05 00:00:00+05:30,80.0,80.5,76.55,77.25,624907
TORNTPOWER,2007-01-08 00:00:00+05:30,77.1,81.55,76.55,79.65,1113697
TORNTPOWER,2007-01-09 00:00:00+05:30,80.75,83.35,79.0,79.85,941693
TORNTPOWER,2007-01-10 00:00:00+05:30,79.0,79.9,76.55,76.9,341209
TORNTPOWER,2007-01-11 00:00:00+05:30,77.75,80.0,76.7,79.35,481405
TORNTPOWER,2007-01-12 00:00:00+05:30,80.0,82.0,78.8,79.85,506535
TORNTPOWER,2007-01-15 00:00:00+05:30,80.0,82.0,78.7,80.55,397756
TORNTPOWER,2007-01-16 00:00:00+05:30,81.0,81.2,79.0,79.35,255913
TORNTPOWER,2007-01-17 00:00:00+05:30,79.95,80.0,78.5,78.85,152373
TORNTPOWER,2007-01-18 00:00:00+05:30,79.5,81.4,78.1,78.5,276879
TORNTPOWER,2007-01-19 00:00:00+05:30,79.0,79.75,76.25,77.0,144585
TORNTPOWER,2007-01-22 00:00:00+05:30,78.0,79.8,77.2,77.45,134083
TORNTPOWER,2007-01-23 00:00:00+05:30,77.5,78.5,75.55,76.6,117503
TORNTPOWER,2007-01-24 00:00:00+05:30,77.0,77.8,75.8,76.15,86189
TORNTPOWER,2007-01-25 00:00:00+05:30,77.0,80.8,75.4,76.45,127614
TORNTPOWER,2007-01-29 00:00:00+05:30,77.0,79.0,76.5,77.05,282637
TORNTPOWER,2007-01-31 00:00:00+05:30,77.25,77.85,75.05,75.2,82906
TORNTPOWER,2007-02-01 00:00:00+05:30,76.0,77.0,74.0,74.2,89372
TORNTPOWER,2007-02-02 00:00:00+05:30,75.0,75.4,70.0,73.45,190983
TORNTPOWER,2007-02-05 00:00:00+05:30,74.5,77.65,72.7,76.05,374948
TORNTPOWER,2007-02-06 00:00:00+05:30,76.85,78.35,75.55,76.05,201033
TORNTPOWER,2007-02-07 00:00:00+05:30,76.1,76.9,73.1,74.6,116634
TORNTPOWER,2007-02-08 00:00:00+05:30,75.0,75.4,73.5,73.85,84203
TORNTPOWER,2007-02-09 00:00:00+05:30,74.35,74.9,71.6,72.0,88935
TORNTPOWER,2007-02-12 00:00:00+05:30,76.8,76.8,69.05,69.65,119703
TORNTPOWER,2007-02-13 00:00:00+05:30,70.0,71.5,68.55,69.45,121338
TORNTPOWER,2007-02-14 00:00:00+05:30,69.0,69.9,67.15,69.45,88482
TORNTPOWER,2007-02-15 00:00:00+05:30,70.9,71.9,70.5,71.45,95232
TORNTPOWER,2007-02-19 00:00:00+05:30,71.0,72.7,71.0,71.65,82550
TORNTPOWER,2007-02-20 00:00:00+05:30,72.0,72.4,69.75,70.05,54002
TORNTPOWER,2007-02-21 00:00:00+05:30,70.0,70.4,69.1,69.55,68829
TORNTPOWER,2007-02-22 00:00:00+05:30,69.4,70.0,67.4,68.0,59510
TORNTPOWER,2007-02-23 00:00:00+05:30,68.75,68.9,65.25,66.1,113122
TORNTPOWER,2007-02-26 00:00:00+05:30,66.75,68.0,66.0,67.3,70709
TORNTPOWER,2007-02-27 00:00:00+05:30,68.35,71.25,68.35,68.9,196947
TORNTPOWER,2007-02-28 00:00:00+05:30,66.0,69.25,65.0,67.95,193564
TORNTPOWER,2007-03-01 00:00:00+05:30,68.0,68.2,65.8,66.7,79129
TORNTPOWER,2007-03-02 00:00:00+05:30,66.25,66.95,65.0,65.3,78952
TORNTPOWER,2007-03-05 00:00:00+05:30,64.0,64.5,60.55,60.85,102946
TORNTPOWER,2007-03-06 00:00:00+05:30,64.3,64.3,59.1,62.15,123516
TORNTPOWER,2007-03-07 00:00:00+05:30,64.0,64.0,58.55,59.55,69119
TORNTPOWER,2007-03-08 00:00:00+05:30,61.0,61.0,57.8,59.75,98296
TORNTPOWER,2007-03-09 00:00:00+05:30,61.5,61.5,58.65,59.1,56044
TORNTPOWER,2007-03-12 00:00:00+05:30,60.0,62.0,59.25,61.4,73420
TORNTPOWER,2007-03-13 00:00:00+05:30,62.45,63.9,60.6,63.5,100076
TORNTPOWER,2007-03-14 00:00:00+05:30,57.55,62.5,57.5,61.0,63261
TORNTPOWER,2007-03-15 00:00:00+05:30,62.0,62.9,61.0,61.25,28088
TORNTPOWER,2007-03-16 00:00:00+05:30,61.5,62.8,59.75,61.65,65555
TORNTPOWER,2007-03-19 00:00:00+05:30,62.0,62.65,60.5,61.0,31815
TORNTPOWER,2007-03-20 00:00:00+05:30,62.0,62.0,60.1,60.55,29576
