trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,93,2003-05-19 00:00:00,94,117,2003-05-20 00:00:00,2003-06-20 00:00:00,short,85.05,92.31428571428572,101.10000000000001,92.31428571428572,-0.45260347129506007,-7.26428571428572,SL,price_time,4.699999999999989,-2.3500000000000085,-2.549999999999997,-3.75,-4.200000000000003,-2.549999999999997
2,248,2003-12-23 00:00:00,249,272,2003-12-24 00:00:00,2004-01-28 00:00:00,short,224.0,199.79999999999998,261.8428571428571,199.79999999999998,0.6394865987164979,24.200000000000017,SL,price_time,9.0,12.75,19.25,17.599999999999994,29.400000000000006,32.099999999999994
3,524,2005-01-27 00:00:00,525,539,2005-01-28 00:00:00,2005-02-17 00:00:00,long,37.2,35.91785714285712,32.72857142857142,35.91785714285712,-0.28674121405751235,-1.2821428571428797,SL,price_date,0.7000000000000028,0.29999999999999716,0.44999999999999574,0.04999999999999716,0.5999999999999943,1.1499999999999986
4,676,2005-09-01 00:00:00,677,724,2005-09-02 00:00:00,2005-11-14 00:00:00,short,35.05,31.289285714285725,39.75000000000001,31.289285714285725,0.800151975683886,3.760714285714272,SL,price_time,1.2000000000000028,1.0,0.19999999999999574,0.9499999999999957,1.0499999999999972,1.3499999999999943
5,851,2006-05-19 00:00:00,852,860,2006-05-22 00:00:00,2006-06-01 00:00:00,short,92.5,93.14642857142857,112.78571428571429,93.14642857142857,-0.031866197183098625,-0.6464285714285722,SL,price_time,4.549999999999997,6.200000000000003,10.5,14.599999999999994,18.200000000000003,14.450000000000003
6,877,2006-06-25 00:00:00,878,911,2006-06-26 00:00:00,2006-08-10 00:00:00,short,69.5,63.14285714285715,79.26428571428572,63.14285714285715,0.6510607168983161,6.357142857142847,SL,price_date,3.450000000000003,3.700000000000003,6.450000000000003,7.299999999999997,7.200000000000003,4.549999999999997
7,926,2006-09-01 00:00:00,927,1036,2006-09-04 00:00:00,2007-02-12 00:00:00,long,60.9,109.71071428571427,51.08571428571428,109.71071428571427,4.97343522561863,48.810714285714276,SL,price_time,3.0,1.8000000000000043,3.3999999999999986,4.199999999999996,2.75,3.3000000000000043
8,1054,2007-03-09 00:00:00,1055,1102,2007-03-12 00:00:00,2007-05-22 00:00:00,long,96.5,115.28214285714284,84.40714285714284,115.28214285714284,1.5531600708800917,18.782142857142844,SL,price_date,2.0999999999999943,1.8499999999999943,2.75,-0.45000000000000284,0.45000000000000284,0.4000000000000057
9,1118,2007-06-13 00:00:00,1119,1209,2007-06-14 00:00:00,2007-10-22 00:00:00,long,117.2,293.84285714285716,104.00714285714285,293.84285714285716,13.389279913373032,176.64285714285717,SL,price_time,1.9000000000000057,1.0,0.3499999999999943,1.25,2.299999999999997,5.0
10,1321,2008-04-02 00:00:00,1322,1360,2008-04-03 00:00:00,2008-06-02 00:00:00,long,307.5,386.74642857142857,246.63571428571427,386.74642857142857,1.3020185424245976,79.24642857142857,SL,price_time,12.25,13.050000000000011,1.6499999999999773,10.199999999999989,14.75,26.0
11,1464,2008-10-31 00:00:00,1465,1478,2008-11-03 00:00:00,2008-11-21 00:00:00,long,190.0,158.70357142857142,138.30714285714285,158.70357142857142,-0.6054304269725025,-31.296428571428578,SL,price_date,15.850000000000023,11.800000000000011,18.30000000000001,14.699999999999989,9.449999999999989,9.650000000000006
12,1558,2009-03-25 00:00:00,1559,1628,2009-03-26 00:00:00,2009-07-09 00:00:00,long,124.35,352.90357142857147,111.83571428571427,352.90357142857147,18.26341324200913,228.55357142857147,SL,price_time,2.0,-0.3999999999999915,1.3000000000000114,4.5,9.450000000000017,15.5
13,1760,2010-01-21 00:00:00,1761,1778,2010-01-22 00:00:00,2010-02-17 00:00:00,short,463.0,502.1357142857143,526.7857142857143,502.1357142857143,-0.6135498320268754,-39.1357142857143,SL,price_time,4.099999999999966,-0.5500000000000114,8.699999999999989,17.899999999999977,18.149999999999977,19.75
14,1899,2010-08-11 00:00:00,1900,1908,2010-08-12 00:00:00,2010-08-24 00:00:00,short,610.0,663.1885714285714,664.5585714285714,663.1885714285714,-0.9748893718415332,-53.188571428571436,SL,price_time,12.960000000000036,10.210000000000036,-16.649999999999977,-15.789999999999964,-18.350000000000023,-30.100000000000023
15,1936,2010-10-04 00:00:00,1937,1956,2010-10-05 00:00:00,2010-11-01 00:00:00,short,689.0,730.4678571428572,735.7285714285714,730.4678571428572,-0.8874197493121377,-41.467857142857156,SL,price_date,21.950000000000045,26.700000000000045,27.950000000000045,-1.1499999999999773,-4.649999999999977,-17.149999999999977
16,1982,2010-12-08 00:00:00,1983,1997,2010-12-09 00:00:00,2010-12-30 00:00:00,short,640.0,687.5785714285714,747.9728571428572,687.5785714285714,-0.440653074185311,-47.57857142857142,SL,price_date,20.350000000000023,16.600000000000023,4.350000000000023,-7.0,4.649999999999977,6.75
17,2037,2011-02-25 00:00:00,2038,2071,2011-02-28 00:00:00,2011-04-19 00:00:00,long,584.04,622.4885714285714,502.31142857142856,622.4885714285714,0.47044223037930444,38.44857142857143,SL,price_date,15.75,27.06000000000006,33.610000000000014,21.710000000000036,15.56000000000006,9.460000000000036
18,2162,2011-08-26 00:00:00,2163,2181,2011-08-29 00:00:00,2011-09-26 00:00:00,long,533.79,543.1207142857144,462.89,543.1207142857144,0.13160386862784781,9.330714285714407,SL,price_date,16.100000000000023,5.660000000000082,-4.339999999999918,-1.0399999999999636,-2.089999999999918,1.3100000000000591
19,2267,2012-01-31 00:00:00,2268,2285,2012-02-01 00:00:00,2012-02-27 00:00:00,long,415.0,349.0392857142857,320.05,349.0392857142857,-0.6946889340254271,-65.96071428571429,SL,price_date,20.350000000000023,21.25,15.050000000000011,12.350000000000023,20.05000000000001,-13.449999999999989
20,2438,2012-10-04 00:00:00,2439,2514,2012-10-05 00:00:00,2013-01-24 00:00:00,long,228.6,252.8492857142857,188.79999999999998,252.8492857142857,0.6092785355348169,24.24928571428572,SL,price_time,10.400000000000006,6.950000000000017,-1.25,-8.299999999999983,-17.44999999999999,-3.25
21,2543,2013-03-06 00:00:00,2544,2554,2013-03-07 00:00:00,2013-03-21 00:00:00,long,221.1,211.53214285714284,192.29285714285714,211.53214285714284,-0.33213488718075906,-9.56785714285715,SL,price_time,6.949999999999989,6.400000000000006,14.550000000000011,22.5,18.0,10.5
22,2593,2013-05-21 00:00:00,2594,2621,2013-05-22 00:00:00,2013-06-28 00:00:00,short,240.25,208.25357142857143,264.5571428571429,208.25357142857143,1.3163385248310302,31.996428571428567,SL,price_time,6.949999999999989,7.449999999999989,21.19999999999999,19.150000000000006,15.0,18.400000000000006
23,2676,2013-09-18 00:00:00,2677,2752,2013-09-19 00:00:00,2014-01-08 00:00:00,long,140.35,240.53428571428572,118.08000000000001,240.53428571428572,4.498620822374756,100.18428571428572,SL,price_date,13.799999999999983,9.0,10.700000000000017,4.400000000000006,6.450000000000017,2.450000000000017
24,2780,2014-02-17 00:00:00,2781,2816,2014-02-18 00:00:00,2014-04-10 00:00:00,long,220.25,411.85357142857146,192.93571428571428,411.85357142857146,7.014775104602511,191.60357142857146,SL,price_time,7.599999999999994,7.5,23.80000000000001,24.94999999999999,29.349999999999994,29.400000000000006
