trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,2915,2021-06-14,2916,2967,2021-06-15,2021-08-27,short,26.8,17.41071428571429,32.30714285714286,17.41071428571429,1.7049286640726329,9.389285714285712,SL,price_time,1.3999999999999986,-0.0,1.3500000000000014,2.6000000000000014,3.8000000000000007,2.6999999999999993
2,2974,2021-09-07,2975,3007,2021-09-08,2021-10-26,long,18.0,21.82142857142857,16.542857142857144,21.82142857142857,2.6225490196078445,3.8214285714285694,SL,price_time,0.9499999999999993,1.5500000000000007,2.5,2.1000000000000014,1.8500000000000014,1.8999999999999986
3,3091,2022-02-24,3092,3141,2022-02-25,2022-05-12,long,24.0,50.292857142857144,17.057142857142857,50.292857142857144,3.787037037037037,26.292857142857144,SL,price_time,2.5500000000000007,0.8000000000000007,0.75,0.6000000000000014,0.5500000000000007,-0.05000000000000071
4,3171,2022-06-23,3172,3214,2022-06-24,2022-08-25,long,51.2,76.375,43.35,76.375,3.2070063694267508,25.174999999999997,SL,price_time,2.3999999999999986,1.6999999999999957,3.3999999999999986,2.8499999999999943,2.799999999999997,1.3499999999999943
5,3220,2022-09-05,3221,3241,2022-09-06,2022-10-04,long,78.4,70.46785714285714,68.10714285714285,70.46785714285714,-0.7706453851492014,-7.932142857142864,SL,price_date,3.5999999999999943,3.1499999999999915,2.8499999999999943,2.0,1.0,1.0999999999999943
6,3250,2022-10-18,3251,3265,2022-10-19,2022-11-10,short,69.1,75.39285714285715,76.89285714285714,75.39285714285715,-0.8075160403299744,-6.292857142857159,SL,price_time,2.3999999999999915,2.3999999999999915,1.3999999999999915,2.6499999999999915,2.0,2.6499999999999915
7,3277,2022-11-28,3278,3299,2022-11-29,2022-12-28,short,66.0,59.07142857142857,73.00000000000001,59.07142857142857,0.9897959183673453,6.928571428571431,SL,price_time,0.7000000000000028,1.0499999999999972,-0.5499999999999972,-0.09999999999999432,0.9500000000000028,1.4000000000000057
8,3333,2023-02-15,3334,3341,2023-02-16,2023-02-27,long,28.4,28.617857142857147,24.04285714285714,28.617857142857147,0.05000000000000134,0.21785714285714874,SL,price_time,1.4000000000000021,1.1500000000000021,2.650000000000002,4.200000000000003,5.800000000000004,4.100000000000001
9,3350,2023-03-13,3351,3377,2023-03-14,2023-04-25,short,43.45,41.82142857142857,47.14285714285714,41.82142857142857,0.4410058027079325,1.6285714285714334,SL,price_date,2.1499999999999986,2.6000000000000014,3.1000000000000014,3.700000000000003,3.450000000000003,5.400000000000006
10,3396,2023-05-23,3397,3407,2023-05-24,2023-06-07,short,53.3,55.857142857142854,55.857142857142854,55.857142857142854,-1.0,-2.557142857142857,SL,price_time,0.8499999999999943,2.0999999999999943,1.4499999999999957,1.6999999999999957,2.0,3.0999999999999943
11,3459,2023-08-22,3460,3473,2023-08-23,2023-09-11,short,70.6,75.41428571428571,76.35714285714286,75.41428571428571,-0.8362282878411901,-4.814285714285717,SL,price_time,4.950000000000003,6.049999999999997,4.849999999999994,5.599999999999994,6.25,4.049999999999997
12,3479,2023-09-20,3480,3491,2023-09-21,2023-10-09,long,73.4,67.87500000000001,66.1,67.87500000000001,-0.7568493150684908,-5.5249999999999915,SL,price_time,2.799999999999997,3.0999999999999943,3.3999999999999915,2.8499999999999943,2.0999999999999943,1.6499999999999915
13,3535,2023-12-12,3536,3567,2023-12-13,2024-01-29,short,103.9,113.35357142857143,120.27142857142857,113.35357142857143,-0.5774432809773121,-9.453571428571422,SL,price_time,2.25,2.75,-1.8999999999999915,-3.8499999999999943,-3.9499999999999886,-3.1999999999999886
14,3652,2024-06-03,3653,3692,2024-06-04,2024-07-31,short,174.6,149.37142857142857,195.05,149.37142857142857,1.2336709745022694,25.228571428571428,SL,price_time,30.30000000000001,30.0,29.25,24.75,21.19999999999999,20.650000000000006
15,3713,2024-08-30,3714,3746,2024-09-02,2024-10-17,long,127.0,122.51428571428573,116.87857142857143,122.51428571428573,-0.44318983768524883,-4.485714285714266,SL,price_time,7.650000000000006,7.050000000000011,4.800000000000011,3.1500000000000057,1.75,-0.04999999999999716
16,3772,2024-11-26,3773,3805,2024-11-27,2025-01-13,long,87.35,95.06428571428572,73.77142857142859,95.06428571428572,0.5681220410310378,7.714285714285722,SL,price_date,17.049999999999997,17.25,24.85000000000001,23.60000000000001,22.450000000000003,21.5
17,3816,2025-01-28,3817,3863,2025-01-29,2025-04-07,long,100.6,95.69999999999999,84.28571428571429,95.69999999999999,-0.3003502626970233,-4.900000000000006,SL,price_date,5.099999999999994,3.950000000000003,1.1500000000000057,2.0500000000000114,1.9000000000000057,-0.14999999999999147
18,3865,2025-04-09,3866,3883,2025-04-11,2025-05-09,long,103.75,102.50714285714287,91.92857142857143,102.50714285714287,-0.10513595166163062,-1.2428571428571331,SL,price_time,1.9500000000000028,-0.09999999999999432,4.700000000000003,5.349999999999994,6.200000000000003,10.049999999999997
19,3889,2025-05-19,3890,3905,2025-05-20,2025-06-10,short,112.8,117.5142857142857,123.83571428571427,117.5142857142857,-0.42718446601941723,-4.714285714285708,SL,price_date,1.2000000000000028,1.5499999999999972,2.549999999999997,2.049999999999997,2.1499999999999915,1.0999999999999943
20,3978,2025-09-23,3979,3997,2025-09-24,2025-10-21,short,163.25,173.84642857142856,199.43571428571425,173.84642857142856,-0.2928345834978286,-10.59642857142856,SL,price_time,17.849999999999994,18.75,14.25,17.0,16.599999999999994,18.599999999999994
