trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,1223,2008-01-22 00:00:00,1224,1313,2008-01-23 00:00:00,2008-06-05 00:00:00,long,6.25,6.924999999999999,4.192857142857143,6.924999999999999,0.3281249999999995,0.6749999999999989,SL,price_time,1.0499999999999998,0.9500000000000002,0.7000000000000002,1.1500000000000004,0.9000000000000004,0.9000000000000004
2,1540,2009-05-18 00:00:00,1541,1544,2009-05-19 00:00:00,2009-05-22 00:00:00,short,6.55,7.364285714285714,7.435714285714285,7.364285714285714,-0.9193548387096777,-0.8142857142857141,SL,price_time,0.5999999999999996,0.5999999999999996,0.2999999999999998,-0.5499999999999998,-0.8500000000000005,-1.4000000000000004
3,1751,2010-03-26 00:00:00,1752,1812,2010-03-29 00:00:00,2010-06-23 00:00:00,short,17.4,18.235714285714284,20.42857142857143,18.235714285714284,-0.2759433962264147,-0.8357142857142854,SL,price_time,1.0,1.0,1.2999999999999972,1.25,1.1999999999999993,-0.25
4,2210,2012-01-25 00:00:00,2211,2217,2012-01-27 00:00:00,2012-02-06 00:00:00,short,30.5,33.496428571428574,34.41428571428572,33.496428571428574,-0.7655109489051093,-2.9964285714285737,SL,price_time,0.25,-0.0,0.25,-0.25,-0.4499999999999993,-0.4499999999999993
5,2294,2012-05-30 00:00:00,2295,2295,2012-05-31 00:00:00,2012-05-31 00:00:00,short,65.7,66.58928571428571,76.81428571428572,66.58928571428571,-0.08001285347043621,-0.8892857142857054,SL,price_time,10.650000000000006,9.900000000000006,9.150000000000006,9.900000000000006,9.650000000000006,9.550000000000004
6,2371,2012-09-18 00:00:00,2372,2390,2012-09-20 00:00:00,2012-10-17 00:00:00,long,72.0,66.65714285714286,65.97857142857144,66.65714285714286,-0.8873072360616863,-5.342857142857142,SL,price_time,0.7000000000000028,2.450000000000003,3.8499999999999943,3.1500000000000057,2.6500000000000057,2.450000000000003
7,2531,2013-05-15 00:00:00,2532,2555,2013-05-16 00:00:00,2013-06-18 00:00:00,short,176.05,160.5928571428571,196.35714285714286,160.5928571428571,0.7611677805135451,15.457142857142912,SL,price_time,3.75,4.400000000000006,6.550000000000011,9.0,0.20000000000001705,1.8000000000000114
8,2563,2013-06-28 00:00:00,2564,2584,2013-07-01 00:00:00,2013-07-29 00:00:00,long,157.3,176.22857142857143,134.63571428571427,176.22857142857143,0.8351717617396771,18.928571428571416,SL,price_time,3.5,2.1999999999999886,8.149999999999977,6.649999999999977,14.349999999999994,18.349999999999994
9,2607,2013-09-02 00:00:00,2608,2644,2013-09-03 00:00:00,2013-10-28 00:00:00,long,150.95,202.13214285714287,117.4,202.13214285714287,1.5255482222695351,51.18214285714288,SL,price_time,6.5,4.800000000000011,4.950000000000017,7.200000000000017,17.75,22.350000000000023
10,2799,2014-06-16 00:00:00,2800,2809,2014-06-17 00:00:00,2014-06-30 00:00:00,short,391.4,417.975,429.67142857142863,417.975,-0.6943822321761848,-26.575000000000045,SL,price_time,12.399999999999977,15.899999999999977,28.69999999999999,31.25,21.149999999999977,6.349999999999966
11,2842,2014-08-18 00:00:00,2843,2870,2014-08-19 00:00:00,2014-09-26 00:00:00,long,416.0,436.3571428571429,350.1214285714286,436.3571428571429,0.3090100834869356,20.35714285714289,SL,price_date,8.399999999999977,8.199999999999989,15.550000000000011,18.899999999999977,11.100000000000023,15.199999999999989
12,2926,2014-12-24 00:00:00,2927,2984,2014-12-26 00:00:00,2015-03-20 00:00:00,long,602.65,772.7392857142859,533.0285714285714,772.7392857142859,2.4430594028931987,170.0892857142859,SL,price_date,32.75,32.80000000000007,26.899999999999977,23.100000000000023,17.899999999999977,26.200000000000045
13,3145,2015-11-13 00:00:00,3146,3199,2015-11-16 00:00:00,2016-02-01 09:15:00,short,915.65,869.2892857142857,1016.2785714285714,869.2892857142857,0.4607112436115844,46.360714285714266,SL,price_time,34.700000000000045,25.100000000000023,15.549999999999955,18.199999999999932,17.649999999999977,21.799999999999955
14,3294,2016-06-21 09:15:00,3295,3303,2016-06-22 09:15:00,2016-07-04 09:15:00,short,976.0,1033.2357142857145,1063.3785714285714,1033.2357142857145,-0.6550314722472029,-57.235714285714494,SL,price_date,13.5,12.049999999999955,12.299999999999955,-9.450000000000045,-9.950000000000045,-34.450000000000045
15,3436,2017-01-17 09:15:00,3437,3476,2017-01-18 09:15:00,2017-03-17 09:15:00,short,1200.55,1196.3571428571427,1273.2785714285717,1196.3571428571427,0.05765075623649758,4.192857142857292,SL,price_time,7.300000000000182,15.200000000000045,19.5,12.849999999999909,9.399999999999864,31.899999999999864
16,3534,2017-06-12 09:15:00,3535,3605,2017-06-13 09:15:00,2017-09-22 09:15:00,short,1038.0,853.4285714285714,1130.542857142857,853.4285714285714,1.9944427292374225,184.57142857142856,SL,price_date,9.800000000000182,8.150000000000091,-19.25,-15.150000000000091,-1.75,8.299999999999955
17,3696,2018-02-05 09:15:00,3697,3782,2018-02-06 09:15:00,2018-06-12 09:15:00,short,852.55,679.3535714285714,997.1142857142856,679.3535714285714,1.198058204456742,173.19642857142856,SL,price_date,10.199999999999932,-10.300000000000068,-35.35000000000002,-79.30000000000007,-91.80000000000007,-97.85000000000002
18,3922,2019-01-08 00:00:00,3923,3966,2019-01-09 00:00:00,2019-03-12 00:00:00,short,780.25,697.0535714285714,842.2357142857143,697.0535714285714,1.3421871398939849,83.19642857142856,SL,price_time,9.550000000000068,7.9500000000000455,5.0,7.100000000000023,-2.7000000000000455,6.7000000000000455
19,4004,2019-05-10 00:00:00,4005,4063,2019-05-13 00:00:00,2019-08-02 00:00:00,short,710.65,646.0392857142858,770.9857142857143,646.0392857142858,1.0708535574760247,64.61071428571415,SL,price_date,16.399999999999977,14.799999999999955,7.7999999999999545,13.850000000000023,19.699999999999932,26.649999999999977
20,4121,2019-11-01 00:00:00,4122,4166,2019-11-04 00:00:00,2020-01-07 00:00:00,short,715.25,667.4607142857143,760.0428571428571,667.4607142857143,1.0668952320204126,47.78928571428571,SL,price_date,38.89999999999998,45.60000000000002,47.049999999999955,40.60000000000002,54.39999999999998,56.049999999999955
21,4224,2020-03-30 00:00:00,4225,4294,2020-03-31 00:00:00,2020-07-14 00:00:00,long,871.35,900.1964285714286,616.3071428571428,900.1964285714286,0.11310424018372245,28.846428571428532,SL,price_date,39.80000000000007,39.5,39.35000000000002,3.699999999999932,22.100000000000023,40.299999999999955
22,4304,2020-07-28 00:00:00,4305,4328,2020-07-29 00:00:00,2020-08-31 00:00:00,long,966.65,1013.3714285714286,889.5,1013.3714285714286,0.6055920748078893,46.721428571428646,SL,price_date,30.700000000000045,26.200000000000045,41.60000000000002,119.50000000000011,131.60000000000002,140.69999999999993
23,4405,2020-12-18 00:00:00,4406,4418,2020-12-21 00:00:00,2021-01-07 00:00:00,short,1095.35,1152.4464285714284,1173.2785714285715,1152.4464285714284,-0.7326764436296958,-57.09642857142853,SL,price_date,36.850000000000136,33.0,-2.400000000000091,10.699999999999818,-19.350000000000136,-30.700000000000045
24,4435,2021-02-02 00:00:00,4436,4572,2021-02-03 00:00:00,2021-08-24 00:00:00,long,1199.3,1468.9071428571428,1066.7928571428572,1468.9071428571428,2.0346612042477514,269.6071428571429,SL,price_date,36.34999999999991,1.7999999999999545,9.5,10.299999999999955,8.049999999999955,5.5499999999999545
25,4655,2021-12-23 00:00:00,4656,4675,2021-12-24 00:00:00,2022-01-20 00:00:00,long,1439.95,1441.0607142857143,1286.7071428571428,1441.0607142857143,0.00724806562878704,1.1107142857142662,SL,price_date,43.350000000000136,-24.799999999999955,12.399999999999864,69.79999999999995,69.84999999999991,68.70000000000005
26,4821,2022-08-24 00:00:00,4822,4837,2022-08-25 00:00:00,2022-09-16 00:00:00,long,1331.6,1289.75,1235.9142857142858,1289.75,-0.43736936398925047,-41.84999999999991,SL,price_time,21.09999999999991,14.150000000000091,1.650000000000091,21.800000000000182,38.350000000000136,44.80000000000018
27,4890,2022-12-05 00:00:00,4891,4903,2022-12-06 00:00:00,2022-12-22 00:00:00,short,1266.25,1239.4714285714288,1331.2285714285715,1239.4714285714288,0.41211388369791896,26.77857142857124,SL,price_time,24.950000000000045,31.25,27.049999999999955,33.700000000000045,36.59999999999991,47.65000000000009
28,4934,2023-02-06 00:00:00,4935,4967,2023-02-07 00:00:00,2023-03-24 00:00:00,long,1160.0,1140.5428571428572,1090.35,1140.5428571428572,-0.2793559634909228,-19.4571428571428,SL,price_date,29.5,32.200000000000045,60.200000000000045,47.200000000000045,48.049999999999955,75.29999999999995
29,4994,2023-05-09 00:00:00,4995,5013,2023-05-10 00:00:00,2023-06-05 00:00:00,short,1284.9,1353.05,1353.05,1353.05,-1.0,-68.14999999999986,SL,price_date,11.150000000000091,16.40000000000009,16.65000000000009,21.950000000000045,14.350000000000136,18.100000000000136
30,5032,2023-07-03 00:00:00,5033,5048,2023-07-04 00:00:00,2023-07-25 00:00:00,short,1475.0,1526.1571428571428,1573.7285714285715,1526.1571428571428,-0.5181594559398055,-51.157142857142844,SL,price_date,26.09999999999991,26.09999999999991,37.09999999999991,48.65000000000009,53.700000000000045,68.40000000000009
31,5098,2023-10-06 00:00:00,5099,5115,2023-10-09 00:00:00,2023-11-01 00:00:00,short,1739.9,1845.9464285714287,1883.4428571428573,1845.9464285714287,-0.7387788614649679,-106.04642857142858,SL,price_date,6.9500000000000455,-0.599999999999909,-39.049999999999955,-9.25,-40.0,-37.84999999999991
32,5278,2024-06-28 00:00:00,5279,5295,2024-07-01 00:00:00,2024-07-24 00:00:00,short,2286.2,2384.717857142857,2431.2000000000003,2384.717857142857,-0.679433497536945,-98.51785714285734,SL,price_time,30.899999999999636,29.899999999999636,47.25,45.04999999999973,66.44999999999982,19.59999999999991
