trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,11,2003-02-11 00:00:00,12,30,2003-02-12 00:00:00,2003-03-11 00:00:00,long,97.33,95.55142857142857,88.63,95.55142857142857,-0.2044334975369453,-1.778571428571425,SL,price_date,0.9699999999999989,1.1099999999999994,-1.1899999999999977,2.299999999999997,2.8500000000000085,2.989999999999995
2,43,2003-04-01 00:00:00,44,114,2003-04-02 00:00:00,2003-07-14 00:00:00,long,97.33,131.46571428571428,90.86571428571428,131.46571428571428,5.280662983425408,34.135714285714286,SL,price_time,2.1099999999999994,2.3900000000000006,4.409999999999997,5.560000000000002,10.200000000000003,10.239999999999995
3,136,2003-08-13 00:00:00,137,184,2003-08-14 00:00:00,2003-10-22 00:00:00,long,121.21,144.44285714285715,104.29285714285714,144.44285714285715,1.3733322073974006,23.232857142857156,SL,price_date,0.8700000000000045,-0.2799999999999869,1.3300000000000125,5.920000000000002,7.440000000000012,10.790000000000006
4,194,2003-11-05 00:00:00,195,248,2003-11-06 00:00:00,2004-01-22 00:00:00,long,148.76,162.53785714285715,127.97571428571428,162.53785714285715,0.6628977936627953,13.777857142857158,SL,price_date,2.799999999999983,2.3799999999999955,2.75,1.420000000000016,0.7300000000000182,2.1500000000000057
5,282,2004-03-15 00:00:00,283,324,2004-03-16 00:00:00,2004-05-17 00:00:00,short,162.53,158.60142857142856,180.0142857142857,158.60142857142856,0.22469155976795596,3.928571428571445,SL,price_date,6.569999999999993,1.0600000000000023,-0.5,-0.8300000000000125,-2.75,-0.13999999999998636
6,344,2004-07-14 00:00:00,345,458,2004-07-15 00:00:00,2004-12-27 00:00:00,long,151.19,198.69285714285715,134.1442857142857,198.69285714285715,2.7867918203151176,47.50285714285715,SL,price_time,2.799999999999983,-1.1500000000000057,-1.5200000000000102,-0.8700000000000045,-1.6999999999999886,-1.75
7,468,2005-01-10 00:00:00,469,504,2005-01-11 00:00:00,2005-03-03 00:00:00,short,220.33,228.81928571428568,276.64714285714285,228.81928571428568,-0.15074070316067098,-8.489285714285671,SL,price_date,8.909999999999997,12.350000000000023,15.969999999999999,11.710000000000008,11.110000000000014,17.440000000000026
8,522,2005-03-30 00:00:00,523,561,2005-03-31 00:00:00,2005-05-25 00:00:00,long,210.05,229.25071428571428,178.49285714285716,229.25071428571428,0.6084427342688996,19.20071428571427,SL,price_date,4.409999999999997,-0.8700000000000045,-1.0100000000000193,-5.969999999999999,-6.380000000000024,-2.990000000000009
9,585,2005-06-28 00:00:00,586,664,2005-06-29 00:00:00,2005-10-21 00:00:00,long,212.11,278.94500000000005,210.05999999999997,278.94500000000005,32.60243902438963,66.83500000000004,SL,price_date,15.149999999999977,33.14999999999998,30.579999999999984,31.319999999999993,28.789999999999992,26.72999999999999
10,686,2005-11-25 00:00:00,687,755,2005-11-28 00:00:00,2006-03-07 00:00:00,long,287.5,340.7257142857143,258.8671428571429,340.7257142857143,1.8589033577807725,53.225714285714275,SL,price_time,6.240000000000009,0.0,-2.75,1.75,2.069999999999993,1.839999999999975
11,766,2006-03-23 00:00:00,767,805,2006-03-24 00:00:00,2006-05-23 00:00:00,short,351.69,352.52357142857136,403.17857142857144,352.52357142857136,-0.016189445646744138,-0.8335714285713607,SL,price_time,8.910000000000025,-5.8700000000000045,-4.180000000000007,-4.5,-3.759999999999991,4.410000000000025
12,854,2006-07-31 00:00:00,855,881,2006-08-01 00:00:00,2006-09-07 00:00:00,short,272.72,297.2557142857143,315.37142857142857,297.2557142857143,-0.5752612540192928,-24.535714285714278,SL,price_time,5.099999999999966,2.990000000000009,0.37000000000000455,2.07000000000005,2.0200000000000387,-0.5999999999999659
