trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,88,2020-07-02,89,108,2020-07-03,2020-07-30,short,58.5,32.47857142857143,59.65,32.47857142857143,22.62732919254661,26.021428571428572,SL,price_time,2.75,5.5,8.149999999999999,10.649999999999999,13.0,15.25
2,116,2020-08-11,117,130,2020-08-12,2020-08-31,long,34.4,32.09285714285715,32.09285714285715,32.09285714285715,-1.0,-2.30714285714285,SL,price_date,1.7999999999999972,3.6000000000000014,2.8500000000000014,1.0,1.25,1.6000000000000014
3,141,2020-09-15,142,157,2020-09-16,2020-10-08,short,31.55,23.889285714285716,36.57857142857143,23.889285714285716,1.5234374999999998,7.660714285714285,SL,price_date,1.6500000000000021,-0.0,1.5500000000000007,3.0500000000000007,4.449999999999999,5.800000000000001
4,182,2020-11-12,183,187,2020-11-13,2020-11-19,long,25.75,22.632142857142856,22.428571428571427,22.632142857142856,-0.9387096774193547,-3.1178571428571438,SL,price_time,1.1999999999999993,0.0,-0.3500000000000014,-1.6000000000000014,-2.8000000000000007,-3.5
5,216,2021-01-01,217,258,2021-01-04,2021-03-03,short,23.6,21.460714285714285,26.54285714285714,21.460714285714285,0.7269417475728169,2.139285714285716,SL,price_time,0.6000000000000014,0.6500000000000021,0.8500000000000014,0.9500000000000028,0.8000000000000007,0.8500000000000014
6,326,2021-06-15,327,383,2021-06-16,2021-09-06,short,29.05,23.82857142857143,35.9,23.82857142857143,0.7622523461939523,5.2214285714285715,SL,price_time,0.40000000000000213,0.15000000000000213,0.40000000000000213,1.4499999999999993,1.6999999999999993,1.4499999999999993
7,529,2022-04-07,530,534,2022-04-08,2022-04-18,long,27.65,25.617857142857144,24.814285714285713,25.617857142857144,-0.7166246851385383,-2.032142857142855,SL,price_time,1.5,1.2000000000000028,1.6000000000000014,0.9500000000000028,0.0,-2.599999999999998
8,661,2022-10-19,662,705,2022-10-20,2022-12-22,long,14.9,15.553571428571429,13.850000000000001,15.553571428571429,0.6224489795918373,0.6535714285714285,SL,price_time,0.75,0.9000000000000004,1.4999999999999982,1.7499999999999982,1.3499999999999996,1.049999999999999
9,826,2023-06-20,827,847,2023-06-21,2023-07-20,long,16.4,15.282142857142857,14.321428571428571,15.282142857142857,-0.5378006872852232,-1.117857142857142,SL,price_time,1.6499999999999986,1.5,1.8500000000000014,1.1500000000000021,1.6500000000000021,1.1000000000000014
10,966,2024-01-11,967,1007,2024-01-12,2024-03-11,short,36.95,31.096428571428568,42.964285714285715,31.096428571428568,0.9732779097387186,5.853571428571435,SL,price_date,2.299999999999997,2.450000000000003,2.9000000000000057,4.450000000000003,3.8500000000000014,5.900000000000002
11,1145,2024-10-01,1146,1187,2024-10-03,2024-12-03,short,26.74,22.249285714285715,29.689999999999998,22.249285714285715,1.5222760290556896,4.490714285714283,SL,price_time,1.3499999999999979,0.7999999999999972,1.0199999999999996,2.299999999999997,1.5999999999999979,1.6699999999999982
12,1336,2025-07-09,1337,1342,2025-07-10,2025-07-17,short,22.0,23.25,23.82857142857143,23.25,-0.6835937499999998,-1.25,SL,price_time,0.4399999999999977,0.6099999999999994,1.2100000000000009,1.1799999999999997,1.2399999999999984,1.2100000000000009
