trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,64,2004-10-08 00:00:00,65,86,2004-10-11 00:00:00,2004-11-11 00:00:00,short,52.24,51.32714285714285,57.355714285714285,51.32714285714285,0.17844177604021352,0.912857142857149,SL,price_date,1.6799999999999997,2.9200000000000017,5.760000000000005,5.5,6.550000000000004,7.450000000000003
2,111,2004-12-20 00:00:00,112,141,2004-12-21 00:00:00,2005-02-02 00:00:00,short,72.63,74.47071428571428,84.31857142857143,74.47071428571428,-0.15747983378147132,-1.8407142857142844,SL,price_time,3.219999999999999,2.469999999999999,3.589999999999989,5.089999999999989,5.759999999999991,2.3900000000000006
3,165,2005-03-08 00:00:00,166,186,2005-03-09 00:00:00,2005-04-07 00:00:00,short,104.22,100.71571428571428,124.32,100.71571428571428,0.1743425728500356,3.5042857142857144,SL,price_date,5.420000000000002,1.0100000000000051,-2.3900000000000006,-2.6899999999999977,0.8599999999999994,1.0499999999999972
4,203,2005-05-03 00:00:00,204,237,2005-05-04 00:00:00,2005-06-20 00:00:00,long,91.31,100.26,76.24714285714285,100.26,0.5941767830045521,8.950000000000003,SL,price_time,4.4199999999999875,-0.6000000000000085,1.4200000000000017,2.5799999999999983,11.969999999999999,17.319999999999993
5,306,2005-09-28 00:00:00,307,347,2005-09-29 00:00:00,2005-11-30 00:00:00,short,173.82,174.80071428571426,196.6,174.80071428571426,-0.04305154897779942,-0.9807142857142708,SL,price_time,7.780000000000001,7.819999999999993,7.039999999999992,5.430000000000007,5.4599999999999795,5.430000000000007
6,365,2005-12-26 00:00:00,366,390,2005-12-27 00:00:00,2006-02-01 00:00:00,long,154.59,146.35571428571427,134.46714285714287,146.35571428571427,-0.40920062473377944,-8.234285714285733,SL,price_date,4.75,7.590000000000003,6.1699999999999875,8.75,8.680000000000007,9.199999999999989
7,408,2006-02-28 00:00:00,409,458,2006-03-01 00:00:00,2006-05-16 00:00:00,long,152.04,176.55214285714285,136.10285714285715,176.55214285714285,1.5380512728576565,24.512142857142862,SL,price_date,4.899999999999977,5.159999999999997,11.189999999999998,16.32000000000002,14.150000000000006,16.02000000000001
8,480,2006-06-15 00:00:00,481,507,2006-06-16 00:00:00,2006-07-24 00:00:00,long,138.46,126.24285714285713,96.98857142857142,126.24285714285713,-0.294591801584568,-12.217142857142875,SL,price_date,11.939999999999998,3.7399999999999807,1.4599999999999795,7.560000000000002,7.6699999999999875,10.439999999999998
9,538,2006-09-06 00:00:00,539,546,2006-09-07 00:00:00,2006-09-18 00:00:00,short,164.65,174.69857142857146,174.69857142857146,174.69857142857146,-1.0,-10.04857142857145,SL,price_time,2.430000000000007,12.050000000000011,7.890000000000015,7.0,3.289999999999992,2.8100000000000023
10,572,2006-10-27 00:00:00,573,615,2006-10-30 00:00:00,2006-12-28 00:00:00,short,200.58,184.505,227.18142857142857,184.505,0.6042908544116867,16.075000000000017,SL,price_date,7.640000000000015,6.070000000000022,16.47,19.090000000000003,18.57000000000002,16.54000000000002
11,630,2007-01-19 00:00:00,631,680,2007-01-22 00:00:00,2007-04-05 00:00:00,short,190.9,156.45928571428573,240.7057142857143,156.45928571428573,0.6915012620468103,34.44071428571428,SL,price_date,2.4000000000000057,2.4000000000000057,7.090000000000003,-0.3499999999999943,3.1500000000000057,-4.389999999999986
12,748,2007-07-13 00:00:00,749,767,2007-07-16 00:00:00,2007-08-09 00:00:00,short,217.54,232.54142857142858,266.71285714285716,232.54142857142858,-0.3050753900235324,-15.00142857142859,SL,price_time,10.569999999999993,12.519999999999982,17.159999999999997,14.370000000000005,16.069999999999993,16.22
