trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,32,2011-11-09 00:00:00,33,77,2011-11-11 00:00:00,2012-01-13 00:00:00,short,46.1,41.43571428571428,54.47857142857143,41.43571428571428,0.5566922421142376,4.664285714285718,SL,price_time,1.6000000000000014,0.30000000000000426,1.2000000000000028,2.3500000000000014,3.5,3.950000000000003
2,116,2012-03-13 00:00:00,117,129,2012-03-14 00:00:00,2012-03-30 00:00:00,short,45.25,49.510714285714286,51.52142857142857,49.510714285714286,-0.679384965831435,-4.260714285714286,SL,price_time,1.8500000000000014,2.0,0.7999999999999972,1.75,2.5,2.3999999999999986
3,178,2012-06-12 00:00:00,179,185,2012-06-13 00:00:00,2012-06-21 00:00:00,short,53.0,56.38214285714285,57.57142857142857,56.38214285714285,-0.7398437499999994,-3.3821428571428527,SL,price_time,2.1000000000000014,1.75,1.3999999999999986,-0.45000000000000284,0.6000000000000014,0.8999999999999986
4,198,2012-07-10 00:00:00,199,214,2012-07-11 00:00:00,2012-08-01 00:00:00,short,58.95,62.78928571428571,66.02142857142857,62.78928571428571,-0.5429292929292923,-3.839285714285708,SL,price_time,0.6000000000000014,0.9000000000000057,1.25,1.25,1.5500000000000043,1.9000000000000057
5,288,2012-11-21 00:00:00,289,307,2012-11-22 00:00:00,2012-12-19 00:00:00,long,63.75,61.28214285714285,57.34285714285714,61.28214285714285,-0.3851727982162773,-2.4678571428571487,SL,price_time,2.0500000000000043,1.4000000000000057,-1.6000000000000014,-1.8999999999999986,-1.7999999999999972,0.14999999999999858
6,383,2013-04-09 00:00:00,384,398,2013-04-10 00:00:00,2013-05-03 00:00:00,short,110.0,126.20714285714286,130.8357142857143,126.20714285714286,-0.77785395954748,-16.207142857142856,SL,price_time,5.049999999999997,5.349999999999994,2.3499999999999943,2.200000000000003,-6.25,-5.950000000000003
7,453,2013-07-19 00:00:00,454,505,2013-07-22 00:00:00,2013-10-07 00:00:00,short,164.9,155.075,185.32857142857142,155.075,0.4809440559440571,9.825000000000017,SL,price_date,5.599999999999994,7.0,5.300000000000011,10.25,11.400000000000006,13.75
8,628,2014-04-04 00:00:00,629,638,2014-04-07 00:00:00,2014-04-23 00:00:00,short,282.3,298.25714285714287,311.55,298.25714285714287,-0.5455433455433455,-15.957142857142856,SL,price_time,10.649999999999977,11.550000000000011,5.300000000000011,12.350000000000023,6.650000000000034,10.100000000000023
9,670,2014-06-10 00:00:00,671,752,2014-06-11 00:00:00,2014-10-10 00:00:00,long,265.5,385.82142857142856,227.27857142857144,385.82142857142856,3.1480097178097557,120.32142857142856,SL,price_date,6.599999999999966,0.39999999999997726,9.850000000000023,5.949999999999989,11.0,18.0
10,758,2014-10-21 00:00:00,759,780,2014-10-22 00:00:00,2014-11-25 00:00:00,long,404.5,417.1571428571429,362.9928571428572,417.1571428571429,0.304938908965756,12.657142857142901,SL,price_date,13.100000000000023,12.550000000000011,18.44999999999999,1.3999999999999773,2.8000000000000114,2.1999999999999886
11,844,2015-02-26 00:00:00,845,882,2015-02-27 00:00:00,2015-04-27 00:00:00,long,398.0,456.175,345.35714285714283,456.175,1.1050881953867024,58.17500000000001,SL,price_time,20.75,12.75,10.25,24.25,24.05000000000001,33.30000000000001
12,1020,2015-11-13 00:00:00,1021,1030,2015-11-16 00:00:00,2015-11-30 00:00:00,short,662.0,696.4642857142858,713.6428571428571,696.4642857142858,-0.6673582295988951,-34.46428571428578,SL,price_date,2.9500000000000455,2.7000000000000455,-1.2000000000000455,3.3999999999999773,10.299999999999955,2.2999999999999545
13,1055,2016-01-04 09:15:00,1056,1126,2016-01-05 09:15:00,2016-04-21 09:15:00,short,684.0,606.9535714285714,734.6,606.9535714285714,1.5226566911349515,77.04642857142858,SL,price_date,6.350000000000023,6.149999999999977,7.0499999999999545,21.600000000000023,15.0,21.75
14,1175,2016-06-29 09:15:00,1176,1263,2016-06-30 09:15:00,2016-11-09 09:15:00,long,555.0,627.4142857142857,514.8857142857144,627.4142857142857,1.8051994301994334,72.41428571428571,SL,price_date,25.84999999999991,18.799999999999955,28.049999999999955,25.200000000000045,23.100000000000023,25.350000000000023
15,1292,2016-12-21 09:16:00,1293,1334,2016-12-22 09:15:00,2017-02-20 09:15:00,short,629.2,580.1571428571428,666.1571428571428,580.1571428571428,1.3270197139543911,49.0428571428572,SL,price_time,5.7999999999999545,9.200000000000045,14.700000000000045,21.40000000000009,20.800000000000068,19.600000000000023
