trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,12,2017-07-26 09:15:00,13,61,2017-07-27 09:15:00,2017-10-06 09:15:00,short,298.95,295.21428571428567,345.9153846153846,295.21428571428567,0.07954186506311721,3.735714285714323,SL,price_date,6.600000000000023,8.050000000000011,4.699999999999989,3.6499999999999773,6.0,7.949999999999989
2,135,2018-01-23 09:15:00,136,177,2018-01-24 09:15:00,2018-03-27 09:15:00,short,355.0,311.44642857142856,382.0,311.44642857142856,1.6130952380952388,43.553571428571445,SL,price_time,6.350000000000023,5.100000000000023,12.899999999999977,10.75,15.350000000000023,26.75
3,194,2018-04-23 09:15:00,195,204,2018-04-24 09:16:00,2018-05-08 09:15:00,long,330.0,333.21785714285716,305.79285714285714,333.21785714285716,0.13293006786662787,3.217857142857156,SL,price_time,20.700000000000045,19.100000000000023,20.69999999999999,38.64999999999998,35.80000000000001,30.899999999999977
4,265,2018-08-01 09:15:00,266,298,2018-08-02 09:15:00,2018-09-21 09:15:00,long,322.5,332.425,308.0,332.425,0.6844827586206904,9.925000000000011,SL,price_time,6.649999999999977,6.199999999999989,6.149999999999977,6.449999999999989,7.25,4.350000000000023
5,331,2018-11-13 09:15:00,332,362,2018-11-14 09:15:00,2018-12-28 00:00:00,long,277.0,286.0607142857143,238.3357142857143,286.0607142857143,0.2343432477369303,9.060714285714312,SL,price_date,19.950000000000045,11.350000000000023,16.55000000000001,21.850000000000023,19.30000000000001,17.350000000000023
6,388,2019-02-04 00:00:00,389,421,2019-02-05 00:00:00,2019-03-25 00:00:00,long,286.95,278.01428571428573,263.62857142857143,278.01428571428573,-0.3831546707503818,-8.935714285714255,SL,price_time,6.899999999999977,6.800000000000011,14.100000000000023,12.050000000000011,6.050000000000011,7.5
7,454,2019-05-15 00:00:00,455,457,2019-05-16 00:00:00,2019-05-20 00:00:00,short,324.05,343.6785714285714,343.6785714285714,343.6785714285714,-1.0,-19.628571428571377,SL,price_time,5.0,3.6999999999999886,-5.949999999999989,-21.5,-24.75,-19.599999999999966
8,504,2019-07-25 00:00:00,505,544,2019-07-26 00:00:00,2019-09-25 00:00:00,long,330.0,315.2678571428571,289.65000000000003,315.2678571428571,-0.3651088688263421,-14.73214285714289,SL,price_time,12.649999999999977,-0.30000000000001137,-1.5,-2.75,9.149999999999977,-1.3999999999999773
9,697,2020-05-12 00:00:00,698,754,2020-05-13 00:00:00,2020-07-31 00:00:00,long,199.55,346.34285714285716,162.79285714285714,346.34285714285716,3.9935872522347444,146.79285714285714,SL,price_time,9.5,0.0,10.0,9.199999999999989,-1.1000000000000227,-6.650000000000006
10,782,2020-09-09 00:00:00,783,793,2020-09-10 00:00:00,2020-09-24 00:00:00,long,324.95,318.20714285714286,284.2,318.20714285714286,-0.16546888694127934,-6.742857142857133,SL,price_date,8.199999999999989,3.9499999999999886,11.600000000000023,25.5,25.100000000000023,31.69999999999999
11,877,2021-01-25 00:00:00,878,881,2021-01-27 00:00:00,2021-02-01 00:00:00,short,442.5,468.6642857142857,477.5,468.6642857142857,-0.7475510204081631,-26.16428571428571,SL,price_date,16.0,16.19999999999999,7.600000000000023,6.25,-28.25,-37.85000000000002
12,1000,2021-07-27 00:00:00,1001,1010,2021-07-28 00:00:00,2021-08-10 00:00:00,short,597.5,644.8928571428572,644.8928571428572,644.8928571428572,-1.0,-47.392857142857224,SL,price_time,10.350000000000023,10.450000000000045,0.7000000000000455,-12.350000000000023,-14.350000000000023,-2.4500000000000455
13,1106,2021-12-29 00:00:00,1107,1138,2021-12-30 00:00:00,2022-02-14 00:00:00,long,503.0,626.592857142857,435.96428571428567,626.592857142857,1.843686734150237,123.59285714285704,SL,price_time,16.099999999999966,18.649999999999977,15.25,29.649999999999977,44.950000000000045,81.64999999999998
14,1182,2022-04-21 00:00:00,1183,1254,2022-04-22 00:00:00,2022-08-02 00:00:00,short,715.9,617.4357142857142,778.9285714285714,617.4357142857142,1.562216681776972,98.46428571428578,SL,price_date,31.649999999999977,30.049999999999955,31.449999999999932,8.149999999999977,34.44999999999993,11.699999999999932
15,1283,2022-09-15 00:00:00,1284,1319,2022-09-16 00:00:00,2022-11-09 00:00:00,short,679.0,628.8071428571429,717.2,628.8071428571429,1.3139491398653667,50.192857142857065,SL,price_date,22.200000000000045,20.350000000000023,25.600000000000023,12.799999999999955,13.0,15.600000000000023
16,1408,2023-03-16 00:00:00,1409,1473,2023-03-17 00:00:00,2023-06-22 00:00:00,long,591.05,734.5785714285714,541.0071428571429,734.5785714285714,2.8681130459606092,143.52857142857147,SL,price_date,6.25,-0.7999999999999545,-13.949999999999932,-11.449999999999932,-11.599999999999909,-21.399999999999977
17,1564,2023-11-03 00:00:00,1565,1617,2023-11-06 00:00:00,2024-01-19 00:00:00,long,673.0,727.5785714285714,629.0571428571428,727.5785714285714,1.2420351105331588,54.57857142857142,SL,price_date,4.7000000000000455,0.9500000000000455,-3.1000000000000227,2.3500000000000227,17.549999999999955,26.25
