trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,12,2008-06-11 00:00:00,13,53,2008-06-12 00:00:00,2008-08-07 00:00:00,short,61.8,50.660714285714285,82.5923076923077,50.660714285714285,0.5357407113788908,11.139285714285712,SL,price_time,4.650000000000006,2.25,4.75,1.4499999999999957,1.75,3.6499999999999986
2,113,2008-11-06 00:00:00,114,124,2008-11-07 00:00:00,2008-11-24 00:00:00,long,11.6,10.960714285714285,9.557142857142857,10.960714285714285,-0.3129370629370629,-0.6392857142857142,SL,price_time,0.5999999999999996,1.0,1.5,2.1500000000000004,2.200000000000001,1.8499999999999996
3,157,2009-01-14 00:00:00,158,201,2009-01-15 00:00:00,2009-03-23 00:00:00,short,20.85,16.10357142857143,22.5,16.10357142857143,2.876623376623378,4.74642857142857,SL,price_time,1.0,1.3500000000000014,2.3500000000000014,3.25,2.3500000000000014,3.25
4,247,2009-06-03 00:00:00,248,278,2009-06-04 00:00:00,2009-07-16 00:00:00,short,43.5,37.72142857142857,44.57142857142857,37.72142857142857,5.393333333333347,5.778571428571432,SL,price_time,1.0,3.1000000000000014,4.200000000000003,5.450000000000003,4.200000000000003,4.399999999999999
5,480,2010-05-17 00:00:00,481,542,2010-05-18 00:00:00,2010-08-11 00:00:00,short,52.55,44.80357142857143,61.51428571428571,44.80357142857143,0.8641434262948201,7.746428571428567,SL,price_date,4.450000000000003,4.75,6.599999999999994,8.149999999999999,7.599999999999994,10.399999999999999
6,654,2011-01-19 00:00:00,655,678,2011-01-20 00:00:00,2011-02-23 00:00:00,short,42.25,44.56428571428572,48.978571428571435,44.56428571428572,-0.3439490445859873,-2.3142857142857167,SL,price_time,0.5999999999999943,0.04999999999999716,0.5499999999999972,0.7000000000000028,0.6000000000000014,1.3500000000000014
7,688,2011-03-10 00:00:00,689,734,2011-03-11 00:00:00,2011-05-18 00:00:00,short,54.9,52.48214285714286,65.38571428571429,52.48214285714286,0.23058583106266975,2.4178571428571374,SL,price_date,1.3500000000000014,0.8500000000000014,-0.0,3.6000000000000014,1.7999999999999972,3.049999999999997
8,760,2011-06-23 00:00:00,761,791,2011-06-24 00:00:00,2011-08-05 00:00:00,long,47.45,49.582142857142856,42.17142857142857,49.582142857142856,0.40392422192151445,2.1321428571428527,SL,price_time,2.1499999999999986,2.299999999999997,3.8499999999999943,3.5,3.4499999999999957,3.049999999999997
9,795,2011-08-11 00:00:00,796,806,2011-08-12 00:00:00,2011-08-29 00:00:00,short,50.8,54.39285714285714,54.71428571428571,54.39285714285714,-0.9178832116788326,-3.5928571428571416,SL,price_time,1.3999999999999986,1.6499999999999986,1.8999999999999986,1.9499999999999957,1.5,2.0
10,841,2011-10-20 00:00:00,842,896,2011-10-21 00:00:00,2012-01-12 00:00:00,short,55.25,45.067857142857136,61.67857142857142,45.067857142857136,1.5838888888888911,10.182142857142864,SL,price_time,1.3500000000000014,1.6499999999999986,2.1499999999999986,2.950000000000003,2.049999999999997,2.0
