trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,203,2003-11-18 00:00:00,204,213,2003-11-19 00:00:00,2003-12-03 00:00:00,short,25.97,29.440714285714286,31.535714285714285,29.440714285714286,-0.6235882956878852,-3.470714285714287,SL,price_time,1.7700000000000031,1.6400000000000006,2.2099999999999973,0.4599999999999973,0.16000000000000014,-1.7800000000000011
2,215,2003-12-05 00:00:00,216,237,2003-12-08 00:00:00,2004-01-07 00:00:00,long,28.47,27.55642857142857,22.752857142857142,27.55642857142857,-0.15979510244877587,-0.91357142857143,SL,price_time,1.7600000000000016,1.6700000000000017,3.1700000000000017,2.2600000000000016,1.6000000000000014,1.5800000000000018
3,250,2004-01-27 00:00:00,251,262,2004-01-28 00:00:00,2004-02-13 00:00:00,short,26.65,29.82857142857143,31.235714285714284,29.82857142857143,-0.6931464174454833,-3.1785714285714306,SL,price_time,1.4100000000000001,1.5899999999999999,2.4599999999999973,3.009999999999998,2.9599999999999973,1.5199999999999996
4,306,2004-04-20 00:00:00,307,346,2004-04-21 00:00:00,2004-07-16 00:00:00,short,39.18,25.917142857142856,45.75000000000001,25.917142857142856,2.018699717329852,13.262857142857143,SL,price_time,2.280000000000001,2.1000000000000014,2.6899999999999977,3.210000000000001,6.170000000000002,6.060000000000002
5,420,2004-11-01 00:00:00,421,434,2004-11-02 00:00:00,2004-11-22 00:00:00,short,33.05,36.64142857142858,36.64142857142858,36.64142857142858,-1.0,-3.5914285714285796,SL,price_time,0.8900000000000006,0.9299999999999997,-0.1600000000000037,-0.23000000000000398,-0.12000000000000455,-0.8000000000000043
6,444,2004-12-07 00:00:00,445,457,2004-12-08 00:00:00,2004-12-24 00:00:00,short,39.86,41.644999999999996,44.395714285714284,41.644999999999996,-0.3935433070866135,-1.7849999999999966,SL,price_time,0.7999999999999972,1.0899999999999963,0.25,1.75,1.8599999999999994,1.6599999999999966
7,467,2005-01-07 00:00:00,468,481,2005-01-10 00:00:00,2005-01-31 00:00:00,short,42.6,44.21428571428572,47.46571428571429,44.21428571428572,-0.3317674691720504,-1.614285714285721,SL,price_time,0.5,0.980000000000004,1.6700000000000017,3.490000000000002,2.3000000000000043,2.8000000000000043
8,506,2005-03-07 00:00:00,507,518,2005-03-08 00:00:00,2005-03-23 00:00:00,long,38.0,37.84857142857143,32.895714285714284,37.84857142857143,-0.02966694654352011,-0.1514285714285677,SL,price_time,3.3499999999999943,3.049999999999997,4.259999999999998,4.82,4.780000000000001,3.530000000000001
9,636,2005-09-12 00:00:00,637,642,2005-09-13 00:00:00,2005-09-20 00:00:00,short,76.0,81.63785714285714,84.38000000000001,81.63785714285714,-0.6727753153767466,-5.637857142857143,SL,price_time,2.049999999999997,2.25,3.049999999999997,2.6700000000000017,2.8799999999999955,2.6200000000000045
10,647,2005-09-27 00:00:00,648,677,2005-09-28 00:00:00,2005-11-11 00:00:00,short,74.55,79.56142857142856,86.99714285714286,79.56142857142856,-0.40261677952484737,-5.011428571428567,SL,price_date,1.2999999999999972,0.25,1.8299999999999983,2.769999999999996,0.8299999999999983,0.29999999999999716
11,700,2005-12-15 00:00:00,701,707,2005-12-16 00:00:00,2005-12-26 00:00:00,long,89.9,81.91642857142857,79.85,81.91642857142857,-0.7943852167732764,-7.983571428571437,SL,price_time,3.8700000000000045,3.019999999999996,1.7999999999999972,0.6799999999999926,2.9799999999999898,1.3199999999999932
12,732,2006-02-01 00:00:00,733,804,2006-02-02 00:00:00,2006-05-22 00:00:00,long,90.5,126.81500000000001,80.30571428571429,126.81500000000001,3.56228979820628,36.31500000000001,SL,price_date,2.8999999999999915,2.299999999999997,1.8299999999999983,0.7999999999999972,0.75,1.0799999999999983
13,810,2006-05-30 00:00:00,811,856,2006-05-31 00:00:00,2006-08-02 00:00:00,short,120.5,90.87928571428571,157.55,90.87928571428571,0.7994794679005203,29.620714285714286,SL,price_time,6.8700000000000045,4.400000000000006,11.329999999999998,14.420000000000002,14.780000000000001,12.920000000000002
14,869,2006-08-22 00:00:00,870,897,2006-08-23 00:00:00,2006-09-29 00:00:00,short,106.5,112.00857142857143,121.03714285714287,112.00857142857143,-0.37893081761006264,-5.508571428571429,SL,price_date,2.3799999999999955,2.0,2.3299999999999983,0.7800000000000011,0.5799999999999983,1.7800000000000011
15,910,2006-10-19 00:00:00,911,930,2006-10-20 00:00:00,2006-11-20 00:00:00,long,106.1,97.82285714285713,94.94428571428571,97.82285714285713,-0.7419644000512237,-8.277142857142863,SL,price_time,2.180000000000007,1.6800000000000068,2.8700000000000045,4.430000000000007,4.820000000000007,2.780000000000001
16,938,2006-11-30 00:00:00,939,946,2006-12-01 00:00:00,2006-12-12 00:00:00,long,98.2,94.16571428571427,90.88571428571429,94.16571428571427,-0.551562500000002,-4.03428571428573,SL,price_time,4.349999999999994,3.6499999999999915,6.679999999999993,6.1299999999999955,5.1499999999999915,4.519999999999996
17,1012,2007-03-21 00:00:00,1013,1045,2007-03-22 00:00:00,2007-05-11 00:00:00,long,69.45,76.65928571428572,58.45142857142857,76.65928571428572,0.6554747369788282,7.209285714285713,SL,price_time,2.549999999999997,1.1499999999999915,0.8999999999999915,0.5,-0.07000000000000739,-1.0700000000000074
18,1052,2007-05-22 00:00:00,1053,1091,2007-05-23 00:00:00,2007-07-16 00:00:00,long,87.0,79.96857142857142,77.3,79.96857142857142,-0.7248895434462449,-7.031428571428577,SL,price_time,4.170000000000002,2.450000000000003,0.7000000000000028,-0.37999999999999545,-0.030000000000001137,-0.7000000000000028
19,1106,2007-08-06 00:00:00,1107,1114,2007-08-07 00:00:00,2007-08-17 00:00:00,long,78.0,71.53857142857143,69.55,71.53857142857143,-0.7646661031276412,-6.46142857142857,SL,price_time,3.4799999999999898,2.0999999999999943,2.8299999999999983,0.9000000000000057,-0.21999999999999886,0.7199999999999989
