trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,178,2003-10-14 00:00:00,179,237,2003-10-15 00:00:00,2004-01-07 00:00:00,long,9.35,20.575,7.425714285714284,20.575,5.83333333333333,11.225,SL,price_time,0.3200000000000003,-0.33000000000000007,-0.5499999999999989,-0.6399999999999988,-0.8899999999999988,-0.9299999999999997
2,325,2004-05-18 00:00:00,326,377,2004-05-19 00:00:00,2004-08-30 00:00:00,long,10.25,13.167857142857143,7.830000000000002,13.167857142857143,1.2057260920897293,2.9178571428571427,SL,price_time,0.7599999999999998,0.5999999999999996,1.6500000000000004,1.4600000000000009,-0.25,-0.5500000000000007
3,509,2005-03-10 00:00:00,510,557,2005-03-11 00:00:00,2005-05-19 00:00:00,short,40.0,33.12571428571428,49.37571428571429,33.12571428571428,0.733201279902484,6.874285714285719,SL,price_time,3.219999999999999,3.6000000000000014,4.740000000000002,1.2100000000000009,0.22999999999999687,1.6000000000000014
4,562,2005-05-26 00:00:00,563,578,2005-05-27 00:00:00,2005-06-17 00:00:00,long,38.0,33.050000000000004,33.050000000000004,33.050000000000004,-1.0,-4.949999999999996,SL,price_time,1.8599999999999994,1.0600000000000023,0.14000000000000057,-0.3999999999999986,-0.6099999999999994,-0.740000000000002
5,596,2005-07-13 00:00:00,597,619,2005-07-14 00:00:00,2005-08-17 00:00:00,short,50.66,49.542857142857144,60.41285714285714,49.542857142857144,0.11454518822323075,1.117142857142852,SL,price_time,2.3900000000000006,2.059999999999995,2.019999999999996,1.0899999999999963,3.479999999999997,4.479999999999997
6,641,2005-09-19 00:00:00,642,678,2005-09-20 00:00:00,2005-11-14 00:00:00,short,59.0,39.552142857142854,67.64,39.552142857142854,2.2509093915343916,19.447857142857146,SL,price_time,1.5300000000000011,4.759999999999998,7.780000000000001,12.799999999999997,14.14,9.649999999999999
7,801,2006-05-17 00:00:00,802,853,2006-05-18 00:00:00,2006-07-28 00:00:00,short,131.76,52.28357142857143,150.56571428571428,52.28357142857143,4.226185050136735,79.47642857142856,SL,price_time,11.129999999999995,14.349999999999994,21.749999999999986,32.72999999999999,30.169999999999987,39.67999999999999
8,867,2006-08-18 00:00:00,868,886,2006-08-21 00:00:00,2006-09-14 00:00:00,short,72.0,75.77214285714285,84.88142857142857,75.77214285714285,-0.2928357546855936,-3.7721428571428532,SL,price_date,2.569999999999993,2.3599999999999994,1.6899999999999977,4.920000000000002,5.469999999999999,5.920000000000002
9,902,2006-10-09 00:00:00,903,916,2006-10-10 00:00:00,2006-10-31 00:00:00,long,73.0,74.04571428571428,62.395714285714284,74.04571428571428,0.09861242085410182,1.0457142857142827,SL,price_time,1.5900000000000034,-0.7800000000000011,6.450000000000003,14.400000000000006,10.030000000000001,5.930000000000007
10,1002,2007-03-07 00:00:00,1003,1020,2007-03-08 00:00:00,2007-04-03 00:00:00,long,55.6,50.44142857142857,43.128571428571426,50.44142857142857,-0.41363115693012636,-5.158571428571435,SL,price_time,0.7800000000000011,-0.020000000000003126,-0.8800000000000026,0.6000000000000014,-0.10000000000000142,-0.7100000000000009
