trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,1223,2008-01-22 00:00:00,1224,1235,2008-01-23 00:00:00,2008-02-07 00:00:00,long,16.35,14.467857142857142,12.092857142857142,14.467857142857142,-0.4421140939597319,-1.8821428571428598,SL,price_time,2.599999999999998,2.049999999999997,1.2999999999999972,2.549999999999997,0.7999999999999972,0.09999999999999787
2,2819,2014-07-14 00:00:00,2820,2849,2014-07-15 00:00:00,2014-08-27 00:00:00,long,18.45,18.617857142857147,14.507142857142856,18.617857142857147,0.042572463768117255,0.16785714285714803,SL,price_time,0.6000000000000014,0.3000000000000007,0.3000000000000007,0.10000000000000142,0.25,-0.05000000000000071
3,2970,2015-02-27 00:00:00,2971,2992,2015-03-02 00:00:00,2015-04-01 00:00:00,short,37.95,34.68571428571429,45.31428571428571,34.68571428571429,0.44325897187196917,3.2642857142857125,SL,price_time,1.25,1.1500000000000057,1.2000000000000028,0.9500000000000028,1.75,3.1500000000000057
4,3069,2015-07-23 00:00:00,3070,3074,2015-07-24 00:00:00,2015-07-30 00:00:00,short,38.15,39.90714285714286,40.31428571428571,39.90714285714286,-0.8118811881188143,-1.7571428571428598,SL,price_time,0.8500000000000014,1.0499999999999972,0.9499999999999957,0.25,-1.5500000000000043,-1.5
5,3209,2016-02-15 09:15:00,3210,3233,2016-02-16 09:15:00,2016-03-21 09:15:00,short,35.6,35.52857142857143,38.721428571428575,35.52857142857143,0.022883295194507342,0.0714285714285694,SL,price_time,1.4000000000000057,1.8000000000000043,1.6499999999999986,0.8999999999999986,1.3500000000000014,0.5500000000000043
6,3382,2016-11-01 09:15:00,3383,3389,2016-11-02 09:15:00,2016-11-10 09:15:00,short,39.9,41.73571428571428,42.207142857142856,41.73571428571428,-0.795665634674921,-1.8357142857142819,SL,price_time,0.8499999999999943,0.44999999999999574,0.3500000000000014,0.5,0.44999999999999574,-0.10000000000000142
7,3433,2017-01-12 09:15:00,3434,3444,2017-01-13 09:15:00,2017-01-30 09:15:00,short,47.1,48.728571428571435,50.207142857142856,48.728571428571435,-0.5241379310344848,-1.6285714285714334,SL,price_time,0.7000000000000028,0.8000000000000043,0.75,1.2000000000000028,1.3000000000000043,1.9500000000000028
8,3577,2017-08-11 09:15:00,3578,3605,2017-08-14 09:15:00,2017-09-22 09:15:00,long,52.2,55.135714285714286,45.97857142857143,55.135714285714286,0.47187141216991896,2.9357142857142833,SL,price_time,1.5499999999999972,1.1999999999999957,0.8999999999999986,3.299999999999997,3.0999999999999943,2.049999999999997
9,3702,2018-02-14 09:15:00,3703,3817,2018-02-15 09:15:00,2018-07-31 09:15:00,short,53.75,37.83571428571428,58.42857142857143,37.83571428571428,3.4015267175572514,15.914285714285718,SL,price_time,1.25,1.4500000000000028,1.8500000000000014,2.700000000000003,2.5,3.450000000000003
10,3855,2018-09-27 09:15:00,3856,3874,2018-09-28 09:15:00,2018-10-26 09:15:00,short,27.55,30.121428571428574,31.52857142857143,30.121428571428574,-0.6463195691202878,-2.571428571428573,SL,price_time,0.6000000000000014,0.8000000000000007,-0.0,-0.25,0.15000000000000213,0.6999999999999993
