trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,373,2004-08-24 00:00:00,374,428,2004-08-25 00:00:00,2004-11-11 00:00:00,short,4.75,6.242857142857144,27.09285714285714,6.242857142857144,-0.06681585677749365,-1.4928571428571438,SL,price_time,18.55,-0.25,-0.6500000000000004,-1.75,-2.6500000000000004,-2.4000000000000004
2,801,2006-05-17 00:00:00,802,869,2006-05-18 00:00:00,2006-08-22 00:00:00,short,16.2,15.192857142857143,18.84285714285714,15.192857142857143,0.3810810810810808,1.0071428571428562,SL,price_time,1.0999999999999996,0.5999999999999996,1.6999999999999993,2.75,2.5,2.0
3,1617,2009-09-02 00:00:00,1618,1683,2009-09-03 00:00:00,2009-12-11 00:00:00,short,21.5,19.171428571428574,25.214285714285715,19.171428571428574,0.6269230769230759,2.3285714285714256,SL,price_time,1.6500000000000021,2.0500000000000007,2.75,2.1499999999999986,2.6999999999999993,3.1999999999999993
4,1930,2010-12-08 00:00:00,1931,1940,2010-12-09 00:00:00,2010-12-23 00:00:00,short,28.2,31.757142857142856,31.757142857142856,31.757142857142856,-1.0,-3.557142857142857,SL,price_time,1.0,1.0,1.0,-0.6000000000000014,-2.1000000000000014,-2.1999999999999993
5,1996,2011-03-15 00:00:00,1997,2062,2011-03-16 00:00:00,2011-06-20 00:00:00,long,24.7,28.64642857142857,22.54285714285714,28.64642857142857,1.8294701986754947,3.9464285714285694,SL,price_time,1.0,1.0,0.6000000000000014,0.6000000000000014,-0.14999999999999858,-0.05000000000000071
6,2105,2011-08-19 00:00:00,2106,2129,2011-08-22 00:00:00,2011-09-26 00:00:00,long,29.7,29.54642857142857,25.971428571428568,29.54642857142857,-0.04118773946360148,-0.15357142857142847,SL,price_time,0.40000000000000213,0.15000000000000213,0.0,0.05000000000000071,0.1999999999999993,-0.3999999999999986
7,2283,2012-05-15 00:00:00,2284,2291,2012-05-16 00:00:00,2012-05-25 00:00:00,short,40.95,42.275,44.62857142857143,42.275,-0.3601941747572802,-1.3249999999999957,SL,price_time,2.6999999999999957,2.5,3.1500000000000057,4.300000000000004,3.200000000000003,1.6000000000000014
8,2295,2012-05-31 00:00:00,2296,2341,2012-06-01 00:00:00,2012-08-03 00:00:00,short,41.8,41.825,47.73571428571429,41.825,-0.004211793020458235,-0.025000000000005684,SL,price_time,1.7999999999999972,2.0999999999999943,1.9499999999999957,1.2999999999999972,0.44999999999999574,-0.3500000000000014
9,2383,2012-10-08 00:00:00,2384,2404,2012-10-09 00:00:00,2012-11-07 00:00:00,short,43.1,43.542857142857144,46.599999999999994,43.542857142857144,-0.12653061224489828,-0.44285714285714306,SL,price_time,0.8499999999999943,1.3999999999999986,1.3000000000000043,1.1499999999999986,1.25,0.45000000000000284
10,2427,2012-12-12 00:00:00,2428,2436,2012-12-13 00:00:00,2012-12-26 00:00:00,short,45.0,48.067857142857136,48.48571428571429,48.067857142857136,-0.8801229508196697,-3.067857142857136,SL,price_time,1.0499999999999972,1.1499999999999986,0.8500000000000014,0.9500000000000028,0.45000000000000284,0.5
11,2469,2013-02-11 00:00:00,2470,2550,2013-02-12 00:00:00,2013-06-11 00:00:00,long,51.7,65.91071428571429,45.55,65.91071428571429,2.310685249709638,14.210714285714289,SL,price_date,2.25,1.8999999999999986,2.75,2.6999999999999957,3.049999999999997,5.049999999999997
12,2552,2013-06-13 00:00:00,2553,2584,2013-06-14 00:00:00,2013-07-29 00:00:00,long,67.7,66.65357142857144,60.7,66.65357142857144,-0.14948979591836625,-1.0464285714285637,SL,price_time,1.5,0.9500000000000028,2.5999999999999943,2.700000000000003,4.1499999999999915,3.0999999999999943
13,2595,2013-08-14 00:00:00,2596,2621,2013-08-16 00:00:00,2013-09-23 00:00:00,short,70.25,67.50714285714285,77.92142857142858,67.50714285714285,0.35754189944134107,2.7428571428571473,SL,price_time,2.700000000000003,2.549999999999997,5.5,5.75,5.849999999999994,5.900000000000006
14,2652,2013-11-08 00:00:00,2653,2682,2013-11-11 00:00:00,2013-12-23 00:00:00,long,65.35,66.22142857142856,61.15714285714286,66.22142857142856,0.20783645655877261,0.8714285714285666,SL,price_time,2.3999999999999915,2.950000000000003,1.1500000000000057,1.9000000000000057,2.450000000000003,3.8000000000000114
15,2712,2014-02-04 00:00:00,2713,2877,2014-02-05 00:00:00,2014-10-10 00:00:00,long,60.65,109.01428571428572,55.15,109.01428571428572,8.793506493506495,48.36428571428572,SL,price_time,2.049999999999997,1.75,2.0500000000000043,1.8999999999999986,1.8500000000000014,2.0
16,2937,2015-01-09 00:00:00,2938,2995,2015-01-12 00:00:00,2015-04-08 00:00:00,short,145.25,134.65714285714284,163.9142857142857,134.65714285714284,0.5675468809797176,10.592857142857156,SL,price_time,8.349999999999994,8.0,5.599999999999994,9.349999999999994,13.949999999999989,10.349999999999994
17,3042,2015-06-16 00:00:00,3043,3091,2015-06-17 00:00:00,2015-08-24 00:00:00,long,104.6,124.19999999999999,92.87857142857142,124.19999999999999,1.672151127361364,19.599999999999994,SL,price_time,4.900000000000006,3.3500000000000085,4.900000000000006,4.8500000000000085,9.700000000000003,11.700000000000003
18,3117,2015-10-01 00:00:00,3118,3164,2015-10-05 00:00:00,2015-12-11 00:00:00,long,129.9,130.15714285714284,120.52142857142856,130.15714285714284,0.02741812642802537,0.25714285714283847,SL,price_time,4.150000000000006,3.9000000000000057,2.5,2.6500000000000057,0.9000000000000057,2.0
19,3189,2016-01-15 09:15:00,3190,3203,2016-01-18 09:15:00,2016-02-05 09:15:00,short,152.75,166.76071428571427,171.17142857142855,166.76071428571427,-0.7605661108956961,-14.010714285714272,SL,price_time,6.400000000000006,6.400000000000006,3.6999999999999886,4.5,3.3499999999999943,1.75
20,3270,2016-05-18 09:15:00,3271,3306,2016-05-19 09:15:00,2016-07-08 09:15:00,short,175.35,175.21785714285716,193.42142857142855,175.21785714285716,0.007312252964425851,0.13214285714283847,SL,price_time,6.949999999999989,6.199999999999989,8.449999999999989,10.150000000000006,12.099999999999994,5.349999999999994
21,3367,2016-10-06 09:15:00,3368,3400,2016-10-07 09:15:00,2016-11-28 09:15:00,short,223.8,189.70357142857142,239.10000000000002,189.70357142857142,2.228524743230625,34.09642857142859,SL,price_time,3.4000000000000057,3.4000000000000057,1.700000000000017,3.700000000000017,3.5500000000000114,4.350000000000023
22,3422,2016-12-28 09:15:00,3423,3492,2016-12-29 09:15:00,2017-04-11 09:15:00,long,171.65,192.01785714285717,150.84285714285716,192.01785714285717,0.9788877445932042,20.36785714285716,SL,price_date,3.9499999999999886,2.9499999999999886,3.799999999999983,4.650000000000006,6.25,7.25
23,3512,2017-05-11 09:15:00,3513,3524,2017-05-12 09:15:00,2017-05-29 09:15:00,short,219.1,222.0107142857143,234.19285714285715,222.0107142857143,-0.1928537624230963,-2.910714285714306,SL,price_date,3.8499999999999943,5.5,2.8499999999999943,1.1999999999999886,1.6999999999999886,7.349999999999994
24,3572,2017-08-04 09:15:00,3573,3577,2017-08-07 09:15:00,2017-08-11 09:15:00,long,200.0,194.3607142857143,190.30714285714288,194.3607142857143,-0.5817980840088434,-5.639285714285705,SL,price_time,6.349999999999994,7.449999999999989,10.900000000000006,13.400000000000006,6.099999999999994,-1.5
25,3588,2017-08-30 09:15:00,3589,3606,2017-08-31 09:15:00,2017-09-25 09:15:00,long,203.85,207.6892857142857,185.82142857142858,207.6892857142857,0.21295562599049037,3.839285714285694,SL,price_time,3.3499999999999943,1.1500000000000057,4.450000000000017,0.09999999999999432,9.050000000000011,12.400000000000006
26,3625,2017-10-25 09:15:00,3626,3671,2017-10-26 09:15:00,2017-12-29 09:15:00,short,230.4,223.60357142857143,251.3142857142857,223.60357142857143,0.32496584699453634,6.796428571428578,SL,price_date,7.549999999999983,4.5,2.6500000000000057,7.5,8.700000000000017,8.200000000000017
