trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,114,2003-07-14 00:00:00,115,124,2003-07-15 00:00:00,2003-07-28 00:00:00,short,38.65,42.224999999999994,42.82285714285714,42.224999999999994,-0.8567271482369048,-3.5749999999999957,SL,price_time,1.4400000000000048,1.75,2.3200000000000003,2.789999999999999,0.9299999999999997,0.21000000000000085
2,153,2003-09-08 00:00:00,154,177,2003-09-09 00:00:00,2003-10-13 00:00:00,short,50.33,52.42857142857143,56.58714285714286,52.42857142857143,-0.3353881278538817,-2.0985714285714323,SL,price_date,1.740000000000002,1.75,2.549999999999997,1.019999999999996,2.4399999999999977,2.6000000000000014
3,226,2003-12-22 00:00:00,227,231,2003-12-23 00:00:00,2003-12-30 00:00:00,short,78.67,87.25214285714286,87.25857142857143,87.25214285714286,-0.999251497005988,-8.582142857142856,SL,price_time,1.5,2.1899999999999977,1.2000000000000028,0.4399999999999977,-0.14999999999999147,-2.269999999999996
4,254,2004-02-03 00:00:00,255,281,2004-02-04 00:00:00,2004-03-12 00:00:00,long,68.46,70.77357142857144,58.57571428571428,70.77357142857144,0.2340656164185597,2.31357142857145,SL,price_time,3.509999999999991,2.780000000000001,5.050000000000011,5.420000000000002,8.75,11.41000000000001
5,285,2004-03-18 00:00:00,286,310,2004-03-19 00:00:00,2004-04-27 00:00:00,long,70.35,75.70428571428572,62.84714285714286,75.70428571428572,0.7136329017517159,5.354285714285723,SL,price_time,1.730000000000004,2.0800000000000125,0.21000000000000796,0.07000000000000739,0.5500000000000114,1.1300000000000097
6,318,2004-05-07 00:00:00,319,377,2004-05-10 00:00:00,2004-08-30 00:00:00,short,71.85,73.78928571428571,87.18714285714286,73.78928571428571,-0.12644374068554406,-1.9392857142857167,SL,price_time,1.4699999999999989,-5.200000000000003,-1.4200000000000017,-2.5900000000000034,-2.1700000000000017,3.1599999999999966
7,387,2004-09-13 00:00:00,388,396,2004-09-14 00:00:00,2004-09-24 00:00:00,short,76.84,80.63000000000001,80.63000000000001,80.63000000000001,-1.0,-3.7900000000000063,SL,price_time,1.1200000000000045,1.8100000000000023,1.4699999999999989,0.29999999999999716,0.20000000000000284,0.8500000000000085
8,434,2004-11-22 00:00:00,435,519,2004-11-23 00:00:00,2005-03-24 00:00:00,long,87.9,134.3057142857143,80.39571428571429,134.3057142857143,6.183894917190177,46.40571428571428,SL,price_time,2.6400000000000006,1.7999999999999972,1.0499999999999972,1.7999999999999972,2.3499999999999943,2.089999999999989
9,536,2005-04-20 00:00:00,537,607,2005-04-21 00:00:00,2005-07-29 00:00:00,long,122.5,156.98357142857142,109.05714285714285,156.98357142857142,2.5651965993623786,34.48357142857142,SL,price_time,1.5100000000000051,3.6700000000000017,4.390000000000001,7.759999999999991,8.719999999999999,7.439999999999998
10,627,2005-08-29 00:00:00,628,663,2005-08-30 00:00:00,2005-10-20 00:00:00,long,148.5,154.9957142857143,134.72714285714287,154.9957142857143,0.4716315734882297,6.495714285714314,SL,price_time,12.870000000000005,10.550000000000011,14.199999999999989,14.300000000000011,11.580000000000013,10.949999999999989
