trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,160,2003-08-22 00:00:00,161,185,2003-08-25 00:00:00,2003-09-26 00:00:00,short,31.4,34.56785714285714,35.16428571428572,34.56785714285714,-0.8415559772296007,-3.1678571428571445,SL,price_time,0.75,0.9499999999999993,0.04999999999999716,-1.0,-2.0500000000000043,-2.6000000000000014
2,195,2003-10-13 00:00:00,196,206,2003-10-14 00:00:00,2003-10-28 00:00:00,short,38.9,41.010714285714286,44.48571428571429,41.010714285714286,-0.3778772378516625,-2.1107142857142875,SL,price_time,3.200000000000003,3.3999999999999986,0.6499999999999986,0.9499999999999957,0.5499999999999972,2.1499999999999986
3,253,2004-01-05 00:00:00,254,304,2004-01-06 00:00:00,2004-03-19 00:00:00,long,53.7,67.39285714285715,46.6,67.39285714285715,1.9285714285714293,13.69285714285715,SL,price_time,2.8500000000000014,1.7999999999999972,1.0499999999999972,6.0,5.449999999999996,4.949999999999996
4,327,2004-04-23 00:00:00,328,369,2004-04-27 00:00:00,2004-07-23 00:00:00,short,89.8,83.43214285714286,101.52857142857142,83.43214285714286,0.5429354445797799,6.367857142857133,SL,price_time,5.1499999999999915,8.099999999999994,7.599999999999994,6.0,6.450000000000003,7.599999999999994
5,425,2004-10-11 00:00:00,426,437,2004-10-12 00:00:00,2004-10-29 00:00:00,short,77.2,80.49285714285713,83.27857142857142,80.49285714285713,-0.541715628672149,-3.2928571428571303,SL,price_time,2.3500000000000085,2.6000000000000085,4.450000000000003,3.200000000000003,4.700000000000003,2.9000000000000057
6,482,2005-01-04 00:00:00,483,499,2005-01-05 00:00:00,2005-01-31 00:00:00,short,111.35,114.80000000000001,127.02857142857142,114.80000000000001,-0.22004555808656143,-3.450000000000017,SL,price_time,7.700000000000003,8.099999999999994,7.699999999999989,8.199999999999989,11.449999999999989,13.699999999999989
7,504,2005-02-07 00:00:00,505,520,2005-02-08 00:00:00,2005-03-01 00:00:00,short,108.25,115.09642857142858,120.14285714285715,115.09642857142858,-0.5756756756756755,-6.846428571428575,SL,price_time,2.799999999999997,2.700000000000003,5.549999999999997,7.400000000000006,5.75,2.75
8,545,2005-04-06 00:00:00,546,567,2005-04-07 00:00:00,2005-05-09 00:00:00,short,104.2,108.44999999999999,117.06428571428572,108.44999999999999,-0.3303720155469173,-4.249999999999986,SL,price_time,1.0499999999999972,1.25,-0.25,1.7999999999999972,1.9000000000000057,2.6500000000000057
9,571,2005-05-13 00:00:00,572,580,2005-05-16 00:00:00,2005-05-26 00:00:00,long,105.5,101.19285714285714,100.07857142857142,101.19285714285714,-0.7944664031620556,-4.307142857142864,SL,price_time,2.9000000000000057,3.700000000000003,2.25,-0.29999999999999716,1.0499999999999972,-0.15000000000000568
10,660,2005-09-20 00:00:00,661,693,2005-09-21 00:00:00,2005-11-09 00:00:00,short,177.65,169.95714285714286,190.76428571428573,169.95714285714286,0.5866013071895424,7.69285714285715,SL,price_time,3.799999999999983,5.349999999999994,13.25,11.200000000000017,6.0,8.400000000000006
