trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,177,2003-10-13 00:00:00,178,194,2003-10-14 00:00:00,2003-11-05 00:00:00,short,19.0,18.91071428571429,22.17857142857143,18.91071428571429,0.028089887640448622,0.08928571428571175,SL,price_time,1.2999999999999972,1.3999999999999986,1.8999999999999986,2.6999999999999993,1.6999999999999993,3.5
2,277,2004-03-08 00:00:00,278,295,2004-03-09 00:00:00,2004-04-01 00:00:00,short,30.6,29.63214285714286,35.05714285714286,29.63214285714286,0.2171474358974357,0.9678571428571416,SL,price_time,1.0,1.2000000000000028,1.5,3.200000000000003,2.700000000000003,3.6000000000000014
3,353,2004-07-27 00:00:00,354,376,2004-07-28 00:00:00,2004-08-27 00:00:00,short,11.9,18.667857142857144,22.735714285714284,18.667857142857144,-0.6245880026367834,-6.767857142857144,SL,price_time,0.9500000000000028,-4.999999999999998,-6.299999999999999,-5.799999999999999,-5.9,-6.200000000000001
4,437,2004-11-25 00:00:00,438,469,2004-11-29 00:00:00,2005-01-11 00:00:00,long,21.2,24.889285714285716,17.75,24.889285714285716,1.069358178053831,3.6892857142857167,SL,price_time,1.1999999999999993,1.6000000000000014,0.25,0.8000000000000007,3.4499999999999993,3.1000000000000014
5,501,2005-02-28 00:00:00,502,548,2005-03-01 00:00:00,2005-05-06 00:00:00,short,24.9,20.4,28.307142857142857,20.4,1.3207547169811316,4.5,SL,price_time,1.6000000000000014,2.1999999999999993,2.3999999999999986,2.099999999999998,2.1999999999999993,2.349999999999998
6,820,2006-06-13 00:00:00,821,849,2006-06-14 00:00:00,2006-07-24 00:00:00,long,14.55,13.9,8.442857142857143,13.9,-0.10643274853801174,-0.6500000000000004,SL,price_time,1.700000000000001,0.8499999999999996,1.5500000000000007,2.4499999999999993,2.1999999999999993,1.8499999999999979
7,967,2007-01-12 00:00:00,968,1007,2007-01-15 00:00:00,2007-03-14 00:00:00,short,19.6,16.814285714285713,21.957142857142856,16.814285714285713,1.1818181818181843,2.7857142857142883,SL,price_time,1.2999999999999972,1.5,1.8000000000000007,0.8000000000000007,0.3000000000000007,0.3500000000000014
8,1179,2007-11-19 00:00:00,1180,1204,2007-11-20 00:00:00,2007-12-26 00:00:00,short,20.5,26.678571428571427,30.128571428571426,26.678571428571427,-0.6416913946587537,-6.178571428571427,SL,price_time,1.6500000000000021,-1.1999999999999993,0.10000000000000142,-1.1499999999999986,-1.1999999999999993,-1.0500000000000007
9,1211,2008-01-04 00:00:00,1212,1240,2008-01-07 00:00:00,2008-02-14 00:00:00,short,31.15,28.12857142857143,39.707142857142856,28.12857142857143,0.35308848080133526,3.0214285714285687,SL,price_time,1.4000000000000021,-0.6500000000000021,1.75,4.049999999999997,6.049999999999997,6.299999999999997
10,1246,2008-02-22 00:00:00,1247,1263,2008-02-25 00:00:00,2008-03-19 00:00:00,long,24.5,20.517857142857146,17.885714285714283,20.517857142857146,-0.602051835853131,-3.982142857142854,SL,price_time,0.8000000000000007,0.3000000000000007,2.1000000000000014,1.8000000000000007,3.1000000000000014,2.8000000000000007
11,1351,2008-07-29 00:00:00,1352,1372,2008-07-30 00:00:00,2008-08-28 00:00:00,long,14.4,12.225000000000001,11.085714285714285,12.225000000000001,-0.6562499999999996,-2.174999999999999,SL,price_time,1.5500000000000007,1.9000000000000004,1.799999999999999,2.4000000000000004,1.700000000000001,2.4000000000000004
12,1384,2008-09-16 00:00:00,1385,1433,2008-09-17 00:00:00,2008-12-01 00:00:00,short,18.8,20.028571428571425,23.6,20.028571428571425,-0.25595238095238,-1.2285714285714242,SL,price_time,2.049999999999997,1.9499999999999993,1.0,1.1999999999999993,1.8500000000000014,1.1999999999999993
13,1446,2008-12-19 00:00:00,1447,1473,2008-12-22 00:00:00,2009-01-30 00:00:00,short,20.8,23.32857142857143,24.578571428571433,23.32857142857143,-0.6691871455576553,-2.5285714285714285,SL,price_time,1.5500000000000007,1.5,1.5,-0.05000000000000071,0.8500000000000014,0.40000000000000213
14,1542,2009-05-20 00:00:00,1543,1645,2009-05-21 00:00:00,2009-10-16 00:00:00,long,22.2,32.41071428571429,18.378571428571426,32.41071428571429,2.6719626168224306,10.210714285714293,SL,price_time,3.3000000000000007,3.5,3.6999999999999993,5.150000000000002,3.5500000000000007,4.600000000000001
15,1773,2010-04-29 00:00:00,1774,1806,2010-04-30 00:00:00,2010-06-15 00:00:00,long,30.3,32.63214285714285,27.407142857142855,32.63214285714285,0.8061728395061702,2.332142857142852,SL,price_time,2.1000000000000014,1.3000000000000007,1.3999999999999986,1.1499999999999986,1.9999999999999964,3.099999999999998
16,1824,2010-07-09 00:00:00,1825,1849,2010-07-12 00:00:00,2010-08-13 00:00:00,short,47.3,45.67857142857143,52.42857142857143,45.67857142857143,0.31615598885793744,1.6214285714285666,SL,price_time,1.6999999999999957,1.6999999999999957,0.7999999999999972,0.7999999999999972,4.399999999999999,4.0
17,1856,2010-08-24 00:00:00,1857,1860,2010-08-25 00:00:00,2010-08-30 00:00:00,short,51.3,56.99285714285714,58.535714285714285,56.99285714285714,-0.7867719644619939,-5.692857142857143,SL,price_date,0.6499999999999986,0.6499999999999986,-0.30000000000000426,-1.3500000000000014,-0.9000000000000057,-0.10000000000000142
18,1863,2010-09-02 00:00:00,1864,1905,2010-09-03 00:00:00,2010-11-02 00:00:00,short,53.0,51.325,59.207142857142856,51.325,0.2698504027617948,1.6749999999999972,SL,price_time,1.0,1.1000000000000014,1.3999999999999986,1.7999999999999972,1.8999999999999986,2.3999999999999986
19,1965,2011-01-28 00:00:00,1966,2006,2011-01-31 00:00:00,2011-03-29 00:00:00,short,40.2,39.19642857142857,45.27142857142857,39.19642857142857,0.197887323943663,1.0035714285714334,SL,price_time,1.5500000000000043,0.8000000000000043,3.5,2.4000000000000057,2.25,2.8000000000000043
20,2013,2011-04-07 00:00:00,2014,2027,2011-04-08 00:00:00,2011-05-02 00:00:00,short,39.0,41.43928571428571,42.42142857142858,41.43928571428571,-0.712943632567847,-2.4392857142857096,SL,price_time,0.8999999999999986,0.5,1.7000000000000028,0.6000000000000014,0.75,1.6000000000000014
21,2067,2011-06-27 00:00:00,2068,2076,2011-06-28 00:00:00,2011-07-08 00:00:00,short,43.75,46.785714285714285,48.51428571428571,46.785714285714285,-0.6371814092953524,-3.0357142857142847,SL,price_date,1.0,1.25,1.8500000000000014,1.3500000000000014,1.75,1.6499999999999986
22,2122,2011-09-15 00:00:00,2123,2134,2011-09-16 00:00:00,2011-10-03 00:00:00,short,45.3,45.546428571428564,47.30714285714286,45.546428571428564,-0.12277580071174118,-0.24642857142856656,SL,price_time,1.1499999999999986,2.1499999999999986,1.7999999999999972,1.6999999999999957,1.8499999999999943,2.1999999999999957
23,2163,2011-11-18 00:00:00,2164,2202,2011-11-21 00:00:00,2012-01-13 00:00:00,short,31.95,31.52857142857143,36.30714285714286,31.52857142857143,0.09672131147540969,0.4214285714285708,SL,price_time,1.2999999999999972,1.3499999999999979,-0.0,1.75,1.5500000000000007,0.25
24,2211,2012-01-27 00:00:00,2212,2221,2012-01-30 00:00:00,2012-02-10 00:00:00,short,36.2,40.25714285714286,40.65714285714286,40.25714285714286,-0.9102564102564106,-4.057142857142857,SL,price_time,1.0500000000000043,0.8000000000000043,0.15000000000000568,1.1500000000000057,-0.09999999999999432,-0.14999999999999858
25,2255,2012-04-02 00:00:00,2256,2294,2012-04-03 00:00:00,2012-05-30 00:00:00,long,45.7,44.82857142857143,41.39285714285714,44.82857142857143,-0.2023217247097846,-0.8714285714285737,SL,price_time,1.5,1.1999999999999957,0.6999999999999957,-0.8500000000000014,-1.9000000000000057,-1.6500000000000057
26,2371,2012-09-18 00:00:00,2372,2411,2012-09-20 00:00:00,2012-11-19 00:00:00,long,43.8,42.67142857142858,39.864285714285714,42.67142857142858,-0.2867513611615223,-1.1285714285714192,SL,price_time,1.3000000000000043,1.9000000000000057,2.200000000000003,1.8000000000000043,2.5,2.950000000000003
27,2489,2013-03-11 00:00:00,2490,2512,2013-03-12 00:00:00,2013-04-15 00:00:00,short,54.6,54.15714285714286,60.42142857142857,54.15714285714286,0.0760736196319019,0.44285714285714306,SL,price_time,0.5,0.5500000000000043,1.6000000000000014,0.5,-0.0,1.3000000000000043
28,2528,2013-05-10 00:00:00,2529,2564,2013-05-13 00:00:00,2013-07-01 00:00:00,short,57.65,50.05,60.65714285714286,50.05,2.5273159144893094,7.600000000000001,SL,price_time,0.8999999999999986,1.5499999999999972,1.5,0.5,-0.45000000000000284,0.10000000000000142
29,2592,2013-08-08 00:00:00,2593,2655,2013-08-12 00:00:00,2013-11-13 00:00:00,long,34.6,43.85714285714286,26.14285714285714,43.85714285714286,1.0945945945945943,9.25714285714286,SL,price_time,1.3000000000000043,1.1000000000000014,1.3999999999999986,4.399999999999999,2.1000000000000014,1.7999999999999972
30,2662,2013-11-25 00:00:00,2663,2672,2013-11-26 00:00:00,2013-12-09 00:00:00,short,45.95,49.1,51.12857142857143,49.1,-0.608275862068965,-3.1499999999999986,SL,price_date,3.6499999999999986,3.6000000000000014,2.75,2.1500000000000057,1.1500000000000057,0.25
31,2706,2014-01-27 00:00:00,2707,2803,2014-01-28 00:00:00,2014-06-20 00:00:00,long,44.4,78.75714285714287,40.43571428571429,78.75714285714287,8.666666666666682,34.35714285714287,SL,price_time,0.8000000000000043,0.8000000000000043,2.8000000000000043,2.450000000000003,4.100000000000001,3.1000000000000014
32,2819,2014-07-14 00:00:00,2820,2863,2014-07-15 00:00:00,2014-09-17 00:00:00,long,83.0,93.71428571428572,74.06428571428572,93.71428571428572,1.1990407673860923,10.714285714285722,SL,price_time,2.1000000000000085,1.2000000000000028,2.5999999999999943,2.700000000000003,1.3499999999999943,1.0999999999999943
33,2896,2014-11-12 00:00:00,2897,2908,2014-11-13 00:00:00,2014-11-28 00:00:00,short,111.7,114.21071428571427,121.25714285714285,114.21071428571427,-0.26270553064274915,-2.510714285714272,SL,price_time,5.700000000000003,3.4000000000000057,2.6500000000000057,4.1000000000000085,5.1000000000000085,4.799999999999997
34,2952,2015-02-02 00:00:00,2953,2971,2015-02-03 00:00:00,2015-03-02 00:00:00,short,114.3,119.72142857142858,125.22857142857144,119.72142857142858,-0.49607843137254887,-5.421428571428578,SL,price_time,3.5999999999999943,3.5999999999999943,4.599999999999994,-0.20000000000000284,3.0,6.200000000000003
35,2974,2015-03-05 00:00:00,2975,2991,2015-03-09 00:00:00,2015-03-31 00:00:00,short,118.7,120.00357142857143,127.20714285714287,120.00357142857143,-0.1532325776658271,-1.3035714285714306,SL,price_time,2.1000000000000085,1.9000000000000057,1.7999999999999972,4.049999999999997,4.299999999999997,7.299999999999997
36,3018,2015-05-13 00:00:00,3019,3059,2015-05-14 00:00:00,2015-07-09 00:00:00,long,112.4,134.7857142857143,96.74285714285715,134.7857142857143,1.4297445255474461,22.3857142857143,SL,price_date,3.4499999999999886,3.1999999999999886,4.949999999999989,9.199999999999989,7.799999999999997,8.25
37,3093,2015-08-26 00:00:00,3094,3163,2015-08-27 00:00:00,2015-12-10 00:00:00,long,132.8,134.36071428571427,113.97142857142855,134.36071428571427,0.0828907435508328,1.5607142857142549,SL,price_time,7.099999999999994,3.3999999999999773,0.19999999999998863,3.8999999999999773,0.5999999999999943,-1.8000000000000114
38,3189,2016-01-15 09:15:00,3190,3224,2016-01-18 09:15:00,2016-03-08 09:15:00,short,144.6,127.75714285714285,155.59285714285716,127.75714285714285,1.5321637426900558,16.84285714285714,SL,price_time,6.0,5.699999999999989,5.799999999999983,7.5,9.199999999999989,7.900000000000006
39,3252,2016-04-22 09:15:00,3253,3265,2016-04-25 09:15:00,2016-05-11 09:15:00,long,149.5,141.59285714285716,141.59285714285716,141.59285714285716,-1.0,-7.907142857142844,SL,price_time,2.0500000000000114,3.0500000000000114,2.5999999999999943,3.6999999999999886,0.44999999999998863,3.0
40,3308,2016-07-12 09:15:00,3309,3315,2016-07-13 09:15:00,2016-07-21 09:15:00,short,176.1,185.55357142857144,190.95,185.55357142857144,-0.6366041366041383,-9.45357142857145,SL,price_time,4.849999999999994,4.699999999999989,2.0999999999999943,1.6999999999999886,1.1999999999999886,-4.099999999999994
41,3325,2016-08-04 09:15:00,3326,3388,2016-08-05 09:15:00,2016-11-09 09:15:00,long,181.4,199.90357142857144,164.6,199.90357142857144,1.1014030612244894,18.503571428571433,SL,price_time,5.699999999999989,3.5999999999999943,10.349999999999994,6.650000000000006,2.5999999999999943,7.049999999999983
42,3406,2016-12-06 09:15:00,3407,3457,2016-12-07 09:15:00,2017-02-16 09:15:00,long,194.8,212.02142857142857,179.4642857142857,212.02142857142857,1.1229622729389817,17.22142857142856,SL,price_time,6.399999999999977,5.399999999999977,7.399999999999977,6.25,-1.3500000000000227,4.25
43,3498,2017-04-20 09:15:00,3499,3523,2017-04-21 09:15:00,2017-05-26 09:15:00,short,231.0,237.41785714285714,245.36428571428573,237.41785714285714,-0.4467926404773741,-6.4178571428571445,SL,price_time,1.8000000000000114,2.9000000000000057,3.1999999999999886,-4.949999999999989,-2.4000000000000057,-3.8000000000000114
44,3548,2017-07-03 09:15:00,3549,3575,2017-07-04 09:15:00,2017-08-09 09:15:00,long,205.4,236.6892857142857,191.70000000000002,236.6892857142857,2.2838894681960373,31.289285714285683,SL,price_date,2.6500000000000057,3.1999999999999886,4.799999999999983,4.099999999999994,5.400000000000006,5.650000000000006
45,3594,2017-09-07 09:15:00,3595,3626,2017-09-08 09:15:00,2017-10-26 09:15:00,short,252.0,250.34285714285716,274.65,250.34285714285716,0.07316304005045676,1.6571428571428442,SL,price_date,5.350000000000023,5.800000000000011,6.400000000000006,-4.399999999999977,12.400000000000006,12.25
46,3653,2017-12-04 09:15:00,3654,3673,2017-12-05 09:15:00,2018-01-02 09:15:00,long,237.25,239.55714285714285,222.57142857142856,239.55714285714285,0.15717761557177548,2.30714285714285,SL,price_time,2.3499999999999943,2.6999999999999886,-2.25,1.8000000000000114,9.449999999999989,9.349999999999994
47,3694,2018-02-01 09:15:00,3695,3776,2018-02-02 09:15:00,2018-06-04 09:15:00,short,231.0,195.48214285714283,248.81428571428572,195.48214285714283,1.993785084202086,35.51785714285717,SL,price_date,6.599999999999994,2.9000000000000057,3.5,7.900000000000006,3.4000000000000057,2.4000000000000057
48,3790,2018-06-22 09:15:00,3791,3816,2018-06-25 09:15:00,2018-07-30 09:15:00,short,201.5,193.16071428571428,214.19285714285715,193.16071428571428,0.6570061902082164,8.339285714285722,SL,price_date,7.199999999999989,6.0,4.400000000000006,20.599999999999994,28.5,25.349999999999994
49,3821,2018-08-06 09:15:00,3822,3848,2018-08-07 09:15:00,2018-09-17 09:15:00,short,190.0,169.8642857142857,202.44285714285715,169.8642857142857,1.6182548794489096,20.1357142857143,SL,price_date,3.4499999999999886,3.4499999999999886,6.849999999999994,6.0,-0.30000000000001137,10.650000000000006
50,3884,2018-11-13 09:15:00,3885,3923,2018-11-14 09:15:00,2019-01-09 00:00:00,long,146.0,160.48214285714286,123.91428571428571,160.48214285714286,0.6557244501940492,14.482142857142861,SL,price_time,6.400000000000006,1.5,4.400000000000006,4.5,5.0,4.949999999999989
51,3971,2019-03-19 00:00:00,3972,3996,2019-03-20 00:00:00,2019-04-26 00:00:00,short,193.1,174.0392857142857,205.66428571428568,174.0392857142857,1.5170551449687353,19.060714285714283,SL,price_time,9.300000000000011,9.0,14.099999999999994,11.75,11.650000000000006,14.099999999999994
52,4020,2019-06-03 00:00:00,4021,4079,2019-06-04 00:00:00,2019-08-28 00:00:00,short,197.2,165.14642857142857,216.02142857142854,165.14642857142857,1.7030360531309305,32.053571428571416,SL,price_time,4.350000000000023,3.5,9.199999999999989,6.199999999999989,12.899999999999977,14.199999999999989
53,4147,2019-12-10 00:00:00,4148,4188,2019-12-11 00:00:00,2020-02-05 00:00:00,short,232.0,231.95,256.73571428571427,231.95,0.0020213687554148417,0.05000000000001137,SL,price_time,1.8499999999999943,1.1999999999999886,-3.4000000000000057,-5.900000000000006,-3.5,-5.5
54,4208,2020-03-05 00:00:00,4209,4262,2020-03-06 00:00:00,2020-05-29 00:00:00,short,189.6,162.58214285714286,220.97857142857143,162.58214285714286,0.8610289096289548,27.01785714285714,SL,price_time,7.649999999999977,-1.450000000000017,-11.800000000000011,-2.0999999999999943,27.94999999999999,12.099999999999994
55,4275,2020-06-17 00:00:00,4276,4297,2020-06-18 00:00:00,2020-07-17 00:00:00,long,171.55,186.84285714285716,150.05,186.84285714285716,0.711295681063123,15.292857142857144,SL,price_date,2.799999999999983,3.049999999999983,8.25,10.549999999999983,13.949999999999989,7.25
56,4361,2020-10-16 00:00:00,4362,4391,2020-10-19 00:00:00,2020-11-27 00:00:00,long,161.5,176.00357142857143,139.32142857142858,176.00357142857143,0.6539452495974241,14.503571428571433,SL,price_time,3.3000000000000114,1.3000000000000114,-0.30000000000001137,2.8000000000000114,2.6999999999999886,3.8000000000000114
57,4408,2020-12-23 00:00:00,4409,4430,2020-12-24 00:00:00,2021-01-25 00:00:00,long,177.7,186.93928571428572,161.35,186.93928571428572,0.5650939274792496,9.239285714285728,SL,price_date,1.6000000000000227,0.6000000000000227,3.200000000000017,2.5500000000000114,3.200000000000017,2.3500000000000227
58,4459,2021-03-08 00:00:00,4460,4493,2021-03-09 00:00:00,2021-04-30 00:00:00,short,212.6,207.63571428571427,244.82857142857142,207.63571428571427,0.15403368794326266,4.964285714285722,SL,price_date,10.400000000000006,0.15000000000000568,0.3499999999999943,-5.700000000000017,-7.200000000000017,-3.8000000000000114
59,4535,2021-06-30 00:00:00,4536,4567,2021-07-01 00:00:00,2021-08-16 00:00:00,short,223.55,222.49285714285713,231.51428571428573,222.49285714285713,0.13273542600897112,1.0571428571428783,SL,price_time,2.6500000000000057,2.6500000000000057,2.6500000000000057,4.200000000000017,5.050000000000011,3.8000000000000114
60,4586,2021-09-14 00:00:00,4587,4605,2021-09-15 00:00:00,2021-10-11 00:00:00,short,236.5,215.78214285714284,249.62142857142857,215.78214285714284,1.578933043004901,20.717857142857156,SL,price_date,1.5500000000000114,2.0,27.5,28.900000000000006,36.80000000000001,40.099999999999994
61,4644,2021-12-08 00:00:00,4645,4652,2021-12-09 00:00:00,2021-12-20 00:00:00,long,186.6,173.37142857142857,173.37142857142857,173.37142857142857,-1.0,-13.228571428571428,SL,price_time,1.3000000000000114,-0.19999999999998863,1.4000000000000057,-0.9000000000000057,-1.299999999999983,-4.949999999999989
62,4672,2022-01-17 00:00:00,4673,4709,2022-01-18 00:00:00,2022-03-11 00:00:00,short,190.4,171.19285714285712,199.6142857142857,171.19285714285712,2.0844961240310154,19.207142857142884,SL,price_time,1.25,1.8499999999999943,3.700000000000017,4.400000000000006,10.050000000000011,14.349999999999994
63,4736,2022-04-22 00:00:00,4737,4789,2022-04-25 00:00:00,2022-07-07 00:00:00,short,182.0,151.45,197.2,151.45,2.0098684210526336,30.55000000000001,SL,price_time,11.849999999999994,7.650000000000006,6.099999999999994,9.25,7.800000000000011,11.199999999999989
64,4795,2022-07-15 00:00:00,4796,4821,2022-07-18 00:00:00,2022-08-24 00:00:00,long,146.25,154.0357142857143,134.02857142857147,154.0357142857143,0.6370543541788465,7.785714285714306,SL,price_date,1.8499999999999943,1.1500000000000057,1.5500000000000114,1.8000000000000114,4.599999999999994,3.4000000000000057
65,4824,2022-08-29 00:00:00,4825,4837,2022-08-30 00:00:00,2022-09-16 00:00:00,long,152.6,150.40714285714287,143.2214285714286,150.40714285714287,-0.23381568926123214,-2.1928571428571217,SL,price_time,1.200000000000017,1.200000000000017,2.5999999999999943,-2.0999999999999943,-0.6999999999999886,-1.0
66,4839,2022-09-20 00:00:00,4840,4883,2022-09-21 00:00:00,2022-11-24 00:00:00,short,151.25,145.52142857142854,160.60714285714286,145.52142857142854,0.6122137404580179,5.728571428571456,SL,price_time,1.4499999999999886,1.75,3.8499999999999943,5.75,9.300000000000011,6.449999999999989
67,4898,2022-12-15 00:00:00,4899,4915,2022-12-16 00:00:00,2023-01-09 00:00:00,short,164.1,162.92857142857144,172.97142857142856,162.92857142857144,0.13204508856682529,1.1714285714285495,SL,price_date,3.6999999999999886,3.6999999999999886,3.9499999999999886,4.5,7.549999999999983,10.650000000000006
