trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,104,2003-06-04 00:00:00,105,132,2003-06-05 00:00:00,2003-07-14 00:00:00,short,21.8,21.192857142857147,24.892857142857146,21.192857142857147,0.19630484988452543,0.6071428571428541,SL,price_time,0.8999999999999986,1.5,1.6500000000000021,1.6999999999999993,3.8000000000000007,2.75
2,164,2003-08-28 00:00:00,165,191,2003-08-29 00:00:00,2003-10-07 00:00:00,short,24.9,24.757142857142856,28.478571428571428,24.757142857142856,0.03992015968063858,0.14285714285714235,SL,price_time,0.5500000000000007,0.6999999999999993,0.5999999999999979,-0.25,0.6999999999999993,1.5999999999999979
3,220,2003-11-17 00:00:00,221,242,2003-11-18 00:00:00,2003-12-18 00:00:00,short,25.5,25.221428571428575,27.62142857142857,25.221428571428575,0.13131313131312966,0.2785714285714249,SL,price_time,0.6999999999999993,0.8999999999999986,0.9499999999999993,2.3500000000000014,3.0500000000000007,2.4499999999999993
4,268,2004-01-27 00:00:00,269,312,2004-01-28 00:00:00,2004-03-31 00:00:00,short,31.05,28.485714285714284,35.30714285714286,28.485714285714284,0.6023489932885913,2.5642857142857167,SL,price_date,2.0,2.900000000000002,2.900000000000002,4.5,7.5,6.400000000000002
5,327,2004-04-23 00:00:00,328,397,2004-04-27 00:00:00,2004-09-01 00:00:00,short,34.45,26.242857142857144,39.67857142857143,26.242857142857144,1.5696721311475417,8.207142857142859,SL,price_time,2.8500000000000014,1.5500000000000043,1.8500000000000014,2.25,2.1500000000000057,3.5000000000000036
6,461,2004-12-06 00:00:00,462,481,2004-12-07 00:00:00,2005-01-03 00:00:00,short,38.4,41.832142857142856,42.81428571428572,41.832142857142856,-0.777508090614886,-3.432142857142857,SL,price_time,1.4500000000000028,1.8500000000000014,1.6000000000000014,0.7999999999999972,1.3999999999999986,1.2999999999999972
7,488,2005-01-12 00:00:00,489,533,2005-01-13 00:00:00,2005-03-18 00:00:00,long,36.55,40.88214285714285,30.46428571428571,40.88214285714285,0.7118544600938965,4.3321428571428555,SL,price_date,2.8499999999999943,2.25,0.9500000000000028,3.3500000000000014,5.200000000000003,3.8500000000000014
8,645,2005-08-29 00:00:00,646,663,2005-08-30 00:00:00,2005-09-23 00:00:00,long,42.6,44.08571428571429,38.707142857142856,44.08571428571429,0.3816513761467892,1.4857142857142875,SL,price_time,1.5,1.1499999999999986,1.0499999999999972,1.0,1.2999999999999972,2.25
9,687,2005-10-28 00:00:00,688,726,2005-10-31 00:00:00,2005-12-27 00:00:00,long,37.65,42.13571428571428,33.37857142857143,42.13571428571428,1.050167224080268,4.48571428571428,SL,price_time,1.6999999999999957,1.6499999999999986,1.6000000000000014,1.6499999999999986,2.3000000000000043,3.8000000000000043
10,728,2005-12-29 00:00:00,729,797,2005-12-30 00:00:00,2006-04-13 00:00:00,long,44.95,48.80357142857143,39.771428571428565,48.80357142857143,0.7441379310344813,3.8535714285714278,SL,price_time,1.8500000000000014,2.0,1.2999999999999972,1.8499999999999943,3.0999999999999943,3.549999999999997
