trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,226,2003-12-22 00:00:00,227,303,2003-12-23 00:00:00,2004-04-15 00:00:00,short,14.32,11.40857142857143,16.39142857142857,11.40857142857143,1.4055172413793116,2.911428571428571,SL,price_time,0.34999999999999964,0.7599999999999998,0.7800000000000011,0.8399999999999999,1.200000000000001,1.67
2,367,2004-08-16 00:00:00,368,384,2004-08-17 00:00:00,2004-09-08 00:00:00,short,16.74,19.543571428571433,96.38428571428571,19.543571428571433,-0.035201162310990006,-2.803571428571434,SL,price_date,67.74000000000001,0.16999999999999815,0.13999999999999702,0.03999999999999915,0.1999999999999993,0.25
3,435,2004-11-23 00:00:00,436,440,2004-11-24 00:00:00,2004-12-01 00:00:00,short,25.25,29.017142857142858,29.017142857142858,29.017142857142858,-1.0,-3.767142857142858,SL,price_time,0.9000000000000021,0.6400000000000006,-0.129999999999999,-1.3500000000000014,-1.3200000000000003,-2.6999999999999993
4,466,2005-01-06 00:00:00,467,544,2005-01-07 00:00:00,2005-05-02 00:00:00,long,27.12,31.27285714285714,22.64142857142857,31.27285714285714,0.9272727272727261,4.15285714285714,SL,price_time,1.1999999999999993,0.6699999999999982,0.33999999999999986,-0.5,-1.5800000000000018,-0.8000000000000007
5,554,2005-05-16 00:00:00,555,570,2005-05-17 00:00:00,2005-06-07 00:00:00,short,36.73,39.388571428571424,42.14142857142857,39.388571428571424,-0.49128827877507886,-2.6585714285714275,SL,price_time,0.8799999999999955,1.4899999999999949,1.0700000000000003,1.2299999999999969,1.5799999999999983,1.8200000000000003
6,604,2005-07-25 00:00:00,605,619,2005-07-26 00:00:00,2005-08-17 00:00:00,short,45.88,48.05142857142857,50.301428571428566,48.05142857142857,-0.4911147011308569,-2.171428571428571,SL,price_time,1.5,1.8000000000000043,2.980000000000004,2.1300000000000026,2.260000000000005,2.4000000000000057
7,681,2005-11-18 00:00:00,682,689,2005-11-21 00:00:00,2005-11-30 00:00:00,short,63.4,67.58357142857143,69.68714285714286,67.58357142857143,-0.6654169506930246,-4.183571428571433,SL,price_time,1.1499999999999986,1.5499999999999972,2.25,2.3500000000000014,-0.05000000000000426,0.12999999999999545
8,729,2006-01-27 00:00:00,730,783,2006-01-30 00:00:00,2006-04-20 00:00:00,short,85.0,81.995,101.62142857142858,81.995,0.18079071766222568,3.0049999999999955,SL,price_time,1.8400000000000034,2.9200000000000017,2.200000000000003,2.5999999999999943,1.5300000000000011,2.8499999999999943
9,821,2006-06-14 00:00:00,822,848,2006-06-15 00:00:00,2006-07-21 00:00:00,long,60.0,58.31142857142858,42.36714285714285,58.31142857142858,-0.09576278052337314,-1.6885714285714215,SL,price_time,5.93,1.0799999999999983,2.549999999999997,0.1700000000000017,2.229999999999997,5.6200000000000045
10,877,2006-09-01 00:00:00,878,947,2006-09-04 00:00:00,2006-12-13 00:00:00,long,76.3,80.85357142857143,67.82571428571428,80.85357142857143,0.5373398516520569,4.553571428571431,SL,price_time,2.9000000000000057,2.9000000000000057,2.049999999999997,4.700000000000003,6.1000000000000085,5.280000000000001
11,1003,2007-03-08 00:00:00,1004,1055,2007-03-09 00:00:00,2007-05-25 00:00:00,long,72.0,76.26928571428572,60.97857142857143,76.26928571428572,0.3873622812702528,4.269285714285715,SL,price_time,3.530000000000001,3.450000000000003,2.200000000000003,3.75,1.8299999999999983,3.0
12,1079,2007-06-28 00:00:00,1080,1088,2007-06-29 00:00:00,2007-07-11 00:00:00,short,91.3,94.38785714285714,100.01857142857143,94.38785714285714,-0.3541700802883828,-3.087857142857146,SL,price_time,2.469999999999999,3.469999999999999,3.6799999999999926,3.6499999999999915,3.700000000000003,5.719999999999999
13,1125,2007-09-03 00:00:00,1126,1151,2007-09-04 00:00:00,2007-10-10 00:00:00,long,89.5,84.4057142857143,81.43571428571428,84.4057142857143,-0.6317094774136389,-5.094285714285704,SL,price_time,2.0700000000000074,1.1500000000000057,0.25,0.030000000000001137,0.5300000000000011,0.5300000000000011
14,1162,2007-10-25 00:00:00,1163,1222,2007-10-26 00:00:00,2008-01-21 00:00:00,long,79.2,74.69,67.66,74.69,-0.39081455805892573,-4.510000000000005,SL,price_time,2.8799999999999955,1.5999999999999943,5.849999999999994,5.25,3.0799999999999983,1.5799999999999983
15,1227,2008-01-28 00:00:00,1228,1255,2008-01-29 00:00:00,2008-03-07 00:00:00,long,77.5,57.90214285714285,54.82428571428571,57.90214285714285,-0.8642663642663644,-19.59785714285715,SL,price_time,3.0799999999999983,-0.25,-1.2199999999999989,-1.1500000000000057,-2.8499999999999943,-2.5999999999999943
16,1258,2008-03-12 00:00:00,1259,1315,2008-03-13 00:00:00,2008-06-09 00:00:00,short,57.5,63.34571428571429,77.14,63.34571428571429,-0.2976432935699739,-5.845714285714287,SL,price_time,1.6199999999999974,-3.3800000000000026,-4.380000000000003,-1.2000000000000028,-0.5799999999999983,-0.5499999999999972
17,1327,2008-06-25 00:00:00,1328,1361,2008-06-26 00:00:00,2008-08-12 00:00:00,long,54.5,57.67857142857143,39.09571428571429,57.67857142857143,0.20634331818603371,3.1785714285714306,SL,price_date,3.6499999999999986,8.0,8.0,8.299999999999997,6.520000000000003,7.600000000000001
18,1374,2008-09-01 00:00:00,1375,1400,2008-09-02 00:00:00,2008-10-10 00:00:00,long,56.05,51.917142857142856,51.917142857142856,51.917142857142856,-1.0,-4.132857142857141,SL,price_time,1.019999999999996,8.920000000000002,9.280000000000001,9.549999999999997,8.950000000000003,9.670000000000002
19,1432,2008-11-28 00:00:00,1433,1451,2008-12-01 00:00:00,2008-12-29 00:00:00,long,44.0,39.00071428571429,31.31571428571428,39.00071428571429,-0.3941322220970826,-4.999285714285712,SL,price_time,0.47000000000000597,1.5200000000000031,1.0799999999999983,1.0,1.7000000000000028,-0.4799999999999969
