trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,29,2007-10-01 00:00:00,30,63,2007-10-03 00:00:00,2007-11-19 00:00:00,short,124.7,120.97071428571428,138.6642857142857,120.97071428571428,0.2670588235294125,3.729285714285723,SL,price_date,3.700000000000003,4.13000000000001,6.210000000000008,10.159999999999997,18.63000000000001,13.990000000000009
2,96,2008-01-07 00:00:00,97,156,2008-01-08 00:00:00,2008-04-03 00:00:00,short,122.4,79.24714285714285,133.92,79.24714285714285,3.7459077380952452,43.15285714285716,SL,price_date,3.410000000000011,4.38000000000001,5.359999999999999,8.670000000000002,8.38000000000001,6.63000000000001
3,206,2008-06-18 00:00:00,207,241,2008-06-19 00:00:00,2008-08-06 00:00:00,short,68.81,56.60999999999999,74.46857142857144,56.60999999999999,2.156021206765968,12.20000000000001,SL,price_date,2.0400000000000063,2.8400000000000034,5.859999999999999,9.219999999999999,11.650000000000006,12.07
4,279,2008-10-01 00:00:00,280,327,2008-10-03 00:00:00,2008-12-16 00:00:00,short,41.68,33.480714285714285,48.667142857142856,33.480714285714285,1.1734819055407895,8.199285714285715,SL,price_time,1.1099999999999994,0.3399999999999963,2.5899999999999963,2.210000000000001,4.25,6.630000000000003
5,353,2009-01-23 00:00:00,354,373,2009-01-27 00:00:00,2009-02-24 00:00:00,long,31.9,29.091428571428565,27.248571428571427,29.091428571428565,-0.6038083538083548,-2.808571428571433,SL,price_time,1.2800000000000011,0.8500000000000014,1.8700000000000045,1.1000000000000014,1.1499999999999986,0.1700000000000017
6,426,2009-05-20 00:00:00,427,448,2009-05-21 00:00:00,2009-06-19 00:00:00,short,64.56,72.94857142857143,73.72142857142858,72.94857142857143,-0.9156401060346165,-8.388571428571424,SL,price_time,3.3200000000000003,5.020000000000003,3.490000000000002,2.210000000000001,5.8700000000000045,1.4000000000000057
7,464,2009-07-13 00:00:00,465,483,2009-07-14 00:00:00,2009-08-07 00:00:00,long,77.41,78.31571428571428,64.10714285714286,78.31571428571428,0.06808419243986231,0.9057142857142821,SL,price_date,2.8100000000000023,2.0400000000000063,3.6099999999999994,1.7800000000000011,2.2900000000000063,3.4399999999999977
8,521,2009-10-05 00:00:00,522,543,2009-10-06 00:00:00,2009-11-09 00:00:00,short,122.49,128.04785714285714,148.28,128.04785714285714,-0.21550434830776052,-5.557857142857145,SL,price_time,1.9099999999999966,3.019999999999996,4.939999999999998,6.849999999999994,9.189999999999998,6.509999999999991
9,573,2009-12-21 00:00:00,574,603,2009-12-22 00:00:00,2010-02-05 00:00:00,long,116.45,122.89785714285716,107.20714285714286,122.89785714285716,0.697604327666153,6.44785714285716,SL,price_time,6.0,6.549999999999997,6.549999999999997,7.780000000000001,10.969999999999999,10.929999999999993
10,610,2010-02-17 00:00:00,611,642,2010-02-18 00:00:00,2010-04-07 00:00:00,short,140.35,134.2892857142857,152.70000000000002,134.2892857142857,0.4907460960092528,6.060714285714283,SL,price_date,2.799999999999983,2.4199999999999875,5.699999999999989,5.949999999999989,6.759999999999991,13.059999999999988
11,658,2010-04-30 00:00:00,659,708,2010-05-03 00:00:00,2010-07-09 00:00:00,short,137.8,125.85214285714285,147.62,125.85214285714285,1.2166860634274101,11.94785714285716,SL,price_time,11.319999999999993,11.870000000000005,13.570000000000007,11.700000000000017,11.820000000000007,12.38000000000001
12,795,2010-11-10 00:00:00,796,846,2010-11-11 00:00:00,2011-01-24 00:00:00,short,205.17,151.55857142857144,226.35000000000002,151.55857142857144,2.531228922163761,53.61142857142855,SL,price_time,4.079999999999984,4.339999999999975,11.439999999999998,6.509999999999991,15.019999999999982,14.379999999999995
13,870,2011-02-28 00:00:00,871,911,2011-03-01 00:00:00,2011-05-02 00:00:00,long,131.8,131.06785714285715,113.02857142857142,131.06785714285715,-0.03900304414003063,-0.7321428571428612,SL,price_time,6.170000000000016,5.280000000000001,5.319999999999993,2.509999999999991,-1.1000000000000227,0.04999999999998295
14,929,2011-05-26 00:00:00,930,974,2011-05-27 00:00:00,2011-07-28 00:00:00,long,111.6,119.10000000000001,104.11428571428571,119.10000000000001,1.0019083969465674,7.500000000000014,SL,price_date,4.699999999999989,4.5,6.900000000000006,8.600000000000009,9.800000000000011,7.150000000000006
