trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,16,2019-03-01,17,62,2019-03-05,2019-05-14,long,273.25,305.27857142857147,256.79285714285714,305.27857142857147,1.946180555555558,32.02857142857147,SL,price_time,7.550000000000011,7.5,8.75,9.899999999999977,9.949999999999989,28.55000000000001
2,71,2019-05-27,72,109,2019-05-28,2019-07-19,short,339.8,328.5571428571429,378.2214285714286,328.5571428571429,0.29261944599367884,11.242857142857133,SL,price_time,7.0,6.949999999999989,14.75,6.850000000000023,-9.349999999999966,-3.099999999999966
3,131,2019-08-22,132,148,2019-08-23,2019-09-18,short,342.6,344.8,373.67857142857144,344.8,-0.07078832452309779,-2.1999999999999886,SL,price_date,13.899999999999977,11.550000000000011,10.650000000000034,31.200000000000045,36.35000000000002,47.650000000000034
4,193,2019-11-26,194,217,2019-11-27,2019-12-31,short,350.05,380.25357142857143,426.0642857142857,380.25357142857143,-0.39734072542755133,-30.203571428571422,SL,price_time,13.199999999999989,1.3500000000000227,9.550000000000011,-4.899999999999977,5.050000000000011,-4.149999999999977
5,256,2020-02-24,257,260,2020-02-25,2020-02-28,short,336.4,363.875,371.62142857142857,363.875,-0.7800648955587105,-27.475000000000023,SL,price_date,6.199999999999989,5.7999999999999545,7.399999999999977,12.5,7.899999999999977,7.199999999999989
6,378,2020-08-21,379,384,2020-08-24,2020-08-31,long,165.0,142.24285714285713,139.4857142857143,142.24285714285713,-0.8919372900335953,-22.757142857142867,SL,price_date,7.199999999999989,2.6999999999999886,0.75,-1.0,-0.09999999999999432,-0.09999999999999432
7,453,2020-12-08,454,494,2020-12-09,2021-02-05,short,204.8,178.55357142857142,236.1642857142857,178.55357142857142,0.8368253245274436,26.246428571428595,SL,price_time,6.350000000000023,6.350000000000023,12.150000000000006,12.5,0.4000000000000057,3.4000000000000057
8,684,2021-11-15,685,725,2021-11-16,2022-01-12,short,288.85,242.425,317.0857142857143,242.425,1.6441942828231737,46.42500000000001,SL,price_time,12.399999999999977,19.600000000000023,16.200000000000045,21.30000000000001,36.30000000000001,14.100000000000023
9,734,2022-01-25,735,880,2022-01-27,2022-08-29,long,234.95,320.78571428571433,201.4357142857143,320.78571428571433,2.56116794543905,85.83571428571435,SL,price_time,6.050000000000011,6.050000000000011,0.45000000000001705,23.600000000000023,14.25,11.550000000000011
10,890,2022-09-13,891,920,2022-09-14,2022-10-27,long,328.1,355.16785714285714,310.4357142857143,355.16785714285714,1.5323493732308928,27.06785714285712,SL,price_date,5.9500000000000455,8.5,20.799999999999955,6.75,10.299999999999955,15.5
11,960,2022-12-23,961,1083,2022-12-26,2023-06-23,long,322.0,401.6464285714286,291.0857142857143,401.6464285714286,2.576363216266175,79.6464285714286,SL,price_date,8.0,4.550000000000011,8.649999999999977,25.399999999999977,23.149999999999977,25.55000000000001
12,1114,2023-08-08,1115,1166,2023-08-09,2023-10-25,long,480.7,551.0214285714285,441.55,551.0214285714285,1.7962050720671403,70.3214285714285,SL,price_date,29.149999999999977,27.25,3.6000000000000227,11.5,3.6999999999999886,-0.8000000000000114
13,1194,2023-12-05,1195,1260,2023-12-06,2024-03-07,long,572.3,756.3714285714286,527.9928571428571,756.3714285714286,4.154441399322914,184.07142857142867,SL,price_time,20.200000000000045,17.300000000000068,18.200000000000045,10.700000000000045,17.25,42.30000000000007
14,1332,2024-06-26,1333,1336,2024-06-27,2024-07-02,short,814.05,898.3428571428572,900.5714285714287,898.3428571428572,-0.9742425493271683,-84.2928571428572,SL,price_time,7.0,7.099999999999909,10.699999999999932,-47.30000000000007,-34.950000000000045,-43.700000000000045
15,1480,2025-01-28,1481,1492,2025-01-29,2025-02-12,long,731.2,689.8357142857143,635.4928571428571,689.8357142857143,-0.43219643256959495,-41.36428571428576,SL,price_time,33.69999999999993,33.19999999999993,22.149999999999977,39.75,52.25,68.5
16,1542,2025-05-02,1543,1572,2025-05-05,2025-06-13,long,811.4,860.9571428571428,726.4214285714285,860.9571428571428,0.583172228292846,49.55714285714282,SL,price_date,23.450000000000045,12.850000000000023,-3.449999999999932,-0.6499999999999773,-11.299999999999955,-13.0
