trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,140,2003-08-20 00:00:00,141,197,2003-08-21 00:00:00,2003-11-10 00:00:00,short,19.9,18.235714285714288,22.392857142857142,18.235714285714288,0.6676217765042964,1.664285714285711,SL,price_time,0.5,0.8999999999999986,1.5,2.549999999999997,1.9499999999999993,1.9499999999999993
2,433,2004-11-19 00:00:00,434,437,2004-11-22 00:00:00,2004-11-25 00:00:00,long,22.8,22.271428571428572,20.950000000000003,22.271428571428572,-0.285714285714286,-0.5285714285714285,SL,price_time,1.75,1.6999999999999993,2.1499999999999986,2.0,1.75,1.4499999999999993
3,807,2006-05-25 00:00:00,808,817,2006-05-26 00:00:00,2006-06-08 00:00:00,long,36.2,28.992857142857147,27.771428571428572,28.992857142857147,-0.8550847457627114,-7.2071428571428555,SL,price_time,1.9500000000000028,1.1499999999999986,1.6499999999999986,2.049999999999997,1.0,0.25
4,821,2006-06-14 00:00:00,822,844,2006-06-15 00:00:00,2006-07-17 00:00:00,long,29.8,31.139285714285705,23.84285714285714,31.139285714285705,0.22482014388489038,1.3392857142857046,SL,price_time,2.1000000000000014,0.6999999999999993,1.5999999999999979,2.2499999999999964,2.0,2.900000000000002
5,857,2006-08-03 00:00:00,858,872,2006-08-04 00:00:00,2006-08-25 00:00:00,short,33.45,37.832142857142856,38.364285714285714,37.832142857142856,-0.8917151162790694,-4.382142857142853,SL,price_time,0.3500000000000014,0.30000000000000426,-0.5999999999999943,-0.5999999999999943,-0.5,-0.6499999999999986
6,884,2006-09-12 00:00:00,885,922,2006-09-13 00:00:00,2006-11-08 00:00:00,long,35.9,34.95357142857143,31.828571428571422,34.95357142857143,-0.23245614035087642,-0.9464285714285694,SL,price_time,0.3500000000000014,0.3500000000000014,0.3500000000000014,-0.04999999999999716,0.0,-0.5499999999999972
7,1099,2007-07-26 00:00:00,1100,1113,2007-07-27 00:00:00,2007-08-16 00:00:00,short,35.15,36.78928571428572,38.97142857142857,36.78928571428572,-0.428971962616824,-1.6392857142857196,SL,price_time,1.1499999999999986,0.04999999999999716,0.5,0.14999999999999858,1.2999999999999972,1.9499999999999957
8,1145,2007-10-01 00:00:00,1146,1176,2007-10-03 00:00:00,2007-11-14 00:00:00,short,59.0,56.160714285714285,68.0,56.160714285714285,0.3154761904761906,2.8392857142857153,SL,price_time,2.0,2.6499999999999986,1.1499999999999986,2.799999999999997,10.350000000000001,7.149999999999999
9,1210,2008-01-03 00:00:00,1211,1234,2008-01-04 00:00:00,2008-02-06 00:00:00,short,91.0,61.525,104.70714285714286,61.525,2.150338718082335,29.475,SL,price_time,2.8499999999999943,4.0,5.200000000000003,9.549999999999997,10.450000000000003,13.75
10,1239,2008-02-13 00:00:00,1240,1253,2008-02-14 00:00:00,2008-03-04 00:00:00,long,53.0,51.217857142857135,38.75,51.217857142857135,-0.1250626566416046,-1.7821428571428655,SL,price_date,5.600000000000001,5.200000000000003,5.5,8.350000000000001,6.399999999999999,7.0
11,1264,2008-03-24 00:00:00,1265,1330,2008-03-25 00:00:00,2008-06-30 00:00:00,long,45.1,71.07142857142857,29.499999999999996,71.07142857142857,1.664835164835164,25.971428571428568,SL,price_date,6.600000000000001,5.350000000000001,3.3999999999999986,4.350000000000001,7.199999999999996,4.799999999999997
12,1400,2008-10-10 00:00:00,1401,1426,2008-10-13 00:00:00,2008-11-19 00:00:00,long,35.0,34.792857142857144,20.221428571428568,34.792857142857144,-0.014016433059448895,-0.20714285714285552,SL,price_time,7.649999999999999,4.899999999999999,7.149999999999999,4.5,12.149999999999999,5.200000000000003
13,1443,2008-12-16 00:00:00,1444,1481,2008-12-17 00:00:00,2009-02-11 00:00:00,short,42.0,42.26428571428572,47.49999999999999,42.26428571428572,-0.048051948051949074,-0.26428571428571956,SL,price_time,2.9499999999999957,3.3999999999999986,1.2999999999999972,1.1499999999999986,2.3500000000000014,4.0
