trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,4,2016-05-19 09:15:00,5,34,2016-05-20 09:15:00,2016-06-30 09:15:00,short,145.0,145.7392857142857,164.1,145.7392857142857,-0.03870605833956544,-0.7392857142856997,SL,price_time,2.6500000000000057,6.099999999999994,9.349999999999994,12.349999999999994,12.050000000000011,11.0
2,65,2016-08-16 09:15:00,66,99,2016-08-17 09:15:00,2016-10-05 09:15:00,short,170.9,170.38928571428573,188.92857142857142,170.38928571428573,0.028328050713152985,0.5107142857142719,SL,price_time,4.599999999999994,6.25,4.400000000000006,4.050000000000011,5.050000000000011,5.400000000000006
3,127,2016-11-18 09:15:00,128,251,2016-11-21 09:15:00,2017-05-19 09:15:00,long,150.0,219.31428571428572,121.87857142857143,219.31428571428572,2.46482092964186,69.31428571428572,SL,price_time,5.400000000000006,3.4000000000000057,1.0999999999999943,-3.0999999999999943,-4.449999999999989,-4.849999999999994
4,266,2017-06-09 09:15:00,267,310,2017-06-12 09:15:00,2017-08-11 09:15:00,short,232.1,224.91785714285714,257.37142857142857,224.91785714285714,0.2842001130582247,7.18214285714285,SL,price_date,10.850000000000023,7.900000000000006,8.400000000000006,10.549999999999983,12.599999999999994,12.650000000000006
5,315,2017-08-21 09:15:00,316,360,2017-08-22 09:15:00,2017-10-27 09:15:00,short,226.95,226.90357142857144,243.6142857142857,226.90357142857144,0.0027861123017560788,0.0464285714285495,SL,price_date,8.400000000000006,9.599999999999994,12.449999999999989,12.949999999999989,7.75,10.75
6,365,2017-11-03 09:15:00,366,422,2017-11-06 09:15:00,2018-01-24 09:15:00,long,219.0,253.08928571428567,201.06428571428572,253.08928571428567,1.9006371963361186,34.089285714285666,SL,price_time,5.600000000000023,4.550000000000011,10.099999999999994,11.199999999999989,21.0,32.44999999999999
7,433,2018-02-09 09:15:00,434,460,2018-02-12 09:15:00,2018-03-22 09:15:00,short,246.4,240.27857142857144,276.8642857142857,240.27857142857144,0.20093786635404454,6.121428571428567,SL,price_time,6.449999999999989,8.349999999999994,11.150000000000006,14.800000000000011,18.650000000000006,15.200000000000017
8,477,2018-04-18 09:15:00,478,494,2018-04-19 09:15:00,2018-05-14 09:15:00,long,224.65,228.68928571428572,208.97142857142856,228.68928571428572,0.25763097949886055,4.039285714285711,SL,price_time,2.0500000000000114,3.5999999999999943,5.0,6.099999999999994,7.25,3.1999999999999886
9,502,2018-05-24 09:15:00,503,536,2018-05-25 09:15:00,2018-07-11 09:15:00,short,238.25,236.93214285714285,265.84285714285716,236.93214285714285,0.04776080766243876,1.3178571428571502,SL,price_time,5.349999999999994,7.25,11.25,11.849999999999994,16.19999999999999,11.5
10,579,2018-09-12 09:15:00,580,592,2018-09-14 09:15:00,2018-10-04 09:15:00,long,219.0,201.0035714285714,195.37857142857143,201.0035714285714,-0.7618687632295144,-17.996428571428595,SL,price_time,3.8999999999999773,1.9499999999999886,2.5999999999999943,9.099999999999994,7.25,12.0
11,613,2018-11-05 09:15:00,614,628,2018-11-06 09:15:00,2018-11-29 09:15:00,short,216.95,220.0,235.0,220.0,-0.1689750692520781,-3.0500000000000114,SL,price_time,3.8499999999999943,5.049999999999983,2.1999999999999886,5.899999999999977,10.449999999999989,10.299999999999983
12,635,2018-12-10 00:00:00,636,667,2018-12-11 00:00:00,2019-01-24 00:00:00,long,214.3,212.67857142857144,194.45000000000002,212.67857142857144,-0.0816840590140336,-1.6214285714285666,SL,price_time,5.299999999999983,6.149999999999977,8.649999999999977,13.299999999999983,11.299999999999983,10.449999999999989
13,686,2019-02-20 00:00:00,687,739,2019-02-21 00:00:00,2019-05-14 00:00:00,long,203.5,214.8607142857143,178.56428571428572,214.8607142857143,0.4556001145803499,11.360714285714295,SL,price_date,9.099999999999994,6.25,6.0,7.650000000000006,-0.5999999999999943,8.400000000000006
14,747,2019-05-24 00:00:00,748,780,2019-05-27 00:00:00,2019-07-11 00:00:00,long,226.8,224.45000000000002,203.47142857142856,224.45000000000002,-0.10073484384568246,-2.3499999999999943,SL,price_time,9.450000000000017,6.099999999999994,9.799999999999983,10.0,9.799999999999983,10.899999999999977
15,804,2019-08-16 00:00:00,805,834,2019-08-19 00:00:00,2019-10-01 00:00:00,long,227.7,242.63214285714284,212.90714285714287,242.63214285714284,1.0094157411878333,14.93214285714285,SL,price_time,5.050000000000011,3.8500000000000227,0.15000000000000568,-1.75,-4.149999999999977,-2.4499999999999886
16,847,2019-10-23 00:00:00,848,875,2019-10-24 00:00:00,2019-12-03 00:00:00,short,262.65,266.37142857142857,285.8857142857143,266.37142857142857,-0.16015985244389846,-3.7214285714285893,SL,price_date,7.549999999999983,7.549999999999983,7.899999999999977,6.349999999999966,8.249999999999972,13.199999999999989
17,932,2020-02-20 00:00:00,933,996,2020-02-24 00:00:00,2020-06-01 00:00:00,short,288.0,231.07142857142856,327.7,231.07142857142856,1.4339690536164096,56.928571428571445,SL,price_time,3.25,0.30000000000001137,1.1000000000000227,0.39999999999997726,4.649999999999977,9.0
18,1016,2020-06-29 00:00:00,1017,1184,2020-06-30 00:00:00,2021-02-24 00:00:00,long,236.25,376.2464285714286,209.6642857142857,376.2464285714286,5.265851692638368,139.99642857142862,SL,price_time,3.5999999999999943,2.4000000000000057,2.5500000000000114,3.8000000000000114,0.15000000000000568,10.25
19,1221,2021-04-23 00:00:00,1222,1345,2021-04-26 00:00:00,2021-10-21 00:00:00,long,355.7,446.7535714285715,317.20000000000005,446.7535714285715,2.365027829313549,91.0535714285715,SL,price_time,18.25,17.19999999999999,27.69999999999999,45.150000000000034,24.400000000000034,29.19999999999999
20,1361,2021-11-15 00:00:00,1362,1431,2021-11-16 00:00:00,2022-02-23 00:00:00,short,474.0,406.0464285714286,508.8142857142857,406.0464285714286,1.951887566680346,67.95357142857142,SL,price_date,14.100000000000023,12.75,15.550000000000011,22.69999999999999,28.149999999999977,29.05000000000001
21,1459,2022-04-06 00:00:00,1460,1495,2022-04-07 00:00:00,2022-05-31 00:00:00,short,380.1,365.4107142857143,411.9,365.4107142857143,0.4619272237196782,14.689285714285745,SL,price_time,6.550000000000011,4.4500000000000455,4.350000000000023,-2.6999999999999886,1.900000000000034,2.2000000000000455
22,1517,2022-06-30 00:00:00,1518,1533,2022-07-01 00:00:00,2022-07-22 00:00:00,long,339.95,361.5785714285714,315.45714285714286,361.5785714285714,0.8830562846310883,21.628571428571433,SL,price_date,9.700000000000045,9.900000000000034,9.800000000000011,16.5,23.30000000000001,27.400000000000034
23,1566,2022-09-12 00:00:00,1567,1736,2022-09-13 00:00:00,2023-05-22 00:00:00,short,423.8,267.14285714285717,450.1428571428571,267.14285714285717,5.946854663774413,156.65714285714284,SL,price_time,9.150000000000034,11.400000000000034,19.05000000000001,19.75,24.350000000000023,30.80000000000001
24,1755,2023-06-16 00:00:00,1756,1791,2023-06-19 00:00:00,2023-08-08 00:00:00,short,294.25,303.775,310.34999999999997,303.775,-0.591614906832298,-9.524999999999977,SL,price_date,1.8999999999999773,3.6499999999999773,1.3999999999999773,0.5500000000000114,7.949999999999989,4.949999999999989
25,1799,2023-08-21 00:00:00,1800,1822,2023-08-22 00:00:00,2023-09-22 00:00:00,long,294.85,297.3,272.9642857142857,297.3,0.11194516971279314,2.4499999999999886,SL,price_date,6.199999999999989,3.1999999999999886,14.049999999999955,10.849999999999966,6.2999999999999545,6.75
26,1829,2023-10-04 00:00:00,1830,1871,2023-10-05 00:00:00,2023-12-05 00:00:00,short,303.25,295.77142857142854,320.3285714285714,295.77142857142854,0.43789209535759277,7.478571428571456,SL,price_date,2.599999999999966,3.3999999999999773,2.3500000000000227,7.25,5.25,3.5500000000000114
27,1880,2023-12-18 00:00:00,1881,1905,2023-12-19 00:00:00,2024-01-23 00:00:00,long,294.45,301.13928571428573,274.9285714285714,301.13928571428573,0.3426637394804255,6.689285714285745,SL,price_time,2.75,1.650000000000034,2.6999999999999886,5.550000000000011,7.350000000000023,5.550000000000011
