trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,669,2005-10-28 00:00:00,670,747,2005-10-31 00:00:00,2006-02-23 00:00:00,long,26.6,35.19,23.092857142857145,35.19,2.4492871690427696,8.589999999999996,SL,price_time,1.379999999999999,1.259999999999998,2.0199999999999996,1.1499999999999986,1.4599999999999973,1.3399999999999999
2,798,2006-05-12 00:00:00,799,886,2006-05-15 00:00:00,2006-09-14 00:00:00,short,57.67,48.56571428571428,64.31142857142856,48.56571428571428,1.3708324370832468,9.104285714285723,SL,price_time,5.919999999999995,6.719999999999999,3.940000000000005,4.300000000000004,9.440000000000005,12.82
3,891,2006-09-21 00:00:00,892,910,2006-09-22 00:00:00,2006-10-19 00:00:00,short,46.33,49.52571428571429,50.03,49.52571428571429,-0.8637065637065637,-3.1957142857142884,SL,price_time,0.8500000000000014,0.6499999999999986,0.759999999999998,0.28000000000000114,-0.0,0.8799999999999955
4,925,2006-11-13 00:00:00,926,958,2006-11-14 00:00:00,2006-12-29 00:00:00,short,50.63,50.79142857142857,52.824285714285715,50.79142857142857,-0.07356770833333079,-0.1614285714285657,SL,price_time,0.8799999999999955,1.5300000000000011,2.4299999999999997,3.450000000000003,4.050000000000004,3.1300000000000026
5,972,2007-01-19 00:00:00,973,1030,2007-01-22 00:00:00,2007-04-18 00:00:00,short,56.97,48.52142857142857,63.03142857142857,48.52142857142857,1.3938251237332073,8.448571428571427,SL,price_time,2.3200000000000003,2.8699999999999974,3.289999999999999,2.3699999999999974,5.619999999999997,5.949999999999996
6,1055,2007-05-25 00:00:00,1056,1114,2007-05-28 00:00:00,2007-08-17 00:00:00,long,48.45,48.09428571428572,43.31,48.09428571428572,-0.06920511395219552,-0.355714285714285,SL,price_time,1.5,1.0999999999999943,1.3999999999999986,0.6499999999999986,1.5,0.5700000000000003
7,1194,2007-12-10 00:00:00,1195,1268,2007-12-11 00:00:00,2008-03-28 00:00:00,short,61.12,54.41357142857143,68.31714285714285,54.41357142857143,0.9318181818181812,6.706428571428567,SL,price_time,1.25,1.5700000000000003,1.0999999999999943,1.8699999999999974,1.1999999999999957,4.219999999999999
8,1282,2008-04-21 00:00:00,1283,1320,2008-04-22 00:00:00,2008-06-16 00:00:00,short,55.33,50.642857142857146,62.628571428571426,50.642857142857146,0.6422000391466034,4.687142857142852,SL,price_time,2.530000000000001,1.2100000000000009,2.6000000000000014,2.479999999999997,1.8500000000000014,2.710000000000001
9,1386,2008-09-18 00:00:00,1387,1400,2008-09-19 00:00:00,2008-10-10 00:00:00,long,44.95,39.945,38.99714285714286,39.945,-0.8407727381809462,-5.005000000000003,SL,price_time,0.9500000000000028,-0.5,0.529999999999994,-1.2800000000000011,-0.6799999999999997,-1.25
10,1431,2008-11-26 00:00:00,1432,1600,2008-11-28 00:00:00,2009-08-10 00:00:00,long,39.35,63.65285714285714,34.36571428571428,63.65285714285714,4.875895672112348,24.302857142857135,SL,price_time,1.6299999999999955,1.6299999999999955,3.1299999999999955,1.4799999999999969,1.8799999999999955,1.8799999999999955
