trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,145,2003-08-27 00:00:00,146,175,2003-08-28 00:00:00,2003-10-09 00:00:00,short,12.6,14.682142857142857,16.442857142857143,14.682142857142857,-0.54182156133829,-2.0821428571428573,SL,price_time,0.4499999999999993,0.5499999999999989,0.1999999999999993,-0.40000000000000036,0.29999999999999893,-0.15000000000000036
2,782,2006-04-19 00:00:00,783,861,2006-04-20 00:00:00,2006-08-09 00:00:00,short,22.9,15.74642857142857,27.607142857142858,15.74642857142857,1.5197268588770858,7.1535714285714285,SL,price_time,0.75,0.9499999999999993,1.0,2.099999999999998,3.0,2.5
3,1209,2008-01-02 00:00:00,1210,1286,2008-01-03 00:00:00,2008-04-25 00:00:00,short,21.25,14.492857142857144,26.45714285714286,14.492857142857144,1.2976680384087784,6.757142857142856,SL,price_time,0.75,0.05000000000000071,0.6499999999999986,1.0500000000000007,1.8000000000000007,1.6000000000000014
4,1957,2011-01-17 00:00:00,1958,2026,2011-01-18 00:00:00,2011-04-29 00:00:00,long,40.5,42.44285714285714,35.878571428571426,42.44285714285714,0.42040185471406477,1.942857142857143,SL,price_time,2.049999999999997,2.299999999999997,2.3999999999999986,1.9500000000000028,1.5,1.7000000000000028
5,2039,2011-05-18 00:00:00,2040,2123,2011-05-19 00:00:00,2011-09-16 00:00:00,short,41.7,38.83571428571429,46.67142857142857,38.83571428571429,0.5761494252873567,2.864285714285714,SL,price_time,0.7999999999999972,0.6000000000000014,1.0,1.2000000000000028,0.75,0.20000000000000284
6,2462,2013-01-31 00:00:00,2463,2470,2013-02-01 00:00:00,2013-02-12 00:00:00,short,48.9,49.60714285714286,52.69285714285714,49.60714285714286,-0.18644067796610306,-0.7071428571428626,SL,price_time,2.8499999999999943,2.9499999999999957,3.8999999999999986,4.199999999999996,4.5,4.299999999999997
7,2478,2013-02-22 00:00:00,2479,2501,2013-02-25 00:00:00,2013-03-28 00:00:00,long,41.25,37.575,36.635714285714286,37.575,-0.7964396284829716,-3.674999999999997,SL,price_time,3.1500000000000057,2.700000000000003,-0.45000000000000284,0.5499999999999972,-0.5499999999999972,-0.14999999999999858
8,2605,2013-08-29 00:00:00,2606,2643,2013-08-30 00:00:00,2013-10-25 00:00:00,short,40.0,41.07142857142857,42.56428571428572,41.07142857142857,-0.4178272980501381,-1.0714285714285694,SL,price_time,1.1499999999999986,1.1499999999999986,0.8500000000000014,0.8999999999999986,0.6000000000000014,0.5499999999999972
9,2652,2013-11-08 00:00:00,2653,2680,2013-11-11 00:00:00,2013-12-19 00:00:00,short,43.75,42.71071428571429,52.40714285714285,42.71071428571429,0.12004950495049475,1.039285714285711,SL,price_time,1.8500000000000014,2.1000000000000014,2.299999999999997,2.75,2.75,2.700000000000003
10,2695,2014-01-10 00:00:00,2696,2734,2014-01-13 00:00:00,2014-03-07 00:00:00,short,47.5,45.23214285714286,50.142857142857146,45.23214285714286,0.8581081081081056,2.267857142857139,SL,price_time,1.5999999999999943,2.549999999999997,2.5,3.200000000000003,2.6000000000000014,4.200000000000003
11,2783,2014-05-23 00:00:00,2784,2797,2014-05-26 00:00:00,2014-06-12 00:00:00,short,58.75,62.03571428571429,65.21428571428571,62.03571428571429,-0.5082872928176809,-3.285714285714292,SL,price_date,4.549999999999997,4.299999999999997,2.299999999999997,0.5,-0.3500000000000014,1.4500000000000028
12,2803,2014-06-20 00:00:00,2804,2862,2014-06-23 00:00:00,2014-09-16 00:00:00,long,55.0,63.92857142857142,48.92857142857143,63.92857142857142,1.4705882352941173,8.928571428571423,SL,price_time,1.5499999999999972,1.8999999999999986,1.5,2.950000000000003,4.25,3.700000000000003
13,2913,2014-12-05 00:00:00,2914,2937,2014-12-08 00:00:00,2015-01-09 00:00:00,short,84.0,81.375,94.72142857142858,81.375,0.24483677548301125,2.625,SL,price_time,0.5,1.7999999999999972,3.8499999999999943,2.8499999999999943,4.0,6.0
14,2959,2015-02-11 00:00:00,2960,2980,2015-02-12 00:00:00,2015-03-16 00:00:00,long,72.25,72.74642857142857,64.13571428571429,72.74642857142857,0.06117957746478814,0.49642857142856656,SL,price_date,1.6500000000000057,1.9000000000000057,1.2000000000000028,2.700000000000003,2.4000000000000057,3.299999999999997
15,3033,2015-06-03 00:00:00,3034,3091,2015-06-04 00:00:00,2015-08-24 00:00:00,long,62.75,67.01785714285714,58.49285714285714,67.01785714285714,1.0025167785234883,4.267857142857139,SL,price_time,1.2999999999999972,1.0499999999999972,1.5,0.10000000000000142,0.45000000000000284,-0.20000000000000284
16,3095,2015-08-28 00:00:00,3096,3121,2015-08-31 00:00:00,2015-10-08 00:00:00,short,68.0,65.88214285714287,76.51428571428572,65.88214285714287,0.24874161073825374,2.117857142857133,SL,price_time,1.1000000000000085,0.45000000000000284,2.549999999999997,2.9000000000000057,2.0,1.25
17,3128,2015-10-19 00:00:00,3129,3164,2015-10-20 00:00:00,2015-12-11 00:00:00,long,69.0,63.12142857142856,59.91428571428571,63.12142857142856,-0.6470125786163533,-5.8785714285714405,SL,price_date,5.549999999999997,5.349999999999994,6.049999999999997,4.099999999999994,2.200000000000003,2.5999999999999943
18,3255,2016-04-27 09:15:00,3256,3278,2016-04-28 09:15:00,2016-05-30 09:15:00,short,80.7,88.22857142857144,94.68571428571428,88.22857142857144,-0.5383043922369775,-7.528571428571439,SL,price_time,1.2000000000000028,1.1000000000000085,-1.0499999999999972,-0.20000000000000284,1.6500000000000057,1.6500000000000057
19,3283,2016-06-06 09:15:00,3284,3324,2016-06-07 09:19:00,2016-08-03 09:15:00,long,83.45,82.06071428571428,74.77857142857142,82.06071428571428,-0.1602141680395392,-1.3892857142857196,SL,price_time,5.700000000000003,4.099999999999994,2.3999999999999915,2.049999999999997,0.5,1.0999999999999943
20,3338,2016-08-24 09:15:00,3339,3346,2016-08-25 09:16:00,2016-09-06 09:15:00,short,93.75,100.88214285714287,102.22142857142858,100.88214285714287,-0.8419055649241155,-7.132142857142867,SL,price_time,2.450000000000003,2.1500000000000057,2.049999999999997,2.200000000000003,0.09999999999999432,0.20000000000000284
21,3358,2016-09-23 09:16:00,3359,3423,2016-09-26 09:15:00,2016-12-29 09:15:00,short,96.25,93.6,106.03571428571428,93.6,0.27080291970803,2.6500000000000057,SL,price_time,1.1500000000000057,0.75,1.0,-0.20000000000000284,3.049999999999997,1.6500000000000057
22,3429,2017-01-06 09:18:00,3430,3450,2017-01-09 09:15:00,2017-02-07 09:23:00,short,91.5,99.82142857142858,99.82142857142858,99.82142857142858,-1.0,-8.321428571428584,SL,price_date,1.7999999999999972,0.5,-1.2999999999999972,-2.200000000000003,-2.549999999999997,-4.150000000000006
23,3461,2017-02-22 09:16:00,3462,3510,2017-02-23 09:24:00,2017-05-09 09:15:00,short,108.25,110.28571428571428,119.75714285714285,110.28571428571428,-0.1769087523277461,-2.0357142857142776,SL,price_time,1.3499999999999943,1.2999999999999972,2.4000000000000057,2.549999999999997,0.6500000000000057,-1.25
24,3524,2017-05-29 09:32:00,3525,3566,2017-05-30 09:16:00,2017-07-27 09:15:00,long,102.5,109.59285714285713,96.2357142857143,109.59285714285713,1.1322690992018236,7.092857142857127,SL,price_time,1.3500000000000085,1.2000000000000028,4.299999999999997,4.700000000000003,2.799999999999997,3.5999999999999943
25,3582,2017-08-21 09:15:00,3583,3605,2017-08-22 09:24:00,2017-09-22 09:18:00,long,108.5,109.27142857142857,101.69285714285714,109.27142857142857,0.11332633788037776,0.7714285714285722,SL,price_time,1.4500000000000028,1.5,1.25,-0.5499999999999972,1.9000000000000057,1.5
26,3646,2017-11-23 09:15:00,3647,3663,2017-11-24 09:15:00,2017-12-18 09:15:00,short,135.5,143.2,147.72142857142856,143.2,-0.6300409117475156,-7.699999999999989,SL,price_time,1.9000000000000057,3.0999999999999943,6.199999999999989,2.0999999999999943,0.6500000000000057,1.4499999999999886
27,3669,2017-12-27 09:17:00,3670,3696,2017-12-28 09:16:00,2018-02-05 09:15:00,long,150.2,139.02142857142857,133.7857142857143,139.02142857142857,-0.6810269799825941,-11.178571428571416,SL,price_date,3.8499999999999943,3.75,4.350000000000023,4.650000000000006,0.25,1.700000000000017
28,3729,2018-03-26 09:19:00,3730,3756,2018-03-27 09:15:00,2018-05-07 09:15:00,long,122.5,127.19642857142858,109.97142857142859,127.19642857142858,0.374857468643103,4.696428571428584,SL,price_date,4.700000000000003,4.799999999999997,3.700000000000003,14.800000000000011,20.650000000000006,16.099999999999994
29,3794,2018-06-28 09:15:00,3795,3851,2018-06-29 09:17:00,2018-09-21 09:17:00,long,127.8,136.30714285714288,122.18571428571431,136.30714285714288,1.515267175572531,8.507142857142881,SL,price_time,6.099999999999994,6.700000000000003,5.049999999999997,4.250000000000014,4.200000000000003,6.299999999999997
30,3864,2018-10-11 09:15:00,3865,3888,2018-10-12 09:19:00,2018-11-19 09:19:00,long,122.5,117.65357142857144,104.97857142857143,117.65357142857144,-0.27660008153281634,-4.846428571428561,SL,price_time,5.5,5.450000000000003,4.5,7.349999999999994,3.75,-3.5999999999999943
31,3911,2018-12-21 00:00:00,3912,3948,2018-12-24 00:00:00,2019-02-13 00:00:00,short,134.9,127.35357142857143,145.2357142857143,127.35357142857143,0.7301313061506569,7.546428571428578,SL,price_time,4.449999999999989,4.400000000000006,7.550000000000011,5.800000000000011,0.20000000000001705,4.300000000000011
32,3954,2019-02-21 00:00:00,3955,3975,2019-02-22 00:00:00,2019-03-26 00:00:00,long,124.45,118.94999999999999,113.96428571428571,118.94999999999999,-0.5245231607629437,-5.500000000000014,SL,price_date,1.3999999999999915,0.6499999999999915,1.4500000000000028,6.700000000000003,8.149999999999991,8.049999999999997
33,4005,2019-05-13 00:00:00,4006,4045,2019-05-14 00:00:00,2019-07-09 00:00:00,long,126.75,128.36428571428573,118.5,128.36428571428573,0.19567099567099736,1.614285714285728,SL,price_time,7.599999999999994,7.599999999999994,6.550000000000011,4.25,4.650000000000006,5.599999999999994
34,4064,2019-08-05 00:00:00,4065,4102,2019-08-06 00:00:00,2019-10-03 00:00:00,long,119.4,139.62142857142857,105.63571428571429,139.62142857142857,1.4691229891022302,20.22142857142856,SL,price_time,1.7999999999999972,1.3499999999999943,-0.25,2.0999999999999943,3.6999999999999886,3.0
35,4229,2020-04-08 00:00:00,4230,4272,2020-04-09 00:00:00,2020-06-12 00:00:00,long,60.9,69.64999999999999,38.35,69.64999999999999,0.3880266075388024,8.749999999999993,SL,price_time,1.8499999999999943,-2.6000000000000014,1.4500000000000028,6.350000000000001,3.8500000000000014,4.100000000000001
36,4320,2020-08-19 00:00:00,4321,4338,2020-08-20 00:00:00,2020-09-14 00:00:00,short,114.95,116.78571428571428,133.99285714285713,116.78571428571428,-0.09639909977494322,-1.8357142857142748,SL,price_time,1.9000000000000057,1.6500000000000057,1.8500000000000085,1.1500000000000057,2.6500000000000057,1.7000000000000028
37,4371,2020-10-30 00:00:00,4372,4430,2020-11-02 00:00:00,2021-01-25 00:00:00,long,104.8,156.87857142857143,95.77857142857142,156.87857142857143,5.7727632620744265,52.078571428571436,SL,price_time,2.3499999999999943,1.7999999999999972,2.950000000000003,3.200000000000003,3.450000000000003,2.75
38,4450,2021-02-23 00:00:00,4451,4471,2021-02-24 00:00:00,2021-03-25 00:00:00,long,164.75,178.8607142857143,147.04285714285714,178.8607142857143,0.796893908834208,14.110714285714295,SL,price_date,5.25,2.9499999999999886,16.30000000000001,17.400000000000006,20.69999999999999,17.599999999999994
39,4484,2021-04-16 00:00:00,4485,4485,2021-04-19 00:00:00,2021-04-19 00:00:00,long,195.0,189.25,174.98571428571427,189.25,-0.2872947894361168,-5.75,SL,price_date,29.099999999999994,29.5,24.69999999999999,31.650000000000006,25.75,26.94999999999999
40,4649,2021-12-15 00:00:00,4650,4665,2021-12-16 00:00:00,2022-01-06 00:00:00,short,320.0,328.1642857142857,357.15714285714284,328.1642857142857,-0.21972318339100344,-8.164285714285711,SL,price_time,21.549999999999955,21.149999999999977,30.899999999999977,48.14999999999998,41.55000000000001,36.80000000000001
41,4695,2022-02-18 00:00:00,4696,4725,2022-02-21 00:00:00,2022-04-05 00:00:00,short,398.85,317.2035714285714,453.89285714285717,317.2035714285714,1.4833246820659232,81.6464285714286,SL,price_date,52.35000000000002,57.60000000000002,72.95000000000005,47.30000000000001,72.55000000000001,71.10000000000002
