trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,157,2018-02-15 09:15:00,158,168,2018-02-16 09:17:00,2018-03-05 09:15:00,short,754.6,794.825,831.3571428571429,794.825,-0.5240554624976738,-40.22500000000002,SL,price_time,7.2000000000000455,13.100000000000023,21.0,6.25,6.649999999999977,20.0
2,202,2018-04-24 09:15:00,203,228,2018-04-25 09:16:00,2018-05-31 09:16:00,short,792.4,809.6428571428572,840.9928571428572,809.6428571428572,-0.35484345141849305,-17.242857142857247,SL,price_time,25.200000000000045,28.75,9.649999999999977,27.049999999999955,9.299999999999955,2.199999999999932
3,240,2018-06-18 09:15:00,241,258,2018-06-19 09:15:00,2018-07-12 09:15:00,short,735.1,745.8499999999999,803.5071428571429,745.8499999999999,-0.15714733214994095,-10.749999999999886,SL,price_date,8.350000000000023,0.3000000000000682,9.149999999999977,31.300000000000068,45.25,51.5
4,266,2018-07-24 09:15:00,267,288,2018-07-25 09:16:00,2018-08-27 09:15:00,short,736.05,746.6535714285715,799.2285714285714,746.6535714285715,-0.16783493499152194,-10.603571428571513,SL,price_date,26.800000000000068,17.899999999999977,34.049999999999955,21.149999999999977,26.449999999999932,26.0
5,322,2018-10-17 09:15:00,323,334,2018-10-19 09:15:00,2018-11-05 09:15:00,long,700.05,638.7714285714286,635.7571428571429,638.7714285714286,-0.9531163204088431,-61.278571428571354,SL,price_date,14.949999999999932,18.600000000000023,24.050000000000068,3.75,-1.0,-9.399999999999977
6,380,2019-01-14 00:00:00,381,382,2019-01-15 00:00:00,2019-01-16 00:00:00,short,650.4,713.2071428571429,731.1,713.2071428571429,-0.778279341476368,-62.807142857142935,SL,price_date,5.449999999999932,3.449999999999932,-57.10000000000002,-42.80000000000007,-51.14999999999998,-52.14999999999998
7,391,2019-01-29 00:00:00,392,542,2019-01-30 00:00:00,2019-09-12 00:00:00,short,665.0,411.7285714285714,742.2857142857142,411.7285714285714,3.2770794824399294,253.2714285714286,SL,price_date,29.449999999999932,19.799999999999955,37.60000000000002,20.200000000000045,0.7000000000000455,12.450000000000045
8,644,2020-02-07 00:00:00,645,685,2020-02-10 00:00:00,2020-04-13 00:00:00,short,519.75,456.40357142857135,561.3142857142858,456.40357142857135,1.5240591166867146,63.346428571428646,SL,price_time,10.100000000000023,16.25,-4.2999999999999545,-9.799999999999955,-5.25,54.25
9,769,2020-08-12 00:00:00,770,793,2020-08-13 00:00:00,2020-09-15 00:00:00,short,565.0,537.8428571428572,657.0428571428571,537.8428571428572,0.2950488902685085,27.157142857142844,SL,price_time,28.700000000000045,33.10000000000002,28.799999999999955,34.35000000000002,39.64999999999998,29.299999999999955
10,836,2020-11-14 00:00:00,837,898,2020-11-17 00:00:00,2021-02-15 00:00:00,long,503.25,558.6857142857143,477.8214285714286,558.6857142857143,2.1800561797752853,55.43571428571431,SL,price_time,21.850000000000023,24.700000000000045,15.200000000000045,1.9499999999999886,16.600000000000023,21.25
11,923,2021-03-23 00:00:00,924,990,2021-03-24 00:00:00,2021-07-01 00:00:00,long,575.0,700.0,524.3357142857143,700.0,2.467221204003948,125.0,SL,price_date,9.25,6.2999999999999545,30.200000000000045,39.700000000000045,34.85000000000002,30.0
12,1073,2021-11-01 00:00:00,1074,1113,2021-11-02 00:00:00,2021-12-29 00:00:00,short,816.95,745.5107142857142,905.4642857142857,745.5107142857142,0.8070932859909637,71.4392857142858,SL,price_time,13.0,16.700000000000045,13.900000000000091,1.650000000000091,4.050000000000068,23.450000000000045
13,1161,2022-03-09 00:00:00,1162,1195,2022-03-10 00:00:00,2022-04-29 00:00:00,long,699.45,666.4678571428572,619.4642857142857,666.4678571428572,-0.41235041971780667,-32.98214285714289,SL,price_time,38.30000000000007,21.5,21.75,24.299999999999955,6.849999999999909,29.34999999999991
14,1215,2022-05-30 00:00:00,1216,1249,2022-05-31 00:00:00,2022-07-15 00:00:00,short,692.85,678.4857142857144,754.4642857142858,678.4857142857144,0.23313239044748302,14.364285714285643,SL,price_date,21.600000000000023,25.050000000000068,21.75,21.649999999999977,31.0,30.950000000000045
15,1275,2022-08-24 00:00:00,1276,1333,2022-08-25 00:00:00,2022-11-18 00:00:00,long,682.9,673.0821428571429,626.6214285714285,673.0821428571429,-0.17445107247112426,-9.817857142857065,SL,price_date,14.199999999999932,5.75,8.899999999999977,7.2000000000000455,8.100000000000023,19.350000000000023
