trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,85,2020-02-14,86,157,2020-02-17,2020-06-05,short,559.8,329.48214285714283,622.157142857143,329.48214285714283,3.6935280641466117,230.31785714285712,SL,price_time,8.199999999999932,11.599999999999909,11.649999999999977,7.199999999999932,8.549999999999955,4.649999999999977
2,248,2020-10-13,249,271,2020-10-14,2020-11-13,short,484.0,518.3749999999999,520.3571428571428,518.3749999999999,-0.9454813359528477,-34.374999999999886,SL,price_date,10.449999999999989,14.0,10.25,-6.0,-23.19999999999999,-19.100000000000023
3,347,2021-03-04,348,367,2021-03-05,2021-04-06,short,625.0,641.1821428571428,684.1714285714286,641.1821428571428,-0.27347899565427264,-16.18214285714282,SL,price_date,19.200000000000045,24.700000000000045,29.0,28.25,32.89999999999998,10.399999999999977
4,403,2021-05-31,404,454,2021-06-01,2021-08-11,long,834.9,1497.2142857142856,749.0714285714286,1497.2142857142856,7.716711051930758,662.3142857142856,SL,price_time,91.20000000000005,84.45000000000005,92.85000000000002,169.60000000000002,203.80000000000007,249.80000000000007
5,529,2021-12-01,530,540,2021-12-02,2021-12-16,long,2100.05,2128.025,1758.8214285714284,2128.025,0.08198317005777409,27.97499999999991,SL,price_date,255.44999999999982,215.29999999999973,386.5,331.3499999999999,363.2999999999997,358.2999999999997
6,639,2022-05-12,640,665,2022-05-13,2022-06-17,long,2348.7,2524.1964285714284,1892.7785714285715,2524.1964285714284,0.3849269140986075,175.49642857142862,SL,price_time,113.15000000000009,27.65000000000009,146.45000000000027,271.2000000000003,292.10000000000036,208.30000000000018
7,819,2023-01-30,820,853,2023-01-31,2023-03-20,long,2590.5,2984.3821428571428,2356.078571428571,2984.3821428571428,1.6802309637709842,393.88214285714275,SL,price_time,174.45000000000027,186.9000000000001,143.9000000000001,60.90000000000009,93.09999999999991,230.1500000000001
8,980,2023-09-25,981,986,2023-09-26,2023-10-04,long,3019.65,2820.792857142857,2819.421428571429,2820.792857142857,-0.9931506849315088,-198.85714285714312,SL,price_time,27.0,14.799999999999727,20.449999999999818,25.90000000000009,30.299999999999727,-80.34999999999991
9,1028,2023-12-05,1029,1033,2023-12-06,2023-12-12,short,2895.15,3043.1785714285716,3054.792857142857,3043.1785714285716,-0.9272483221476527,-148.02857142857147,SL,price_date,51.94999999999982,59.09999999999991,32.40000000000009,51.90000000000009,-83.54999999999973,-204.6500000000001
10,1118,2024-04-16,1119,1132,2024-04-18,2024-05-08,long,3524.55,3363.7428571428572,3270.75,3363.7428571428572,-0.6335978835978835,-160.80714285714294,SL,price_time,74.04999999999973,74.04999999999973,73.59999999999991,185.64999999999964,195.54999999999973,146.19999999999982
11,1186,2024-07-25,1187,1236,2024-07-26,2024-10-07,long,3199.0,3961.0785714285716,2929.55,3961.0785714285716,2.8282745274766086,762.0785714285716,SL,price_time,96.59999999999991,55.44999999999982,86.19999999999982,74.90000000000009,186.3499999999999,195.5
