trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,91,2020-01-03,92,110,2020-01-06,2020-01-30,long,1150.0,1262.2571428571428,988.2071428571429,1262.2571428571428,0.6938325018762964,112.25714285714275,SL,price_date,83.10000000000014,28.450000000000045,-2.75,-27.5,-7.25,13.150000000000091
2,127,2020-02-24,128,161,2020-02-25,2020-04-17,short,1250.0,885.4071428571428,1414.9642857142856,885.4071428571428,2.2101320632171486,364.59285714285716,SL,price_time,32.200000000000045,42.0,61.34999999999991,101.25,180.20000000000005,198.75
3,190,2020-06-01,191,273,2020-06-02,2020-09-24,long,869.75,1013.4535714285714,788.7428571428571,1013.4535714285714,1.773961731769685,143.70357142857142,SL,price_time,29.34999999999991,15.049999999999955,6.5499999999999545,-7.25,53.10000000000002,72.39999999999998
4,411,2021-04-16,412,424,2021-04-19,2021-05-06,short,1112.0,1182.8714285714286,1223.7571428571428,1182.8714285714286,-0.6341556947462621,-70.87142857142862,SL,price_time,41.299999999999955,18.700000000000045,29.799999999999955,32.65000000000009,47.90000000000009,47.5
5,460,2021-06-28,461,466,2021-06-29,2021-07-06,long,1233.8,1298.2714285714285,1123.6499999999999,1298.2714285714285,0.5853057518967634,64.47142857142853,SL,price_date,8.650000000000091,2.3500000000001364,-21.0,-18.34999999999991,-23.0,-19.149999999999864
6,514,2021-09-15,515,552,2021-09-16,2021-11-10,short,1564.0,1596.4642857142858,1730.507142857143,1596.4642857142858,-0.19497233065934563,-32.46428571428578,SL,price_date,38.75,49.549999999999955,77.90000000000009,101.79999999999995,104.90000000000009,103.90000000000009
7,602,2022-01-20,603,651,2022-01-21,2022-04-04,short,1330.0,1116.7892857142858,1409.9214285714286,1116.7892857142858,2.667754044150503,213.21071428571418,SL,price_date,29.600000000000136,24.15000000000009,102.59999999999991,111.54999999999995,110.25,148.95000000000005
8,732,2022-07-29,733,743,2022-08-01,2022-08-17,long,1046.65,1133.7035714285714,964.7357142857144,1133.7035714285714,1.062739797697941,87.05357142857133,SL,price_date,29.25,21.799999999999955,15.599999999999909,5.349999999999909,1.199999999999818,0.599999999999909
9,896,2023-03-28,897,936,2023-03-29,2023-05-30,long,1098.25,1561.8428571428572,1002.6,1561.8428571428572,4.846762751101488,463.59285714285716,SL,price_time,47.049999999999955,47.049999999999955,67.09999999999991,135.54999999999995,160.6500000000001,188.9000000000001
10,953,2023-06-22,954,1036,2023-06-23,2023-10-23,long,2194.0,3651.3035714285716,1949.1642857142858,3651.3035714285716,5.952169092977802,1457.3035714285716,SL,price_date,140.5,128.5,143.9000000000001,344.5,492.5999999999999,539.8499999999999
11,1186,2024-09-19,1187,1208,2024-09-20,2024-10-22,long,6774.95,6702.242857142857,6140.857142857143,6702.242857142857,-0.11466324220202051,-72.70714285714257,SL,price_date,493.3000000000002,476.65000000000055,398.6999999999998,312.65000000000055,288.40000000000055,186.5
12,1278,2025-01-31,1279,1419,2025-02-01,2025-08-28,long,6345.0,19349.785714285714,5837.885714285714,19349.785714285714,25.64468420756098,13004.785714285714,SL,price_date,187.69999999999982,154.0,7.949999999999818,56.850000000000364,437.3000000000002,246.5
13,1477,2025-11-21,1478,1484,2025-11-24,2025-12-02,short,16949.0,18627.785714285714,18869.14285714286,18627.785714285714,-0.8743025072539236,-1678.7857142857138,SL,price_date,170.0,218.0,154.0,-10.0,-299.0,-869.0
