trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,13,2007-05-28 00:00:00,14,46,2007-05-29 00:00:00,2007-07-12 00:00:00,short,92.6,87.13214285714287,105.85714285714288,87.13214285714287,0.41244612068965325,5.467857142857127,SL,price_time,0.8499999999999943,0.3499999999999943,4.1499999999999915,4.949999999999989,4.799999999999997,-0.4000000000000057
2,55,2007-07-25 00:00:00,56,76,2007-07-26 00:00:00,2007-08-24 00:00:00,long,87.0,79.94999999999999,77.89999999999999,79.94999999999999,-0.7747252747252753,-7.050000000000011,SL,price_time,7.549999999999997,7.049999999999997,4.0,2.450000000000003,6.25,0.25
3,112,2007-10-16 00:00:00,113,134,2007-10-17 00:00:00,2007-11-15 00:00:00,short,79.5,79.29285714285714,86.81428571428573,79.29285714285714,0.028320312499999712,0.20714285714285552,SL,price_time,2.8499999999999943,1.5999999999999943,2.75,2.6500000000000057,2.5999999999999943,1.1500000000000057
4,167,2008-01-03 00:00:00,168,208,2008-01-04 00:00:00,2008-02-29 00:00:00,short,110.45,84.60714285714288,127.94285714285715,84.60714285714288,1.4773376888525915,25.842857142857127,SL,price_date,1.1500000000000057,2.4000000000000057,-7.700000000000003,0.15000000000000568,3.4000000000000057,10.450000000000003
5,221,2008-03-24 00:00:00,222,253,2008-03-25 00:00:00,2008-05-12 00:00:00,long,64.65,75.64642857142856,47.292857142857144,75.64642857142856,0.6335390946502045,10.996428571428552,SL,price_date,5.699999999999996,3.1999999999999886,6.25,7.6499999999999915,16.14999999999999,18.75
6,273,2008-06-10 00:00:00,274,288,2008-06-11 00:00:00,2008-07-01 00:00:00,long,69.1,64.96428571428571,58.37142857142857,64.96428571428571,-0.385486018641811,-4.135714285714286,SL,price_date,12.75,11.700000000000003,12.950000000000003,12.800000000000011,13.100000000000009,13.25
7,295,2008-07-10 00:00:00,296,313,2008-07-11 00:00:00,2008-08-05 00:00:00,short,67.5,71.9857142857143,76.79285714285714,71.9857142857143,-0.4827056110684098,-4.485714285714295,SL,price_time,1.1499999999999915,1.5999999999999943,2.549999999999997,5.350000000000001,6.25,4.799999999999997
8,333,2008-09-04 00:00:00,334,366,2008-09-05 00:00:00,2008-10-23 00:00:00,short,74.7,60.39642857142857,82.21428571428572,60.39642857142857,1.9035171102661586,14.30357142857143,SL,price_time,1.5,1.1000000000000085,-1.0499999999999972,-0.75,-0.3999999999999915,1.3500000000000085
9,378,2008-11-11 00:00:00,379,401,2008-11-12 00:00:00,2008-12-17 00:00:00,short,69.7,69.41428571428571,85.12857142857143,69.41428571428571,0.01851851851851891,0.2857142857142918,SL,price_date,3.1000000000000085,6.150000000000006,6.25,7.050000000000004,8.300000000000004,10.800000000000004
10,414,2009-01-06 00:00:00,415,450,2009-01-07 00:00:00,2009-03-02 00:00:00,short,70.4,70.45714285714286,80.62142857142858,70.45714285714286,-0.005590496156533176,-0.057142857142849834,SL,price_time,3.799999999999997,4.150000000000006,2.950000000000003,2.4000000000000057,4.950000000000003,4.300000000000011
11,537,2009-07-13 00:00:00,538,611,2009-07-14 00:00:00,2009-10-30 00:00:00,long,79.9,102.39285714285714,64.20714285714286,102.39285714285714,1.4333181611288108,22.492857142857133,SL,price_time,3.8999999999999915,0.9499999999999886,4.349999999999994,4.5,12.75,11.299999999999997
12,654,2010-01-05 00:00:00,655,680,2010-01-06 00:00:00,2010-02-11 00:00:00,short,142.7,153.80714285714288,161.29285714285714,153.80714285714288,-0.5973876296580881,-11.10714285714289,SL,price_time,0.8500000000000227,2.0,1.799999999999983,2.3999999999999773,2.8999999999999773,6.349999999999994
13,696,2010-03-09 00:00:00,697,764,2010-03-10 00:00:00,2010-06-16 00:00:00,short,173.0,155.61071428571427,188.1214285714286,155.61071428571427,1.149976381672177,17.389285714285734,SL,price_date,2.25,2.75,-4.949999999999989,-8.300000000000011,-8.650000000000006,-10.550000000000011
14,772,2010-06-28 00:00:00,773,792,2010-06-29 00:00:00,2010-07-26 00:00:00,short,154.0,160.13214285714287,167.8785714285714,160.13214285714287,-0.44184251158003235,-6.132142857142867,SL,price_time,2.4000000000000057,1.8000000000000114,1.6500000000000057,-0.09999999999999432,1.5500000000000114,1.8499999999999943
15,811,2010-08-20 00:00:00,812,823,2010-08-23 00:00:00,2010-09-07 00:00:00,short,165.5,164.50357142857143,174.79285714285712,164.50357142857143,0.10722521137586451,0.9964285714285666,SL,price_time,2.8000000000000114,2.8000000000000114,3.9499999999999886,7.699999999999989,9.699999999999989,12.050000000000011
16,839,2010-09-30 00:00:00,840,860,2010-10-01 00:00:00,2010-10-29 00:00:00,long,158.9,159.93928571428572,149.54285714285714,159.93928571428572,0.11106870229007594,1.039285714285711,SL,price_date,4.25,3.0999999999999943,2.299999999999983,6.650000000000006,5.150000000000006,9.400000000000006
17,868,2010-11-10 00:00:00,869,925,2010-11-11 00:00:00,2011-02-02 00:00:00,short,170.0,141.37142857142857,177.62142857142857,141.37142857142857,3.7563261480787284,28.628571428571433,SL,price_time,2.3000000000000114,3.75,8.75,10.449999999999989,13.0,14.300000000000011
18,957,2011-03-21 00:00:00,958,985,2011-03-22 00:00:00,2011-05-03 00:00:00,long,149.0,150.64285714285717,139.05714285714288,150.64285714285717,0.16522988505747407,1.6428571428571672,SL,price_date,3.25,2.5999999999999943,1.9499999999999886,1.4000000000000057,0.6999999999999886,0.5
19,1074,2011-09-08 00:00:00,1075,1109,2011-09-09 00:00:00,2011-11-01 00:00:00,short,155.2,128.775,167.30714285714285,128.775,2.1825958702064874,26.424999999999983,SL,price_time,2.8500000000000227,3.25,3.799999999999983,4.5,5.199999999999989,4.599999999999994
20,1147,2011-12-28 00:00:00,1148,1206,2011-12-29 00:00:00,2012-03-23 00:00:00,long,82.05,103.19999999999999,66.05714285714285,103.19999999999999,1.3224653863331834,21.14999999999999,SL,price_date,2.6500000000000057,2.6000000000000085,2.1500000000000057,2.1500000000000057,3.799999999999997,5.950000000000003
21,1224,2012-04-20 00:00:00,1225,1250,2012-04-23 00:00:00,2012-05-29 00:00:00,short,110.9,104.5357142857143,121.12857142857143,104.5357142857143,0.6222067039106132,6.3642857142857,SL,price_time,5.25,6.1000000000000085,4.550000000000011,6.050000000000011,5.950000000000003,5.8500000000000085
22,1278,2012-07-06 00:00:00,1279,1328,2012-07-09 00:00:00,2012-09-18 00:00:00,short,101.65,99.77499999999999,112.26428571428572,99.77499999999999,0.17664872139973217,1.8750000000000142,SL,price_time,2.1000000000000085,-1.1499999999999915,-2.6999999999999886,-1.2999999999999972,-0.14999999999999147,0.7000000000000028
23,1340,2012-10-08 00:00:00,1341,1373,2012-10-09 00:00:00,2012-11-26 00:00:00,long,102.9,97.99642857142857,87.64285714285714,97.99642857142857,-0.3213951310861428,-4.903571428571439,SL,price_time,3.1000000000000085,3.25,1.1999999999999886,3.4499999999999886,2.6499999999999915,2.799999999999997
24,1381,2012-12-07 00:00:00,1382,1414,2012-12-10 00:00:00,2013-01-24 00:00:00,long,109.95,107.63928571428572,100.52142857142856,107.63928571428572,-0.2450757575757569,-2.3107142857142833,SL,price_time,3.5999999999999943,2.8999999999999915,2.3999999999999915,0.6499999999999915,-0.8500000000000085,-0.75
25,1427,2013-02-12 00:00:00,1428,1455,2013-02-13 00:00:00,2013-03-22 00:00:00,long,104.0,93.97142857142856,93.97142857142856,93.97142857142856,-1.0,-10.02857142857144,SL,price_time,1.1500000000000057,-1.25,-4.049999999999997,-2.4000000000000057,-2.700000000000003,-2.6500000000000057
