trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,24,2003-03-03 00:00:00,25,62,2003-03-04 00:00:00,2003-04-30 00:00:00,short,156.05,161.05785714285713,166.73714285714283,161.05785714285713,-0.4685870872877953,-5.0078571428571195,SL,price_time,1.75,2.7700000000000102,7.320000000000022,8.969999999999999,10.370000000000005,10.620000000000005
2,102,2003-06-26 00:00:00,103,155,2003-06-27 00:00:00,2003-09-10 00:00:00,long,173.95,209.4821428571429,161.73000000000002,209.4821428571429,2.9077039981295405,35.5321428571429,SL,price_time,4.950000000000017,3.1000000000000227,4.0800000000000125,12.030000000000001,20.830000000000013,17.75
3,231,2003-12-30 00:00:00,232,262,2003-12-31 00:00:00,2004-02-13 00:00:00,short,295.5,324.94142857142856,329.9057142857143,324.94142857142856,-0.8557133366550405,-29.44142857142856,SL,price_time,10.050000000000011,8.800000000000011,1.3700000000000045,-6.5,-7.8799999999999955,-7.699999999999989
4,319,2004-05-10 00:00:00,320,387,2004-05-11 00:00:00,2004-09-13 00:00:00,short,342.5,309.92285714285714,378.68285714285713,309.92285714285714,0.900347441566646,32.57714285714286,SL,price_time,15.230000000000018,11.25,5.600000000000023,-0.029999999999972715,21.519999999999982,47.80000000000001
5,409,2004-10-14 00:00:00,410,466,2004-10-15 00:00:00,2005-01-06 00:00:00,long,315.0,362.5128571428571,286.09,362.5128571428571,1.6434748233433785,47.512857142857115,SL,price_date,5.949999999999989,5.699999999999989,11.129999999999995,9.930000000000007,9.449999999999989,9.5
6,499,2005-02-24 00:00:00,500,552,2005-02-25 00:00:00,2005-05-12 00:00:00,short,383.9,375.16428571428565,404.2314285714286,375.16428571428565,0.42966554243957394,8.735714285714323,SL,price_time,9.71999999999997,14.919999999999959,15.519999999999982,19.16999999999996,9.599999999999966,9.899999999999977
7,558,2005-05-20 00:00:00,559,645,2005-05-23 00:00:00,2005-09-23 00:00:00,long,366.58,420.37,351.33714285714285,420.37,3.5288659793814467,53.79000000000002,SL,price_time,1.4800000000000182,4.800000000000011,4.150000000000034,8.650000000000034,11.050000000000011,8.420000000000016
8,664,2005-10-21 00:00:00,665,779,2005-10-24 00:00:00,2006-04-13 00:00:00,long,435.9,702.922857142857,400.8514285714286,702.922857142857,7.618651667074268,267.022857142857,SL,price_date,5.930000000000007,-2.419999999999959,-4.0499999999999545,-1.599999999999966,13.200000000000045,1.0300000000000296
9,870,2006-08-23 00:00:00,871,913,2006-08-24 00:00:00,2006-10-26 00:00:00,long,575.0,585.9478571428571,527.66,585.9478571428571,0.23126018468223603,10.94785714285706,SL,price_date,21.480000000000018,28.480000000000018,28.83000000000004,23.350000000000023,26.029999999999973,26.92999999999995
10,943,2006-12-07 00:00:00,944,981,2006-12-08 00:00:00,2007-02-05 00:00:00,short,610.0,608.9278571428572,653.3171428571429,608.9278571428572,0.024751005870323996,1.0721428571428078,SL,price_time,11.449999999999932,15.049999999999955,28.950000000000045,61.549999999999955,45.47000000000003,51.799999999999955
11,1068,2007-06-13 00:00:00,1069,1091,2007-06-14 00:00:00,2007-07-16 00:00:00,short,647.55,662.8621428571428,703.9457142857143,662.8621428571428,-0.2715125262811247,-15.312142857142817,SL,price_time,11.75,7.449999999999932,-7.300000000000068,10.149999999999977,0.7199999999999136,12.899999999999977
