trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,187,2003-10-27 00:00:00,188,211,2003-10-28 00:00:00,2003-12-01 00:00:00,short,21.89,21.79785714285714,24.159999999999997,21.79785714285714,0.040591567023286694,0.09214285714286063,SL,price_time,0.759999999999998,1.2899999999999991,1.129999999999999,1.1500000000000021,0.370000000000001,1.1900000000000013
2,242,2004-01-14 00:00:00,243,293,2004-01-15 00:00:00,2004-03-30 00:00:00,short,46.95,37.22357142857143,54.64,37.22357142857143,1.2648151588333645,9.72642857142857,SL,price_time,2.25,2.9299999999999997,4.790000000000006,5.650000000000006,6.050000000000004,10.14
3,311,2004-04-28 00:00:00,312,324,2004-04-29 00:00:00,2004-05-17 00:00:00,long,37.48,33.651428571428575,33.651428571428575,33.651428571428575,-1.0,-3.828571428571422,SL,price_time,0.8799999999999955,0.6400000000000006,-0.07000000000000028,-1.3399999999999963,-0.12999999999999545,-0.35999999999999943
4,328,2004-05-21 00:00:00,329,346,2004-06-23 00:00:00,2004-07-16 00:00:00,short,33.85,39.295,43.03857142857143,39.295,-0.5925839552238806,-5.445,SL,price_time,4.649999999999999,0.5900000000000034,0.5900000000000034,0.259999999999998,-0.4799999999999969,-0.4399999999999977
5,464,2005-01-04 00:00:00,465,503,2005-01-05 00:00:00,2005-03-02 00:00:00,short,134.99,143.18714285714287,157.51857142857142,143.18714285714287,-0.3638554216867476,-8.197142857142865,SL,price_time,8.939999999999998,10.52000000000001,14.63000000000001,2.8799999999999955,-0.44999999999998863,7.680000000000007
6,510,2005-03-11 00:00:00,511,565,2005-03-14 00:00:00,2005-05-31 00:00:00,short,153.2,123.94928571428571,184.7785714285714,123.94928571428571,0.9262836462338838,29.25071428571428,SL,price_time,3.4199999999999875,4.549999999999983,3.6299999999999955,6.769999999999982,6.699999999999989,8.599999999999994
7,580,2005-06-21 00:00:00,581,614,2005-06-22 00:00:00,2005-08-09 00:00:00,long,127.25,143.86928571428572,118.17142857142858,143.86928571428572,1.8306058221872565,16.619285714285724,SL,price_time,9.350000000000009,8.800000000000011,6.930000000000007,11.280000000000001,6.8700000000000045,3.4499999999999886
8,641,2005-09-19 00:00:00,642,686,2005-09-20 00:00:00,2005-11-25 00:00:00,short,171.7,154.12071428571429,195.65428571428572,154.12071428571429,0.7338680820610677,17.579285714285703,SL,price_date,6.299999999999983,6.899999999999977,14.269999999999982,15.72999999999999,9.799999999999983,11.669999999999987
9,698,2005-12-13 00:00:00,699,779,2005-12-14 00:00:00,2006-04-13 00:00:00,long,149.0,154.55714285714285,135.58285714285714,154.55714285714285,0.4141822827938664,5.55714285714285,SL,price_time,3.5500000000000114,3.8000000000000114,6.280000000000001,6.8799999999999955,11.699999999999989,9.719999999999999
10,822,2006-06-15 00:00:00,823,897,2006-06-16 00:00:00,2006-09-29 00:00:00,long,125.0,160.48928571428573,86.60285714285715,160.48928571428573,0.9242689188183649,35.48928571428573,SL,price_time,8.900000000000006,3.0500000000000114,2.450000000000003,3.780000000000001,12.050000000000011,10.879999999999995
11,1041,2007-05-07 00:00:00,1042,1055,2007-05-08 00:00:00,2007-05-25 00:00:00,short,326.9,354.4585714285715,363.8285714285714,354.4585714285715,-0.7462669245647985,-27.558571428571497,SL,price_time,10.350000000000023,12.899999999999977,8.129999999999995,9.75,7.3799999999999955,5.399999999999977
12,1144,2007-09-28 00:00:00,1145,1152,2007-10-01 00:00:00,2007-10-11 00:00:00,short,416.0,467.88214285714287,473.77142857142854,467.88214285714287,-0.8980588526211678,-51.88214285714287,SL,price_date,10.399999999999977,3.9499999999999886,-2.6999999999999886,-1.1499999999999773,-6.899999999999977,13.300000000000011
13,1164,2007-10-29 00:00:00,1165,1222,2007-10-30 00:00:00,2008-01-21 00:00:00,long,459.9,505.8071428571429,356.6,505.8071428571429,0.4444060295948008,45.9071428571429,SL,price_time,21.0,14.150000000000034,31.80000000000001,26.400000000000034,40.200000000000045,26.950000000000045
14,1264,2008-03-24 00:00:00,1265,1313,2008-03-25 00:00:00,2008-06-05 00:00:00,long,460.0,600.7642857142857,368.7357142857143,600.7642857142857,1.5423808405729054,140.76428571428573,SL,price_date,29.399999999999977,29.19999999999999,28.5,26.5,30.399999999999977,29.0
15,1323,2008-06-19 00:00:00,1324,1345,2008-06-20 00:00:00,2008-07-21 00:00:00,short,690.0,715.0142857142857,773.9499999999999,715.0142857142857,-0.2979664766442615,-25.014285714285734,SL,price_date,28.0,32.700000000000045,47.950000000000045,68.75,69.20000000000005,67.64999999999998
16,1357,2008-08-06 00:00:00,1358,1407,2008-08-07 00:00:00,2008-10-21 00:00:00,short,667.0,502.59285714285716,752.6642857142857,502.59285714285716,1.9192028683398648,164.40714285714284,SL,price_date,12.149999999999977,9.25,31.200000000000045,40.549999999999955,56.200000000000045,32.049999999999955
17,1532,2009-05-06 00:00:00,1533,1607,2009-05-07 00:00:00,2009-08-19 00:00:00,long,189.0,222.29285714285714,146.7642857142857,222.29285714285714,0.7882631489937425,33.292857142857144,SL,price_time,4.049999999999983,1.8499999999999943,-8.800000000000011,-14.099999999999994,-14.449999999999989,-19.849999999999994
18,1643,2009-10-14 00:00:00,1644,1666,2009-10-15 00:00:00,2009-11-18 00:00:00,short,244.0,244.56428571428572,263.73571428571427,244.56428571428572,-0.028592110025334933,-0.5642857142857167,SL,price_time,3.9499999999999886,4.599999999999994,3.8499999999999943,3.75,4.0,3.9000000000000057
19,1675,2009-12-01 00:00:00,1676,1710,2009-12-02 00:00:00,2010-01-22 00:00:00,long,244.7,260.925,205.15714285714284,260.925,0.41031430635838206,16.225000000000023,SL,price_date,8.650000000000006,6.600000000000023,12.050000000000011,20.400000000000034,13.699999999999989,23.150000000000034
20,1729,2010-02-22 00:00:00,1730,1752,2010-02-23 00:00:00,2010-03-29 00:00:00,short,260.0,258.7678571428571,281.9214285714286,258.7678571428571,0.05620723362658993,1.2321428571428896,SL,price_time,5.950000000000017,5.599999999999994,10.300000000000011,12.599999999999994,7.550000000000011,3.3000000000000114
