trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,516,2005-03-21 00:00:00,517,555,2005-03-22 00:00:00,2005-05-17 00:00:00,short,61.0,54.85714285714286,71.14285714285714,54.85714285714286,0.6056338028169013,6.142857142857139,SL,price_date,3.0,4.0,5.0,10.0,10.0,13.0
2,695,2005-12-08 00:00:00,696,716,2005-12-09 00:00:00,2006-01-06 00:00:00,short,107.0,104.14285714285714,117.0,104.14285714285714,0.28571428571428614,2.857142857142861,SL,price_time,2.0,2.0,4.0,8.0,10.0,11.0
3,805,2006-05-23 00:00:00,806,817,2006-05-24 00:00:00,2006-06-08 00:00:00,long,85.0,73.78571428571428,70.71428571428571,73.78571428571428,-0.7850000000000003,-11.214285714285722,SL,price_time,8.0,6.0,0.0,1.0,5.0,7.0
4,940,2006-12-04 00:00:00,941,977,2006-12-05 00:00:00,2007-01-29 00:00:00,short,107.0,95.71428571428572,109.42857142857143,95.71428571428572,4.647058823529404,11.285714285714278,SL,price_time,5.0,10.0,15.0,10.0,13.0,14.0
5,1042,2007-05-08 00:00:00,1043,1129,2007-05-09 00:00:00,2007-09-07 00:00:00,short,104.0,92.64285714285714,115.14285714285714,92.64285714285714,1.01923076923077,11.357142857142861,SL,price_date,4.0,4.0,3.0,1.0,3.0,3.0
6,1165,2007-10-30 00:00:00,1166,1208,2007-10-31 00:00:00,2008-01-01 00:00:00,long,95.0,96.0,80.57142857142857,96.0,0.0693069306930693,1.0,SL,price_time,10.0,6.0,0.0,-1.0,-2.0,-3.0
7,1228,2008-01-29 00:00:00,1229,1270,2008-01-30 00:00:00,2008-04-01 00:00:00,short,93.0,87.78571428571428,117.28571428571428,87.78571428571428,0.21470588235294158,5.214285714285722,SL,price_date,4.0,2.0,3.0,2.0,1.0,1.0
8,1279,2008-04-15 00:00:00,1280,1325,2008-04-16 00:00:00,2008-06-23 00:00:00,long,90.0,88.64285714285714,83.14285714285714,88.64285714285714,-0.19791666666666713,-1.3571428571428612,SL,price_time,2.0,2.0,2.0,4.0,5.0,4.0
9,1359,2008-08-08 00:00:00,1360,1456,2008-08-11 00:00:00,2009-01-05 00:00:00,short,100.0,61.35714285714286,110.85714285714286,61.35714285714286,3.5592105263157876,38.64285714285714,SL,price_time,1.0,1.0,1.0,-0.0,1.0,-0.0
10,1464,2009-01-16 00:00:00,1465,1472,2009-01-19 00:00:00,2009-01-29 00:00:00,short,52.0,59.42857142857143,61.714285714285715,59.42857142857143,-0.7647058823529413,-7.428571428571431,SL,price_time,2.0,1.0,-1.0,-0.0,-0.0,2.0
11,1487,2009-02-19 00:00:00,1488,1510,2009-02-20 00:00:00,2009-03-27 00:00:00,short,52.0,48.642857142857146,58.57142857142857,48.642857142857146,0.510869565217391,3.357142857142854,SL,price_time,3.0,2.0,4.0,6.0,6.0,5.0
12,1516,2009-04-08 00:00:00,1517,1527,2009-04-09 00:00:00,2009-04-27 00:00:00,long,53.0,55.85714285714286,41.0,55.85714285714286,0.23809523809523844,2.857142857142861,SL,price_time,2.0,1.0,1.0,3.0,2.0,4.0
13,1556,2009-06-09 00:00:00,1557,1591,2009-06-10 00:00:00,2009-07-28 00:00:00,long,79.0,97.28571428571429,51.714285714285715,97.28571428571429,0.6701570680628275,18.285714285714292,SL,price_time,8.0,0.0,2.0,2.0,3.0,2.0
14,1625,2009-09-14 00:00:00,1626,1655,2009-09-15 00:00:00,2009-11-03 00:00:00,long,110.0,112.71428571428572,101.57142857142857,112.71428571428572,0.3220338983050856,2.7142857142857224,SL,price_time,6.0,5.0,5.0,6.0,10.0,9.0
15,1695,2009-12-31 00:00:00,1696,1751,2010-01-04 00:00:00,2010-03-26 00:00:00,short,135.0,123.92857142857143,143.71428571428572,123.92857142857143,1.2704918032786872,11.07142857142857,SL,price_time,4.0,5.0,5.0,5.0,4.0,6.0
16,1783,2010-05-13 00:00:00,1784,1784,2010-05-14 00:00:00,2010-05-14 00:00:00,long,118.0,115.0,115.0,115.0,-1.0,-3.0,SL,price_time,3.0,5.0,5.0,5.0,7.0,5.0
17,1798,2010-06-03 00:00:00,1799,1825,2010-06-04 00:00:00,2010-07-12 00:00:00,short,123.0,125.21428571428572,129.42857142857142,125.21428571428572,-0.3444444444444464,-2.2142857142857224,SL,price_time,3.0,1.0,-0.0,1.0,-0.0,1.0
18,1922,2010-11-26 00:00:00,1923,1954,2010-11-29 00:00:00,2011-01-12 00:00:00,long,121.0,131.71428571428572,104.57142857142857,131.71428571428572,0.6521739130434787,10.714285714285722,SL,price_time,3.0,8.0,9.0,12.0,14.0,15.0
19,2079,2011-07-13 00:00:00,2080,2092,2011-07-14 00:00:00,2011-08-01 00:00:00,short,201.0,225.5,231.57142857142858,225.5,-0.8014018691588782,-24.5,SL,price_time,6.0,7.0,4.0,-16.0,-15.0,-10.0
20,2201,2012-01-12 00:00:00,2202,2218,2012-01-13 00:00:00,2012-02-07 00:00:00,long,168.0,183.14285714285714,157.85714285714286,183.14285714285714,1.4929577464788735,15.142857142857139,SL,price_time,4.0,7.0,11.0,19.0,25.0,29.0
21,2266,2012-04-19 00:00:00,2267,2291,2012-04-20 00:00:00,2012-05-25 00:00:00,short,251.0,245.92857142857142,281.42857142857144,245.92857142857142,0.166666666666667,5.071428571428584,SL,price_date,7.0,2.0,15.0,16.0,18.0,20.0
22,2356,2012-08-28 00:00:00,2357,2376,2012-08-29 00:00:00,2012-09-26 00:00:00,short,230.0,225.92857142857144,244.71428571428572,225.92857142857144,0.27669902912621236,4.071428571428555,SL,price_date,7.0,8.0,13.0,17.0,18.0,21.0
23,2525,2013-05-07 00:00:00,2526,2526,2013-05-08 00:00:00,2013-05-08 00:00:00,long,163.0,165.71428571428572,141.71428571428572,165.71428571428572,0.12751677852349036,2.7142857142857224,SL,price_time,32.0,31.0,43.0,57.0,57.0,63.0
24,2583,2013-07-26 00:00:00,2584,2596,2013-07-29 00:00:00,2013-08-16 00:00:00,long,174.0,174.42857142857144,157.85714285714286,174.42857142857144,0.026548672566372694,0.4285714285714448,SL,price_time,11.0,12.0,16.0,24.0,17.0,15.0
25,2627,2013-10-01 00:00:00,2628,2657,2013-10-03 00:00:00,2013-11-18 00:00:00,long,173.0,170.5,157.42857142857142,170.5,-0.1605504587155962,-2.5,SL,price_time,6.0,2.0,0.0,-1.0,0.0,4.0
26,2726,2014-02-24 00:00:00,2727,2762,2014-02-25 00:00:00,2014-04-22 00:00:00,short,230.0,228.42857142857144,260.0,228.42857142857144,0.05238095238095184,1.5714285714285552,SL,price_date,5.0,3.0,3.0,9.0,12.0,8.0
27,2832,2014-08-01 00:00:00,2833,2854,2014-08-04 00:00:00,2014-09-04 00:00:00,long,195.0,189.71428571428572,164.71428571428572,189.71428571428572,-0.17452830188679222,-5.285714285714278,SL,price_time,17.0,-2.0,-2.0,-3.0,-5.0,-7.0
28,2904,2014-11-24 00:00:00,2905,2950,2014-11-25 00:00:00,2015-01-29 00:00:00,short,217.0,200.0,231.14285714285714,200.0,1.2020202020202024,17.0,SL,price_time,19.0,19.0,15.0,13.0,12.0,15.0
29,2991,2015-03-31 00:00:00,2992,3012,2015-04-01 00:00:00,2015-05-05 00:00:00,long,143.0,156.71428571428572,129.71428571428572,156.71428571428572,1.0322580645161303,13.714285714285722,SL,price_time,7.0,4.0,9.0,9.0,10.0,11.0
30,3020,2015-05-15 00:00:00,3021,3034,2015-05-18 00:00:00,2015-06-04 00:00:00,long,166.0,160.78571428571428,148.42857142857142,160.78571428571428,-0.2967479674796751,-5.214285714285722,SL,price_time,3.0,3.0,4.0,4.0,1.0,1.0
31,3098,2015-09-02 00:00:00,3099,3109,2015-09-03 00:00:00,2015-09-18 00:00:00,long,185.0,195.92857142857142,162.28571428571428,195.92857142857142,0.4811320754716974,10.928571428571416,SL,price_date,7.0,7.0,5.0,1.0,1.0,2.0
32,3206,2016-02-10 09:15:00,3207,3221,2016-02-11 09:15:00,2016-03-02 09:15:00,short,350.0,398.8571428571429,431.42857142857144,398.8571428571429,-0.6000000000000003,-48.85714285714289,SL,price_date,30.0,27.0,32.0,6.0,19.0,12.0
33,3348,2016-09-08 09:15:00,3349,3371,2016-09-09 09:15:00,2016-10-14 09:15:00,short,503.0,475.0,547.0,475.0,0.6363636363636364,28.0,SL,price_time,15.0,14.0,21.0,59.0,47.0,53.0
34,3447,2017-02-02 09:15:00,3448,3474,2017-02-03 09:15:00,2017-03-15 09:15:00,long,363.0,380.1428571428571,319.57142857142856,380.1428571428571,0.3947368421052623,17.14285714285711,SL,price_date,10.0,-6.0,-10.0,-8.0,-5.0,-9.0
35,3516,2017-05-17 09:15:00,3517,3548,2017-05-18 09:15:00,2017-07-03 09:15:00,short,419.0,442.2142857142857,474.14285714285717,442.2142857142857,-0.42098445595854916,-23.214285714285722,SL,price_time,15.0,5.0,1.0,7.0,25.0,29.0
36,3557,2017-07-14 09:15:00,3558,3579,2017-07-17 09:15:00,2017-08-16 09:15:00,short,417.0,342.6428571428571,454.42857142857144,342.6428571428571,1.9866412213740459,74.35714285714289,SL,price_time,11.0,8.0,31.0,28.0,31.0,30.0
37,3606,2017-09-25 09:15:00,3607,3656,2017-09-26 09:15:00,2017-12-07 09:15:00,long,321.0,321.35714285714283,297.7142857142857,321.35714285714283,0.015337423312882395,0.3571428571428328,SL,price_date,26.0,27.0,10.0,14.0,15.0,20.0
38,3682,2018-01-15 09:15:00,3683,3722,2018-01-16 09:15:00,2018-03-15 09:16:00,short,345.0,293.92857142857144,370.42857142857144,293.92857142857144,2.008426966292133,51.071428571428555,SL,price_date,7.0,7.0,12.0,17.0,15.0,17.0
39,3748,2018-04-24 09:16:00,3749,3811,2018-04-25 09:15:00,2018-07-23 09:51:00,short,300.0,250.42857142857142,321.2857142857143,250.42857142857142,2.328859060402686,49.571428571428584,SL,price_time,13.0,12.0,9.0,10.0,6.0,10.0
40,3892,2018-11-26 09:15:00,3893,3913,2018-11-27 09:15:00,2018-12-26 00:00:00,long,285.0,274.5,253.85714285714286,274.5,-0.3371559633027523,-10.5,SL,price_time,11.0,11.0,28.0,26.0,24.0,23.0
41,3953,2019-02-20 00:00:00,3954,3997,2019-02-21 00:00:00,2019-04-30 00:00:00,long,291.0,363.7142857142857,266.42857142857144,363.7142857142857,2.9593023255813975,72.71428571428572,SL,price_date,7.0,7.0,18.0,14.0,4.0,1.0
42,4069,2019-08-13 00:00:00,4070,4071,2019-08-14 00:00:00,2019-08-16 00:00:00,long,299.0,281.7142857142857,231.71428571428572,281.7142857142857,-0.25690021231422494,-17.285714285714278,SL,price_time,1.0,-14.0,32.0,53.0,46.0,27.0
43,4104,2019-10-07 00:00:00,4105,4182,2019-10-09 00:00:00,2020-01-29 00:00:00,long,313.0,435.64285714285717,282.14285714285717,435.64285714285717,3.9745370370370408,122.64285714285717,SL,price_date,12.0,11.0,12.0,14.0,21.0,26.0
44,4200,2020-02-24 00:00:00,4201,4229,2020-02-25 00:00:00,2020-04-08 00:00:00,short,427.0,348.57142857142856,491.7142857142857,348.57142857142856,1.2119205298013247,78.42857142857144,SL,price_date,15.0,18.0,31.0,41.0,44.0,53.0
45,4242,2020-04-29 00:00:00,4243,4269,2020-04-30 00:00:00,2020-06-09 00:00:00,short,348.0,349.2857142857143,400.7142857142857,349.2857142857143,-0.024390243902438866,-1.2857142857142776,SL,price_date,10.0,13.0,5.0,20.0,27.0,27.0
46,4327,2020-08-28 00:00:00,4328,4368,2020-08-31 00:00:00,2020-10-27 00:00:00,short,357.0,305.92857142857144,364.85714285714283,305.92857142857144,6.500000000000018,51.071428571428555,SL,price_time,13.0,36.0,38.0,40.0,41.0,44.0
47,4404,2020-12-17 00:00:00,4405,4469,2020-12-18 00:00:00,2021-03-23 00:00:00,short,333.0,305.85714285714283,361.57142857142856,305.85714285714283,0.9500000000000014,27.142857142857167,SL,price_time,3.0,3.0,23.0,26.0,16.0,5.0
48,4609,2021-10-18 00:00:00,4610,4640,2021-10-19 00:00:00,2021-12-02 00:00:00,short,443.0,423.3571428571429,498.0,423.3571428571429,0.35714285714285654,19.64285714285711,SL,price_time,4.0,9.0,15.0,41.0,14.0,3.0
49,4709,2022-03-11 00:00:00,4710,4729,2022-03-14 00:00:00,2022-04-11 00:00:00,long,347.0,363.7857142857143,308.42857142857144,363.7857142857143,0.4351851851851852,16.785714285714278,SL,price_date,5.0,0.0,-8.0,-7.0,-1.0,8.0
50,4781,2022-06-27 00:00:00,4782,4827,2022-06-28 00:00:00,2022-09-02 00:00:00,long,351.0,364.57142857142856,322.57142857142856,364.57142857142856,0.477386934673366,13.571428571428555,SL,price_date,9.0,9.0,5.0,2.0,5.0,4.0
51,4848,2022-10-03 00:00:00,4849,4903,2022-10-04 00:00:00,2022-12-22 00:00:00,long,382.0,601.5,342.7142857142857,601.5,5.587272727272729,219.5,SL,price_time,21.0,17.0,33.0,55.0,62.0,55.0
52,4957,2023-03-10 00:00:00,4958,5034,2023-03-13 00:00:00,2023-07-05 00:00:00,short,632.0,576.2857142857143,708.7142857142857,576.2857142857143,0.7262569832402233,55.714285714285666,SL,price_time,22.0,16.0,9.0,-5.0,6.0,-8.0
53,5048,2023-07-25 00:00:00,5049,5111,2023-07-26 00:00:00,2023-10-26 00:00:00,long,566.0,675.5,522.7142857142857,675.5,2.529702970297027,109.5,SL,price_time,12.0,8.0,70.0,125.0,152.0,129.0
54,5135,2023-11-30 00:00:00,5136,5169,2023-12-01 00:00:00,2024-01-18 00:00:00,long,677.0,689.7142857142858,650.1428571428571,689.7142857142858,0.47340425531915076,12.71428571428578,SL,price_date,16.0,14.0,24.0,30.0,28.0,24.0
55,5226,2024-04-12 00:00:00,5227,5234,2024-04-15 00:00:00,2024-04-25 00:00:00,short,1016.0,1123.0714285714284,1155.4285714285713,1123.0714285714284,-0.7679303278688521,-107.07142857142844,SL,price_date,20.0,20.0,15.0,17.0,-3.0,-8.0
56,5268,2024-06-13 00:00:00,5269,5289,2024-06-14 00:00:00,2024-07-15 00:00:00,long,1296.0,1370.7857142857142,1149.4285714285713,1370.7857142857142,0.5102339181286542,74.78571428571422,SL,price_time,78.0,68.0,119.0,100.0,129.0,125.0
57,5430,2025-02-04 00:00:00,5431,5433,2025-02-05 00:00:00,2025-02-07 00:00:00,short,1575.0,1802.357142857143,1823.142857142857,1802.357142857143,-0.9162348877374786,-227.3571428571429,SL,price_time,22.0,22.0,42.0,-248.0,-285.0,-133.0
58,5466,2025-03-28 00:00:00,5467,5516,2025-04-01 00:00:00,2025-06-13 00:00:00,long,2258.0,2680.785714285714,1972.5714285714287,2680.785714285714,1.4812312312312315,422.7857142857142,SL,price_time,113.0,111.0,133.0,85.0,-32.0,-143.0
