trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,149,2010-08-10 00:00:00,150,189,2010-08-11 00:00:00,2010-10-06 00:00:00,short,355.74,360.40000000000003,407.6814285714285,360.40000000000003,-0.08971643884595346,-4.660000000000025,SL,price_time,10.930000000000007,9.930000000000007,5.350000000000023,-6.039999999999964,-2.6499999999999773,-3.230000000000018
2,215,2010-11-11 00:00:00,216,290,2010-11-12 00:00:00,2011-03-01 00:00:00,short,339.37,291.87571428571425,372.3342857142857,291.87571428571425,1.4407800650054179,47.49428571428575,SL,price_time,8.370000000000005,8.120000000000005,11.860000000000014,18.0,25.74000000000001,34.94999999999999
3,322,2011-04-19 00:00:00,323,345,2011-04-20 00:00:00,2011-05-23 00:00:00,long,314.81,299.74928571428575,291.76714285714286,299.74928571428575,-0.6535957842529434,-15.060714285714255,SL,price_time,7.2099999999999795,6.819999999999993,3.4499999999999886,1.1200000000000045,6.050000000000011,4.819999999999993
4,391,2011-07-26 00:00:00,392,448,2011-07-27 00:00:00,2011-10-19 00:00:00,short,371.55,329.23999999999995,415.31714285714287,329.23999999999995,0.9667069230016007,42.31000000000006,SL,price_date,10.050000000000011,13.470000000000027,11.050000000000011,12.610000000000014,17.210000000000036,23.980000000000018
5,469,2011-11-23 00:00:00,470,487,2011-11-24 00:00:00,2011-12-20 00:00:00,long,289.42,289.32,271.6328571428571,289.32,-0.00562203839049199,-0.10000000000002274,SL,price_time,8.79000000000002,10.240000000000009,16.97999999999996,18.329999999999984,21.839999999999975,19.25999999999999
6,514,2012-01-27 00:00:00,515,531,2012-01-30 00:00:00,2012-02-22 00:00:00,short,311.56,324.50571428571425,331.5114285714285,324.50571428571425,-0.6488615208363173,-12.945714285714246,SL,price_date,10.489999999999952,12.769999999999982,5.019999999999982,5.490000000000009,6.089999999999975,4.769999999999982
7,545,2012-03-14 00:00:00,546,584,2012-03-15 00:00:00,2012-05-11 00:00:00,short,312.14,292.9478571428572,339.84857142857146,292.9478571428572,0.6926428129511212,19.192142857142812,SL,price_date,3.0,1.8799999999999955,10.45999999999998,13.25,18.25,14.930000000000007
8,620,2012-07-02 00:00:00,621,760,2012-07-03 00:00:00,2013-01-24 00:00:00,long,246.83,282.22,221.69714285714284,282.22,1.4081168646620803,35.390000000000015,SL,price_time,6.560000000000002,2.4899999999999807,5.2099999999999795,4.6699999999999875,9.22999999999999,5.280000000000001
9,772,2013-02-11 00:00:00,773,788,2013-02-12 00:00:00,2013-03-05 00:00:00,short,277.61,276.63214285714287,293.5014285714286,276.63214285714287,0.061533620999640534,0.9778571428571468,SL,price_time,2.3500000000000227,2.670000000000016,-5.769999999999982,-0.7899999999999636,0.8300000000000409,-1.0699999999999932
10,816,2013-04-16 00:00:00,817,825,2013-04-17 00:00:00,2013-05-02 00:00:00,short,272.47,291.19,291.19,291.19,-1.0,-18.71999999999997,SL,price_time,5.8799999999999955,6.78000000000003,1.4600000000000364,-5.449999999999989,-6.099999999999966,-8.419999999999959
