trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,149,2009-02-09 00:00:00,150,159,2009-02-10 00:00:00,2009-02-24 00:00:00,long,174.01,148.5585714285714,148.5585714285714,148.5585714285714,-1.0,-25.45142857142858,SL,price_time,4.77000000000001,3.8600000000000136,4.170000000000016,3.4000000000000057,3.5400000000000205,1.0400000000000205
2,304,2009-09-29 00:00:00,305,341,2009-09-30 00:00:00,2009-11-25 00:00:00,short,290.56,274.4785714285714,316.0,274.4785714285714,0.6321316262354011,16.081428571428603,SL,price_time,4.220000000000027,4.0400000000000205,1.4599999999999795,3.910000000000025,3.4499999999999886,3.9499999999999886
3,346,2009-12-02 00:00:00,347,370,2009-12-03 00:00:00,2010-01-08 00:00:00,short,262.78,259.7142857142857,295.2142857142857,259.7142857142857,0.09452078928822995,3.0657142857142503,SL,price_date,5.810000000000002,5.489999999999952,8.579999999999984,8.529999999999973,7.489999999999981,9.389999999999986
4,428,2010-04-07 00:00:00,429,463,2010-04-08 00:00:00,2010-05-27 00:00:00,short,280.48,240.77928571428572,306.5085714285714,240.77928571428572,1.5252744237102134,39.7007142857143,SL,price_time,4.410000000000025,4.4500000000000455,3.490000000000009,6.53000000000003,6.810000000000002,6.220000000000027
5,476,2010-06-15 00:00:00,477,504,2010-06-16 00:00:00,2010-07-23 00:00:00,short,268.59,269.215,287.4242857142857,269.215,-0.0331841626213592,-0.625,SL,price_time,2.7199999999999704,4.669999999999959,4.759999999999991,5.899999999999977,5.449999999999989,5.079999999999984
6,559,2010-10-11 00:00:00,560,594,2010-10-12 00:00:00,2010-11-30 00:00:00,short,292.24,276.4264285714286,317.2328571428571,276.4264285714286,0.6327236353243804,15.813571428571436,SL,price_time,4.6299999999999955,4.449999999999989,2.1399999999999864,14.03000000000003,7.579999999999984,14.980000000000018
7,619,2011-01-05 00:00:00,620,681,2011-01-06 00:00:00,2011-04-05 00:00:00,short,305.35,242.69428571428574,331.2842857142858,242.69428571428574,2.4159413903271973,62.65571428571428,SL,price_date,4.359999999999957,7.439999999999998,13.390000000000043,22.689999999999998,27.0,15.75
8,694,2011-04-27 00:00:00,695,720,2011-04-28 00:00:00,2011-06-02 00:00:00,short,265.91,241.15428571428572,289.84000000000003,241.15428571428572,1.0345054026625282,24.755714285714305,SL,price_time,7.439999999999998,9.03000000000003,12.390000000000015,13.610000000000014,17.880000000000024,23.870000000000033
9,728,2011-06-14 00:00:00,729,757,2011-06-15 00:00:00,2011-07-25 00:00:00,short,237.82,240.45785714285714,262.99857142857144,240.45785714285714,-0.10476595744680846,-2.6378571428571433,SL,price_time,2.230000000000018,2.0900000000000034,4.219999999999999,5.219999999999999,12.030000000000001,9.530000000000001
10,785,2011-09-06 00:00:00,786,830,2011-09-07 00:00:00,2011-11-15 00:00:00,long,202.42,183.06928571428574,176.87,183.06928571428574,-0.7573665082471335,-19.350714285714247,SL,price_time,7.990000000000009,4.450000000000017,4.719999999999999,6.219999999999999,6.760000000000019,0.7199999999999989
