trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,7,2007-01-15 00:00:00,8,55,2007-01-16 00:00:00,2007-03-28 00:00:00,short,26.4,24.997857142857143,29.7575,24.997857142857143,0.4176151473247521,1.4021428571428558,SL,price_time,1.0700000000000003,0.8599999999999994,-0.5100000000000016,0.5599999999999987,-0.860000000000003,-0.7900000000000027
2,114,2007-06-22 00:00:00,115,165,2007-06-25 00:00:00,2007-09-04 00:00:00,short,32.3,29.019285714285715,38.23428571428572,29.019285714285715,0.5528406355320161,3.280714285714282,SL,price_time,0.9899999999999984,3.049999999999997,2.8199999999999967,2.7099999999999973,3.4399999999999977,2.849999999999998
3,173,2007-09-14 00:00:00,174,219,2007-09-17 00:00:00,2007-11-20 00:00:00,long,32.48,36.317857142857136,27.052857142857142,36.317857142857136,0.707159778889181,3.837857142857139,SL,price_time,2.349999999999998,1.1700000000000017,2.8600000000000065,2.5800000000000054,1.5,1.7800000000000011
4,233,2007-12-10 00:00:00,234,271,2007-12-11 00:00:00,2008-02-04 00:00:00,short,49.0,39.80285714285714,54.338571428571434,39.80285714285714,1.722772277227721,9.197142857142858,SL,price_time,1.8999999999999986,2.6799999999999997,2.8699999999999974,4.280000000000001,5.469999999999999,7.979999999999997
5,282,2008-02-19 00:00:00,283,318,2008-02-20 00:00:00,2008-04-15 00:00:00,short,37.7,32.662142857142854,47.58,32.662142857142854,0.5099045691150963,5.037857142857149,SL,price_time,1.8299999999999983,0.060000000000002274,-1.029999999999994,0.22000000000000597,0.7100000000000009,0.14000000000000057
6,368,2008-06-27 00:00:00,369,397,2008-06-30 00:00:00,2008-08-07 00:00:00,long,27.4,24.234285714285715,20.07142857142857,24.234285714285715,-0.431968810916179,-3.1657142857142837,SL,price_time,1.4899999999999984,-1.8099999999999987,-3.879999999999999,-4.329999999999998,-3.599999999999998,-3.8999999999999986
7,439,2008-10-10 00:00:00,440,465,2008-10-13 00:00:00,2008-11-19 00:00:00,long,16.4,12.73,9.052857142857142,12.73,-0.49951390239160004,-3.669999999999998,SL,price_time,3.080000000000002,2.200000000000003,3.9200000000000017,3.400000000000002,2.5500000000000007,2.6000000000000014
8,593,2009-06-05 00:00:00,594,608,2009-06-08 00:00:00,2009-06-26 00:00:00,short,29.7,27.024285714285714,31.040000000000003,27.024285714285714,1.9968017057569243,2.6757142857142853,SL,price_time,1.4200000000000017,2.8200000000000003,3.7699999999999996,4.219999999999999,5.32,5.18
9,629,2009-07-27 00:00:00,630,652,2009-07-28 00:00:00,2009-08-27 00:00:00,short,28.61,29.91142857142857,34.05142857142857,29.91142857142857,-0.2391703859280647,-1.3014285714285698,SL,price_time,1.1000000000000014,0.25,0.41999999999999815,-0.6600000000000001,0.129999999999999,-0.14000000000000057
10,797,2010-04-07 00:00:00,798,863,2010-04-08 00:00:00,2010-07-09 00:00:00,short,38.0,33.85714285714286,43.37142857142857,33.85714285714286,0.7712765957446808,4.142857142857139,SL,price_time,1.25,0.8999999999999986,0.8999999999999986,1.1000000000000014,0.5,-0.7999999999999972
11,884,2010-08-09 00:00:00,885,901,2010-08-10 00:00:00,2010-09-01 00:00:00,short,30.65,27.789285714285718,33.90714285714286,27.789285714285718,0.8782894736842082,2.8607142857142804,SL,price_time,2.700000000000003,2.25,2.5,4.149999999999999,3.1499999999999986,3.849999999999998
12,1054,2011-04-11 00:00:00,1055,1068,2011-04-13 00:00:00,2011-05-04 00:00:00,long,20.4,18.660714285714285,18.492857142857144,18.660714285714285,-0.9119850187265927,-1.7392857142857139,SL,price_time,0.6500000000000021,0.6500000000000021,0.15000000000000213,0.10000000000000142,0.20000000000000284,0.25
13,1198,2011-11-14 00:00:00,1199,1256,2011-11-15 00:00:00,2012-02-06 00:00:00,short,18.2,17.939285714285713,21.142857142857142,17.939285714285713,0.08859223300970887,0.2607142857142861,SL,price_time,0.5500000000000007,-0.25,1.1999999999999993,1.8499999999999979,3.049999999999999,3.3999999999999986
