trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,47,2003-04-07 00:00:00,48,74,2003-04-08 00:00:00,2003-05-19 00:00:00,short,150.1,148.38214285714284,163.39285714285714,148.38214285714284,0.12923159591617506,1.7178571428571558,SL,price_time,4.599999999999994,2.1999999999999886,6.099999999999994,5.949999999999989,7.699999999999989,8.699999999999989
2,77,2003-05-22 00:00:00,78,83,2003-05-23 00:00:00,2003-05-30 00:00:00,long,147.0,146.46785714285716,139.82142857142858,146.46785714285716,-0.07412935323382916,-0.5321428571428442,SL,price_time,3.6500000000000057,3.5999999999999943,6.300000000000011,6.199999999999989,8.949999999999989,10.900000000000006
3,107,2003-07-03 00:00:00,108,118,2003-07-04 00:00:00,2003-07-18 00:00:00,short,178.95,174.0392857142857,191.14285714285714,174.0392857142857,0.4027533684827173,4.910714285714278,SL,price_time,7.400000000000006,7.349999999999994,10.649999999999977,10.049999999999983,8.949999999999989,9.149999999999977
4,131,2003-08-06 00:00:00,132,163,2003-08-07 00:00:00,2003-09-22 00:00:00,long,160.95,173.91785714285714,141.8,173.91785714285714,0.6771726967549436,12.967857142857156,SL,price_time,5.25,4.850000000000023,7.200000000000017,10.100000000000023,11.100000000000023,14.75
5,191,2003-10-31 00:00:00,192,247,2003-11-03 00:00:00,2004-01-21 00:00:00,long,179.8,199.9035714285714,159.7357142857143,199.9035714285714,1.0019579921680297,20.1035714285714,SL,price_time,7.849999999999994,2.3999999999999773,5.949999999999989,2.75,3.1499999999999773,1.049999999999983
6,263,2004-02-16 00:00:00,264,324,2004-02-17 00:00:00,2004-05-17 00:00:00,short,198.7,137.64285714285714,217.20714285714286,137.64285714285714,3.299112311848705,61.05714285714285,SL,price_date,6.799999999999983,5.899999999999977,10.949999999999989,16.44999999999999,19.599999999999994,24.149999999999977
7,341,2004-07-09 00:00:00,342,349,2004-07-12 00:00:00,2004-07-21 00:00:00,long,123.0,114.46428571428571,111.60000000000001,114.46428571428571,-0.7487468671679209,-8.535714285714292,SL,price_time,1.7999999999999972,1.2000000000000028,0.75,-0.75,0.5999999999999943,0.5499999999999972
8,362,2004-08-09 00:00:00,363,384,2004-08-10 00:00:00,2004-09-08 00:00:00,short,116.5,116.02500000000002,130.36428571428573,116.02500000000002,0.03426069036578936,0.4749999999999801,SL,price_time,1.4000000000000057,1.5,1.8499999999999943,2.3499999999999943,6.0,6.0
9,392,2004-09-20 00:00:00,393,402,2004-09-21 00:00:00,2004-10-04 00:00:00,short,125.2,128.28214285714287,133.24285714285713,128.28214285714287,-0.3832149200710501,-3.0821428571428697,SL,price_date,1.4500000000000028,1.4000000000000057,1.9000000000000057,4.799999999999997,4.799999999999997,4.950000000000003
10,407,2004-10-11 00:00:00,408,421,2004-10-12 00:00:00,2004-11-02 00:00:00,short,128.5,128.2892857142857,135.0285714285714,128.2892857142857,0.032275711159738006,0.21071428571428896,SL,price_time,1.6499999999999915,1.7000000000000028,0.44999999999998863,1.8499999999999943,2.299999999999997,2.450000000000003
11,429,2004-11-12 00:00:00,430,458,2004-11-16 00:00:00,2004-12-27 00:00:00,long,135.0,142.06428571428575,127.43571428571428,142.06428571428575,0.9338999055712974,7.064285714285745,SL,price_time,1.6999999999999886,0.8499999999999943,0.3499999999999943,-0.5,-2.0500000000000114,-2.9499999999999886
12,486,2005-02-07 00:00:00,487,540,2005-02-08 00:00:00,2005-04-26 00:00:00,short,162.2,137.1107142857143,179.72142857142856,137.1107142857143,1.4319200978393791,25.089285714285694,SL,price_date,2.0999999999999943,2.1999999999999886,1.75,8.199999999999989,6.75,10.399999999999977
13,565,2005-05-31 00:00:00,566,644,2005-06-01 00:00:00,2005-09-22 00:00:00,long,143.2,165.70714285714286,134.2785714285714,165.70714285714286,2.522818254603682,22.507142857142867,SL,price_time,5.75,5.800000000000011,4.150000000000006,3.6000000000000227,4.400000000000006,0.30000000000001137
