trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,108,2007-01-29,109,152,2007-01-31,2007-04-04,short,75.1,61.01428571428572,84.9857142857143,61.01428571428572,1.4248554913294766,14.085714285714275,SL,price_time,5.200000000000003,4.349999999999994,2.799999999999997,5.75,9.0,8.299999999999997
2,171,2007-05-04,172,204,2007-05-07,2007-06-20,short,74.9,70.275,83.52857142857142,70.275,0.536009933774835,4.625,SL,price_time,1.3499999999999943,2.6500000000000057,4.800000000000011,4.8500000000000085,3.200000000000003,3.75
3,233,2007-07-31,234,237,2007-08-01,2007-08-06,short,75.45,81.11071428571428,83.52142857142856,81.11071428571428,-0.701327433628319,-5.660714285714278,SL,price_date,4.799999999999997,4.950000000000003,4.700000000000003,3.700000000000003,2.950000000000003,2.6000000000000085
4,246,2007-08-20,247,268,2007-08-21,2007-09-19,short,66.1,77.07857142857144,78.07142857142858,77.07857142857144,-0.9170644391408113,-10.978571428571442,SL,price_time,0.7999999999999972,-1.3000000000000114,-3.3500000000000085,-1.5,-1.9000000000000057,-2.5500000000000114
5,281,2007-10-09,282,290,2007-10-10,2007-10-22,long,82.95,81.85714285714286,70.60714285714286,81.85714285714286,-0.08854166666666657,-1.0928571428571416,SL,price_time,2.0,0.75,2.3499999999999943,2.75,6.1499999999999915,12.299999999999997
6,315,2007-11-26,316,350,2007-11-27,2008-01-16,long,70.9,72.93928571428572,60.41428571428572,72.93928571428572,0.19448228882833754,2.039285714285711,SL,price_time,3.75,2.0999999999999943,6.849999999999994,7.849999999999994,10.25,12.349999999999994
7,370,2008-02-13,371,386,2008-02-14,2008-03-07,long,55.5,57.48571428571428,44.84285714285715,57.48571428571428,0.18632707774798887,1.9857142857142804,SL,price_time,3.700000000000003,1.2000000000000028,3.450000000000003,3.3999999999999986,4.549999999999997,4.649999999999999
8,389,2008-03-12,390,413,2008-03-13,2008-04-21,short,57.0,60.30714285714285,67.17142857142858,60.30714285714285,-0.3251404494382013,-3.30714285714285,SL,price_time,0.8499999999999943,-1.2000000000000028,-0.6499999999999986,2.950000000000003,5.0,3.049999999999997
9,434,2008-05-22,435,472,2008-05-23,2008-07-15,short,71.8,58.903571428571425,84.14285714285714,58.903571428571425,1.0448495370370372,12.896428571428572,SL,price_date,4.049999999999997,4.049999999999997,5.700000000000003,7.200000000000003,6.3999999999999915,7.599999999999994
10,499,2008-08-22,500,529,2008-08-25,2008-10-07,short,58.3,43.99285714285715,63.97857142857143,43.99285714285715,2.51949685534591,14.30714285714285,SL,price_time,1.7000000000000028,2.5,2.5999999999999943,1.8499999999999943,1.75,0.8499999999999943
11,532,2008-10-13,533,545,2008-10-14,2008-10-31,short,33.65,35.80357142857143,40.207142857142856,35.80357142857143,-0.32843137254902016,-2.153571428571432,SL,price_time,0.8999999999999986,2.8999999999999986,4.199999999999999,3.75,5.549999999999997,5.699999999999999
12,555,2008-11-17,556,587,2008-11-18,2009-01-05,short,35.5,37.64285714285714,44.97142857142857,37.64285714285714,-0.22624434389140236,-2.142857142857139,SL,price_time,2.3000000000000043,0.9500000000000028,0.9500000000000028,2.75,1.7000000000000028,2.549999999999997
