trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,74,2018-07-06 09:20:00,75,119,2018-07-09 09:15:00,2021-03-17,long,280.0,478.5642857142857,227.4,478.5642857142857,3.7749864204236827,198.5642857142857,SL,price_time,11.550000000000011,10.25,3.1499999999999773,0.75,-1.5,-3.3999999999999773
2,243,2021-09-17 00:00:00,244,247,2021-09-20 00:00:00,2021-09-23,short,569.0,594.3857142857142,602.4428571428572,594.3857142857142,-0.7590773173857305,-25.385714285714243,SL,price_time,21.649999999999977,16.100000000000023,12.700000000000045,4.75,-29.600000000000023,-33.049999999999955
3,334,2022-01-28 00:00:00,335,362,2022-01-31 00:00:00,2022-03-10,short,780.4,719.4749999999999,866.9000000000001,719.4749999999999,0.7043352601156068,60.92500000000007,SL,price_date,28.600000000000023,28.600000000000023,16.799999999999955,14.100000000000023,10.399999999999977,40.049999999999955
4,462,2022-08-03 00:00:00,463,467,2022-08-04 00:00:00,2022-08-11,short,864.9,901.2464285714286,925.4642857142857,901.2464285714286,-0.6001297322797514,-36.346428571428646,SL,price_date,20.15000000000009,28.350000000000023,28.75,58.549999999999955,40.60000000000002,-28.050000000000068
5,482,2022-09-05 00:00:00,483,541,2022-09-06 00:00:00,2022-11-30,short,917.5,748.3964285714286,1017.6857142857143,748.3964285714286,1.6879010409239976,169.1035714285714,SL,price_time,27.199999999999932,31.299999999999955,58.35000000000002,30.350000000000023,43.64999999999998,37.950000000000045
6,581,2023-01-25 00:00:00,582,625,2023-01-27 00:00:00,2023-03-31,short,800.6,737.8964285714286,842.6428571428572,737.8964285714286,1.4914203194019686,62.70357142857142,SL,price_date,33.64999999999998,41.60000000000002,54.35000000000002,62.200000000000045,41.0,60.450000000000045
7,724,2023-08-25 00:00:00,725,758,2023-08-28 00:00:00,2023-10-16,short,859.0,884.5464285714286,919.85,884.5464285714286,-0.419826270689048,-25.546428571428578,SL,price_date,13.0,22.799999999999955,42.39999999999998,40.549999999999955,24.75,-4.2999999999999545
8,819,2024-01-12 00:00:00,820,824,2024-01-15 00:00:00,2024-01-19,short,970.0,1035.817857142857,1044.1499999999999,1035.817857142857,-0.8876312493979391,-65.81785714285706,SL,price_date,9.149999999999977,4.25,13.950000000000045,5.0,-13.950000000000045,-39.14999999999998
9,936,2024-07-04 00:00:00,937,975,2024-07-05 00:00:00,2024-08-30,short,1067.0,1126.9642857142858,1227.5785714285716,1126.9642857142858,-0.37342644900137884,-59.96428571428578,SL,price_time,13.0,11.299999999999955,17.75,27.34999999999991,12.150000000000091,12.450000000000045
10,1067,2025-01-13 00:00:00,1068,1095,2025-01-14 00:00:00,2025-02-19,long,1020.0,916.9428571428571,916.9428571428571,916.9428571428571,-1.0,-103.05714285714294,SL,price_date,22.750000000000114,21.15000000000009,7.25,28.450000000000045,10.200000000000045,18.200000000000045
11,1210,2025-08-08 00:00:00,1211,1243,2025-08-11 00:00:00,2025-09-26,long,1215.0,1205.0,1074.0,1205.0,-0.07092198581560284,-10.0,SL,price_time,79.90000000000009,67.20000000000005,22.0,18.200000000000045,36.90000000000009,41.90000000000009
12,1292,2025-12-09 00:00:00,1293,1306,2025-12-10 00:00:00,2025-12-30,long,1179.8,1094.2285714285713,1027.3714285714286,1094.2285714285713,-0.5613870665417067,-85.57142857142867,SL,price_date,25.700000000000045,7.400000000000091,8.5,-5.2000000000000455,8.200000000000045,1.7999999999999545
