trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,84,2018-01-30 09:15:00,85,112,2018-01-31 09:15:00,2018-03-13 09:15:00,short,795.1,836.132142857143,889.3714285714285,836.132142857143,-0.43525534171844366,-41.03214285714296,SL,price_date,16.149999999999977,8.200000000000045,-38.549999999999955,-24.75,-20.600000000000023,-11.949999999999932
2,240,2018-09-17 09:15:00,241,289,2018-09-18 09:15:00,2018-12-03 00:00:00,short,883.0,863.8785714285714,1002.9428571428571,863.8785714285714,0.1594211529299672,19.121428571428623,SL,price_time,13.299999999999955,8.799999999999955,17.200000000000045,-5.7000000000000455,68.85000000000002,49.89999999999998
3,329,2019-01-29 00:00:00,330,427,2019-01-30 00:00:00,2019-06-25 00:00:00,long,830.0,1082.975,763.65,1082.975,3.8127354935945714,252.9749999999999,SL,price_date,24.09999999999991,25.799999999999955,50.25,50.10000000000002,53.60000000000002,54.60000000000002
4,449,2019-07-25 00:00:00,450,475,2019-07-26 00:00:00,2019-09-04 00:00:00,long,1098.15,1141.057142857143,989.6999999999999,1141.057142857143,0.39563986037015014,42.907142857142844,SL,price_date,42.649999999999864,42.649999999999864,75.84999999999991,59.09999999999991,109.19999999999982,53.299999999999955
5,576,2020-01-31 00:00:00,577,620,2020-02-01 00:00:00,2020-04-07 00:00:00,short,1321.0,1191.142857142857,1417.95,1191.142857142857,1.339423856185073,129.8571428571429,SL,price_date,20.90000000000009,23.5,20.34999999999991,6.7000000000000455,-15.299999999999955,-56.65000000000009
6,708,2020-08-13 00:00:00,709,730,2020-08-14 00:00:00,2020-09-14 00:00:00,short,1364.0,1324.6214285714286,1484.307142857143,1324.6214285714286,0.327316986285103,39.37857142857138,SL,price_date,54.40000000000009,54.25,69.0,27.90000000000009,53.34999999999991,65.65000000000009
7,772,2020-11-12 00:00:00,773,819,2020-11-13 00:00:00,2021-01-20 00:00:00,long,1257.9,1487.3392857142858,1183.857142857143,1487.3392857142858,3.098736253135247,229.4392857142857,SL,price_time,37.950000000000045,39.399999999999864,38.0,71.29999999999995,53.34999999999991,38.549999999999955
8,864,2021-03-26 00:00:00,865,873,2021-03-30 00:00:00,2021-04-12 00:00:00,long,1414.0,1332.542857142857,1305.3642857142856,1332.542857142857,-0.7498191860082857,-81.45714285714303,SL,price_date,32.950000000000045,18.950000000000045,19.200000000000045,23.59999999999991,-3.349999999999909,12.950000000000045
9,943,2021-07-23 00:00:00,944,967,2021-07-26 00:00:00,2021-08-27 00:00:00,short,1495.0,1534.1392857142857,1595.7714285714287,1534.1392857142857,-0.388396654380493,-39.139285714285734,SL,price_date,28.84999999999991,39.049999999999955,20.84999999999991,-4.349999999999909,-0.9500000000000455,19.25
10,980,2021-09-16 00:00:00,981,1056,2021-09-17 00:00:00,2022-01-05 00:00:00,short,1614.9,1441.942857142857,1722.3214285714284,1441.942857142857,1.6100804574772307,172.95714285714303,SL,price_time,12.299999999999955,10.950000000000045,-13.25,-23.149999999999864,-12.799999999999955,38.15000000000009
