trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,16,2016-10-25 09:15:00,17,39,2016-10-26 09:15:00,2016-11-29 09:15:00,short,323.95,313.33571428571423,343.77142857142854,313.33571428571423,0.535495495495498,10.614285714285757,SL,price_time,3.75,3.5500000000000114,9.849999999999966,15.349999999999966,12.649999999999977,18.19999999999999
2,50,2016-12-14 09:15:00,51,58,2016-12-15 09:15:00,2016-12-26 09:15:00,long,296.0,297.9464285714286,283.6642857142857,297.9464285714286,0.15778807180081392,1.946428571428612,SL,price_date,13.449999999999989,14.649999999999977,14.550000000000011,19.5,22.25,20.19999999999999
3,74,2017-01-17 09:15:00,75,203,2017-01-18 09:15:00,2017-07-26 09:15:00,long,334.85,453.93928571428575,316.41428571428577,453.93928571428575,6.459705540488194,119.08928571428572,SL,price_date,8.300000000000011,5.149999999999977,14.899999999999977,24.549999999999955,26.299999999999955,24.899999999999977
4,277,2017-11-14 09:15:00,278,291,2017-11-15 09:15:00,2017-12-04 09:15:00,long,372.0,365.1071428571429,350.51428571428573,365.1071428571429,-0.32081117021276473,-6.89285714285711,SL,price_time,5.449999999999989,5.5,9.199999999999989,20.05000000000001,17.25,25.850000000000023
5,317,2018-01-10 09:15:00,318,324,2018-01-11 09:15:00,2018-01-19 09:15:00,short,411.0,432.47857142857146,432.47857142857146,432.47857142857146,-1.0,-21.478571428571456,SL,price_date,3.3500000000000227,4.350000000000023,5.649999999999977,-6.899999999999977,-1.25,-8.649999999999977
6,339,2018-02-12 09:15:00,340,372,2018-02-14 09:15:00,2018-04-04 09:15:00,short,416.0,398.95,458.9214285714286,398.95,0.39723747711765706,17.05000000000001,SL,price_date,6.149999999999977,6.149999999999977,9.300000000000011,13.800000000000011,12.649999999999977,13.699999999999989
7,385,2018-04-23 09:15:00,386,386,2018-04-24 09:15:00,2018-04-24 09:15:00,long,388.45,380.3392857142857,354.3,380.3392857142857,-0.23750261451579127,-8.110714285714266,SL,price_date,29.75,29.69999999999999,49.900000000000034,42.60000000000002,44.75,37.85000000000002
8,490,2018-09-24 09:15:00,491,527,2018-09-25 09:15:00,2018-11-20 09:15:00,long,330.05,319.975,304.2,319.975,-0.3897485493230166,-10.074999999999989,SL,price_time,14.650000000000034,19.05000000000001,13.599999999999966,7.449999999999989,3.6999999999999886,0.3499999999999659
9,570,2019-01-22 00:00:00,571,594,2019-01-23 00:00:00,2019-02-25 00:00:00,short,330.0,321.1357142857143,375.15000000000003,321.1357142857143,0.19632969466856462,8.8642857142857,SL,price_date,39.60000000000002,24.600000000000023,26.19999999999999,30.600000000000023,38.64999999999998,35.60000000000002
10,647,2019-05-17 00:00:00,648,683,2019-05-20 00:00:00,2019-07-09 00:00:00,long,345.0,369.44642857142856,309.6428571428571,369.44642857142856,0.6914141414141404,24.446428571428555,SL,price_time,18.05000000000001,12.300000000000011,1.8000000000000114,2.0,11.399999999999977,24.80000000000001
11,692,2019-07-22 00:00:00,693,708,2019-07-23 00:00:00,2019-08-14 00:00:00,long,377.7,366.24285714285713,348.9642857142857,366.24285714285713,-0.39870743226447947,-11.457142857142856,SL,price_date,7.25,5.400000000000034,5.5,18.400000000000034,24.850000000000023,21.600000000000023
12,797,2019-12-27 00:00:00,798,809,2019-12-30 00:00:00,2020-01-14 00:00:00,short,490.0,498.32142857142856,512.0285714285715,498.32142857142856,-0.3777561608300894,-8.321428571428555,SL,price_time,3.0,4.199999999999989,7.550000000000011,9.050000000000011,3.5500000000000114,6.800000000000011
13,828,2020-02-07 00:00:00,829,860,2020-02-10 00:00:00,2020-03-26 00:00:00,short,495.2,353.475,548.7785714285715,353.475,2.645180642580986,141.72499999999997,SL,price_time,11.449999999999989,11.149999999999977,13.0,14.849999999999966,16.099999999999966,13.899999999999977
14,954,2020-08-13 00:00:00,955,1021,2020-08-14 00:00:00,2020-11-17 00:00:00,short,468.8,440.9535714285714,508.97142857142853,440.9535714285714,0.6931899004267439,27.84642857142859,SL,price_date,11.75,9.850000000000023,15.550000000000011,14.949999999999989,14.25,29.69999999999999
15,1061,2021-01-14 00:00:00,1062,1124,2021-01-15 00:00:00,2021-04-20 00:00:00,short,512.6,471.18571428571425,543.0357142857143,471.18571428571425,1.3607134475475247,41.41428571428577,SL,price_time,9.25,12.900000000000034,5.7000000000000455,-2.949999999999932,-2.6499999999999773,6.5
16,1262,2021-11-09 00:00:00,1263,1305,2021-11-10 00:00:00,2022-01-10 00:00:00,short,646.35,588.7321428571429,698.4000000000001,588.7321428571429,1.106971318786879,57.61785714285713,SL,price_time,4.899999999999977,-0.049999999999954525,4.300000000000068,-26.25,-17.899999999999977,-7.0
