trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,84,2003-06-02 00:00:00,85,143,2003-06-03 00:00:00,2003-08-25 00:00:00,long,32.0,40.07857142857142,25.21428571428571,40.07857142857142,1.1905263157894723,8.078571428571422,SL,price_date,4.450000000000003,4.5,4.450000000000003,2.049999999999997,2.1499999999999986,1.1000000000000014
2,188,2003-10-28 00:00:00,189,214,2003-10-29 00:00:00,2003-12-04 00:00:00,short,56.85,58.4,67.27857142857142,58.4,-0.14863013698630118,-1.5499999999999972,SL,price_time,3.25,4.050000000000004,4.25,3.8000000000000043,3.450000000000003,4.149999999999999
3,241,2004-01-13 00:00:00,242,262,2004-01-14 00:00:00,2004-02-13 00:00:00,short,78.4,75.34285714285716,88.01428571428572,75.34285714285716,0.3179791976225847,3.05714285714285,SL,price_time,2.0500000000000114,3.3000000000000114,6.200000000000003,9.050000000000011,9.900000000000006,9.850000000000009
4,326,2004-05-19 00:00:00,327,465,2004-05-20 00:00:00,2005-01-05 00:00:00,long,38.0,99.32857142857142,22.357142857142858,99.32857142857142,3.9205479452054792,61.32857142857142,SL,price_date,5.049999999999997,3.6499999999999986,2.299999999999997,-7.100000000000001,-8.100000000000001,-5.5
5,498,2005-02-23 00:00:00,499,508,2005-02-24 00:00:00,2005-03-09 00:00:00,short,99.5,105.31785714285715,110.49285714285715,105.31785714285715,-0.5292397660818718,-5.81785714285715,SL,price_time,2.200000000000003,3.200000000000003,7.0,5.0,7.5,4.150000000000006
6,525,2005-04-04 00:00:00,526,563,2005-04-05 00:00:00,2005-05-27 00:00:00,short,91.9,88.11071428571428,104.25,88.11071428571428,0.3068247541931763,3.7892857142857252,SL,price_time,2.5999999999999943,3.5,1.0500000000000114,3.0,0.8000000000000114,2.200000000000003
7,574,2005-06-13 00:00:00,575,643,2005-06-14 00:00:00,2005-09-21 00:00:00,long,101.95,114.18571428571428,87.20714285714286,114.18571428571428,0.8299418604651156,12.23571428571428,SL,price_time,1.3499999999999943,0.6499999999999915,0.20000000000000284,0.8999999999999915,0.14999999999999147,-1.1500000000000057
8,653,2005-10-05 00:00:00,654,681,2005-10-06 00:00:00,2005-11-18 00:00:00,short,126.0,102.41428571428571,142.15714285714287,102.41428571428571,1.4597701149425275,23.58571428571429,SL,price_date,5.099999999999994,4.0,5.849999999999994,7.650000000000006,4.799999999999997,6.400000000000006
9,687,2005-11-28 00:00:00,688,699,2005-11-29 00:00:00,2005-12-14 00:00:00,short,97.0,101.75714285714285,105.27857142857142,101.75714285714285,-0.5746333045729074,-4.757142857142853,SL,price_time,2.3499999999999943,2.3499999999999943,2.200000000000003,1.8499999999999943,1.8499999999999943,3.549999999999997
10,710,2005-12-29 00:00:00,711,722,2005-12-30 00:00:00,2006-01-17 00:00:00,long,95.9,98.07499999999999,87.87857142857143,98.07499999999999,0.27114870881567016,2.174999999999983,SL,price_time,1.7000000000000028,1.2999999999999972,2.3999999999999915,5.5,7.799999999999997,12.449999999999989
11,726,2006-01-23 00:00:00,727,775,2006-01-24 00:00:00,2006-04-05 00:00:00,short,97.8,85.25714285714287,106.34285714285716,85.25714285714287,1.4682274247491598,12.54285714285713,SL,price_time,1.8999999999999915,2.3499999999999943,4.299999999999997,2.5,7.099999999999994,7.599999999999994
12,832,2006-06-29 00:00:00,833,846,2006-06-30 00:00:00,2006-07-19 00:00:00,long,55.5,48.535714285714285,45.207142857142856,48.535714285714285,-0.6766134628730048,-6.964285714285715,SL,price_date,3.75,2.1499999999999986,1.6000000000000014,3.0,3.0,1.5499999999999972
13,859,2006-08-07 00:00:00,860,883,2006-08-08 00:00:00,2006-09-11 00:00:00,long,55.45,61.296428571428564,49.728571428571435,61.296428571428564,1.021847690387015,5.846428571428561,SL,price_time,1.1000000000000014,0.5499999999999972,1.8499999999999943,4.799999999999997,6.349999999999994,6.649999999999999
14,898,2006-10-03 00:00:00,899,942,2006-10-04 00:00:00,2006-12-06 00:00:00,short,85.6,81.825,95.21428571428572,81.825,0.39264487369984996,3.7749999999999915,SL,price_date,1.2999999999999972,2.1499999999999915,0.9499999999999886,1.0499999999999972,1.1499999999999915,2.049999999999997
15,972,2007-01-19 00:00:00,973,978,2007-01-22 00:00:00,2007-01-31 00:00:00,short,98.95,104.97857142857143,108.50714285714287,104.97857142857143,-0.6307922272047825,-6.028571428571425,SL,price_time,3.8999999999999915,5.049999999999997,8.350000000000009,6.549999999999997,3.8500000000000085,-3.8999999999999915
16,984,2007-02-08 00:00:00,985,1029,2007-02-09 00:00:00,2007-04-17 00:00:00,short,106.8,83.50357142857143,120.43571428571428,83.50357142857143,1.7084861183865891,23.296428571428564,SL,price_time,9.049999999999997,9.049999999999997,19.89999999999999,18.200000000000003,15.0,8.799999999999997
17,1051,2007-05-21 00:00:00,1052,1063,2007-05-22 00:00:00,2007-06-06 00:00:00,short,104.8,105.34285714285714,115.21428571428571,105.34285714285714,-0.0521262002743486,-0.5428571428571445,SL,price_time,1.2000000000000028,1.9500000000000028,4.599999999999994,7.950000000000003,7.849999999999994,8.75
18,1091,2007-07-16 00:00:00,1092,1108,2007-07-17 00:00:00,2007-08-08 00:00:00,short,122.5,120.26428571428572,131.92142857142858,120.26428571428572,0.23730098559514712,2.2357142857142804,SL,price_date,2.5999999999999943,3.0999999999999943,6.75,10.150000000000006,12.599999999999994,13.049999999999997
19,1152,2007-10-11 00:00:00,1153,1166,2007-10-12 00:00:00,2007-10-31 00:00:00,short,150.0,157.28214285714287,176.95714285714286,157.28214285714287,-0.2701377848436678,-7.282142857142873,SL,price_time,8.949999999999989,5.25,2.25,8.150000000000006,13.199999999999989,24.150000000000006
20,1223,2008-01-22 00:00:00,1224,1255,2008-01-23 00:00:00,2008-03-07 00:00:00,long,106.9,100.76071428571429,63.32142857142857,100.76071428571429,-0.1408785445009016,-6.13928571428572,SL,price_time,17.60000000000001,11.299999999999997,4.3999999999999915,15.049999999999997,19.39999999999999,16.849999999999994
21,1264,2008-03-24 00:00:00,1265,1305,2008-03-25 00:00:00,2008-05-26 00:00:00,long,87.6,94.23571428571428,66.21428571428571,94.23571428571428,0.3102872411489646,6.635714285714286,SL,price_date,4.6000000000000085,1.8000000000000114,1.5500000000000114,-2.0,1.5,1.5
22,1333,2008-07-03 00:00:00,1334,1364,2008-07-04 00:00:00,2008-08-18 00:00:00,long,61.2,80.62499999999999,51.37142857142857,80.62499999999999,1.976380813953485,19.424999999999983,SL,price_time,2.3500000000000014,4.25,5.6499999999999915,5.599999999999994,8.450000000000003,7.3999999999999915
23,1378,2008-09-08 00:00:00,1379,1443,2008-09-09 00:00:00,2008-12-16 00:00:00,short,89.1,68.53214285714287,101.00000000000001,68.53214285714287,1.7283913565426123,20.56785714285712,SL,price_time,1.5499999999999972,-0.10000000000000853,-0.25,0.19999999999998863,1.6499999999999915,8.199999999999989
24,1447,2008-12-22 00:00:00,1448,1502,2008-12-23 00:00:00,2009-03-17 00:00:00,short,68.2,46.72857142857143,79.69285714285715,46.72857142857143,1.8682411435674329,21.471428571428575,SL,price_date,4.5,4.0,2.299999999999997,4.5,0.75,-1.25
25,1574,2009-07-03 00:00:00,1575,1596,2009-07-06 00:00:00,2009-08-04 00:00:00,short,113.0,109.14285714285715,129.30714285714285,109.14285714285715,0.23653088042049883,3.857142857142847,SL,price_time,10.849999999999994,11.549999999999997,13.200000000000003,18.599999999999994,20.599999999999994,24.049999999999997
26,1609,2009-08-21 00:00:00,1610,1652,2009-08-24 00:00:00,2009-10-28 00:00:00,long,97.0,116.89642857142859,85.72142857142856,116.89642857142859,1.764091196960101,19.896428571428586,SL,price_time,1.9500000000000028,1.0499999999999972,0.6500000000000057,0.7999999999999972,1.9000000000000057,5.25
27,1656,2009-11-04 00:00:00,1657,1689,2009-11-05 00:00:00,2009-12-21 00:00:00,long,111.5,121.90714285714286,92.16428571428571,121.90714285714286,0.5382342076099003,10.407142857142858,SL,price_time,5.699999999999989,5.849999999999994,7.5,12.400000000000006,10.450000000000003,13.599999999999994
28,1702,2010-01-12 00:00:00,1703,1735,2010-01-13 00:00:00,2010-03-03 00:00:00,short,132.9,124.30714285714286,149.27142857142857,124.30714285714286,0.524869109947644,8.592857142857142,SL,price_time,1.5999999999999943,0.8499999999999943,0.700000000000017,-0.09999999999999432,-1.049999999999983,1.1500000000000057
29,1758,2010-04-07 00:00:00,1759,1775,2010-04-08 00:00:00,2010-05-03 00:00:00,short,125.7,127.36785714285713,132.98571428571427,127.36785714285713,-0.22892156862744995,-1.6678571428571303,SL,price_date,3.1500000000000057,2.450000000000003,1.5499999999999972,3.25,5.299999999999997,5.650000000000006
30,1780,2010-05-10 00:00:00,1781,1807,2010-05-11 00:00:00,2010-06-16 00:00:00,short,121.2,119.08928571428571,130.92142857142858,119.08928571428571,0.21711976487876644,2.1107142857142946,SL,price_date,3.1000000000000085,3.1000000000000085,3.450000000000003,3.450000000000003,4.650000000000006,4.8500000000000085
31,1820,2010-07-05 00:00:00,1821,1837,2010-07-06 00:00:00,2010-07-28 00:00:00,long,118.0,117.67500000000001,112.75,117.67500000000001,-0.06190476190475974,-0.32499999999998863,SL,price_time,1.8499999999999943,1.8499999999999943,1.0,5.099999999999994,5.349999999999994,6.650000000000006
32,1912,2010-11-11 00:00:00,1913,2005,2010-11-12 00:00:00,2011-03-28 00:00:00,short,194.9,144.12142857142857,216.37142857142857,144.12142857142857,2.364936793080507,50.77857142857144,SL,price_date,7.5,8.550000000000011,1.6500000000000057,8.450000000000017,6.650000000000006,15.400000000000006
33,2013,2011-04-07 00:00:00,2014,2070,2011-04-08 00:00:00,2011-06-30 00:00:00,short,150.0,134.42142857142858,159.85714285714283,134.42142857142858,1.5804347826086989,15.578571428571422,SL,price_date,5.199999999999989,4.849999999999994,5.349999999999994,1.9499999999999886,2.6500000000000057,4.650000000000006
34,2083,2011-07-19 00:00:00,2084,2140,2011-07-20 00:00:00,2011-10-12 00:00:00,short,137.05,105.31071428571428,144.81428571428572,105.31071428571428,4.087856485740577,31.739285714285728,SL,price_time,2.5500000000000114,2.5500000000000114,4.050000000000011,1.9000000000000057,1.3500000000000227,5.650000000000006
35,2148,2011-10-24 00:00:00,2149,2160,2011-10-25 00:00:00,2011-11-15 00:00:00,long,103.85,103.81071428571428,94.29285714285714,103.81071428571428,-0.004110612855007137,-0.03928571428571104,SL,price_time,3.450000000000003,2.9000000000000057,9.850000000000009,13.150000000000006,9.75,10.700000000000003
36,2193,2012-01-02 00:00:00,2194,2231,2012-01-03 00:00:00,2012-02-27 00:00:00,long,79.65,104.67142857142858,69.37857142857142,104.67142857142858,2.4360222531293427,25.021428571428572,SL,price_time,3.5999999999999943,2.5999999999999943,3.049999999999997,4.25,3.75,4.949999999999989
37,2253,2012-03-29 00:00:00,2254,2275,2012-03-30 00:00:00,2012-05-03 00:00:00,long,101.0,97.475,88.6,97.475,-0.2842741935483874,-3.5250000000000057,SL,price_time,4.700000000000003,3.700000000000003,4.549999999999997,5.150000000000006,5.700000000000003,3.049999999999997
38,2287,2012-05-21 00:00:00,2288,2302,2012-05-22 00:00:00,2012-06-11 00:00:00,short,90.0,92.875,98.92142857142858,92.875,-0.3222578062449958,-2.875,SL,price_time,2.1500000000000057,2.75,4.450000000000003,3.4000000000000057,2.9000000000000057,0.75
