trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,8,2003-01-13 00:00:00,9,20,2003-01-14 00:00:00,2003-01-29 00:00:00,long,66.96,65.78615384615384,62.53888888888889,65.78615384615384,-0.2655093084849316,-1.1738461538461564,SL,price_time,2.3599999999999994,2.5400000000000063,5.1000000000000085,5.070000000000007,5.230000000000004,3.8100000000000023
2,42,2003-03-03 00:00:00,43,53,2003-03-04 00:00:00,2003-03-20 00:00:00,short,65.46,67.82357142857143,71.10142857142857,67.82357142857143,-0.41896682704482185,-2.363571428571433,SL,price_time,1.0900000000000034,0.5699999999999932,0.1599999999999966,1.4299999999999926,2.6099999999999923,2.3599999999999923
3,80,2003-04-30 00:00:00,81,96,2003-05-02 00:00:00,2003-05-23 00:00:00,long,44.04,41.45928571428572,35.16714285714286,41.45928571428572,-0.29085493479310853,-2.5807142857142793,SL,price_time,2.0,1.5,2.0,2.5500000000000043,3.200000000000003,2.460000000000001
4,107,2003-06-09 00:00:00,108,120,2003-06-10 00:00:00,2003-06-26 00:00:00,short,46.1,50.520714285714284,50.68714285714286,50.520714285714284,-0.96371846776705,-4.420714285714283,SL,price_time,1.4600000000000009,1.1700000000000017,0.17999999999999972,-0.30999999999999517,-0.3299999999999983,0.5200000000000031
5,131,2003-07-11 00:00:00,132,146,2003-07-14 00:00:00,2003-08-01 00:00:00,short,55.86,59.379999999999995,61.04571428571428,59.379999999999995,-0.6787878787878784,-3.519999999999996,SL,price_time,0.4299999999999997,1.3699999999999974,2.6199999999999974,2.019999999999996,1.740000000000002,2.8999999999999986
6,151,2003-08-08 00:00:00,152,163,2003-08-11 00:00:00,2003-08-27 00:00:00,short,55.16,58.88428571428572,60.822857142857146,58.88428571428572,-0.6576690211907168,-3.7242857142857204,SL,price_time,1.1800000000000068,0.75,1.8999999999999986,1.0499999999999972,1.769999999999996,0.6299999999999955
7,173,2003-09-10 00:00:00,174,188,2003-09-11 00:00:00,2003-10-01 00:00:00,short,65.63,71.89785714285713,75.81714285714285,71.89785714285713,-0.6152713504417328,-6.267857142857139,SL,price_date,1.2299999999999898,-0.38000000000000966,0.5999999999999943,2.519999999999996,-0.14000000000000057,-2.0
8,197,2003-10-15 00:00:00,198,204,2003-10-16 00:00:00,2003-10-24 00:00:00,short,74.44,79.56357142857144,80.69714285714285,79.56357142857144,-0.8188356164383582,-5.123571428571438,SL,price_time,1.6299999999999955,2.0799999999999983,0.45000000000000284,2.2099999999999937,3.3100000000000023,3.9299999999999926
9,234,2003-12-08 00:00:00,235,265,2003-12-09 00:00:00,2004-01-21 00:00:00,long,77.05,83.85642857142858,70.76142857142857,83.85642857142858,1.0823489323035,6.806428571428583,SL,price_time,1.1599999999999966,0.7600000000000051,0.5600000000000023,0.730000000000004,1.5799999999999983,3.25
10,272,2004-02-03 00:00:00,273,289,2004-02-04 00:00:00,2004-02-26 00:00:00,long,81.27,76.42357142857142,72.48285714285714,76.42357142857142,-0.5515363355551949,-4.846428571428575,SL,price_date,2.530000000000001,2.480000000000004,3.719999999999999,5.579999999999998,7.02000000000001,4.790000000000006
11,298,2004-03-11 00:00:00,299,340,2004-03-12 00:00:00,2004-05-13 00:00:00,long,76.33,76.90071428571427,66.59142857142857,76.90071428571427,0.05860349127181924,0.5707142857142742,SL,price_time,2.839999999999989,2.3799999999999955,0.8700000000000045,0.9000000000000057,2.469999999999999,0.8200000000000074
12,352,2004-06-30 00:00:00,353,384,2004-07-01 00:00:00,2004-08-13 00:00:00,long,87.19,92.72928571428571,77.80857142857143,92.72928571428571,0.5904522613065323,5.539285714285711,SL,price_time,1.730000000000004,0.8599999999999994,1.769999999999996,2.1500000000000057,1.9699999999999989,-0.1599999999999966
13,439,2004-11-02 00:00:00,440,461,2004-11-03 00:00:00,2004-12-06 00:00:00,long,119.88,127.40857142857143,112.29714285714286,127.40857142857143,0.9928409947249457,7.528571428571439,SL,price_time,3.1500000000000057,2.680000000000007,4.3500000000000085,3.660000000000011,6.230000000000004,7.420000000000002
14,472,2004-12-21 00:00:00,473,481,2004-12-22 00:00:00,2005-01-03 00:00:00,short,128.13,136.21928571428572,139.05857142857144,136.21928571428572,-0.7401960784313721,-8.089285714285722,SL,price_time,2.109999999999985,-1.960000000000008,-1.0,-0.950000000000017,-0.5200000000000102,-0.7300000000000182
15,496,2005-01-25 00:00:00,497,548,2005-01-27 00:00:00,2005-04-11 00:00:00,long,120.63,132.03214285714284,107.35571428571428,132.03214285714284,0.8589647008179074,11.402142857142849,SL,price_time,2.450000000000003,1.3800000000000097,6.730000000000004,8.659999999999997,8.230000000000018,8.860000000000014
16,563,2005-05-03 00:00:00,564,613,2005-05-04 00:00:00,2005-07-12 00:00:00,long,118.75,138.2292857142857,110.91,138.2292857142857,2.4846027696792987,19.47928571428571,SL,price_time,2.259999999999991,2.3499999999999943,5.950000000000003,7.599999999999994,12.289999999999992,9.949999999999989
17,629,2005-08-04 00:00:00,630,648,2005-08-05 00:00:00,2005-09-01 00:00:00,short,144.13,150.00357142857143,156.37428571428572,150.00357142857143,-0.47969898494924784,-5.873571428571438,SL,price_time,1.3799999999999955,0.9099999999999966,2.210000000000008,2.6200000000000045,-0.5600000000000023,0.789999999999992
18,675,2005-10-11 00:00:00,676,691,2005-10-13 00:00:00,2005-11-07 00:00:00,short,165.75,164.99285714285713,179.78428571428572,164.99285714285713,0.053949511400652156,0.7571428571428669,SL,price_time,3.7600000000000193,1.8300000000000125,3.1500000000000057,3.759999999999991,7.590000000000003,9.27000000000001
19,718,2005-12-15 00:00:00,719,737,2005-12-16 00:00:00,2006-01-12 00:00:00,long,184.38,181.485,170.10999999999999,181.485,-0.20287316047652276,-2.894999999999982,SL,price_time,4.039999999999992,2.0200000000000102,4.610000000000014,1.259999999999991,1.509999999999991,2.0500000000000114
20,750,2006-02-01 00:00:00,751,777,2006-02-02 00:00:00,2006-03-13 00:00:00,short,178.75,183.71142857142857,193.4,183.71142857142857,-0.3386640663091173,-4.96142857142857,SL,price_time,3.0,1.990000000000009,4.569999999999993,1.0900000000000034,-0.789999999999992,-2.6699999999999875
21,780,2006-03-17 00:00:00,781,820,2006-03-20 00:00:00,2006-05-18 00:00:00,long,179.69,188.35714285714286,169.42857142857142,188.35714285714286,0.84463316163163,8.667142857142863,SL,price_date,5.560000000000002,5.740000000000009,5.300000000000011,2.8100000000000023,0.9699999999999989,1.3300000000000125
22,840,2006-06-15 00:00:00,841,885,2006-06-16 00:00:00,2006-08-18 00:00:00,long,172.56,206.9135714285714,140.48857142857142,206.9135714285714,1.0711581291759453,34.3535714285714,SL,price_date,4.6299999999999955,2.509999999999991,6.889999999999986,5.189999999999998,10.150000000000006,11.930000000000007
23,902,2006-09-12 00:00:00,903,983,2006-09-13 00:00:00,2007-01-10 00:00:00,long,223.75,270.04785714285714,206.2142857142857,270.04785714285714,2.640203665987777,46.29785714285714,SL,price_date,4.730000000000018,2.430000000000007,5.159999999999997,2.5800000000000125,3.4199999999999875,3.3000000000000114
24,1008,2007-02-19 00:00:00,1009,1045,2007-02-20 00:00:00,2007-04-13 00:00:00,short,296.88,265.23785714285714,314.3071428571429,265.23785714285714,1.8156816132469848,31.642142857142858,SL,price_time,2.009999999999991,1.8799999999999955,8.009999999999991,10.939999999999998,17.170000000000016,19.610000000000014
