trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,6,2015-04-20 00:00:00,7,24,2015-04-21 00:00:00,2015-05-15 00:00:00,short,113.35,117.77142857142857,136.20000000000002,117.77142857142857,-0.19349796811503603,-4.421428571428578,SL,price_time,2.5,3.1499999999999915,2.8999999999999915,4.25,8.25,8.949999999999989
2,61,2015-07-07 00:00:00,62,107,2015-07-08 00:00:00,2015-09-09 00:00:00,short,114.25,99.14285714285714,126.77857142857142,99.14285714285714,1.2058152793614603,15.107142857142861,SL,price_time,4.25,2.799999999999997,2.200000000000003,1.25,-1.5999999999999943,0.5499999999999972
3,119,2015-09-29 00:00:00,120,149,2015-09-30 00:00:00,2015-11-13 00:00:00,long,86.55,90.25357142857142,78.5,90.25357142857142,0.46007098491570475,3.703571428571422,SL,price_time,3.1000000000000085,3.1500000000000057,2.6000000000000085,3.799999999999997,5.3500000000000085,4.799999999999997
4,152,2015-11-18 00:00:00,153,191,2015-11-19 00:00:00,2016-01-13 09:15:00,long,90.0,84.38571428571429,83.61428571428571,84.38571428571429,-0.8791946308724831,-5.614285714285714,SL,price_time,2.5,2.4000000000000057,1.5999999999999943,1.4000000000000057,1.5999999999999943,0.09999999999999432
5,217,2016-02-19 09:15:00,218,266,2016-02-22 09:15:00,2016-05-06 09:15:00,long,59.5,62.99285714285714,47.15714285714286,62.99285714285714,0.28298611111111094,3.49285714285714,SL,price_date,1.1499999999999986,-0.25,-2.1499999999999986,-2.700000000000003,-3.8500000000000014,-4.799999999999997
6,293,2016-06-14 09:15:00,294,355,2016-06-15 09:15:00,2016-09-14 09:15:00,short,62.6,49.23214285714286,67.82142857142857,49.23214285714286,2.5601915184678536,13.36785714285714,SL,price_time,0.8499999999999943,1.3999999999999986,2.3500000000000014,4.450000000000003,5.100000000000001,4.300000000000004
7,373,2016-10-10 09:15:00,374,411,2016-10-13 09:15:00,2016-12-07 09:15:00,short,56.6,51.63571428571429,61.114285714285714,51.63571428571429,1.0996835443037967,4.964285714285708,SL,price_time,1.6499999999999986,1.8999999999999986,1.0,-0.0,-0.19999999999999574,0.3999999999999986
8,500,2017-04-18 09:15:00,501,518,2017-04-19 09:15:00,2017-05-15 09:15:00,long,47.9,45.574999999999996,42.90714285714286,45.574999999999996,-0.46566523605150295,-2.325000000000003,SL,price_time,4.0,2.3999999999999986,3.1499999999999986,3.200000000000003,1.7000000000000028,1.5
9,542,2017-06-16 09:15:00,543,560,2017-06-19 09:15:00,2017-07-13 09:15:00,short,36.4,37.43571428571428,38.82857142857143,37.43571428571428,-0.4264705882352933,-1.0357142857142847,SL,price_time,0.30000000000000426,0.5,-0.0,0.25,1.1000000000000014,1.3500000000000014
10,656,2017-12-01 09:15:00,657,689,2017-12-04 09:15:00,2018-01-18 09:15:00,long,34.4,33.71071428571429,29.042857142857144,33.71071428571429,-0.12866666666666587,-0.6892857142857096,SL,price_time,3.799999999999997,3.3999999999999986,3.3999999999999986,2.3999999999999986,3.3999999999999986,2.75
11,701,2018-02-06 09:15:00,702,728,2018-02-07 09:15:00,2018-03-19 09:15:00,long,29.65,29.224999999999994,24.314285714285713,29.224999999999994,-0.07965194109772504,-0.42500000000000426,SL,price_time,0.5499999999999972,0.25,0.9000000000000021,1.3000000000000007,2.0,3.6499999999999986
12,734,2018-03-27 09:15:00,735,816,2018-03-28 09:15:00,2018-07-24 09:15:00,short,27.6,21.29285714285714,30.985714285714288,21.29285714285714,1.862869198312237,6.3071428571428605,SL,price_time,0.6999999999999993,0.5,-0.6999999999999993,-1.5,-1.0499999999999972,-1.25
13,862,2018-10-03 09:16:00,863,871,2018-10-04 09:16:00,2018-10-16 09:15:00,short,21.5,23.917857142857144,25.52142857142857,23.917857142857144,-0.6012433392539973,-2.4178571428571445,SL,price_time,1.25,1.0,1.6000000000000014,2.3999999999999986,2.8000000000000007,1.3000000000000007
14,1141,2019-11-26 00:00:00,1142,1145,2019-11-27 00:00:00,2019-12-02 00:00:00,short,9.65,10.789285714285713,12.1,10.789285714285713,-0.4650145772594746,-1.1392857142857125,SL,price_time,0.3500000000000014,0.45000000000000107,0.8000000000000007,0.34999999999999964,-0.9499999999999993,-1.75
15,1391,2020-11-23 00:00:00,1392,1407,2020-11-24 00:00:00,2020-12-16 00:00:00,short,14.75,15.760714285714286,17.707142857142856,15.760714285714286,-0.3417874396135269,-1.0107142857142861,SL,price_date,1.5500000000000007,1.0,2.1500000000000004,1.6500000000000004,2.0999999999999996,1.0
16,1474,2021-03-24 00:00:00,1475,1490,2021-03-25 00:00:00,2021-04-20 00:00:00,short,19.75,19.825,22.7,19.825,-0.025423728813559088,-0.07499999999999929,SL,price_time,1.3500000000000014,1.5500000000000007,1.25,1.6499999999999986,2.3000000000000007,1.75
