trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,118,2019-03-25,119,149,2019-03-26,2019-05-13,long,40.25,38.839285714285715,36.09285714285715,38.839285714285715,-0.3393470790378009,-1.4107142857142847,SL,price_time,0.7999999999999972,-0.20000000000000284,-0.3500000000000014,-0.5499999999999972,-0.04999999999999716,0.10000000000000142
2,160,2019-05-28,161,183,2019-05-29,2019-07-01,short,41.5,41.025,46.15,41.025,0.10215053763440894,0.4750000000000014,SL,price_time,2.3999999999999986,1.1499999999999986,0.14999999999999858,0.6499999999999986,0.14999999999999858,0.14999999999999858
3,251,2019-10-11,252,257,2019-10-14,2019-10-22,short,38.2,40.43214285714285,41.97857142857143,40.43214285714285,-0.5907372400756122,-2.232142857142847,SL,price_time,0.8500000000000014,1.2000000000000028,1.6500000000000057,1.6500000000000057,1.4000000000000057,0.10000000000000142
4,263,2019-10-30,264,270,2019-10-31,2019-11-08,short,43.5,45.96428571428571,48.114285714285714,45.96428571428571,-0.5340557275541783,-2.464285714285708,SL,price_time,0.5500000000000043,0.6000000000000014,0.6000000000000014,1.2999999999999972,2.1000000000000014,3.450000000000003
5,343,2020-02-20,344,371,2020-02-24,2020-04-03,short,56.35,44.70357142857143,64.83571428571429,44.70357142857143,1.3724747474747472,11.646428571428572,SL,price_time,0.6500000000000057,-0.19999999999999574,2.700000000000003,3.8500000000000014,1.5,6.050000000000004
6,376,2020-04-15,377,418,2020-04-16,2020-06-16,long,40.55,42.02142857142857,31.342857142857145,42.02142857142857,0.15981380915438373,1.471428571428575,SL,price_time,6.949999999999996,7.0,5.700000000000003,5.350000000000001,2.9000000000000057,1.9500000000000028
7,431,2020-07-03,432,473,2020-07-06,2020-09-01,long,46.1,44.199999999999996,40.528571428571425,44.199999999999996,-0.34102564102564176,-1.9000000000000057,SL,price_time,4.600000000000001,4.299999999999997,4.399999999999999,1.75,1.75,1.3500000000000014
8,508,2020-10-21,509,550,2020-10-22,2020-12-21,long,39.25,41.903571428571425,36.31428571428572,41.903571428571425,0.903892944038929,2.653571428571425,SL,price_time,1.75,1.5,1.0499999999999972,0.25,-0.20000000000000284,-0.5
9,587,2021-02-12,588,618,2021-02-15,2021-03-31,short,53.85,44.52857142857143,58.114285714285714,44.52857142857143,2.1859296482412063,9.32142857142857,SL,price_time,5.549999999999997,6.25,7.100000000000001,5.850000000000001,5.399999999999999,6.100000000000001
10,621,2021-04-06,622,643,2021-04-07,2021-05-10,short,45.5,46.771428571428565,49.50714285714286,46.771428571428565,-0.31729055258466843,-1.2714285714285651,SL,price_time,0.3500000000000014,0.45000000000000284,0.5,0.5,2.049999999999997,1.5
11,674,2021-06-23,675,726,2021-06-24,2021-09-07,short,48.35,44.30357142857143,51.85714285714286,44.30357142857143,1.1537678207739297,4.046428571428571,SL,price_time,0.6000000000000014,0.6000000000000014,0.5500000000000043,-0.3999999999999986,0.45000000000000284,-0.44999999999999574
12,755,2021-10-20,756,776,2021-10-21,2021-11-22,long,45.85,45.925,42.07142857142857,45.925,0.019848771266539496,0.07499999999999574,SL,price_time,1.6499999999999986,1.5499999999999972,5.699999999999996,2.9499999999999957,3.8999999999999986,2.6000000000000014
13,982,2022-09-19,983,1048,2022-09-20,2022-12-23,long,42.65,55.3142857142857,37.94285714285714,55.3142857142857,2.690440060698026,12.664285714285704,SL,price_time,1.0999999999999943,-1.1000000000000014,-1.8500000000000014,-2.25,-2.8500000000000014,-3.549999999999997
14,1058,2023-01-06,1059,1072,2023-01-09,2023-01-27,long,59.05,54.671428571428564,50.4,54.671428571428564,-0.506193228736582,-4.378571428571433,SL,price_time,2.6000000000000014,2.1500000000000057,0.8000000000000043,-0.19999999999999574,0.9000000000000057,4.0
15,1117,2023-04-05,1118,1232,2023-04-06,2023-09-21,long,56.75,135.80357142857142,52.457142857142856,135.80357142857142,18.41514143094841,79.05357142857142,SL,price_time,1.6000000000000014,1.8500000000000014,1.2000000000000028,0.6000000000000014,1.4500000000000028,1.8500000000000014
16,1323,2024-02-02,1324,1353,2024-02-05,2024-03-15,short,233.55,216.0035714285714,282.8285714285714,216.0035714285714,0.3560660965357307,17.546428571428606,SL,price_time,8.900000000000006,9.950000000000017,1.75,3.5,5.0,11.200000000000017
17,1439,2024-07-24,1440,1513,2024-07-25,2024-11-07,short,290.0,221.36142857142855,352.8285714285714,221.36142857142855,1.0924738517507964,68.63857142857145,SL,price_time,11.699999999999989,9.300000000000011,15.399999999999977,-9.100000000000023,-5.149999999999977,1.25
18,1544,2024-12-24,1545,1560,2024-12-26,2025-01-16,short,210.4,206.82642857142858,231.0242857142857,206.82642857142858,0.17327006995913288,3.5735714285714266,SL,price_time,2.680000000000007,3.0200000000000102,1.0300000000000011,1.420000000000016,-4.609999999999985,-7.449999999999989
19,1635,2025-05-09,1636,1664,2025-05-12,2025-06-19,long,154.99,190.46785714285716,132.05857142857144,190.46785714285716,1.5471280837278847,35.47785714285715,SL,price_time,12.740000000000009,5.259999999999991,5.359999999999985,17.819999999999993,22.590000000000003,33.889999999999986
20,1705,2025-08-18,1706,1747,2025-08-19,2025-10-17,long,167.81,168.2464285714286,155.8357142857143,168.2464285714286,0.036447148651874844,0.4364285714285927,SL,price_time,4.909999999999997,4.219999999999999,3.8799999999999955,2.3700000000000045,3.3799999999999955,1.4300000000000068
