trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,79,2006-07-10 00:00:00,80,128,2006-07-11 00:00:00,2006-09-18 00:00:00,long,148.0,174.45714285714286,121.99285714285716,174.45714285714286,1.0173029387530905,26.457142857142856,SL,price_time,1.200000000000017,-1.8499999999999943,2.5500000000000114,-1.1500000000000057,-4.650000000000006,-4.449999999999989
2,141,2006-10-06 00:00:00,142,146,2006-10-09 00:00:00,2006-10-13 00:00:00,short,200.6,216.1,222.9857142857143,216.1,-0.6924058710912567,-15.5,SL,price_time,2.5999999999999943,3.049999999999983,1.549999999999983,5.099999999999994,7.599999999999994,3.9000000000000057
3,160,2006-11-06 00:00:00,161,177,2006-11-07 00:00:00,2006-11-29 00:00:00,short,196.0,192.76785714285714,213.68571428571428,192.76785714285714,0.18275444264943483,3.232142857142861,SL,price_time,4.400000000000006,4.25,4.75,7.150000000000006,7.849999999999994,6.849999999999994
4,209,2007-01-16 00:00:00,210,263,2007-01-17 00:00:00,2007-04-09 00:00:00,short,204.95,152.35357142857143,221.24999999999997,152.35357142857143,3.2267747589833506,52.59642857142856,SL,price_date,4.599999999999994,6.399999999999977,6.5,3.9499999999999886,3.0999999999999943,17.44999999999999
5,288,2007-05-16 00:00:00,289,319,2007-05-17 00:00:00,2007-06-28 00:00:00,short,163.8,152.38571428571427,175.11428571428573,152.38571428571427,1.0088383838383859,11.41428571428574,SL,price_time,2.4499999999999886,2.1500000000000057,0.15000000000000568,-0.0,3.6000000000000227,6.600000000000023
6,450,2008-01-03 00:00:00,451,475,2008-01-04 00:00:00,2008-02-07 00:00:00,short,220.0,184.46785714285716,253.0857142857143,184.46785714285716,1.0739421416234882,35.532142857142844,SL,price_time,4.0,10.800000000000011,14.75,18.69999999999999,12.949999999999989,19.94999999999999
7,483,2008-02-19 00:00:00,484,509,2008-02-20 00:00:00,2008-03-31 00:00:00,short,177.0,163.1,191.9142857142857,163.1,0.9319923371647515,13.900000000000006,SL,price_date,4.449999999999989,11.599999999999994,11.699999999999989,11.5,12.699999999999989,12.599999999999994
8,525,2008-04-24 00:00:00,526,627,2008-04-25 00:00:00,2008-09-19 00:00:00,short,154.5,126.71428571428572,179.89999999999998,126.71428571428572,1.0939257592800906,27.785714285714278,SL,price_time,3.0500000000000114,1.6500000000000057,3.1500000000000057,1.6999999999999886,2.5,2.8499999999999943
9,798,2009-06-11 00:00:00,799,825,2009-06-12 00:00:00,2009-07-20 00:00:00,short,101.5,109.99285714285715,119.82857142857144,109.99285714285715,-0.4633671083398286,-8.492857142857147,SL,price_time,2.75,4.5,3.6500000000000057,1.4500000000000028,4.049999999999997,4.049999999999997
10,842,2009-08-12 00:00:00,843,872,2009-08-13 00:00:00,2009-09-24 00:00:00,long,109.0,128.30714285714285,89.55,128.30714285714285,0.992655159750275,19.30714285714285,SL,price_date,4.450000000000003,3.049999999999997,3.549999999999997,1.3499999999999943,2.6500000000000057,1.0999999999999943
