trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,534,2005-03-21 00:00:00,535,545,2005-03-22 00:00:00,2005-04-06 00:00:00,short,19.98,22.64071428571428,23.227142857142855,22.64071428571428,-0.8194016717993833,-2.660714285714281,SL,price_time,1.259999999999998,1.4100000000000001,1.9400000000000013,-0.16000000000000014,0.6500000000000021,1.7699999999999996
2,663,2005-09-23 00:00:00,664,679,2005-09-26 00:00:00,2005-10-18 00:00:00,long,21.0,17.752857142857142,17.752857142857142,17.752857142857142,-1.0,-3.247142857142858,SL,price_time,0.7300000000000004,1.0500000000000007,0.9699999999999989,0.7100000000000009,0.120000000000001,-0.3200000000000003
3,740,2006-01-17 00:00:00,741,745,2006-01-18 00:00:00,2006-01-24 00:00:00,short,21.04,24.525714285714283,24.525714285714283,24.525714285714283,-1.0,-3.485714285714284,SL,price_time,0.6499999999999986,-0.5500000000000007,-1.0700000000000003,-1.1700000000000017,-1.1799999999999997,-2.990000000000002
4,810,2006-05-04 00:00:00,811,827,2006-05-05 00:00:00,2006-05-29 00:00:00,short,24.2,19.697857142857146,29.53142857142857,19.697857142857146,0.8444533762057872,4.502142857142854,SL,price_time,0.6799999999999997,0.9299999999999997,0.6099999999999994,0.5500000000000007,0.8000000000000007,0.9600000000000009
5,835,2006-06-08 00:00:00,836,918,2006-06-09 00:00:00,2006-10-05 00:00:00,long,13.08,25.13357142857143,9.287142857142857,25.13357142857143,3.1779661016949157,12.053571428571429,SL,price_time,2.4800000000000004,2.7200000000000006,2.1400000000000006,1.92,1.0099999999999998,1.9299999999999997
6,942,2006-11-10 00:00:00,943,963,2006-11-13 00:00:00,2006-12-11 00:00:00,long,24.78,23.88214285714286,21.60142857142857,23.88214285714286,-0.2824719101123589,-0.8978571428571414,SL,price_time,1.2200000000000024,0.75,0.9100000000000001,0.3299999999999983,0.23999999999999844,-0.5400000000000027
7,1052,2007-04-24 00:00:00,1053,1118,2007-04-25 00:00:00,2007-07-27 00:00:00,short,28.25,29.19642857142857,33.17857142857143,29.19642857142857,-0.1920289855072459,-0.9464285714285694,SL,price_time,1.4700000000000024,0.7800000000000011,1.2899999999999991,2.710000000000001,2.1499999999999986,0.75
8,1241,2008-01-22 00:00:00,1242,1283,2008-01-23 00:00:00,2008-03-25 00:00:00,long,28.52,20.352857142857143,16.759999999999998,20.352857142857143,-0.6944849368318754,-8.167142857142856,SL,price_time,3.1799999999999997,-0.19000000000000128,-2.030000000000001,-0.3099999999999987,0.19000000000000128,0.379999999999999
9,1548,2009-05-04 00:00:00,1549,1561,2009-05-05 00:00:00,2009-05-21 00:00:00,short,11.6,13.283571428571427,14.591428571428573,13.283571428571427,-0.5627984718242592,-1.6835714285714278,SL,price_time,0.25,0.4499999999999993,0.4900000000000002,0.4499999999999993,0.3899999999999988,0.7400000000000002
10,1662,2009-10-15 00:00:00,1663,1724,2009-10-16 00:00:00,2010-01-18 00:00:00,short,31.96,34.12642857142857,36.212857142857146,34.12642857142857,-0.5094054417198511,-2.1664285714285683,SL,price_time,1.3999999999999986,0.7800000000000011,0.23000000000000043,1.7600000000000016,1.4400000000000013,1.2699999999999996
11,1736,2010-02-04 00:00:00,1737,1754,2010-02-05 00:00:00,2010-03-04 00:00:00,short,34.8,39.377857142857145,41.294285714285714,39.377857142857145,-0.7049054113506386,-4.577857142857148,SL,price_time,0.75,0.14999999999999858,-1.4299999999999997,-1.4100000000000037,-1.3400000000000034,-1.7600000000000051
12,2371,2012-08-23 00:00:00,2372,2411,2012-08-24 00:00:00,2012-10-22 00:00:00,short,24.36,24.347142857142856,27.179999999999996,24.347142857142856,0.004559270516717504,0.012857142857143344,SL,price_time,1.4500000000000028,1.120000000000001,1.6899999999999977,2.8200000000000003,2.9800000000000004,2.710000000000001
13,2668,2013-11-06 00:00:00,2669,2683,2013-11-07 00:00:00,2013-11-28 00:00:00,short,26.78,29.474285714285713,30.22285714285714,29.474285714285713,-0.7825726141078839,-2.694285714285712,SL,price_time,1.3900000000000006,1.2100000000000009,-0.019999999999999574,-0.17999999999999972,1.7600000000000016,1.4800000000000004
14,2719,2014-01-20 00:00:00,2720,2724,2014-01-21 00:00:00,2014-01-27 00:00:00,long,32.43,29.78642857142857,29.244285714285713,29.78642857142857,-0.8298206278026908,-2.6435714285714305,SL,price_time,0.27999999999999403,0.29999999999999716,0.6199999999999974,0.8299999999999983,-1.0899999999999999,-3.09
15,2779,2014-04-21 00:00:00,2780,2797,2014-04-22 00:00:00,2014-05-19 00:00:00,short,43.74,44.10857142857142,48.43428571428572,44.10857142857142,-0.07851491174680297,-0.3685714285714212,SL,price_time,2.75,2.960000000000001,1.6200000000000045,-0.19999999999999574,-0.0,0.7899999999999991
16,2806,2014-05-30 00:00:00,2807,2834,2014-06-02 00:00:00,2014-07-09 00:00:00,long,42.19,56.16142857142857,35.349999999999994,56.16142857142857,2.0426065162907263,13.971428571428575,SL,price_time,3.969999999999999,3.6000000000000014,4.170000000000002,5.170000000000002,6.07,6.3700000000000045
17,2941,2014-12-19 00:00:00,2942,2976,2014-12-22 00:00:00,2015-02-10 00:00:00,short,154.1,119.21785714285714,180.99285714285713,119.21785714285714,1.297078353253652,34.88214285714285,SL,price_time,8.849999999999994,10.199999999999989,17.5,15.699999999999989,17.75,23.900000000000006
18,3008,2015-03-30 00:00:00,3009,3024,2015-03-31 00:00:00,2015-04-24 00:00:00,long,97.6,112.48928571428571,86.9857142857143,112.48928571428571,1.4027590847913887,14.88928571428572,SL,price_time,8.849999999999994,7.5,20.10000000000001,25.450000000000003,22.450000000000003,28.25
19,3070,2015-06-30 00:00:00,3071,3101,2015-07-01 00:00:00,2015-08-12 00:00:00,long,81.34,104.69285714285715,70.77142857142857,104.69285714285715,2.2096512570965126,23.352857142857147,SL,price_time,4.299999999999997,4.509999999999991,4.709999999999994,3.0600000000000023,3.9099999999999966,6.509999999999991
20,3120,2015-09-08 00:00:00,3121,3154,2015-09-09 00:00:00,2015-10-30 00:00:00,long,101.65,101.10714285714285,81.45714285714286,101.10714285714285,-0.026883622214362288,-0.5428571428571587,SL,price_date,3.700000000000003,1.2999999999999972,4.75,6.799999999999997,3.3999999999999915,1.0
21,3176,2015-12-03 00:00:00,3177,3197,2015-12-04 00:00:00,2016-01-01 09:15:00,short,106.0,115.13571428571429,119.9,115.13571428571429,-0.6572456320657757,-9.135714285714286,SL,price_time,3.299999999999997,1.4500000000000028,-0.7999999999999972,0.29999999999999716,1.75,-0.7000000000000028
22,3238,2016-03-01 09:15:00,3239,3278,2016-03-02 09:15:00,2016-05-04 09:15:00,long,78.7,81.45,67.69999999999999,81.45,0.24999999999999967,2.75,SL,price_time,3.25,1.1499999999999915,3.0,3.5999999999999943,2.0,2.5
23,3364,2016-09-06 09:15:00,3365,3384,2016-09-07 09:15:00,2016-10-05 09:15:00,short,147.8,158.425,166.32857142857142,158.425,-0.5734387047031617,-10.625,SL,price_time,2.1499999999999773,2.5,4.75,4.800000000000011,12.550000000000011,3.3500000000000227
24,3402,2016-11-03 09:15:00,3403,3447,2016-11-04 09:15:00,2017-01-06 09:15:00,short,143.05,119.04285714285714,156.90714285714287,119.04285714285714,1.732474226804124,24.007142857142867,SL,price_time,5.549999999999983,5.900000000000006,3.9000000000000057,0.9000000000000057,5.5,-2.1999999999999886
